X,Y,OBJECTID,DIRECTION_ANGLE,DIRECTION_TYPE,IN_CT,LBAS_NO,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR
956701.796938717,724206.238902643,1,142,Outlet Direction,Yes,5301-00,5301,Willow Brook,53,South Central Western Complex,5,South Central Coast
937312.908223137,698796.516428232,2,135,Outlet Direction,Yes,5303-00,5303,Sargent River,53,South Central Western Complex,5,South Central Coast
915424.019258216,641081.239142478,3,160,Outlet Direction,Yes,5307-00,5307,Wepawaug River,53,South Central Western Complex,5,South Central Coast
922590.686027214,643282.628112391,4,220,Outlet Direction,Yes,5306-00,5306,Indian River,53,South Central Western Complex,5,South Central Coast
946951.797409892,664831.238886476,5,150,Outlet Direction,Yes,5305-00,5305,West River,53,South Central Western Complex,5,South Central Coast
945496.936146393,681647.211159974,6,225,Outlet Direction,Yes,5304-05,5304,Wintergreen Brook,53,South Central Western Complex,5,South Central Coast
956421.371646553,673922.08290948,7,165,Outlet Direction,Yes,5302-00,5302,Mill River,53,South Central Western Complex,5,South Central Coast
971343.06325981,657922.578163147,8,170,Outlet Direction,Yes,5112-00,5112,Farm River,51,South Central Eastern Complex,5,South Central Coast
985759.729964465,661526.744839311,9,215,Outlet Direction,Yes,5111-00,5111,Branford River,51,South Central Eastern Complex,5,South Central Coast
1020405.56323172,659387.856072471,10,170,Outlet Direction,Yes,5110-00,5110,West River,51,South Central Eastern Complex,5,South Central Coast
1022662.5078648,660512.856447145,11,150,Outlet Direction,Yes,5109-00,5109,Sluice Creek,51,South Central Eastern Complex,5,South Central Coast
1027940.28536697,664172.578130305,12,160,Outlet Direction,Yes,5108-00,5108,East River,51,South Central Eastern Complex,5,South Central Coast
1035021.18131013,663541.73555997,13,220,Outlet Direction,Yes,5107-00,5107,Neck River,51,South Central Eastern Complex,5,South Central Coast
1055162.5078253,662436.467101231,14,150,Outlet Direction,Yes,5106-00,5106,Hammonasset River,51,South Central Eastern Complex,5,South Central Coast
1042106.95224355,681464.244990483,15,180,Outlet Direction,Yes,5105-00,5105,Chatfield Hollow Brook,51,South Central Eastern Complex,5,South Central Coast
1061961.11857189,664242.022873312,16,180,Outlet Direction,Yes,5104-00,5104,Indian River,51,South Central Eastern Complex,5,South Central Coast
749465.927946717,559625.789848983,17,185,Outlet Direction,Yes,7411-00,7411,Byram River,74,Southwest Western Complex,7,Southwest Coast
745371.520125061,583888.278397396,18,202,Outlet Direction,Yes,7410-00,7410,East Branch Byram River,74,Southwest Western Complex,7,Southwest Coast
757374.630305141,569540.591213554,19,170,Outlet Direction,Yes,7409-00,7409,Horseneck Brook,74,Southwest Western Complex,7,Southwest Coast
761543.333581895,573260.636594981,20,185,Outlet Direction,Yes,7408-00,7408,Greenwich Creek,74,Southwest Western Complex,7,Southwest Coast
765787.243729219,579306.480474398,21,180,Outlet Direction,Yes,7407-15,7407,Mianus River,74,Southwest Western Complex,7,Southwest Coast
769110.779404968,603377.391978145,22,190,Outlet Direction,Yes,7406-00,7406,East Branch Mianus River,74,Southwest Western Complex,7,Southwest Coast
781853.317896217,621665.285848483,23,155,Outlet Direction,Yes,7404-00,7404,Mill River,74,Southwest Western Complex,7,Southwest Coast
780067.454013884,580489.697924227,24,165,Outlet Direction,Yes,7405-00,7405,Rippowam River,74,Southwest Western Complex,7,Southwest Coast
790501.95775114,585339.032385647,25,165,Outlet Direction,Yes,7403-00,7403,Noroton River,74,Southwest Western Complex,7,Southwest Coast
798602.587875307,584884.059542313,26,180,Outlet Direction,Yes,7402-03,7402,Darien River,74,Southwest Western Complex,7,Southwest Coast
808064.18804656,588024.662184983,27,185,Outlet Direction,Yes,7401-00,7401,Fivemile River,74,Southwest Western Complex,7,Southwest Coast
811346.951822221,611431.351591974,28,125,Outlet Direction,Yes,7302-00,7302,Silvermine River,73,Norwalk,7,Southwest Coast
817872.413836882,605505.725647971,29,185,Outlet Direction,Yes,7300-18,7300,Norwalk River,73,Norwalk,7,Southwest Coast
809614.948396474,633221.95466423,30,105,Outlet Direction,Yes,7301-00,7301,Comstock Brook,73,Norwalk,7,Southwest Coast
830133.546138719,610480.978820816,31,188,Outlet Direction,Yes,7200-00,7200,Saugatuck River,72,Saugatuck,7,Southwest Coast
829751.583319977,624648.53808406,32,130,Outlet Direction,Yes,7203-00,7203,West Branch Saugatuck River,72,Saugatuck,7,Southwest Coast
832278.563502222,625794.950817481,33,220,Outlet Direction,Yes,7202-00,7202,Aspetuck River,72,Saugatuck,7,Southwest Coast
828954.486160889,667102.998778641,34,200,Outlet Direction,Yes,7201-00,7201,Little River,72,Saugatuck,7,Southwest Coast
848758.470502973,607503.273490146,35,175,Outlet Direction,Yes,7109-00,7109,Sasco Brook,71,Southwest Eastern,7,Southwest Coast
855074.914891049,614227.897836149,36,170,Outlet Direction,Yes,7108-00,7108,Mill River,71,Southwest Eastern,7,Southwest Coast
858098.997753635,632531.370415479,37,120,Outlet Direction,Yes,7107-00,7107,Cricker Brook,71,Southwest Eastern,7,Southwest Coast
865537.325068548,615932.517458394,38,35,Outlet Direction,Yes,7106-04,7106,Ash Creek,71,Southwest Eastern,7,Southwest Coast
879634.54720214,627418.628344387,39,157,Outlet Direction,Yes,7105-00,7105,Pequonnock River,71,Southwest Eastern,7,Southwest Coast
883790.63698706,629325.943099305,40,180,Outlet Direction,Yes,7103-00,7103,Yellow Mill Channel,71,Southwest Eastern,7,Southwest Coast
880579.344853222,649378.171039388,41,200,Outlet Direction,Yes,7104-00,7104,Booth Hill Brook,71,Southwest Eastern,7,Southwest Coast
887758.262910053,625237.792811066,42,202,Outlet Direction,Yes,7102-00,7102,Bruce Brook,71,Southwest Eastern,7,Southwest Coast
888653.099374965,619677.314758807,43,270,Outlet Direction,Yes,7101-00,7101,Lewis Gut,71,Southwest Eastern,7,Southwest Coast
792171.259858727,860733.878904566,44,275,Outlet Direction,No,6302-00,6302,Mill Brook,63,Tenmile,6,Housatonic
780921.259720966,845872.767550722,45,285,Outlet Direction,No,6303-00,6303,Webatuck Creek,63,Tenmile,6,Housatonic
795749.492859721,880033.944635063,46,250,Outlet Direction,Yes,6301-00,6301,Indian Lake Creek,63,Tenmile,6,Housatonic
815227.333497137,944550.688632816,47,105,Outlet Direction,No,6001-00,6001,Sages Ravine Brook,60,Housatonic Main Stem,6,Housatonic
818503.571695298,917410.105774984,48,105,Outlet Direction,Yes,6005-04,6005,Factory Brook,60,Housatonic Main Stem,6,Housatonic
831315.800663978,900914.065932482,49,45,Outlet Direction,Yes,6007-00,6007,Salmon Creek,60,Housatonic Main Stem,6,Housatonic
819992.015568808,918034.237072647,50,165,Outlet Direction,Yes,6006-00,6006,Spruce Swamp Creek,60,Housatonic Main Stem,6,Housatonic
828294.342139974,873644.119816303,51,130,Outlet Direction,Yes,6009-00,6009,Carse Brook,60,Housatonic Main Stem,6,Housatonic
839613.786364555,945171.89736414,52,230,Outlet Direction,No,6004-00,6004,Konkapot River,60,Housatonic Main Stem,6,Housatonic
833586.008721977,879074.675228149,53,270,Outlet Direction,Yes,6008-00,6008,Mill Brook,60,Housatonic Main Stem,6,Housatonic
831263.845715389,860002.587388143,54,300,Outlet Direction,Yes,6010-00,6010,Furnace Brook,60,Housatonic Main Stem,6,Housatonic
828613.786382973,858644.119632646,55,130,Outlet Direction,Yes,6011-00,6011,Guinea Brook,60,Housatonic Main Stem,6,Housatonic
818176.286260635,843991.341851637,56,315,Outlet Direction,Yes,6012-00,6012,Kent Falls Brook,60,Housatonic Main Stem,6,Housatonic
806954.06461063,833928.841963559,57,340,Outlet Direction,Yes,6013-00,6013,Cobble Brook,60,Housatonic Main Stem,6,Housatonic
795724.89743647,832394.119639307,58,135,Outlet Direction,Yes,6014-00,6014,Bog Hollow Brook,60,Housatonic Main Stem,6,Housatonic
798433.230930552,826213.564087063,59,135,Outlet Direction,Yes,6015-00,6015,Macedonia Brook,60,Housatonic Main Stem,6,Housatonic
801419.342084303,797713.564000562,60,235,Outlet Direction,Yes,6016-00,6016,Womenshenuk Brook,60,Housatonic Main Stem,6,Housatonic
800586.008449137,793713.564126566,61,56,Outlet Direction,Yes,6017-00,6017,Morrissey Brook,60,Housatonic Main Stem,6,Housatonic
852884.619730964,710991.341776058,62,55,Outlet Direction,Yes,6019-00,6019,Deep Brook,60,Housatonic Main Stem,6,Housatonic
841620.730841473,728234.397841066,63,30,Outlet Direction,Yes,6018-00,6018,Pond Brook,60,Housatonic Main Stem,6,Housatonic
874849.897650719,716831.619793639,64,180,Outlet Direction,Yes,6021-00,6021,Kettletown Brook,60,Housatonic Main Stem,6,Housatonic
885974.897382304,701921.89731656,65,170,Outlet Direction,Yes,6023-00,6023,Eightmile Brook,60,Housatonic Main Stem,6,Housatonic
856697.119651884,720449.675221562,66,68,Outlet Direction,Yes,6020-00,6020,Pootatuck River,60,Housatonic Main Stem,6,Housatonic
879266.564342305,702185.786552563,67,55,Outlet Direction,Yes,6022-00,6022,Halfway River,60,Housatonic Main Stem,6,Housatonic
892974.897817969,666789.953144893,68,180,Outlet Direction,Yes,6024-00,6024,Means Brook,60,Housatonic Main Stem,6,Housatonic
905030.45310314,654130.231089056,69,90,Outlet Direction,Yes,6025-00,6025,Farmill River,60,Housatonic Main Stem,6,Housatonic
899197.119625464,643567.73088865,70,135,Outlet Direction,Yes,6026-00,6026,Pumpkin Ground Brook,60,Housatonic Main Stem,6,Housatonic
796555.658898309,772107.768427476,71,160,Outlet Direction,Yes,6401-00,6401,Sawmill Brook,64,Candlewood,6,Housatonic
803868.159037054,731420.268437803,72,130,Outlet Direction,Yes,6402-00,6402,Ball Pond Brook,64,Candlewood,6,Housatonic
812340.380937725,772885.546399474,73,15,Outlet Direction,Yes,6400-00,6400,Lake Candlewood,64,Candlewood,6,Housatonic
797819.547774717,698809.157479063,74,0,Outlet Direction,Yes,6601-00,6601,Miry Brook,66,Still,6,Housatonic
814458.436084807,703593.879208803,75,320,Outlet Direction,Yes,6604-00,6604,Sympaug Brook,66,Still,6,Housatonic
804770.563728303,709792.699488312,76,135,Outlet Direction,Yes,6602-00,6602,Boggs Pond Brook,66,Still,6,Housatonic
806833.43689914,707524.435324058,77,180,Outlet Direction,Yes,6603-00,6603,Padanaram Brook,66,Still,6,Housatonic
819194.54767555,705788.324294969,78,23,Outlet Direction,Yes,6605-00,6605,East Swamp Brook,66,Still,6,Housatonic
818277.880873725,710878.602172136,79,330,Outlet Direction,Yes,6606-00,6606,Limekiln Brook,66,Still,6,Housatonic
818965.381139144,759107.768508896,80,37,Outlet Direction,Yes,6600-00,6600,Still River,66,Still,6,Housatonic
815818.637104556,785206.696297809,81,135,Outlet Direction,Yes,6501-00,6501,Merryall Brook,65,Aspetuck,6,Housatonic
816159.265360311,776229.897650391,82,225,Outlet Direction,Yes,6502-00,6502,East Aspetuck River,65,Aspetuck,6,Housatonic
816930.098136216,774402.914099649,83,190,Outlet Direction,Yes,6500-00,6500,West Aspetuck River,65,Aspetuck,6,Housatonic
858079.124433801,930044.465020642,84,225,Outlet Direction,Yes,6101-00,6101,Whiting River,61,Blackberry,6,Housatonic
840426.346747309,936669.465222061,85,290,Outlet Direction,Yes,6100-00,6100,Blackberry River,61,Blackberry,6,Housatonic
855995.79100205,898968.076386139,86,255,Outlet Direction,Yes,6201-00,6201,Brown Brook,62,Hollenbeck,6,Housatonic
840580.860873967,912950.715087473,87,285,Outlet Direction,Yes,6202-00,6202,Wangum Lake Brook,62,Hollenbeck,6,Housatonic
832885.54818064,916605.229103893,88,260,Outlet Direction,Yes,6200-00,6200,Hollenbeck River,62,Hollenbeck,6,Housatonic
856872.28859289,841390.694165811,89,230,Outlet Direction,Yes,6701-00,6701,Marshepaug River,67,Shepaug,6,Housatonic
880390.541753143,837608.272596806,90,125,Outlet Direction,Yes,6703-00,6703,West Branch Bantam River,67,Shepaug,6,Housatonic
872043.319930553,824017.994987398,91,200,Outlet Direction,Yes,6704-00,6704,Butternut Brook,67,Shepaug,6,Housatonic
850723.87536481,831656.883909062,92,160,Outlet Direction,Yes,6702-00,6702,West Branch Shepaug River,67,Shepaug,6,Housatonic
849543.31998314,809226.328376561,93,325,Outlet Direction,Yes,6705-00,6705,Bantam River,67,Shepaug,6,Housatonic
844821.0978003,733670.772466972,94,145,Outlet Direction,Yes,6700-00,6700,Shepaug River,67,Shepaug,6,Housatonic
846966.931107059,754372.161510304,95,240,Outlet Direction,Yes,6706-00,6706,Jacks Brook,67,Shepaug,6,Housatonic
882962.044484138,784600.299544722,96,145,Outlet Direction,Yes,6801-00,6801,East Spring Brook,68,Pomperaug,6,Housatonic
873038.43309781,764260.021655813,97,160,Outlet Direction,Yes,6804-00,6804,Weekeepeemee River,68,Pomperaug,6,Housatonic
869656.488746226,768197.521654814,98,45,Outlet Direction,Yes,6803-00,6803,Sprain Brook,68,Pomperaug,6,Housatonic
872087.043924466,758683.633202314,99,90,Outlet Direction,Yes,6805-00,6805,Hesseky Brook,68,Pomperaug,6,Housatonic
860732.877656475,733718.355048969,100,150,Outlet Direction,Yes,6806-00,6806,Transylvania Brook,68,Pomperaug,6,Housatonic
861892.599746466,722114.18829672,101,150,Outlet Direction,Yes,6800-00,6800,Pomperaug River,68,Pomperaug,6,Housatonic
874163.433472469,764034.327225313,102,260,Outlet Direction,Yes,6802-00,6802,Nonewaug River,68,Pomperaug,6,Housatonic
886825.17488122,876929.041396067,103,180,Outlet Direction,Yes,6901-00,6901,Hall Meadow Brook,69,Naugatuck,6,Housatonic
885644.61917147,875609.596856475,104,55,Outlet Direction,Yes,6902-02,6902,Hart Brook,69,Naugatuck,6,Housatonic
890800.869029552,860288.416212812,105,130,Outlet Direction,Yes,6903-00,6903,Nickel Mine Brook,69,Naugatuck,6,Housatonic
899797.362847552,833739.777052984,106,112,Outlet Direction,Yes,6906-00,6906,Spruce Brook,69,Naugatuck,6,Housatonic
918053.593067303,827861.14084439,107,235,Outlet Direction,Yes,6907-00,6907,Rock Brook,69,Naugatuck,6,Housatonic
916694.176494807,815761.828756973,108,240,Outlet Direction,Yes,6908-00,6908,Leadmine Brook,69,Naugatuck,6,Housatonic
909043.134710297,805091.689336136,109,120,Outlet Direction,Yes,6909-00,6909,Northfield Brook,69,Naugatuck,6,Housatonic
908890.357128724,795492.731828064,110,135,Outlet Direction,Yes,6910-00,6910,Branch Brook,69,Naugatuck,6,Housatonic
918050.079294801,773723.633962139,111,185,Outlet Direction,Yes,6911-00,6911,Hancock Brook,69,Naugatuck,6,Housatonic
914786.190481395,769786.134291232,112,145,Outlet Direction,Yes,6912-00,6912,Steele Brook,69,Naugatuck,6,Housatonic
929251.468309298,757063.912032306,113,330,Outlet Direction,Yes,6913-00,6913,Beaver Pond Brook,69,Naugatuck,6,Housatonic
921063.967952058,758730.578646481,114,225,Outlet Direction,Yes,6914-00,6914,Mad River,69,Naugatuck,6,Housatonic
916341.745769218,742675.022831142,115,110,Outlet Direction,Yes,6916-00,6916,Hop Brook,69,Naugatuck,6,Housatonic
1090421.0278593,831642.482034981,116,170,Outlet Direction,Yes,3107-02,3107,Burnap Brook,31,Willimantic,3,Thames
1091129.36108831,828413.31526497,117,120,Outlet Direction,Yes,3107-01,3107,Burnap Brook,31,Willimantic,3,Thames
1037962.54977122,833491.32610631,118,200,Outlet Direction,Yes,4006-08,4006,Salmon Brook,40,Connecticut Main Stem,4,Connecticut
1038004.21635455,827428.826092228,119,315,Outlet Direction,Yes,4006-12,4006,Salmon Brook,40,Connecticut Main Stem,4,Connecticut
919824.384801298,743876.411832556,120,270,Outlet Direction,Yes,6915-00,6915,Fulling Mill Brook,69,Naugatuck,6,Housatonic
915084.801432714,738494.467543975,121,110,Outlet Direction,Yes,6917-00,6917,Long Meadow Pond Brook,69,Naugatuck,6,Housatonic
918176.911062136,731146.179090977,122,300,Outlet Direction,Yes,6918-00,6918,Beacon Hill Brook,69,Naugatuck,6,Housatonic
908536.286314547,706943.054268971,123,135,Outlet Direction,Yes,6920-00,6920,Little River,69,Naugatuck,6,Housatonic
913149.133388057,704875.345805973,124,300,Outlet Direction,Yes,6919-00,6919,Bladens River,69,Naugatuck,6,Housatonic
910216.841680467,676061.1097994,125,250,Outlet Direction,Yes,6900-42,6900,Naugatuck River,69,Naugatuck,6,Housatonic
959512.754243299,669632.936632141,126,260,Outlet Direction,Yes,5200-00,5200,Quinnipiac River,52,Quinnipiac,5,South Central Coast
960387.753805637,774605.158773899,127,140,Outlet Direction,Yes,5201-00,5201,Eightmile River,52,Quinnipiac,5,South Central Coast
965677.684498727,765490.575625136,128,210,Outlet Direction,Yes,5203-00,5203,Misery Brook,52,Quinnipiac,5,South Central Coast
962283.587284312,766650.089382231,129,60,Outlet Direction,Yes,5202-00,5202,Tenmile River,52,Quinnipiac,5,South Central Coast
970399.906681553,752023.561548725,130,350,Outlet Direction,Yes,5204-00,5204,Broad Brook,52,Quinnipiac,5,South Central Coast
977839.142787308,753612.103319138,131,155,Outlet Direction,Yes,5205-00,5205,Sodom Brook,52,Quinnipiac,5,South Central Coast
978873.86512731,752646.825722143,132,260,Outlet Direction,Yes,5206-00,5206,Harbor Brook,52,Quinnipiac,5,South Central Coast
974471.087187469,716858.630894482,133,235,Outlet Direction,Yes,5207-00,5207,Wharton Brook,52,Quinnipiac,5,South Central Coast
966380.809404805,694098.214145064,134,290,Outlet Direction,Yes,5208-00,5208,Muddy River,52,Quinnipiac,5,South Central Coast
1075197.22989489,661950.356196806,135,170,Outlet Direction,Yes,5103-00,5103,Menunketesuck River,51,South Central Eastern Complex,5,South Central Coast
1098662.50776739,667353.133777067,136,180,Outlet Direction,Yes,5101-00,5101,Oyster River,51,South Central Eastern Complex,5,South Central Coast
1079044.4521873,662179.522733226,137,220,Outlet Direction,Yes,5102-00,5102,Patchogue River,51,South Central Eastern Complex,5,South Central Coast
925906.313910395,910499.093350306,138,45,Outlet Direction,Yes,4304-15,4304,Sandy Brook,43,Farmington,4,Connecticut
922994.274130806,936806.96625939,139,235,Outlet Direction,Yes,4301-00,4301,Slocum Brook,43,Farmington,4,Connecticut
951153.99635455,938091.688427478,140,205,Outlet Direction,Yes,4306-00,4306,Valley Brook,43,Farmington,4,Connecticut
949501.218820214,936925.021797553,141,135,Outlet Direction,Yes,4307-00,4307,Hubbard Brook,43,Farmington,4,Connecticut
990987.329745471,904633.354753733,142,125,Outlet Direction,Yes,4319-00,4319,West Branch Salmon Brook,43,Farmington,4,Connecticut
995140.107529134,896237.521807894,143,170,Outlet Direction,Yes,4320-00,4320,Salmon Brook,43,Farmington,4,Connecticut
915508.163118809,895744.466363564,144,90,Outlet Direction,Yes,4302-00,4302,Mad River,43,Farmington,4,Connecticut
933119.273893893,889397.243821815,145,90,Outlet Direction,Yes,4305-00,4305,Morgan Brook,43,Farmington,4,Connecticut
950577.607743561,862605.576932803,146,85,Outlet Direction,Yes,4310-00,4310,Nepaug River,43,Farmington,4,Connecticut
921231.334415227,914636.852135137,147,55,Outlet Direction,Yes,4303-00,4303,Still River,43,Farmington,4,Connecticut
944292.885076806,877619.466196314,148,180,Outlet Direction,Yes,4308-00,4308,East Branch Farmington River,43,Farmington,4,Connecticut
951513.371620059,866218.424693972,149,215,Outlet Direction,Yes,4309-00,4309,Cherry Brook,43,Farmington,4,Connecticut
951706.079896048,845841.688216567,150,80,Outlet Direction,Yes,4311-00,4311,Burlington Brook,43,Farmington,4,Connecticut
978897.051760718,841529.188311398,151,105,Outlet Direction,Yes,4316-00,4316,Thompson Brook,43,Farmington,4,Connecticut
964438.71814464,837834.743600562,152,200,Outlet Direction,Yes,4312-00,4312,Roaring Brook,43,Farmington,4,Connecticut
979535.940902889,859890.299226895,153,110,Outlet Direction,Yes,4317-00,4317,Nod Brook,43,Farmington,4,Connecticut
985772.051790223,877709.743902892,154,120,Outlet Direction,Yes,4318-06,4318,Hop Brook,43,Farmington,4,Connecticut
1030112.32957931,872244.466119558,155,80,Outlet Direction,Yes,4321-00,4321,Mill Brook,43,Farmington,4,Connecticut
930718.242606714,810387.471395478,156,170,Outlet Direction,Yes,4313-00,4313,Poland River,43,Farmington,4,Connecticut
957204.353676394,806824.971630722,157,170,Outlet Direction,Yes,4314-00,4314,Copper Mine Brook,43,Farmington,4,Connecticut
974919.631237894,822220.804684147,158,65,Outlet Direction,Yes,4315-00,4315,Pequabuck River,43,Farmington,4,Connecticut
1032002.96490563,869373.582425639,159,160,Outlet Direction,Yes,4300-00,4300,Farmington River,43,Farmington,4,Connecticut
1024203.14257881,917117.118500054,160,150,Outlet Direction,Yes,4101-00,4101,Muddy Brook,41,Stony Brook,4,Connecticut
1035178.83683471,909851.493595645,161,115,Outlet Direction,Yes,4100-00,4100,Stony Brook,41,Stony Brook,4,Connecticut
997248.031462893,813390.323657483,162,135,Outlet Direction,Yes,4401-00,4401,Bass Brook,44,Park,4,Connecticut
1013790.70146146,838764.003881142,163,170,Outlet Direction,Yes,4404-00,4404,North Branch Park River,44,Park,4,Connecticut
1007201.05289538,827683.76259023,164,165,Outlet Direction,Yes,4403-00,4403,Trout Brook,44,Park,4,Connecticut
1006864.81636314,826395.763853893,165,45,Outlet Direction,Yes,4402-00,4402,Piper Brook,44,Park,4,Connecticut
1022292.18511464,837908.954410151,166,90,Outlet Direction,Yes,4400-00,4400,Park River,44,Park,4,Connecticut
1017580.25949913,735025.460046306,167,300,Outlet Direction,Yes,4605-00,4605,Allyn Brook,46,Mattabesset,4,Connecticut
1013150.60333222,738896.213131562,168,35,Outlet Direction,Yes,4606-00,4606,Sawmill Brook,46,Mattabesset,4,Connecticut
1023706.15866464,770444.824574888,169,40,Outlet Direction,Yes,4607-00,4607,Coginchaug River,46,Mattabesset,4,Connecticut
1009463.10316131,779243.435586557,170,35,Outlet Direction,Yes,4604-00,4604,Sawmill Brook,46,Mattabesset,4,Connecticut
998053.380902052,788035.1023864,171,0,Outlet Direction,Yes,4601-00,4601,Belcher Brook,46,Mattabesset,4,Connecticut
1000567.26990314,793507.324709639,172,150,Outlet Direction,Yes,4602-00,4602,Willow Brook,46,Mattabesset,4,Connecticut
1002518.65871689,793868.435535982,173,180,Outlet Direction,Yes,4603-00,4603,Webster Brook,46,Mattabesset,4,Connecticut
1026136.71417098,771972.60235922,174,160,Outlet Direction,Yes,4600-00,4600,Mattabesset River,46,Mattabesset,4,Connecticut
1076881.82527897,931307.011051983,175,155,Outlet Direction,Yes,4201-00,4201,Watchaug Brook,42,Scantic,4,Connecticut
1157729.84730963,884548.16132839,176,75,Outlet Direction,Yes,3206-02,3206,Mount Hope River,32,Natchaug,3,Thames
1159604.84716855,881256.4946834,177,90,Outlet Direction,Yes,3206-07,3206,Mount Hope River,32,Natchaug,3,Thames
1160834.01367347,882673.161469474,178,190,Outlet Direction,Yes,3206-03,3206,Mount Hope River,32,Natchaug,3,Thames
1160854.84696513,884902.328270972,179,230,Outlet Direction,Yes,3206-06,3206,Mount Hope River,32,Natchaug,3,Thames
1161188.18061605,880756.49469915,180,230,Outlet Direction,Yes,3206-08,3206,Mount Hope River,32,Natchaug,3,Thames
1161750.68047531,876193.994637817,181,260,Outlet Direction,Yes,3206-09,3206,Mount Hope River,32,Natchaug,3,Thames
1159459.0137988,869923.16137898,182,290,Outlet Direction,Yes,3206-10,3206,Mount Hope River,32,Natchaug,3,Thames
1159563.18058522,863068.99464114,183,270,Outlet Direction,Yes,3206-11,3206,Mount Hope River,32,Natchaug,3,Thames
1157042.34704421,862110.661255971,184,120,Outlet Direction,Yes,3206-12,3206,Mount Hope River,32,Natchaug,3,Thames
1159313.18042906,859631.494626388,185,205,Outlet Direction,Yes,3206-13,3206,Mount Hope River,32,Natchaug,3,Thames
1124604.32333772,908999.921807975,186,285,Outlet Direction,Yes,3100-02,3100,Willimantic River,31,Willimantic,3,Thames
1122333.48995289,907791.58859472,187,260,Outlet Direction,Yes,3100-01,3100,Willimantic River,31,Willimantic,3,Thames
1115125.15660055,899312.421826065,188,90,Outlet Direction,Yes,3100-04,3100,Willimantic River,31,Willimantic,3,Thames
1119604.32316713,898041.588409722,189,90,Outlet Direction,Yes,3100-03,3100,Willimantic River,31,Willimantic,3,Thames
1122104.32308839,887145.755214557,190,150,Outlet Direction,Yes,3100-05,3100,Willimantic River,31,Willimantic,3,Thames
1120750.15650539,885541.588475391,191,125,Outlet Direction,Yes,3100-06,3100,Willimantic River,31,Willimantic,3,Thames
1119541.82329214,881604.08847639,192,150,Outlet Direction,Yes,3100-07,3100,Willimantic River,31,Willimantic,3,Thames
1118812.65644339,878749.92194064,193,80,Outlet Direction,Yes,3100-08,3100,Willimantic River,31,Willimantic,3,Thames
1119062.65659955,874624.921660483,194,90,Outlet Direction,Yes,3100-09,3100,Willimantic River,31,Willimantic,3,Thames
1124041.82315038,873104.088416055,195,250,Outlet Direction,Yes,3100-10,3100,Willimantic River,31,Willimantic,3,Thames
1119208.4899693,870020.755015805,196,110,Outlet Direction,Yes,3100-12,3100,Willimantic River,31,Willimantic,3,Thames
1118854.32335481,865499.921865895,197,110,Outlet Direction,Yes,3100-13,3100,Willimantic River,31,Willimantic,3,Thames
1122000.15663005,872270.755108982,198,235,Outlet Direction,Yes,3100-11,3100,Willimantic River,31,Willimantic,3,Thames
1126645.98985806,857020.755097225,199,150,Outlet Direction,Yes,3100-18,3100,Willimantic River,31,Willimantic,3,Thames
1117500.15644372,859312.421773732,200,110,Outlet Direction,Yes,3100-14,3100,Willimantic River,31,Willimantic,3,Thames
1124166.82322846,851666.588640228,201,180,Outlet Direction,Yes,3100-16,3100,Willimantic River,31,Willimantic,3,Thames
1118875.15664648,852895.755145147,202,100,Outlet Direction,Yes,3100-15,3100,Willimantic River,31,Willimantic,3,Thames
1130979.32338297,850312.421729147,203,270,Outlet Direction,Yes,3100-20,3100,Willimantic River,31,Willimantic,3,Thames
1128291.82318056,847562.421651721,204,215,Outlet Direction,Yes,3100-19,3100,Willimantic River,31,Willimantic,3,Thames
1125687.65680097,851104.088452891,205,210,Outlet Direction,Yes,3100-17,3100,Willimantic River,31,Willimantic,3,Thames
1129708.48996663,845104.088313803,206,230,Outlet Direction,Yes,3100-22,3100,Willimantic River,31,Willimantic,3,Thames
1130833.49001323,842458.255022809,207,240,Outlet Direction,Yes,3100-23,3100,Willimantic River,31,Willimantic,3,Thames
1127520.99007656,845916.588657305,208,125,Outlet Direction,Yes,3100-21,3100,Willimantic River,31,Willimantic,3,Thames
1132187.65659621,838958.255133063,209,270,Outlet Direction,Yes,3100-24,3100,Willimantic River,31,Willimantic,3,Thames
1130604.32314873,832770.755040899,210,70,Outlet Direction,Yes,3100-25,3100,Willimantic River,31,Willimantic,3,Thames
1134208.48982489,830791.588723645,211,235,Outlet Direction,Yes,3100-26,3100,Willimantic River,31,Willimantic,3,Thames
1151083.48986746,821458.255028144,212,120,Outlet Direction,Yes,3100-00,3100,Willimantic River,31,Willimantic,3,Thames
807879.054886639,907625.417339146,213,170,Outlet Direction,Yes,6301-01,6301,Indian Lake Creek,63,Tenmile,6,Housatonic
810087.388068393,904333.750694141,214,315,Outlet Direction,Yes,6301-02,6301,Indian Lake Creek,63,Tenmile,6,Housatonic
1167285.34886789,858214.159534559,215,260,Outlet Direction,Yes,3204-01,3204,Stonehouse Brook,32,Natchaug,3,Thames
1190043.1593233,860468.628450811,216,165,Outlet Direction,Yes,3805-01,3805,Little River,38,Shetucket,3,Thames
1188147.32584463,855781.128639475,217,165,Outlet Direction,Yes,3805-02,3805,Little River,38,Shetucket,3,Thames
1193834.82595256,846031.128454477,218,245,Outlet Direction,Yes,3805-04,3805,Little River,38,Shetucket,3,Thames
1194605.65905656,844718.628454804,219,255,Outlet Direction,Yes,3805-05,3805,Little River,38,Shetucket,3,Thames
