222, 2014-280T17:48:21.692, 2014-280T19:21:08.621,-27.611, BAD / No data or processor fail
223, 2014-280T19:21:08.621, 2014-280T20:53:55.558,-51.19, BAD / No data or processor fail
224, 2014-280T20:53:55.558, 2014-280T22:26:43.558,-74.77, BAD / No data or processor fail
225, 2014-280T22:26:42.369, 2014-280T23:59:29.329,-98.355, BAD / No data or processor fail
226, 2014-280T23:59:29.568, 2014-281T01:32:16.540,-121.932, GOOD / High SNR
227, 2014-281T01:32:16.540, 2014-281T03:05:03.471,-145.511, GOOD / High SNR
228, 2014-281T03:05:03.471, 2014-281T04:37:51.471,-169.089, GOOD / High SNR
229, 2014-281T04:37:50.165, 2014-281T06:10:37.247,167.33, BAD / No data or processor fail
230, 2014-281T06:10:37.329, 2014-281T07:43:24.289,143.756, GOOD / High SNR
231, 2014-281T07:43:24.289, 2014-281T09:16:11.159,120.177, GOOD / High SNR
232, 2014-281T09:16:11.159, 2014-281T10:49:00.687,96.598, MARGINAL / Poor echo centering / High SNR
233, 2014-281T10:49:00.687, 2014-281T12:21:50.296,73.008, MARGINAL / Poor echo centering / High SNR
234, 2014-281T12:21:50.296, 2014-281T13:54:39.878,49.418, MARGINAL / Poor echo centering / High SNR
235, 2014-281T13:54:39.878, 2014-281T15:27:29.437,25.829, MARGINAL / Poor echo centering / High SNR
236, 2014-281T15:27:29.437, 2014-281T17:00:18.939,2.24, GOOD / High SNR
237, 2014-281T17:00:18.939, 2014-281T18:33:08.398,-21.349, MARGINAL / Poor echo centering / High SNR
238, 2014-281T18:33:08.398, 2014-281T20:05:57.847,-44.937, MARGINAL / Poor echo centering / High SNR
239, 2014-281T20:05:57.847, 2014-281T21:38:47.344,-68.528, MARGINAL / Poor echo centering / High SNR
240, 2014-281T21:38:47.344, 2014-281T23:11:36.885,-92.12, MARGINAL / Poor echo centering / High SNR
241, 2014-281T23:11:36.885, 2014-282T00:44:26.382,-115.711, MARGINAL / Poor echo centering / High SNR
242, 2014-282T00:44:26.382, 2014-282T02:17:15.842,-139.3, MARGINAL / Poor echo centering / High SNR
243, 2014-282T02:17:15.842, 2014-282T03:50:05.264,-162.888, MARGINAL / Poor echo centering / High SNR
