Votes,Prec. Count,Party,Dist. Type,Dist. Code,Contest Name,Cand. Num,Cand. Name,Vote For,Ref
10732,847,REP,,,Delegate to the National Convention 14TH DISTRICT,3,James C. Roddey,3,
3777,847,REP,,,Delegate to the National Convention 14TH DISTRICT,4,Melina Brajovic,3,
4721,847,REP,,,Delegate to the National Convention 14TH DISTRICT,5,C. Edward Pfeifer,3,
3629,847,REP,,,Delegate to the National Convention 14TH DISTRICT,6,Jared Yanovich,3,
6409,847,REP,,,Delegate to the National Convention 14TH DISTRICT,7,Melissa A. Haluszczak,3,
372,847,REP,,,Delegate to the National Convention 14TH DISTRICT,8,WRITE-IN,3,
3622,222,REP,,,Delegate to the National Convention 12TH DISTRICT,1,Stephen J. LaPorta,4,
5545,222,REP,,,Delegate to the National Convention 12TH DISTRICT,2,Jeannette Pavlick,4,
5158,222,REP,,,Delegate to the National Convention 12TH DISTRICT,3,Ann Wilson,4,
5487,222,REP,,,Delegate to the National Convention 12TH DISTRICT,4,Jill Cooper,4,
8747,222,REP,,,Delegate to the National Convention 12TH DISTRICT,5,Dave Majernik,4,
4532,222,REP,,,Delegate to the National Convention 12TH DISTRICT,6,Jane E. Gleason,4,
3252,222,REP,,,Delegate to the National Convention 12TH DISTRICT,7,Christopher H. Fromme,4,
9743,222,REP,,,Delegate to the National Convention 12TH DISTRICT,8,Lidia C. Turzai,4,
2911,222,REP,,,Delegate to the National Convention 12TH DISTRICT,9,Larry M. Borland,4,
5905,222,REP,,,Delegate to the National Convention 12TH DISTRICT,10,Mike McMullen,4,
495,222,REP,,,Delegate to the National Convention 12TH DISTRICT,11,WRITE-IN,4,
2389,251,REP,,,Delegate to the National Convention 18TH DISTRICT,1,Charles Steeber,4,
2758,251,REP,,,Delegate to the National Convention 18TH DISTRICT,2,Steven C. Morreale,4,
3026,251,REP,,,Delegate to the National Convention 18TH DISTRICT,3,Thomas J. Uram,4,
12022,251,REP,,,Delegate to the National Convention 18TH DISTRICT,4,Sue A. Means,4,
5717,251,REP,,,Delegate to the National Convention 18TH DISTRICT,5,Jim Means,4,
4837,251,REP,,,Delegate to the National Convention 18TH DISTRICT,6,Louis M. Oliverio,4,
2331,251,REP,,,Delegate to the National Convention 18TH DISTRICT,7,Meryl Hatton,4,
5702,251,REP,,,Delegate to the National Convention 18TH DISTRICT,8,Brian P. Dougherty,4,
2091,251,REP,,,Delegate to the National Convention 18TH DISTRICT,9,James Scott Garsteck,4,
3541,251,REP,,,Delegate to the National Convention 18TH DISTRICT,10,Sonia Marie Stopperich,4,
4667,251,REP,,,Delegate to the National Convention 18TH DISTRICT,11,Mary Jo A. Silvis,4,
5808,251,REP,,,Delegate to the National Convention 18TH DISTRICT,12,Jay R. Wells,4,
3119,251,REP,,,Delegate to the National Convention 18TH DISTRICT,13,Joseph DiSarro,4,
443,251,REP,,,Delegate to the National Convention 18TH DISTRICT,14,WRITE-IN,4,
9185,847,REP,,,Alternate Delegate to the Natl Conv 14TH DISTRICT,1,Andy Maul,3,
9770,847,REP,,,Alternate Delegate to the Natl Conv 14TH DISTRICT,2,James P. Sheets,3,
764,847,REP,,,Alternate Delegate to the Natl Conv 14TH DISTRICT,3,WRITE-IN,3,
10719,222,REP,,,Alternate Delegate to the Natl Conv 12TH DISTRICT,1,Sara Kennedy,4,
11020,222,REP,,,Alternate Delegate to the Natl Conv 12TH DISTRICT,2,Mike McMullen,4,
8303,222,REP,,,Alternate Delegate to the Natl Conv 12TH DISTRICT,3,Carol A. Pruchnic,4,
926,222,REP,,,Alternate Delegate to the Natl Conv 12TH DISTRICT,4,WRITE-IN,4,
5316,251,REP,,,Alternate Delegate to the Natl Conv 18TH DISTRICT,1,Gerry D. Geer,4,
4590,251,REP,,,Alternate Delegate to the Natl Conv 18TH DISTRICT,2,Barry F. Bartusiak,4,
6505,251,REP,,,Alternate Delegate to the Natl Conv 18TH DISTRICT,3,Sonia Marie Stopperich,4,
5581,251,REP,,,Alternate Delegate to the Natl Conv 18TH DISTRICT,4,Meryl Hatton,4,
6133,251,REP,,,Alternate Delegate to the Natl Conv 18TH DISTRICT,5,Thomas J. Uram,4,
4958,251,REP,,,Alternate Delegate to the Natl Conv 18TH DISTRICT,6,James Scott Garsteck,4,
7394,251,REP,,,Alternate Delegate to the Natl Conv 18TH DISTRICT,7,Louis M. Oliverio,4,
5228,251,REP,,,Alternate Delegate to the Natl Conv 18TH DISTRICT,8,Charles Steeber,4,
359,251,REP,,,Alternate Delegate to the Natl Conv 18TH DISTRICT,9,WRITE-IN,4,
216,1,REP,,,County Committeeman ALEPPO  (Prec-0001),1,Rodney W. Gartner,1,
3,1,REP,,,County Committeeman ALEPPO  (Prec-0001),2,WRITE-IN,1,
27,1,REP,,,County Committeeman BELLEVUE WARD 2 DIST 1  (Prec-0034),1,Joe Nolan,1,
23,1,REP,,,County Committeeman BELLEVUE WARD 2 DIST 1  (Prec-0034),2,"David M. Gillingham, Jr.",1,
0,1,REP,,,County Committeeman BELLEVUE WARD 2 DIST 1  (Prec-0034),3,WRITE-IN,1,
61,1,REP,,,County Committeeman BETHEL PARK WARD 1 DIST 1  (Prec-004,1,Joseph V. Melaragno,1,
1,1,REP,,,County Committeeman BETHEL PARK WARD 1 DIST 1  (Prec-004,2,WRITE-IN,1,
44,1,REP,,,County Committeeman BETHEL PARK WARD 1 DIST 2  (Prec-004,1,"Doyle Walter Young, III",1,
1,1,REP,,,County Committeeman BETHEL PARK WARD 1 DIST 2  (Prec-004,2,WRITE-IN,1,
125,1,REP,,,County Committeeman BETHEL PARK WARD 2 DIST 1  (Prec-004,1,Timothy Campbell,1,
2,1,REP,,,County Committeeman BETHEL PARK WARD 2 DIST 1  (Prec-004,2,WRITE-IN,1,
106,1,REP,,,County Committeeman BETHEL PARK WARD 2 DIST 2  (Prec-004,1,John Haddox,1,
0,1,REP,,,County Committeeman BETHEL PARK WARD 2 DIST 2  (Prec-004,2,WRITE-IN,1,
108,1,REP,,,County Committeeman BETHEL PARK WARD 3 DIST 2  (Prec-004,1,Jim Means,1,
1,1,REP,,,County Committeeman BETHEL PARK WARD 3 DIST 2  (Prec-004,2,WRITE-IN,1,
122,1,REP,,,County Committeeman BETHEL PARK WARD 3 DIST 3  (Prec-004,1,Anthony V. Dralle,1,
0,1,REP,,,County Committeeman BETHEL PARK WARD 3 DIST 3  (Prec-004,2,WRITE-IN,1,
17,1,REP,,,County Committeeman BETHEL PARK WARD 4 DIST 3  (Prec-005,1,Gary E. Graf,1,
71,1,REP,,,County Committeeman BETHEL PARK WARD 4 DIST 3  (Prec-005,2,Jay Wells,1,
0,1,REP,,,County Committeeman BETHEL PARK WARD 4 DIST 3  (Prec-005,3,WRITE-IN,1,
64,1,REP,,,County Committeeman BETHEL PARK WARD 5 DIST 1  (Prec-005,1,Ronald E. Werkmeister,1,
0,1,REP,,,County Committeeman BETHEL PARK WARD 5 DIST 1  (Prec-005,2,WRITE-IN,1,
119,1,REP,,,County Committeeman BETHEL PARK WARD 5 DIST 3  (Prec-005,1,"Matthew K. McKee, Jr.",1,
