Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
030918FVB_C6,42,TE,I,9013,313.67,206.98,39.0,1133.7,10200000.0,226.73,2040000.0,61.71,556000.0,476.42,4290000.0,235.38,2120000.0,
030918FVB_C6,43,TE,I,9742,338.62,248.06,38.781,1346.6,13100000.0,251.53,2450000.0,47.076,459000.0,498.59,4860000.0,300.33,2930000.0,
030918FVB_C6,44,TE,I,10143,133.43,296.47,42.452,1415.6,14400000.0,227.85,2310000.0,63.711,646000.0,500.32,5070000.0,274.71,2790000.0,
030918FVB_C6,45,ICM,I,13127,257.81,239.19,43.303,701.07,9200000.0,75.934,997000.0,95.973,1260000.0,550.31,7220000.0,349.8,4590000.0,
030918FVB_C6,46,TE,I,11972,244.56,303.12,43.864,1051.6,12600000.0,230.62,2760000.0,40.061,480000.0,535.85,6420000.0,314.66,3770000.0,
030918FVB_C6,47,ICM,I,3197,218.85,228.54,42.168,663.24,2120000.0,19.074,60978.0,384.59,1230000.0,489.87,1570000.0,117.53,376000.0,
030918FVB_C6,50,ICM,I,10335,229.23,265.85,46.281,659.86,6820000.0,22.575,233000.0,154.47,1600000.0,508.15,5250000.0,425.77,4400000.0,
030918FVB_C6,51,ICM,I,7928,180.5,301.04,46.514,674.31,5350000.0,46.368,368000.0,132.99,1050000.0,492.84,3910000.0,251.43,1990000.0,
030918FVB_C6,53,TE,I,10302,271.88,198.38,50.602,513.42,5290000.0,114.44,1180000.0,42.722,440000.0,515.98,5320000.0,165.43,1700000.0,
030918FVB_C6,54,TE,I,12806,121.39,213.79,48.171,684.01,8760000.0,165.3,2120000.0,51.211,656000.0,465.25,5960000.0,177.13,2270000.0,
030918FVB_C6,55,ICM,I,4669,159.61,209.25,47.117,666.77,3110000.0,20.311,94831.0,449.95,2100000.0,499.28,2330000.0,257.31,1200000.0,
030918FVB_C6,56,ICM,I,11988,199.5,203.94,50.055,565.62,6780000.0,21.214,254000.0,316.3,3790000.0,523.84,6280000.0,246.35,2950000.0,
030918FVB_C6,57,ICM,I,6975,150.41,254.68,48.799,466.53,3250000.0,21.508,150000.0,285.93,1990000.0,498.66,3480000.0,86.141,601000.0,
030918FVB_C6,58,TE,M,3862,289.23,301.73,47.72,1669.8,6450000.0,153.25,592000.0,26.213,101000.0,501.01,1930000.0,169.53,655000.0,
030918FVB_C6,59,TE,I,10194,308.05,232.34,52.651,750.85,7650000.0,83.734,854000.0,38.783,395000.0,560.71,5720000.0,98.531,1000000.0,
030918FVB_C6,60,TE,I,3863,285.02,271.3,51.569,655.23,2530000.0,137.78,532000.0,23.976,92621.0,529.07,2040000.0,172.57,667000.0,
030918FVB_C6,62,TE,I,11926,223.3,187.59,58.047,337.39,4020000.0,84.821,1010000.0,49.278,588000.0,524.5,6260000.0,117.47,1400000.0,
030918FVB_C6,63,ICM,I,4516,207.67,242.04,57.173,336.89,1520000.0,26.406,119000.0,80.029,361000.0,558.66,2520000.0,205.14,926000.0,
030918FVB_C6,64,TE,M,10984,246.72,295.84,58.523,741.71,8150000.0,48.324,531000.0,21.052,231000.0,521.39,5730000.0,63.886,702000.0,
030918FVB_C6,65,TE,I,13075,254.25,235.32,59.419,355.74,4650000.0,87.086,1140000.0,50.176,656000.0,496.65,6490000.0,156.48,2050000.0,
030918FVB_C6,66,TE,I,11443,169.08,244.69,61.629,266.94,3050000.0,73.998,847000.0,64.955,743000.0,527.65,6040000.0,108.02,1240000.0,
