X,Y,OBJECTID,TNF_LS_NO,SLIDE_NO,INVENTORY,CONFID_DAT,YR_INT_TYP,YR_OCCURANCE,LATEST_YEAR_NOTSEEN,FIRST_YEAR_SEEN,TREATMENT,RD_RELATED,STRM_IMPAC,PRED_COVER,COVER_SPP,COVER_PERCENT,FAIL_TYPE,VEG_CLASS,EXAMINER,SLOPE_PER,SLOPE_SHA,BDRK_F_ZON,PM_F_ZONE,LANDSLIDE_NAME,LANDWEHR_N,GROUPED_SL,RECURRANCE,NUMBER_
-132.817228407,55.527769478,39379,4306,T2254,TNB2,K10251993,2006P,1993,1991.0,1997,,N,N,BARE,PHAR3,20,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,25.0,,,
-132.83049323,55.556911111,39380,4307,T1500,TNB2,K10001993,2006P,1993,1991.0,1997,,N,Y,BARE,ALRU2,50,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,26.0,,,
-132.822692303,55.568842693,39381,4308,T1501,TNB2,K10251993,2006P,1993,1991.0,1997,,N,Y,BARE,ALRU2,25,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,27.0,,,
-132.824655874,55.556653016,39382,4309,T1502,TNB2,K10001993,2006P,1993,1991.0,1997,,N,Y,BATR,ALRU2,90,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,28.0,,,
-132.808247078,55.542206026,39383,4310,T1503,TNB2,K10001993,2006P,1993,1991.0,1997,,N,N,BARE,PHAR3,30,SOAR-DEAV-FLOW,PV,Dennis Landwehr,,,,,,29.0,,,
-132.816662482,55.542823995,39384,4311,T1504,TNB2,K10001993,2006P,1993,1991.0,1997,,N,N,BARE,CON1,40,SOAR-DEAV-FLOW,CO,Dennis Landwehr,,,,,,30.0,,,
-132.800736528,55.562295006,39385,4313,T1506,TNB2,K10251993,2006P,1993,1991.0,1997,,N,Y,BARE,,0,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,32.0,,,
-132.820622585,55.57061577,39386,4314,T1507,TNB2,K10251993,2006P,1993,1991.0,1997,,N,Y,BARE,ALRU2,10,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,33.0,,,
-132.786417656,55.566932788,39387,4315,T1508,TNB2,K10001993,2006P,1993,1991.0,1997,,N,Y,BARE,CON1,5,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,34.0,,,
-132.763522107,55.544250806,39388,4363,T2242,T08,E00001993,2006P,1993,1991.0,1997,,N,N,BARE,CON1,45,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.655684546,55.552442674,39389,4365,T1558,T08,E00001960,2006P,1960,1948.0,1971,,N,N,BATR,ALRU2,90,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.748521636,55.592334973,39390,4433,T1629,T09,E00001993,2006P,1993,1991.0,1997,,N,Y,BARE,ALRU2,10,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.759621637,55.557918041,39391,4434,T1630,T09,E00001994,2006P,1994,1991.0,1997,,N,Y,BARE,CON1,10,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.61528193,55.586115811,39392,4443,T1639,T09,E00001960,2006P,1960,1948.0,1971,,N,Y,BATR,ALRU2,90,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,Yes,
-132.657392057,55.582964476,39393,4444,T1640,T09,E00001960,2006P,1960,1948.0,1971,,N,Y,BATR,ALRU2,95,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,Yes,
-132.659115655,55.546460063,39394,4445,T1641,T09,E00001988,2006P,1988,1985.0,1991,,N,Y,BARE,ALRU2,10,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.639120234,55.547102572,39395,4446,T1642,T09,E00001960,2006P,1960,1948.0,1971,,N,N,BARE,ALRU2,35,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.415677138,55.627152693,39396,4451,T1647,T09,E00001994,2006P,1994,1991.0,1997,,N,N,BAGR,PHAR3,60,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.395086104,55.625209852,39397,4452,T1648,T09,E00002001,2006P,2001,1997.0,2005,,N,Y,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.393084349,55.623300303,39398,4453,T1649,T09,E00002001,2006P,2001,1997.0,2006,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.391251193,55.623064175,39399,4454,T1650,T09,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.399348339,55.618319741,39400,4455,T1651,T09,E00002001,2006P,2001,1997.0,2005,,N,Y,BARE,PHAR3,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.39777892,55.617880409,39401,4456,T1652,T09,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,PHAR3,40,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.397175603,55.617946638,39402,4457,T1653,T09,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,PHAR3,40,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.396644586,55.617569294,39403,4459,T1655,T09,E00002001,2006P,2001,1997.0,2005,,N,Y,BARE,PHAR3,20,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.394764435,55.618399274,39404,4460,T1656,T09,E00002001,2006P,2001,1997.0,2005,,Y,Y,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.403641164,55.617104862,39405,4467,T1663,T09,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.404514118,55.618585373,39406,4468,T1664,T09,E00002002,2006P,2002,1997.0,2005,,Y,N,BARE,ALRU2,25,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.405006311,55.613085727,39407,4469,T1665,T09,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,PHAR3,50,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.404557079,55.611885211,39408,4470,T1666,T09,E00002001,2006P,2001,1997.0,2005,,N,N,BAGR,PHAR3,65,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.393163378,55.614695666,39409,4474,T1670,T09,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.409099625,55.594017494,39410,4475,T1671,T09,E00002002,2006P,2002,1997.0,2006,,N,N,BAGR,PISI,75,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.411654026,55.592489027,39411,4476,T1672,T09,E00002002,2006P,2002,1997.0,2006,,N,N,BARE,PHAR3,50,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.407033097,55.593567841,39412,4477,T1673,T09,E00001993,2006P,1993,1991.0,1997,,N,N,BARE,CON1,5,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.405814523,55.590599325,39413,4478,T1674,T09,E00002002,2006P,2002,1997.0,2006,,Y,N,BARE,PHAR3,15,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.380263655,55.574972752,39414,4479,T1675,T09,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.926638765,55.502589061,39415,5513,C1099,T10,E00001988,2008P,1988,1985.0,1991,,N,Y,BARE,ALRU2,40,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.885201876,55.502924362,39416,5517,C1103,T10,E000-1948,2008P,-1948,,1948,,N,N,BARE,PHAR3,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.926692917,55.51610198,39417,5518,C1104,T10,E00001993,2008P,1993,1991.0,1998,,N,N,BATR,ALRU2,90,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.923645863,55.514652339,39418,5519,C1711,T10,E00002001,2006P,2001,1998.0,2005,,N,N,BATR,ALRU2,95,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.911389997,55.580581426,39419,5521,C1106,T10,E00001994,2006P,1994,1991.0,1997,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.694207348,55.63177612,39420,5858,T1767,T10,E00001988,2006P,1988,1985.0,1991,,N,N,BARE,ALRU2,25,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.531085513,55.632013987,39421,5863,T1772,T10,E00002001,2006P,2001,1997.0,2006,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.383651546,55.616976326,39422,6012,T1773,T10,E00002001,2006P,2001,1997.0,2005,,N,Y,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.352234985,55.587786434,39423,6013,T1774,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BEDR,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.351861269,55.587154014,39424,6014,T1775,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.352139374,55.586812711,39425,6015,T1776,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.361102256,55.566548711,39426,6017,T1778,T10,E00001978,2006P,1978,1971.0,1985,,N,Y,BARE,ALSI3,25,TRZO-DEFL-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.363149809,55.566401579,39427,6018,T1779,T10,E000-1948,2006P,-1948,,1948,,N,Y,BASH,ALSI3,85,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.328792679,55.564613316,39428,6019,T1780,T10,E00001960,2006P,1960,1948.0,1971,,N,N,BATR,PISI,90,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.322858203,55.569061026,39429,6020,T1781,T10,E00001994,2006P,1994,1991.0,1997,,N,N,BARE,,0,TRZO-DEFL-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.345883361,55.573950283,39430,6021,T1782,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,ALRU2,20,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.328793887,55.553220016,39431,6022,T1783,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.333667033,55.554551878,39432,6023,T1784,T10,E00001994,2006P,1994,1991.0,1997,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.328821799,55.556012701,39433,6011,T1785,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BARE,PHAR3,25,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.341843634,55.556041446,39434,6025,T1786,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.34426314,55.556793986,39435,6026,T1787,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.350407651,55.557248155,39436,6027,T1788,T10,E00001978,2006P,1978,1971.0,1985,,N,Y,BARE,ALRU2,25,TRZO-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.389154578,55.552414613,39437,6028,T1789,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.376741578,55.542035387,39438,6029,T1790,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.345815865,55.546836931,39439,6030,T1791,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BARE,,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.346501565,55.546371274,39440,6031,T1792,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.346745853,55.546168618,39441,6032,T1793,T10,E00002001,2006P,2001,1997.0,2005,,Y,Y,BARE,ALRU2,5,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.347430424,55.545610689,39442,6033,T1794,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BEDR,ALRU2,5,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.907692923,55.593191336,39443,5422,T1682,T10,E00001977,2006P,1977,1975.0,1979,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.908394016,55.594062565,39444,5423,T1927,T10,E00001977,2006P,1977,1975.0,1979,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
-132.924789434,55.628099123,39445,5424,C1018,T10,E00002001,2006P,2001,1997.0,2008,,N,N,BARE,CON1,35,TRZO-DEFL-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.926646561,55.633296399,39446,5425,C1019,T10,E00001988,2006P,1988,1985.0,1991,,N,Y,BATR,ALRU2,90,SOAR-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.927582667,55.633908974,39447,5426,C1020,T10,E00001988,2006P,1988,1985.0,1991,,N,N,BARE,CON1,50,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-133.075466387,55.633778636,39448,5449,C1034,T10,E00001988,2008P,1988,1985.0,1991,,N,Y,BARE,CON1,5,SOAR-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-133.023912838,55.605819125,39449,5441,C1035,T10,E00002006,2006P,2006,2005.0,2008,,Y,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.997144464,55.600316011,39450,5442,C1036,T10,E00002001,2006P,2001,1997.0,2005,,N,Y,BARE,CON1,30,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.997865514,55.599148265,39451,5443,C1037,T10,E00001988,2006P,1988,1985.0,1991,,Y,N,BATR,CON1,60,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.994291483,55.597906156,39452,5444,C1038,T10,E00001994,2006P,1994,1991.0,1997,,Y,Y,BAGR,PHAR3,90,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-133.028067918,55.590737734,39453,5445,C1039,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,ALRU2,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-133.149489028,55.559099529,39454,5446,C1040,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.999883977,55.545999159,39455,5447,C1041,T10,E00002001,2008P,2001,1997.0,2005,,N,N,BARE,CON1,10,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.914321106,55.579067042,39456,5450,C1045,T10,E00002001,2006P,2001,1997.0,2008,,N,N,BARE,ALRU2,50,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.91257819,55.578507511,39457,5451,C1046,T10,E00002001,2006P,2001,1997.0,2008,,N,N,BATR,ALRU2,70,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.881930414,55.565609469,39458,5459,C1049,T10,E00002001,2006P,2001,1997.0,2008,,N,N,BARE,ALRU2,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.912208867,55.576045851,39459,5462,C1052,T10,E00001978,2006P,1978,1971.0,1985,,N,Y,BATR,ALRU2,100,SOAR-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.90912819,55.574546743,39460,5463,C1054,T10,E00002001,2006P,2001,1997.0,2008,,N,Y,BATR,ALRU2,65,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.954023385,55.546018819,39461,5476,C1062,T10,E00001993,2006P,1993,1991.0,1997,,N,N,BARE,ALRU2,25,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.949526855,55.553033337,39462,5477,C1063,T10,E000-1948,2006P,-1948,,1948,,N,Y,BATR,CON1,80,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.939766225,55.554494862,39463,5483,C1069,T10,E000-1948,2006P,-1948,,1948,,N,N,BASH,ALSI3,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.93744109,55.554799853,39464,5484,C1070,T10,E000-1948,2006P,-1948,,1948,,N,N,BASH,ALSI3,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.936915199,55.555283316,39465,5485,C1071,T10,E000-1948,2006P,-1948,,1948,,N,N,BASH,ALSI3,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.935822989,55.556017539,39466,5486,C1072,T10,E000-1948,2006P,-1948,,1948,N,N,N,BASH,ALSI3,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.944323909,55.539973892,39467,5490,C1076,T10,E00002001,2008P,2001,1998.0,2005,,Y,N,BARE,ALRU2,40,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.943457648,55.539782677,39468,5491,C1077,T10,E00002001,2006P,2001,1998.0,2005,,Y,N,BATR,ALRU2,70,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.939955193,55.540589222,39469,5502,C1078,T10,E00002003,2006P,2003,1998.0,2008,,Y,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.933767733,55.538195762,39470,5495,C1081,T10,E00002001,2006P,2001,1998.0,2008,,N,N,BARE,ALRU2,50,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.955045135,55.543255954,39471,5496,C1082,T10,E00001993,2006P,1993,1991.0,1997,,N,N,BATR,ALRU2,95,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.931081586,55.536382745,39472,5498,C1084,T10,E00001993,2008P,1993,1992.0,1998,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.927739903,55.533956742,39473,5499,C1085,T10,E00001993,2008P,1993,1991.0,1998,,N,N,BATR,ALRU2,70,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.956140923,55.51833581,39474,5506,C1092,T10,E00001993,2008P,1993,1991.0,1997,,N,N,BARE,ALRU2,25,SOAR-DEAV-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.947568397,55.517751261,39475,5508,C1094,T10,E00001993,2006P,1993,1991.0,1997,,N,N,BARE,CON1,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.701249024,55.548482432,39476,5537,T1705,T10,E00001979,2006P,1979,1971.0,1985,,N,Y,BATR,ALRU2,60,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.729042421,55.537340914,39477,5538,T2241,T10,E00001960,2006P,1960,1948.0,1971,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.561548815,55.53055973,39478,5567,C1126,T10,E00002005,2006P,2005,2005.0,2006,,Y,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.63985104,55.51640311,39479,5569,T1720,T10,E000-1948,2006P,-1948,,1948,,N,N,BASH,ALSI3,95,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.419717722,55.628346756,39480,5577,T1721,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.34902768,55.542108877,39481,6037,T1796,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BARE,ALRU2,10,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.348753202,55.542450844,39482,6036,T1797,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BARE,ALRU2,5,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.310115696,55.544561252,39483,6038,T1799,T10,E00001994,2006P,1994,1991.0,1997,,N,N,BARE,ALRU2,50,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.311616028,55.544058855,39484,6039,T1800,T10,E00001994,2006P,1994,1991.0,1997,,N,N,BARE,ALRU2,35,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.305234314,55.53647025,39485,6040,T1801,T10,E00001994,2006P,1994,1991.0,1997,,N,N,BARE,CON1,10,SOAR-DEFL-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.355785793,55.621283189,39486,6076,T1804,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.308643451,55.533186494,39487,6077,T1805,T10,E00001981,2006P,1981,1971.0,1991,,N,N,BATR,ALRU2,60,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.357399378,55.533133149,39488,6079,T1807,T10,E00002001,2006P,2001,1997.0,2006,,N,Y,BARE,CON1,10,SOAR-DEFL-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.368600525,55.532563268,39489,6080,T1808,T10,E00002001,2006P,2001,1997.0,2005,,Y,Y,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.371048918,55.53115112,39490,6081,T1809,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.363832436,55.531174134,39491,6083,T1811,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.343227155,55.525955437,39492,6084,T1812,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.343233741,55.524780644,39493,6085,T1813,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,CON1,15,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.334190865,55.525645658,39494,6086,T1814,T10,E00001994,2006P,1995,1991.0,1997,,N,N,BARE,ALRU2,5,TRZO-DEFL-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.334091747,55.524011824,39495,6087,T1815,T10,E00002001,2006P,2001,1997.0,2005,,Y,N,BARE,CON1,5,SOAR-DEFL-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.327655372,55.51951133,39496,6088,T1816,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.23314377,55.507568156,39497,6089,T1817,T10,E00002001,2006P,2001,1997.0,2005,,N,Y,BARE,CON1,5,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.295732609,55.511489217,39498,6091,T1819,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,CON1,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.300713731,55.511252143,39499,6248,T1823,T10,E00002005,2006P,2005,2005.0,2006,,Y,N,BARE,CON1,5,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.302363912,55.513441233,39500,6249,T1824,T10,E00002001,2006P,2001,1997.0,2005,,N,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.30369134,55.512177215,39501,6250,T1825,T10,E00001994,2006P,1994,1991.0,1997,,Y,N,BARE,,0,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-133.710031222,55.547346853,39502,6314,C1740,T10,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.702625836,55.54995555,39503,6315,C1742,T10,E000-1948,2006P,-1948,,1948,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.652779711,55.540200421,39504,6317,C1744,T10,E00001978,2006P,1978,1971.0,1985,N,N,Y,BATR,ALRU2,100,SOAR-ROFA-COMP,AL,Darin Silkworth,,,,,,,,,
-133.678060486,55.54372777,39505,6318,C1745,T10,E00001978,2006P,1978,1972.0,1985,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.69120348,55.543874214,39506,6319,C1746,T10,E000-1948,2006P,-1948,,1948,N,N,Y,BATR,ALRU2,100,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.747278074,55.534577622,39507,6320,C1747,T10,E000-1948,2006P,-1948,,1948,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.727202715,55.53507373,39508,6321,C1748,T10,E000-1948,2006P,-1948,,1948,,N,N,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-133.672492171,55.530135027,39509,6324,C1751,T10,E00001960,2006P,1960,1948.0,1972,N,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.639798052,55.519840037,39510,6693,T1877,T10,E000-1948,2006P,-1948,,1948,,N,Y,BASH,ALSI3,95,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.663925099,55.534463603,39511,6695,T1879,T10,E00001960,2006P,1960,1948.0,1971,,N,N,BATR,ALRU2,95,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.664673448,55.535240033,39512,6696,T1880,T10,E000-1948,2006P,-1948,,1948,,N,Y,BATR,ALRU2,100,TRZO-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.665114352,55.540801565,39513,6699,T1883,T10,E000-1948,2006P,-1948,,1948,,N,Y,BATR,CON1,100,TRZO-DEFL-FLOW,CO,Darin Silkworth,,,,,,,,,
-132.685564449,55.532454882,39514,6713,T1885,T10,E000-1948,2006P,-1948,,1948,,N,Y,BATR,CON1,90,SOAR-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.688756407,55.538398647,39515,6714,T1886,T10,E000-1948,2006P,-1948,,1948,,N,Y,BATR,CON1,90,SOAR-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.694475842,55.540550991,39516,6715,T1887,T10,E00001960,2006P,1960,1948.0,1971,,N,Y,BATR,CON1,70,TRZO-DEFL-FLOW,AL,Becki Saari,,,,,,,,,
-132.696046481,55.541773774,39517,6716,T1888,T10,E000-1948,2006P,-1948,,1948,,N,N,BATR,CON1,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
