X,Y,OBJECTID,TNF_LS_NO,SLIDE_NO,INVENTORY,CONFID_DAT,YR_INT_TYP,YR_OCCURANCE,LATEST_YEAR_NOTSEEN,FIRST_YEAR_SEEN,TREATMENT,RD_RELATED,STRM_IMPAC,PRED_COVER,COVER_SPP,COVER_PERCENT,FAIL_TYPE,VEG_CLASS,EXAMINER,SLOPE_PER,SLOPE_SHA,BDRK_F_ZON,PM_F_ZONE,LANDSLIDE_NAME,LANDWEHR_N,GROUPED_SL,RECURRANCE,NUMBER_
-130.69221569,55.617913101,36253,14280,M2287,T17,E000-1948,1998P,-1948,,1948,N,N,N,BARE,CON1,15,SOAR-DEAV-FLOW,UN,Dennis Landwehr,,,,,,,,,
-132.777163601,55.302573019,36254,5628,C1182,T10,E00002001,2006P,2001,1997.0,2006,,Y,Y,BARE,ALRU2,20,SOAR-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,,
-132.770852864,55.303625255,36255,5629,C1183,T10,E00001994,2006P,1994,1991.0,1997,,N,N,BATR,ALRU2,75,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.736091305,55.303396215,36256,5632,C1186,T10,E00002001,2006P,2001,1997.0,2006,,Y,Y,BARE,ALRU2,10,SOAR-DEFL-FLOW,PV,Darin Silkworth,,,,,,,,Yes,
-132.576230886,55.303721108,36257,5693,C1246,T10,E00002001,2006P,2001,1997.0,2006,,Y,N,BARE,ALRU2,25,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.574984024,55.304179335,36258,5694,C1247,T10,E00002001,2006P,2001,1997.0,2006,,Y,N,BARE,ALRU2,10,SOAR-DEAV-FLOW,UN,Darin Silkworth,,,,,,,,,
-132.432406893,55.226834563,36259,6044,C1543,T10,E000-1948,2006P,-1948,,1948,,N,Y,BASH,ALSI3,90,SOAR-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.42698801,55.2282755,36260,6049,C1544,T10,E000-1948,2006P,-1948,,1948,,N,Y,BAGR,ALSI3,100,SOAR-DEFL-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.338359356,54.925302591,36261,6066,C1561,T10,E00001960,2005P,1960,1948.0,1971,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Darin Silkworth,,,,,,,,,
-132.339968408,54.955841206,36262,6068,C1563,T10,E00001960,2005P,1960,1948.0,1971,,N,Y,BATR,ALRU2,100,SOAR-DEAV-FLOW,AL,Dennis Landwehr,,,,,,,,,
