OBJECTID,DEF_FEATURE,COORD_SRC,ACCURACY_FT,SOURCE_LYR,ADMU_LNTYPE,GLOBALID,SHAPE_Length
124,RIDGE,SOURCEL,0.0,HUC5,RAB,{4753E5D2-0723-4453-BEDF-8A448ACA837C},0.240571415460995
125,RIDGE,SOURCEL,0.0,HUC5,RAB,{6958988A-889A-4671-B44B-2729DE72472E},0.175084206800631
126,RIDGE,SOURCEL,0.0,HUC5,RAB,{EC515260-4D18-4775-AE27-13A7A345A13A},0.224432515719571
127,RIDGE,SOURCEL,0.0,HUC5,RAB,{0D1DFD75-475E-4CB5-8099-B5C472B07F5A},0.0009836745294448
128,RIDGE,SOURCEL,0.0,HUC5,RAB,{301B1996-0213-41E7-8F9D-D76EEC5E5AE0},0.849028663699377
129,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{E7A72EC6-3271-4173-90F8-D61CA8CBF0D8},0.411518258586885
130,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,RAB,{B36801AB-BD31-45E8-A979-121A2AB3089D},0.55056669194763
131,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,RAB,{00A933A9-84F1-4E2C-83B8-F72878A071C1},1.44071859033723
132,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,RAB,{B3F8DB0C-F79E-4447-9794-FBDE900123CA},1.22143674666843
133,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,RAB,{00B8B6BD-6B76-475E-9B42-A5124972996F},0.166678065957086
134,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{2F1E7CD1-2568-497D-828F-BB5813F63650},0.104177246042597
135,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{41B27E5C-265D-4CFD-9F69-0A7CD7B187F4},0.297324130094783
136,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,RAB,{415B53B2-55AC-4A3C-9F93-05E89D242548},2.17397928508286
137,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{F4E375EB-2688-41C6-869B-5A78E1636BFA},0.211435764000105
138,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{34BF18FD-3CE5-4E16-83E8-3833B3341D22},0.0068078146779293
139,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{410BF526-24BD-4A9F-B3B5-0A5B6FA2A4A6},0.0086245626646645
140,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{98B2EB5D-A472-48F0-8654-08C1BC0D71DC},0.0158810790620609
141,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{0FA4D5CE-419A-40F4-8259-EF2F962B7161},0.703447708510929
142,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,RAB,{D782E0F1-2249-49FE-982A-719520AEAD9B},0.0399755578679074
143,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{6F438983-172B-4A54-AA15-F5D8E59F334F},0.0101260200769552
144,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,DOB,{D803DCCB-7897-47DE-B0C5-10F0DB2C1353},0.632901630205313
145,SUBDIVISION,CADNSDI,0.0,PLSSIntersected,RAB,{A4864034-10A8-4B14-A2DA-CEAB6AB6CB65},0.0718640688613615
146,SUBDIVISION,SOURCEL,0.0,PLSSIntersected,RAB,{DDE4274C-E9FB-4E53-9298-5EA35A55EC74},0.127120331004947
