OBJECTID,cons_pct,bldg_dens,avg_parcsz,pop_chg,threatF1,threatF2,threatF3,threatF4,threat,ThreatF5,F1rcl,F1raw,F2rcl,F2raw,F3rcl,F3raw,F4rcl,F4raw,F5rcl,F5raw,F6rcl,F6raw,F7rcl,F7raw,F8rcl,F8raw,F9rcl,F9raw,F10rcl,F10raw,F11rcl,F11raw,Fwght,Fwghtrcl,threatrcl,ACRES,Shapearea,Shapelen
3583,0.0,4.76168012,27.53779983,2.32048988,9,7,9,1,7.0,9,10,10.35079956,5,0.89121718,0,0,0,0.0,3,431.81635528,9,0.01081941,7,0.41772387,4,1.55800027,9,3.0,7,5.32196609,0,0,4.7,6,7,431.81635884,1747505.795102,8450.37077689907
3584,0.0,26.5,19.98940086,5.54979991,2,5,7,1,5.0,10,7,34.90000152,2,0.1594208,1,1,0,0.0,1,26.31820705,10,0.0,0,0.0,0,0.0,0,0.15,0,0.0,0,0,2.5,3,5,26.31820398,106506.41885435,1484.99053342197
3585,0.0,9.40740966,18.56259918,7.46462011,6,5,6,1,3.8,1,8,20.84469985,1,0.1010646,0,0,0,0.0,1,48.25818786,1,1.54900138,6,0.30523317,7,8.16673848,9,3.0,8,8.16673848,0,0,3.05,3,4,48.25818864,195294.74182036,3840.09771748373
3586,0.62619287,16.72699928,17.82279968,5.51338005,4,4,7,2,4.0,3,6,41.89459991,8,11.41842139,1,1,6,41.1102644,7,6902.55375657,3,0.72899627,5,0.23501881,4,1.32265395,9,3.0,5,3.18989648,0,0,5.2,6,4,6902.55366816,27933755.3778551,115364.7759585
3587,0.0,10.74020004,24.05660057,5.72056007,5,6,7,1,4.2,2,9,15.57400035,6,1.20195071,0,0,7,55.30827458,5,2451.63099048,2,0.95476685,3,0.08582041,3,0.84283483,9,3.0,5,3.37162649,0,0,4.95,6,4,2451.6309989,9921438.33898258,30504.8929737314
3588,0.0,21.34480094,19.98940086,5.54979991,3,5,7,1,5.2,10,9,18.80590057,4,0.36610311,0,0,0,0.0,2,174.81365609,10,0.0,4,0.08998152,7,7.6752585,0,0.0,6,3.89937499,0,0,3.9,5,5,174.81366324,707448.6256272,4667.58468175774
3589,0.0,8.71594047,30.46039962,5.26551008,7,8,7,1,5.6,5,9,16.7425003,4,0.33927783,0,0,5,37.40149846,4,692.02842307,5,0.37029692,8,0.72862614,4,1.20165584,9,3.0,5,3.25452528,0,0,4.9,6,6,692.02841973,2800550.85709314,12375.725926079
3590,8.48526376,3.98011994,33.62990188,3.97738003,10,8,8,4,6.6,3,10,0.57133799,5,0.97092927,3,4,9,76.31868981,8,18523.32048,3,0.60621528,6,0.33159389,4,1.28511138,9,3.0,5,3.17226925,0,0,6.35,8,7,18523.32045989,74961518.2130936,108000.554388562
3591,84.6637607,5.94865989,16.81660079,6.10660982,8,4,7,10,6.8,5,10,0.34175199,7,2.66731534,7,39,10,88.0560187,10,50886.8548229,5,0.36116643,7,0.5655262,6,3.22511246,9,3.0,5,3.41302445,4,55,7.95,10,7,50886.85479596,205932618.876475,158904.478209801
3592,0.0,10.1999998,30.46039962,5.26551008,6,8,7,1,6.4,10,10,13.14480018,1,0.08987302,5,8,0,0.0,1,64.62556804,10,0.0,0,0.0,8,12.18898377,9,3.0,10,74.53149188,0,0,4.6,6,6,64.62556626,261531.43399797,4719.80469531353
3593,0.0,11.8519001,30.46039962,5.26551008,5,8,7,1,4.4,1,8,21.90439987,1,0.02742601,0,0,0,0.0,1,55.94111509,1,1.39232119,0,0.0,0,0.0,9,3.0,0,0.0,0,0,2.0,2,4,55.94111999,226386.58626816,2006.25140106393
3594,0.0,11.13640022,30.46039962,5.26551008,5,8,7,1,5.6,7,9,20.29420089,3,0.19228327,0,0,0,0.0,3,392.20214004,7,0.11879588,4,0.08936718,7,6.57778154,9,3.0,8,9.04855847,0,0,4.2,5,6,392.20212321,1587192.0299496,9864.37446360049
3595,0.0,15.24590015,19.98940086,5.54979991,4,5,7,1,5.0,8,8,22.52669906,3,0.25399836,0,0,0,0.0,2,121.28381543,8,0.09181769,7,0.47846449,2,0.17421945,9,2.92817997,8,9.3337433,0,0,3.9,5,5,121.28380976,490820.12774036,6563.15149883078
3596,20.18413401,7.89506006,25.72100067,6.62919998,7,7,6,7,6.0,3,10,1.71680998,6,1.92719433,5,11,7,55.32924769,6,3930.9177165,3,0.70754775,9,2.2737235,7,5.49112231,9,3.0,7,5.85552831,0,0,6.45,8,6,3930.91771262,15907923.2228876,49389.2357790544
3597,0.0,11.5319004,18.56259918,7.46462011,5,5,6,1,4.0,3,9,14.89410018,5,0.54250755,0,0,0,0.0,1,89.56061843,3,0.64885661,0,0.0,6,4.70421048,9,3.0,6,4.70421048,0,0,3.35,4,4,89.56062264,362440.4306956,6223.24900070009
