OBJECTID,MODEL91,LINE91,FRAME91,YEAR,CAN_NBR91,FLGTDATE91,SCALE91,PRINTSAVAIL,SHAPEAREA,SHAPELEN
107,7008,7,8,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11775478.4022789,14304.2910157916
108,7007,7,7,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9427829.44440781,13315.1760615642
109,7006,7,6,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10626389.0922336,13865.7036843526
110,7005,7,5,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10835035.7401133,13987.2309140791
111,7004,7,4,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10908979.6304867,14070.7494552809
112,7003,7,3,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10630347.5993461,14023.6038686195
113,7002,7,2,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11408344.0356742,14423.0086600506
114,8048,8,48,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,13004202.7525781,15118.1222533003
115,8047,8,47,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11699276.5797742,13809.4447321086
116,8046,8,46,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9133396.08723125,12462.6821997053
117,8045,8,45,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9923731.35837031,12837.9693543807
118,8044,8,44,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9833982.18284531,12763.920957888
119,8043,8,43,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9845262.30415938,12748.4500708
120,8042,8,42,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9235604.65313984,12396.6928744062
121,8041,8,41,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,8973699.12697422,12237.7258550467
122,8040,8,40,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9684596.63608906,12634.9758693491
123,8039,8,39,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9423013.50324219,12521.4993914075
124,8038,8,38,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9311334.96157578,12526.269040319
125,8037,8,37,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,9635219.49948984,12762.6072885032
126,8036,8,36,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11011865.3461063,13517.9324337674
127,8035,8,35,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10684397.1964828,13408.0751920922
128,8034,8,34,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10385141.9984273,13329.329845273
129,8033,8,33,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11118950.1448633,13725.8089438159
130,8032,8,32,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12494380.8001281,14407.3012572426
131,8031,8,31,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12783455.2977867,14583.565358657
132,8030,8,30,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,10922693.5214547,13771.1478241459
133,8029,8,29,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11724911.880825,14161.0974310682
134,8028,8,28,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,12077085.7624555,14324.4805064605
135,8027,8,27,1991,2035,1991/04/16 00:00:00+00,1 in.=660 ft.,YES,11783180.5186125,14199.417869837
