OBJECTID,X,Y,CELL_A,KEYID,HEAT_DEATH,WS_B_APAVG,WS_B_APMIN,WS_B_APMAX,BASE_UHI,CC_FST_DEC,CC_FST_CON,CC_FST_MIX,CC_GRASS,CC_SHRUB,CC_PASTURE,CC_CROP,CC_BARREN,CC_IPV_RS,CC_IPV_NRS,CC_IPV_ST,CC_IPV_OTH,CC_IPV_AP,CC_IPV_WLW,CC_IPV_WL,CC_IPV_WTR,CM_FST_DEC,CM_FST_CON,CM_FST_MIX,CM_GRASS,CM_SHRUB,CM_PASTURE,CM_CROP,CM_BARREN,CM_IPV_RS,CM_IPV_NRS,CM_IPV_ST,CM_IPV_OTH,CM_IPV_AP,CM_IPV_WLW,CM_IPV_WL,CM_IPV_WTR,CS_FST_DEC,CS_FST_CON,CS_FST_MIX,CS_GRASS,CS_SHRUB,CS_PASTURE,CS_CROP,CS_BARREN,CS_IPV_RS,CS_IPV_NRS,CS_IPV_ST,CS_IPV_OTH,CS_IPV_AP,CS_IPV_WLW,CS_IPV_WL,CS_IPV_WTR,EE_FST_DEC,EE_FST_CON,EE_FST_MIX,EE_GRASS,EE_SHRUB,EE_PASTURE,EE_CROP,EE_BARREN,EE_IPV_RS,EE_IPV_NRS,EE_IPV_ST,EE_IPV_OTH,EE_IPV_AP,EE_IPV_WLW,EE_IPV_WL,EE_IPV_WTR,GN_FST_DEC,GN_FST_CON,GN_FST_MIX,GN_GRASS,GN_SHRUB,GN_PASTURE,GN_CROP,GN_BARREN,GN_IPV_RS,GN_IPV_NRS,GN_IPV_ST,GN_IPV_OTH,GN_IPV_AP,GN_IPV_WLW,GN_IPV_WL,GN_IPV_WTR,AV_COOL,AV_GREEN,AV_WASTE,AV_ALL,SHAPEAREA,SHAPELEN
3355,964560,-145680,230400,7415,0.0,78.894,71.536,86.078,0.0,0.329,0.0,0.0,0.0448,0.0,0.1989,0.0,0.0081,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.4172,0.329,0.0,0.0,0.0448,0.0,0.1989,0.0,0.0081,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.4172,0.329,0.0,0.0,0.0513,0.0,0.1989,0.0,0.0016,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.4172,0.329,0.0,0.0,0.0448,0.0,0.1989,0.0,0.0081,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.4172,0.329,0.0,0.0,0.0513,0.0,0.1989,0.0,0.0016,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.4172,0.0,0.0,0.0,0.0,2506520.54384219,6332.79785730507
3356,965040,-145680,230400,7416,0.0,78.943,70.75,86.278,0.0,0.137,0.0,0.0,0.0284,0.0,0.1398,0.0,0.005,0.0,0.0,0.0045,0.0264,0.0,0.0192,0.0,0.6397,0.137,0.0,0.0,0.0284,0.0,0.1398,0.0,0.005,0.0,0.0,0.0045,0.0264,0.0,0.0192,0.0,0.6397,0.1378,0.0,0.0,0.0324,0.0,0.1398,0.0,0.001,0.0,0.0,0.0037,0.0264,0.0,0.0192,0.0,0.6397,0.137,0.0,0.0,0.0284,0.0,0.1398,0.0,0.005,0.0,0.0,0.0045,0.0264,0.0,0.0192,0.0,0.6397,0.1378,0.0,0.0,0.0324,0.0,0.1398,0.0,0.001,0.0,0.0,0.0037,0.0264,0.0,0.0192,0.0,0.6397,0.0,0.0,0.0,0.0,2506522.21433672,6332.79996758108
3357,965520,-145680,230400,7417,0.0,77.486,66.102,88.483,0.0,0.4006,0.0,0.0,0.1418,0.0,0.353,0.0,0.0254,0.0034,0.001,0.0247,0.0501,0.0,0.0,0.0,0.0,0.4006,0.0,0.0,0.1418,0.0,0.353,0.0,0.0254,0.0034,0.001,0.0247,0.0501,0.0,0.0,0.0,0.0,0.4086,0.0,0.0,0.1621,0.0,0.353,0.0,0.0051,0.0034,0.001,0.0167,0.0501,0.0,0.0,0.0,0.0,0.4006,0.0,0.0,0.1418,0.0,0.353,0.0,0.0254,0.0034,0.001,0.0247,0.0501,0.0,0.0,0.0,0.0,0.4086,0.0,0.0,0.1621,0.0,0.353,0.0,0.0051,0.0034,0.001,0.0167,0.0501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506519.68931953,6332.79677781616
3358,970800,-145680,230400,7428,0.0,76.967,66.15,87.862,0.0,0.4521,0.0,0.0,0.2305,0.0,0.0,0.0,0.0413,0.0002,0.0399,0.0411,0.1948,0.0,0.0,0.0,0.0,0.4521,0.0,0.0,0.2305,0.0,0.0,0.0,0.0413,0.0002,0.0399,0.0411,0.1948,0.0,0.0,0.0,0.0,0.456,0.0,0.0,0.2635,0.0,0.0,0.0,0.0083,0.0002,0.0399,0.0372,0.1948,0.0,0.0,0.0,0.0,0.4521,0.0,0.0,0.2305,0.0,0.0,0.0,0.0413,0.0002,0.0399,0.0411,0.1948,0.0,0.0,0.0,0.0,0.456,0.0,0.0,0.2635,0.0,0.0,0.0,0.0083,0.0002,0.0399,0.0372,0.1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506514.00987266,6332.78960316611
3359,971760,-145680,230400,7430,0.0,76.865,66.38,87.474,0.0,0.8991,0.0,0.0,0.0539,0.0,0.0,0.0,0.0094,0.0133,0.0,0.0065,0.0178,0.0,0.0,0.0,0.0,0.8991,0.0,0.0,0.0539,0.0,0.0,0.0,0.0094,0.0133,0.0,0.0065,0.0178,0.0,0.0,0.0,0.0,0.902,0.0,0.0,0.0614,0.0,0.0,0.0,0.0019,0.0133,0.0,0.0036,0.0178,0.0,0.0,0.0,0.0,0.8991,0.0,0.0,0.0539,0.0,0.0,0.0,0.0094,0.0133,0.0,0.0065,0.0178,0.0,0.0,0.0,0.0,0.902,0.0,0.0,0.0614,0.0,0.0,0.0,0.0019,0.0133,0.0,0.0036,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506512.31377734,6332.78746054577
3360,972240,-145680,230400,7431,0.0,76.813,66.44,87.407,0.0,0.7884,0.0,0.0,0.0902,0.0,0.0,0.0,0.0157,0.0274,0.0,0.0437,0.0345,0.0,0.0,0.0,0.0,0.7884,0.0,0.0,0.0902,0.0,0.0,0.0,0.0157,0.0274,0.0,0.0437,0.0345,0.0,0.0,0.0,0.0,0.8047,0.0,0.0,0.1028,0.0,0.0,0.0,0.0031,0.0274,0.0,0.0274,0.0345,0.0,0.0,0.0,0.0,0.7884,0.0,0.0,0.0902,0.0,0.0,0.0,0.0157,0.0274,0.0,0.0437,0.0345,0.0,0.0,0.0,0.0,0.8047,0.0,0.0,0.1028,0.0,0.0,0.0,0.0031,0.0274,0.0,0.0274,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506514.54968828,6332.79028509714
3361,972720,-145680,230400,7432,0.0,76.809,66.451,87.316,0.0,0.7718,0.0562,0.0,0.0598,0.0,0.0,0.0,0.0107,0.0201,0.0,0.0241,0.0225,0.0,0.0,0.0,0.0348,0.7718,0.0562,0.0,0.0598,0.0,0.0,0.0,0.0107,0.0201,0.0,0.0241,0.0225,0.0,0.0,0.0,0.0348,0.7805,0.0562,0.0,0.0684,0.0,0.0,0.0,0.0021,0.0201,0.0,0.0154,0.0225,0.0,0.0,0.0,0.0348,0.7718,0.0562,0.0,0.0598,0.0,0.0,0.0,0.0107,0.0201,0.0,0.0241,0.0225,0.0,0.0,0.0,0.0348,0.7805,0.0562,0.0,0.0684,0.0,0.0,0.0,0.0021,0.0201,0.0,0.0154,0.0225,0.0,0.0,0.0,0.0348,0.0,0.0,0.0,0.0,2506513.41896953,6332.78885669819
3362,973200,-145680,230400,7433,0.0,76.784,66.285,87.448,0.0,0.7087,0.031,0.0,0.1854,0.0,0.0,0.0,0.0333,0.0161,0.0,0.0097,0.0158,0.0,0.0,0.0,0.0,0.7087,0.031,0.0,0.1854,0.0,0.0,0.0,0.0333,0.0161,0.0,0.0097,0.0158,0.0,0.0,0.0,0.0,0.7127,0.031,0.0,0.212,0.0,0.0,0.0,0.0067,0.0161,0.0,0.0057,0.0158,0.0,0.0,0.0,0.0,0.7087,0.031,0.0,0.1854,0.0,0.0,0.0,0.0333,0.0161,0.0,0.0097,0.0158,0.0,0.0,0.0,0.0,0.7127,0.031,0.0,0.212,0.0,0.0,0.0,0.0067,0.0161,0.0,0.0057,0.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506510.894,6332.78566698831
3363,973680,-145680,230400,7434,0.0,76.797,65.785,87.572,0.0,0.8111,0.0312,0.0,0.067,0.0,0.0,0.0,0.0119,0.0197,0.0031,0.0258,0.0302,0.0,0.0,0.0,0.0,0.8111,0.0312,0.0,0.067,0.0,0.0,0.0,0.0119,0.0197,0.0031,0.0258,0.0302,0.0,0.0,0.0,0.0,0.8183,0.0312,0.0,0.0765,0.0,0.0,0.0,0.0024,0.0197,0.0031,0.0186,0.0302,0.0,0.0,0.0,0.0,0.8111,0.0312,0.0,0.067,0.0,0.0,0.0,0.0119,0.0197,0.0031,0.0258,0.0302,0.0,0.0,0.0,0.0,0.8183,0.0312,0.0,0.0765,0.0,0.0,0.0,0.0024,0.0197,0.0031,0.0186,0.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506511.44660312,6332.78636507364
3364,974160,-145680,230400,7435,0.0,76.781,65.51,87.615,0.0,0.9007,0.0025,0.0,0.0356,0.0,0.0,0.0,0.0062,0.018,0.0007,0.0175,0.0188,0.0,0.0,0.0,0.0,0.9007,0.0025,0.0,0.0356,0.0,0.0,0.0,0.0062,0.018,0.0007,0.0175,0.0188,0.0,0.0,0.0,0.0,0.908,0.0025,0.0,0.0406,0.0,0.0,0.0,0.0012,0.018,0.0007,0.0102,0.0188,0.0,0.0,0.0,0.0,0.9007,0.0025,0.0,0.0356,0.0,0.0,0.0,0.0062,0.018,0.0007,0.0175,0.0188,0.0,0.0,0.0,0.0,0.908,0.0025,0.0,0.0406,0.0,0.0,0.0,0.0012,0.018,0.0007,0.0102,0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506510.03959766,6332.78458764932
