ObjectId,Street_,Dir,Post_Dir,Street,Type_,Loc,Zip,Council,Neighborhood,Referred,Down___Clear
84,1317,,,Earl,Ave,Entire,,,,,2007/05/24 03:59:59+00
85,2024,,,Pirtle,St,Entire,,,,,2007/05/24 03:59:59+00
86,2523,,,Elliott,Ave,Entire,,,,,2007/05/29 03:59:59+00
87,2436,,,Elliott,Ave,Entire,,,,,2007/05/30 03:59:59+00
88,2308,,,Elmore,St,Entire,,,,,2007/05/31 03:59:59+00
89,6722,,,Elmwood,St,Entire,,,,,2007/06/04 03:59:59+00
90,603,,,Finzer,St,Entire,,,,,2007/06/04 03:59:59+00
91,1633,,,Fulton,St,Entire,,,,,2007/06/05 03:59:59+00
92,1533,,,Gallagher,St,Entire,,,,,2007/06/05 03:59:59+00
93,1700,,,Gallagher,St,Entire,,,,,2007/06/05 03:59:59+00
94,1711,,,Gallagher,St,Entire,,,,,2007/06/05 03:59:59+00
95,4026,,,Muhammad Ali,,Entire,,,,,2007/06/05 03:59:59+00
96,514,E,,Ormsby,Ave,Entire,,,,,2005/10/14 03:59:59+00
97,1525,,,Garland,Ave,Entire,,,,,2007/06/12 03:59:59+00
98,2204,,,Garland,Ave,Entire,,,,,2007/06/21 03:59:59+00
99,2537,,,Garland,Ave,Entire,,,,,2007/06/26 03:59:59+00
100,2601,,,Garland,Ave,Entire,,,,,2007/06/28 03:59:59+00
101,1717,W,,Gaulbert,Ave,Entire,,,,,2007/06/28 03:59:59+00
102,642,S,,27th,St,Entire,,,,,2005/10/18 03:59:59+00
103,444,E,,Oak,St,Entire,,,,,2005/11/03 05:00:00+00
104,4608,E,,Overbrook,Dr,Entire,,,,,2005/11/07 05:00:00+00
105,933,,,Mary ,St,Entire,,,,,2005/11/30 05:00:00+00
106,662,S,,27th,St,Entire,,,,,2005/12/07 05:00:00+00
107,536,S,,28th,St,Entire,,,,,2005/12/09 05:00:00+00
108,2016,W,,Market,St,Entire,,,,,2005/12/13 05:00:00+00
109,4128,,,Wilshire,Ave,Entire,,,,,2005/12/15 05:00:00+00
110,1715,,,Prentice,St,Entire,,,,,2005/12/16 05:00:00+00
111,4210,,,Wilmoth,Ave,Entire,,,,,2005/12/29 05:00:00+00
112,827,S,,28th,St,Entire,,,,,2006/01/05 05:00:00+00
113,609,N,,31st,St,Entire,,,,,2006/01/09 05:00:00+00
114,612,N,,31st,St,Entire,,,,,2006/01/13 05:00:00+00
115,734,S,,32nd,St,Entire,,,,,2006/01/23 05:00:00+00
116,804,S,,32nd,St,Entire,,,,,2006/01/23 05:00:00+00
117,831,S,,32nd,St,Entire,,,,,2006/01/26 05:00:00+00
118,1529,S,,32nd,St,Entire,,,,,2006/01/30 05:00:00+00
119,819,S ,,33rd,St,Entire,,,,,2006/01/31 05:00:00+00
120,323,N,,34th,St,Entire,,,,,2006/02/06 05:00:00+00
121,1711,,,Prentice,St,Entire,,,,,2006/02/06 05:00:00+00
122,713,S,,34th,ST,Entire,,,,,2006/02/24 05:00:00+00
123,813,S,,34th,St,Entire,,,,,2006/02/24 05:00:00+00
124,827,S,,34th,St,Entire,,,,,2006/02/24 05:00:00+00
125,309,N,,35th,St,Entire,,,,,2006/02/24 05:00:00+00
126,9403,,,New Maple,Rd,Entire,,,,,2006/02/24 05:00:00+00
127,671,S,,36th,St,Entire,,,,,2006/02/27 05:00:00+00
128,826,S,,37th,St,Entire,,,,,2006/02/27 05:00:00+00
129,1826,,,Northwestern,Pkwy,Entire,,,,,2006/02/27 05:00:00+00
130,614,S,,38th,St,Entire,,,,,2006/03/01 05:00:00+00
131,637,S,,39th,St,Entire,,,,,2006/03/09 05:00:00+00
132,639,S,,39th,St,Entire,,,,,2006/03/14 05:00:00+00
133,7724,,,3rd Street,Rd,Entire,,,,,2006/03/14 05:00:00+00
134,1039,S,,40th,St,Entire,,,,,2006/03/27 05:00:00+00
135,1457,,,Mellwood,Ave,Entire,,,,,2006/03/28 05:00:00+00
136,1207,S,,41st,St,Entire,,,,,2006/03/30 05:00:00+00
137,311,N,,44th,St,Entire,,,,,2006/03/30 05:00:00+00
138,1616,W,,Oak,St,Entire,,,,,2006/03/30 05:00:00+00
139,3017,,,River Park,Dr,Rear,,,,,2006/03/30 05:00:00+00
140,1432,S,,9th,St,Entire,,,,,2006/04/04 03:59:59+00
141,2108,,,Owen,St,Entire,,,,,2006/04/04 03:59:59+00
142,1460,S,,9th,St,Entire,,,,,2006/04/21 03:59:59+00
143,1102,,,Mulberry,St,Entire,,,,,2006/05/03 03:59:59+00
144,1448,S,,9th ,St,Entire,,,,,2006/05/08 03:59:59+00
145,2728,,,Alford,Ave,Entire,,,,,2006/05/11 03:59:59+00
146,1242,,,Algonquin,Pkwy,Entire,,,,,2006/05/19 03:59:59+00
147,500,,,Amy,Ave,Entire,,,,,2006/06/05 03:59:59+00
148,1511,,,Anderson,St,Entire,,,,,2006/06/19 03:59:59+00
149,1516,,,Anderson,St,Entire,,,,,2006/06/22 03:59:59+00
150,6603,,,Applegate,Ln,Entire,,,,,2006/06/22 03:59:59+00
151,117,N,,24th,St,Entire,,,,,2004/08/27 03:59:59+00
152,4609,E,,Overbrook,Dr,Entire,,,,,2004/08/27 03:59:59+00
153,224,S,,24th,St,Entire,,,,,2004/08/30 03:59:59+00
154,225,S,,24th,St,Entire,,,,,2004/08/30 03:59:59+00
155,2205,W,,Market,St,Entire,,,,,2004/08/30 03:59:59+00
156,316,N ,,24th,St,Entire,,,,,2004/08/31 03:59:59+00
157,1782,W,,Ormsby,Ave,Entire,,,,,2004/09/03 03:59:59+00
158,616,,,24th,St,Entire,,,,,2004/09/15 03:59:59+00
159,326 & 328,N,,24th,St,Entire,,,,,2004/09/15 03:59:59+00
160,5003,S,,Overbrook,Dr,Entire,,,,,2004/09/15 03:59:59+00
161,2010,,,Rowan,St,Entire,,,,,2004/09/15 03:59:59+00
162,725,S,,24th ,St,Entire,,,,,2004/09/16 03:59:59+00
163,337,N,,25th,St,Entire,,,,,2004/09/28 03:59:59+00
164,857,S,,25th,St,Entire,,,,,2004/09/29 03:59:59+00
165,3009,,,River Park,Dr,Entire,,,,,2004/10/20 03:59:59+00
166,858,S,,25th,St,Entire,,,,,2004/11/01 05:00:00+00
167,860,S,,25th,St,Entire,,,,,2004/11/01 05:00:00+00
168,212,N,,26th,St,Entire,,,,,2004/11/16 05:00:00+00
169,519,S,,26th,St,Entire,,,,,2004/12/22 05:00:00+00
170,666,S,,26th,St,Entire,,,,,2005/01/13 05:00:00+00
171,1338,S,,26th,St,Entire,,,,,2005/01/13 05:00:00+00
172,832,,,Marshall,St,Entire,,,,,2005/01/13 05:00:00+00
173,1825,,,Military,Ave,Entire,,,,,2005/01/14 05:00:00+00
174,1340,S,,26th,St,Entire,,,,,2005/02/02 05:00:00+00
175,1818,W,,Ormsby,Ave,Entire,,,,,2005/03/07 05:00:00+00
176,643,,,Mix,Ave,Entire,,,,,2005/03/08 05:00:00+00
177,1344,S,,26th,St,Entire,,,,,2005/03/18 05:00:00+00
178,1357,S,,26th,St,Entire,,,,,2005/03/19 05:00:00+00
179,1130-32,S,,26th,St,Entire,,,,,2005/03/29 05:00:00+00
180,913,,,Mary,St,Entire,,,,,2005/04/04 03:59:59+00
