X,Y,OBJECTID,STOPID,STOPABBR,STOPNAME,LON,LAT
1188461.44750001,273044.239999995,1290,3776,10885,Virginia @ 4202,-85.823646,38.239187
1188906.69625001,272993.657499999,1291,3777,10890,Winnrose @ Cecil,-85.822093,38.239069
1188987.375,273294.217500001,1292,3778,10895,Cecil @ Virginia,-85.82183,38.239898
1189070.2075,273805.258750007,1293,3779,10905,Cecil @ Hale,-85.821572,38.241305
1189119.11125,274129.306250006,1294,3780,10910,Cecil @ Sunset,-85.821421,38.242197
1189167.47125,274455.185000002,1295,3781,10915,Cecil @ Grand,-85.821272,38.243094
1189232.295,274803.363749996,1296,3782,10920,Cecil @ Greenwood,-85.821067,38.244053
1189564.05374999,274803.170000002,1297,3783,10925,Greenwood @ S 41st,-85.819912,38.244068
1189956.925,274748.398750007,1298,3784,10930,Greenwood @ S 40th,-85.818541,38.243936
1190312.935,274704.823750004,1299,3785,10935,Greenwood @ S 39th,-85.817299,38.243833
1190612.16875,274666.953749999,1300,3786,10940,Greenwood @ S 38th,-85.816255,38.243743
1191529.96250001,274535.174999997,1301,3787,10945,Greenwood @ S 36th,-85.813052,38.243424
1192641.2475,274396.511250004,1302,3788,10950,Greenwood @ S 34th,-85.809175,38.243095
1193451.78625,274291.018749997,1303,3789,10955,Greenwood @ S 32nd,-85.806347,38.242843
1193595.02124999,274744.233750001,1304,8631,10956,32nd @ Kentucky,-85.805875,38.244094
1193664.91125,275191.768749997,1305,8632,10957,32nd @ Garland,-85.805658,38.245326
1193701.82250001,276747.808750004,1306,8633,10958,32nd @ Broadway,-85.805621,38.2496
1209122.65000001,256516.951250002,1307,134,1097,Crittenden @ Dakota,-85.750782,38.194756
1195202.96250001,272012.810000002,1308,3790,10995,Dumesnil @ 28th,-85.800117,38.236669
1195474.83625001,271985.655000001,1309,3791,11000,Dumesnil @ Olive,-85.799169,38.236607
1195835.18625,271941.352500007,1310,3792,11005,Dumesnil @ Cypress,-85.797912,38.236502
1196371.97375,271866.048749998,1311,3793,11010,Dumesnil @ S 26th,-85.796039,38.23632
1196761.97375,272030.686250001,1312,3794,11015,Dumesnil @ S 25th,-85.794691,38.23679
1197319.42625,271971.444999993,1313,3795,11020,Dumesnil @ S 23rd,-85.792747,38.236653
1197939.105,271905.346249998,1314,3796,11025,Dumesnil @ S 22nd,-85.790586,38.2365
1198397.97125,271859.796250001,1315,3797,11030,Dumesnil @ S 21st,-85.788986,38.236396
1199016.77625,271827.246250004,1316,3799,11035,Dumesnil @ Dixie Highway,-85.78683,38.236335
1200263.065,271661.885000005,1317,3800,11040,Dumesnil @ S  17th,-85.782482,38.235938
1200581.06999999,271609.976249993,1318,3801,11045,Dumesnil @ S 16th,-85.781372,38.23581
1200924.27,271967.757499993,1319,3802,11050,W Oak @ 1503,-85.780198,38.236808
1201418.90125,271896.170000002,1320,3803,11055,W Oak @ S 15th,-85.778472,38.236634
1202442.36125,271753.186250001,1321,3804,11060,W Oak @ S 13th,-85.774901,38.236288
1202791.13124999,271720.097499996,1322,3805,11065,W Oak @ S 12th,-85.773685,38.236213
1203263.5325,271641.265000001,1323,3806,11070,W Oak @ S  11th,-85.772036,38.236018
1203764.395,271598.391249999,1324,3807,11075,W Oak @ S 10th,-85.77029,38.235923
1205225.60375001,271381.277500004,1325,3809,11085,W Oak @ S 7th,-85.765191,38.235393
1205631.92749999,271336.353750005,1326,3810,11090,W Oak @ S  6th,-85.763774,38.235288
1206129.27625,271271.366249993,1327,3811,11095,W Oak @ Garvin Place,-85.762039,38.235132
1209147.395,257647.424999997,1328,135,1110,Crittenden @ KFEC Gate 2,-85.75076,38.197861
1206700.01625,271179.689999998,1329,3812,11100,W Oak @ S 4th,-85.760047,38.234906
1207186.36624999,271126.921250001,1330,3814,11105,W Oak @ S 3rd,-85.758351,38.234783
