ObjectId,REQ_ID,Request_Date,person_premise,address1,zip,Activity_Date,ACTIVITY_TYPE_ID,Activity_Type_Desc
226,706669,2020/10/08 03:59:59+00,KHODIYAR FOOD MART,4903 POPLAR LEVEL RD,40219.0,2020/10/09 03:59:59+00,12,ENFORCEMENT ACTION
227,707102,2020/10/16 03:59:59+00,BIG O TIRES,4413 CANE RUN RD,40216.0,2020/10/17 03:59:59+00,12,ENFORCEMENT ACTION
228,707220,2020/09/21 03:59:59+00,BILLIARDS CLUB OF LOUISVILLE,5404 BARDSTOWN RD,40291.0,2020/10/10 03:59:59+00,12,ENFORCEMENT ACTION
229,707220,2020/09/21 03:59:59+00,BILLIARDS CLUB OF LOUISVILLE,5404 BARDSTOWN RD,40291.0,2020/10/16 03:59:59+00,12,ENFORCEMENT ACTION
230,707310,2020/10/21 03:59:59+00,THE DENNISON,4205 CANE RUN RD,40216.0,2020/10/24 03:59:59+00,12,ENFORCEMENT ACTION
231,707389,2020/10/21 03:59:59+00,FIESTA TIME MEXICAN GRILL,11320 MAPLE BROOK DR,40241.0,2020/10/23 03:59:59+00,12,ENFORCEMENT ACTION
232,707458,2020/10/23 03:59:59+00,LAUNDRY CONNECTION,1300 SOUTHGATE AVE,40215.0,2020/10/24 03:59:59+00,12,ENFORCEMENT ACTION
233,707482,2020/10/23 03:59:59+00,LAUNDRY CONNECTION,1300 SOUTHGATE AVE,40215.0,2020/10/24 03:59:59+00,12,ENFORCEMENT ACTION
234,710122,2020/11/23 05:00:00+00,TORAZO MEXICAN RESTAURANT,1850 S HURSTBOURNE PKWY,40220.0,2020/11/23 05:00:00+00,12,ENFORCEMENT ACTION
235,710131,2020/11/23 05:00:00+00,WHITE CASTLE #17,3705 BARDSTOWN RD,40218.0,2020/11/23 05:00:00+00,12,ENFORCEMENT ACTION
236,710140,2020/11/23 05:00:00+00,PENN STATION,2204 HEATHER LN,40218.0,2020/11/23 05:00:00+00,12,ENFORCEMENT ACTION
237,710219,2020/11/20 05:00:00+00,COOL BREEZE VAPORS,4120 OUTER LOOP,,2020/11/20 05:00:00+00,12,ENFORCEMENT ACTION
238,710269,2020/11/24 05:00:00+00,HITCHING POST INN,7314 FEGENBUSH LN,40228.0,2020/11/24 05:00:00+00,12,ENFORCEMENT ACTION
239,710272,2020/11/24 05:00:00+00,HITCHING POST INN,7314 FEGENBUSH LN,40228.0,2020/11/24 05:00:00+00,12,ENFORCEMENT ACTION
240,710349,2020/11/24 05:00:00+00,STOOGES,7123 GRADE LN,40213.0,2020/11/24 05:00:00+00,12,ENFORCEMENT ACTION
241,710361,2020/11/24 05:00:00+00,PLANET FITNESS,100 URTON LN. STE 102,40223.0,2020/11/24 05:00:00+00,12,ENFORCEMENT ACTION
242,710363,2020/11/24 05:00:00+00,DEFY LOUISVILLE,100 URTON LN.,40223.0,2020/11/24 05:00:00+00,12,ENFORCEMENT ACTION
243,710412,2020/11/25 05:00:00+00,ADVANCE AUTO PARTS,12001 SHELBYVILLE RD,40243.0,2020/11/25 05:00:00+00,12,ENFORCEMENT ACTION
244,710416,2020/11/27 05:00:00+00,KENBOWL LANES,7021 SOUTHSIDE DR,40214.0,2020/11/27 05:00:00+00,12,ENFORCEMENT ACTION
245,710530,2020/11/27 05:00:00+00,PRESTON CROSSINGS CINEMA CORE CONCESSION,9700 PRESTON CROSSINGS BLVD,40229.0,2020/11/27 05:00:00+00,12,ENFORCEMENT ACTION
246,710609,2020/11/30 05:00:00+00,DUNDEE TAVERN,2224 DUNDEE RD,40205.0,2020/12/05 05:00:00+00,12,ENFORCEMENT ACTION
247,710611,2020/11/30 05:00:00+00,JOE'S OLDER THAN DIRT,8131 NEW LAGRANGE RD,40222.0,2020/12/12 05:00:00+00,12,ENFORCEMENT ACTION
248,710696,2020/12/01 05:00:00+00,SMYRNA VALERO,6403 E MANSLICK RD,40228.0,2020/12/07 05:00:00+00,12,ENFORCEMENT ACTION
249,710719,2020/12/01 05:00:00+00,J ALEXANDER'S,102 OXMOOR CT,40222.0,2020/12/01 05:00:00+00,12,ENFORCEMENT ACTION
250,710900,2020/12/01 05:00:00+00,GEORGE ORTHODONTICS,10412 SHELBYVILLE RD,40223.0,2020/12/01 05:00:00+00,12,ENFORCEMENT ACTION
251,711132,2020/12/03 05:00:00+00,SPEEDWAY #9358,5400 ANTLE DR,40229.0,2020/12/07 05:00:00+00,12,ENFORCEMENT ACTION
252,711144,2020/12/03 05:00:00+00,BEN'S BARGAIN CENTER,10713 DIXIE HWY,,2020/12/03 05:00:00+00,12,ENFORCEMENT ACTION
253,711162,2020/12/03 05:00:00+00,DOLLAR TREE,10309 DIXIE HWY,,2020/12/03 05:00:00+00,12,ENFORCEMENT ACTION
254,711359,2020/12/05 05:00:00+00,NOWHERE BAR LOUISVILLE,1133 BARDSTOWN RD,40204.0,2020/12/05 05:00:00+00,12,ENFORCEMENT ACTION
