OBJECTID,MNL_FEA_KEY,MNL_CMPNT_KEY,MNL_UPS_FEATURE_KEY,MNL_DNS_FEATURE_KEY,MNL_EQNUM_ID,MNL_UPS_ENDPT_ID,MNL_DNS_ENDPT_ID,MNL_MNLPT_ID,MNL_MAP_AREA_ID,MNL_SSC2001_ID,MNL_NPDES_ID,MNL_FEATYPE_CODE,MNL_FEATYPE_TEXT,MNL_OWNER_CODE,MNL_OWNER_NAME,MNL_PARALLEL_CODE,MNL_PARALLEL_TEXT,MNL_PRBL_FLOW_CODE,MNL_PRBL_FLOW_TEXT,MNL_USE_PERMIT_CODE,MNL_USE_PERMIT_TEXT,MNL_MATERIAL_CODE,MNL_MATERIAL_TYPE,MNL_PIPE_SHP_CODE,MNL_PIPE_SHP_TEXT,MNL_LIFECYCLE_CODE,MNL_LIFECYCLE_STAT,MNL_CNVYNC_TYPE,MNL_DSTNTN_TYPE,MNL_OVRFLW_FLAG,MNL_PUMP_FLAG,MNL_CUNETTE_FLAG,MNL_CASING_FLAG,MNL_LINING_FLAG,MNL_PERF_PIPE_FLAG,MNL_LENGTH_FT_NBR,MNL_FCNLENGTH_FT_NBR,MNL_WIDTH_IN_NBR,MNL_HEIGHT_IN_NBR,MNL_SLOPE_PCT_NBR,MNL_UPS_DEPTH_FT_NBR,MNL_DNS_DEPTH_FT_NBR,MNL_UPS_ELEV_FT_NBR,MNL_DNS_ELEV_FT_NBR,MNL_PRBL_FLOW_SYM_NUM,MNL_USE_PERMIT_SYM_NUM,MNL_INC_MNL_NBR,MNL_INSTALL_DATE,MNL_RETIRE_DATE,MNL_LST_UPDT_DATE,MNL_STREAM_NAME,MNL_CCTV_DATE,MNL_CCTV_COLLAPSE_FLAG,SHAPE_Length
37503,2193775,175250,12447,13254.0,,210-009,210-017,210-009 210-017,210,LC316,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,297.15,297.15,8.0,8.0,1.5,19.1,6.06,460.54,455.94,16,16,,1958/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,297.150306389086
37508,2193846,174285,5779,6635.0,,208-037,208-036,208-037 208-036,208,LC2023,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,256.96,256.96,8.0,8.0,0.300000011920929,17.16,13.96,417.84,417.04,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,256.956316760883
37509,2193858,174273,6269,6291.0,,208-031,208-032,208-031 208-032,208,,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,257.38,257.38,8.0,8.0,8.89999961853027,3.46,13.46,462.54,439.54,16,16,,1962/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,257.382971999091
37510,2193865,174305,7563,7567.0,,208-047,208-048,208-047 208-048,208,LC1552-1,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,124.78,124.78,8.0,8.0,3.20000004768372,15.16,12.16,390.84,386.84,16,16,,1964/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,124.775141007101
37511,2193868,174487,5320,6202.0,,209-006,209-007,209-006 209-007,209,LC1833,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,275.34,275.34,8.0,8.0,3.40000009536743,0.15,13.36,406.04,396.64,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,275.340997014654
37512,2193878,175043,16398,16380.0,,209-288,209-287,209-288 209-287,209,LC1502,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,140.43,140.43,8.0,8.0,11.1000003814697,7.16,14.86,425.84,410.24,16,16,,1960/01/01 00:00:00+00,,,,,N,140.42750038079
37513,2193880,175099,20757,22064.0,,209-316,209-406,209-316 209-406,209,LC1716-4,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,RCP,Reinforced Concrete Pipe,CIR,Circular,C,Connected,,,N,N,N,N,N,N,281.1,281.1,24.0,24.0,0.400000005960464,17.46,20.56,354.54,353.44,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,281.097464084351
37514,2193895,175164,21123,22942.0,,209-347,215-009,209-347 215-009,209,LC176,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,391.48,391.48,8.0,8.0,0.5,15.56,11.66,451.44,449.44,16,16,,1958/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,391.478150630254
37515,2193898,175333,20296,20252.0,,210-050,210-048,210-050 210-048,210,LC1488,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,262.88,262.88,8.0,8.0,4.30000019073486,12.16,7.46,426.84,415.54,16,16,,1958/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,262.878562262325
37516,2193938,175798,33572,35645.0,,214-095,214-096,214-095 214-096,214,LC1823,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,338.3,338.3,8.0,8.0,3.29999995231628,10.56,11.66,340.44,329.34,16,16,,1959/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,338.304539245559
37517,2193958,176222,30285,32732.0,,215-089,215-130,215-089 215-130,215,LC186,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,395.37,395.37,8.0,8.0,1.0,13.96,14.96,415.04,411.04,16,16,,1958/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,395.371030806661
37518,2193959,176122,24301,23083.0,,215-041,215-013,215-041 215-013,215,LC201,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,258.42,258.42,8.0,8.0,0.5,7.46,13.46,379.54,378.14,16,16,,1958/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,258.4165307213
37519,2194009,176643,51276,49890.0,,215-308,215-304,215-308 215-304,215,LC27,,MNL,Mainline,RWW,Ronald WasteWater,,Not Parallel,S,Sanitary,S,Sanitary,CON,Concrete,CIR,Circular,C,Connected,,,N,N,N,N,N,N,200.27,200.27,8.0,8.0,5.5,13.8,13.76,367.34,356.24,16,16,,1960/01/01 00:00:00+00,,2017/12/02 00:00:00+00,,,N,200.26830848327
37632,2195682,-51290,463618,455726.0,,D008-293,D008-294,D008-293 D008-294,008,,,MNL,Mainline,DPR,Parks and Recreation,,Not Parallel,D,Drainage,D,Drainage,RCP,Reinforced Concrete Pipe,CIR,Circular,C,Connected,,,N,N,N,N,N,N,176.58,176.58,24.0,24.0,,5.09,5.65,39.17,,15,15,,1946/01/01 00:00:00+00,,2005/04/07 00:00:00+00,,,N,176.584617264342
