X,Y,OBJECTID,id,name,status,state,district,county,highway,milemarker,description,direction,snapshot,latitude,longitude,updateTS,EXTRACT_DT,UpdateIndicator
-9546037.27761622,4628309.87658277,1,,,,,,,,,I-65 just South of I-265 Exit 6 Indiana,,http://pws.trafficwise.org/pullover/172_65_56_11.jpg,38.345217,-85.753507,2021/05/15 03:00:17+00,,
-9544666.37698375,4616126.52283109,2,,,,,5.0,Jefferson,,,I-65 at Spaghetti Junction,,http://www.trimarc.org/images/milestone/CCTV_05_65_1365.jpg,38.25932994,-85.741192,2021/05/15 03:00:17+00,,
-9546172.75365004,4631831.65857871,3,,,,,,,,,I-65 at SR 60 Exit 7 Indiana,,http://www.trimarc.org/images/snapshots/IND_CCTV005.jpg,38.370025,-85.754724,2021/05/15 03:00:17+00,,
-9543456.50844471,4616369.30138258,4,,,,,5.0,Jefferson,,,I-64 adj. Adams St.,,http://www.trimarc.org/images/milestone/CCTV_05_64_0058.jpg,38.26104241,-85.73032357,2021/05/15 03:00:17+00,,
-9545157.07348524,4617554.24689899,5,,,,,,,,,I-65 over Market St. Exit 0 Indiana,,http://pws.trafficwise.org/pullover/172_65_1_10.jpg,38.2694,-85.7456,2021/05/15 03:00:17+00,,
-9546301.77230271,4621163.40768611,6,,,,,,,,,I-65 at Eastern Ave. Ind. Exit 2 Indiana,,http://www.trimarc.org/images/snapshots/IND_CCTV008.jpg,38.29485,-85.755883,2021/05/15 03:00:17+00,,
-9559795.59102974,4622276.9005398,7,,,,,,,,,I-64 at Ind. 150,,http://pws.trafficwise.org/pullover/172_64_204_10.jpg,38.3027,-85.8771,2021/05/15 03:00:17+00,,
-9554112.72926798,4619355.12327299,8,,,,,,,,,Sherman Minton Br (Indiana side),,http://pws.trafficwise.org/pullover/172_64_237_11.jpg,38.2821,-85.82605,2021/05/15 03:00:17+00,,
-9554452.25386859,4619865.66543155,9,,,,,,,,,"I-64 at New Albany, Ind.",,http://pws.trafficwise.org/pullover/172_64_234_10.jpg,38.2857,-85.8291,2021/05/15 03:00:17+00,,
-9556682.31793663,4622104.2659229,10,,,,,,,,,I-64 at I-265 in Ind.,,http://www.trimarc.org/images/snapshots/CCTV027.jpg,38.301483,-85.849133,2021/05/15 03:00:17+00,,
-9546971.58279544,4635165.3176141,11,,,,,,,,,"I-65 at Sellersburg, Ind.(Exit 9 - SR 311)",,http://pws.trafficwise.org/pullover/172_65_90_10.jpg,38.3935,-85.7619,2021/05/15 03:00:17+00,,
-9547321.12494653,4615657.28545913,12,,,,,5.0,Jefferson,,,Downtown Louisville at 9th & Market,,http://www.trimarc.org/images/snapshots/CCTV064.jpg,38.25602,-85.76504,2021/05/15 03:00:17+00,,
-9545709.21812375,4615266.02765384,13,,,,,5.0,Jefferson,,,Downtown Louisville at Brook & Jefferson,,http://www.trimarc.org/images/snapshots/CCTV067.jpg,38.25326,-85.75056,2021/05/15 03:00:17+00,,
-9545408.65546589,4614704.683503,14,,,,,5.0,Jefferson,,,I-65 near M. Ali Exit,,http://www.trimarc.org/images/snapshots/CCTV070.jpg,38.2493,-85.74786,2021/05/15 03:00:17+00,,
-9531855.61474904,4613190.05822063,15,41.0,CCTV05029,Online,Kentucky,5.0,Jefferson,I-64,12.1,I-64 at I-264,West,http://www.trimarc.org/images/milestone/CCTV_05_64_0121.jpg,38.238614,-85.626111,2021/05/15 03:00:17+00,,
-9547298.08179834,4615961.65476165,16,75.0,CCTV05063,Online,Kentucky,5.0,Jefferson,I-64,4.0,I-64 at Frazier Museum,East,http://www.trimarc.org/images/milestone/CCTV_05_64_0041.jpg,38.258167,-85.764833,2021/05/15 03:00:17+00,,
-9528674.32524289,4611918.12019325,17,42.0,CCTV05030,Online,Kentucky,5.0,Jefferson,I-64,13.8,I-64 at Oxmoor Farm Rd.,West,http://www.trimarc.org/images/milestone/CCTV_05_64_0138.jpg,38.229639,-85.597533,2021/05/15 03:00:17+00,,
-9540736.79674916,4598782.33130226,18,45.0,CCTV05033,Online,Kentucky,5.0,Jefferson,I-65,126.7,I-65 at Outer Loop,North,http://www.trimarc.org/images/milestone/CCTV_05_65_1267.jpg,38.136886,-85.705892,2021/05/15 03:00:17+00,,
-9552605.23941481,4605628.47700754,19,47.0,CCTV05035,Online,Kentucky,5.0,Jefferson,I-264,7.5,I-264 at Dixie Hwy.,East-West,http://www.trimarc.org/images/milestone/CCTV_05_264_0075.jpg,38.185242,-85.812508,2021/05/15 03:00:17+00,,
-9534102.37710478,4620259.79410091,20,50.0,CCTV05038,Online,Kentucky,5.0,Jefferson,I-264,5.1,I-264 at I-71,East,http://www.trimarc.org/images/milestone/CCTV_05_71_0051.jpg,38.288479,-85.646294,2021/05/15 03:00:17+00,,
