COUNTY1_00,COUNTY2_00,DIR_FLY,FRAME,MODEL00,OBJECTID,LINE00,SEQUENCE00,YEAR,CAN_NBR00,FLGTDATE00,SCALE00,PRINTSAVAIL,SHAPEAREA,SHAPELEN
Jefferson, ,W-E,01&02,037001,36,037,1,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326668.21616484,12663.7913993636
Jefferson, ,W-E,01&02,039001,37,039,1,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326933.49380625,12663.9527055087
Jefferson, ,W-E,01&02,041001,38,041,1,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327045.76937969,12664.0239579195
Jefferson, ,E-W,01&02,038001,39,038,1,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9326808.03566563,12663.8764237633
Jefferson, ,E-W,01&02,040001,40,040,1,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327002.26537109,12663.9955846428
Jefferson, ,E-W,01&02,042001,41,042,1,2000,1042,2000/03/24 00:00:00+00,1 in.=660 ft.,YES,9327259.84400156,12664.1914914388
Oldham, ,E-W,02&03,001002,42,001,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324621.67106953,12662.2928024814
Oldham, ,E-W,02&03,002002,43,002,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324604.16175938,12662.3054216637
Oldham, ,E-W,02&03,003002,44,003,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324519.69743438,12662.2490871984
Oldham, ,E-W,02&03,004002,45,004,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324322.8738625,12662.0937949816
Oldham, ,E-W,02&03,005002,46,005,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324175.42555625,12661.9986629221
Oldham, ,E-W,02&03,006002,47,006,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324056.36806172,12661.9198090055
Jefferson, ,W-E,02&03,016002,48,016,2,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9324105.47740312,12661.9926115207
Oldham, ,W-E,02&03,008002,49,008,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323855.32561328,12661.7858491964
Oldham, ,W-E,02&03,009002,50,009,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323844.65818359,12661.8034463649
Oldham, ,W-E,02&03,010002,51,010,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323652.18465391,12661.6518801774
Oldham, ,W-E,02&03,011002,52,011,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323528.74465234,12661.5692647752
Oldham, ,W-E,02&03,012002,53,012,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323513.69413438,12661.5831038761
Oldham, ,W-E,02&03,007002,54,007,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9324044.25570469,12661.9361641038
Oldham, ,W-E,02&03,013002,55,013,2,2000,1041,2000/03/23 00:00:00+00,1 in.=660 ft.,YES,9323318.29246875,12661.429024706
Oldham, ,W-E,02&03,014002,56,014,2,2000,1044,2000/03/31 00:00:00+00,1 in.=660 ft.,YES,9323525.72002031,12661.6052319483
