ObjectId,incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
2692,80-10-012378,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,Pistols: 410,40C,2010/02/21 00:00:00+00,INTERSECTION,Southwestern Pky / Shawnee Park Entrance Rd,Louisville,KY,40211.0,Black,M,31.0,Southwestern Pky / Shawnee Park Entrance Rd Louisville KY 40211,1186908.375,277229.71875,-85.8293023603017,38.2506057270366,,LOJIC
2693,80-10-012378,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,Pistols: 410,40C,2010/02/21 00:00:00+00,INTERSECTION,Southwestern Pky / Shawnee Park Entrance Rd,Louisville,KY,40211.0,Black,M,31.0,Southwestern Pky / Shawnee Park Entrance Rd Louisville KY 40211,1186908.375,277229.71875,-85.8293023603017,38.2506057270366,,LOJIC
2694,80-12-080422,Aggravated Assault,"Rifle, Semi-automatic                                  ",Dpms Inc (defense Procurement Mfg Services),,223C,2012/10/11 00:00:00+00,INTERSECTION,S 5th St / W Jefferson St,Louisville,KY,40202.0,Black,M,33.0,S 5th St / W Jefferson St Louisville KY 40202,1207209.0,278132.0,-85.7586716389173,38.2540174825525,,LOJIC
2695,80-12-080422,Aggravated Assault,"Pistol, Semi-automatic                                 ",Masterpiece Arms,,45C,2012/10/11 00:00:00+00,INTERSECTION,S 5th St / W Jefferson St,Louisville,KY,40202.0,Black,M,33.0,S 5th St / W Jefferson St Louisville KY 40202,1207209.0,278132.0,-85.7586716389173,38.2540174825525,,LOJIC
2696,80-11-049808,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Rg Industries,Rg (with Number,25C,2011/06/27 00:00:00+00,INTERSECTION,S 5th St / W Kentucky St,Louisville,KY,40203.0,Black,M,18.0,S 5th St / W Kentucky St Louisville KY 40203,1206559.625,272928.375,-85.760635526926,38.239700986109,,LOJIC
2697,80-11-079325,Wpns Law Violation,"Pistol, Revolver                                       ",Rohm,,22C,2011/10/02 00:00:00+00,INTERSECTION,S 5th St / W Liberty St,Louisville,KY,40202.0,Black,M,38.0,S 5th St / W Liberty St Louisville KY 40202,1207166.25,277851.5625,-85.7588044945375,38.253245580268,,LOJIC
2698,80-12-019376,Robbery,"Pistol, Semi-automatic                                 ",,,762M,2012/03/12 00:00:00+00,INTERSECTION,S 5th St / W Liberty St,Louisville,KY,40202.0,Black,M,16.0,S 5th St / W Liberty St Louisville KY 40202,1207166.25,277851.5625,-85.7588044945375,38.253245580268,,LOJIC
2699,80-14-003157,Stolen Property,"Pistol, Semi-automatic                                 ",Ruger,Handguns: P Ser,9MM,2014/01/13 00:00:00+00,INTERSECTION,S 5th St / W Liberty St,Louisville,KY,40202.0,Black,M,30.0,S 5th St / W Liberty St Louisville KY 40202,1207166.25,277851.5625,-85.7588044945375,38.253245580268,,LOJIC
2700,80-15-038831,Narcotics,Null,Bryco Arms,380 Auto,,2015/05/22 00:00:00+00,INTERSECTION,S 5th St / W Muhammad Ali Blvd,Louisville,KY,40202.0,Null,,,S 5th St / W Muhammad Ali Blvd Louisville KY 40202,1207055.75,277151.75,-85.7591493158857,38.2513191783739,,LOJIC
2701,80-15-038831,Narcotics,Null,Bryco Arms,380 Auto,,2015/05/22 00:00:00+00,INTERSECTION,S 5th St / W Muhammad Ali Blvd,Louisville,KY,40202.0,Null,,,S 5th St / W Muhammad Ali Blvd Louisville KY 40202,1207055.75,277151.75,-85.7591493158857,38.2513191783739,,LOJIC
2702,80-15-038831,Narcotics,Null,Charter Arms Corp.,Undercover,,2015/05/22 00:00:00+00,INTERSECTION,S 5th St / W Muhammad Ali Blvd,Louisville,KY,40202.0,Null,,,S 5th St / W Muhammad Ali Blvd Louisville KY 40202,1207055.75,277151.75,-85.7591493158857,38.2513191783739,,LOJIC
2703,80-15-038831,Narcotics,Null,Charter Arms Corp.,Undercover,,2015/05/22 00:00:00+00,INTERSECTION,S 5th St / W Muhammad Ali Blvd,Louisville,KY,40202.0,Null,,,S 5th St / W Muhammad Ali Blvd Louisville KY 40202,1207055.75,277151.75,-85.7591493158857,38.2513191783739,,LOJIC
