ObjectId,incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
1,80-13-097166,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Sr9c,9MM,2013/12/20 00:00:00+00,INTERSECTION,N 22nd St / Bank St,Louisville,KY,40203.0,Black,M,21.0,N 22nd St / Bank St Louisville KY 40203,,,,,,
2,80-11-044948,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Intratec,,9MM,2011/06/11 00:00:00+00,INTERSECTION,7th Street Rd / Berry Blvd,Louisville,KY,40216.0,Black,M,20.0,7th Street Rd / Berry Blvd Louisville KY 40216,,,,,,
3,80-11-037378,Narcotics,"Rifle, Semi-automatic                                  ",Norinco,Sks,762M,2011/05/16 00:00:00+00,INTERSECTION,N 37th St / Bank St,Louisville,KY,40212.0,White,M,27.0,N 37th St / Bank St Louisville KY 40212,,,,,,
4,80-12-061676,Wpns Law Violation,"Pistol, Revolver                                       ",,,38C,2012/08/03 00:00:00+00,INTERSECTION,Dixie Hwy / Ralph Ave,Shively,KY,,Black,M,53.0,Dixie Hwy / Ralph Ave Shively KY ,1195202.125,260851.71875,-85.7994662219211,38.2060248338826,,LOJIC
5,80-12-010689,Narcotics,Null,,Airmaster,,2012/02/16 00:00:00+00,INTERSECTION,Oxmoor Ln / Shelbyville Rd,Norwood,KY,40222.0,White,M,36.0,Oxmoor Ln / Shelbyville Rd Norwood KY 40222,1248916.5,275799.875,-85.6133249111507,38.2493997591617,,LOJIC
6,80-16-013248,Wpns Law Violation,Null,Taurus International,Taurus,,2016/02/13 00:00:00+00,INTERSECTION,Dixie Hwy / W. Orell,Louisville,KY,40272.0,Black,M,24.0,Dixie Hwy / W. Orell Louisville KY 40272,,,,,,
7,80-17-006120,Fraud,"Pistol, Semi-automatic                                 ",Smith & Wesson,,380C,2017/01/20 00:00:00+00,INTERSECTION,S 26th St / Pirtle St,Louisville,KY,40212.0,White,M,25.0,S 26th St / Pirtle St Louisville KY 40212,,,,,,
8,80-16-018528,Wpns Law Violation,Null,,Tomcat-32,,2016/03/04 00:00:00+00,INTERSECTION,S 26th St / W Broadway,Louisville,KY,40211.0,Black,M,22.0,S 26th St / W Broadway Louisville KY 40211,,,,,,
9,80-15-062377,Narcotics,Null,Jimenez Arms,Ja,,2015/08/09 00:00:00+00,INTERSECTION,S 45th St / W Broadway,Louisville,KY,40211.0,Black,M,21.0,S 45th St / W Broadway Louisville KY 40211,,,,,,
10,80-15-016556,Narcotics,Null,Hipoint,C9,,2015/03/08 00:00:00+00,INTERSECTION,W Kentucky St / Louis Coleman Jr Dr,Louisville,KY,40211.0,Null,,,W Kentucky St / Louis Coleman Jr Dr Louisville KY 40211,,,,,,
11,80-15-058410,Wpns Law Violation,Null,Hipoint,9,,2015/08/05 00:00:00+00,INTERSECTION,I 264 Ramp / Poplar Level Rd,Louisville,KY,40213.0,Black,M,17.0,I 264 Ramp / Poplar Level Rd Louisville KY 40213,,,,,,
12,80-15-092071,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Ruger,,40C,2015/11/12 00:00:00+00,INTERSECTION,N 25th St / Bank St,Louisville,KY,40212.0,Black,M,19.0,N 25th St / Bank St Louisville KY 40212,,,,,,
13,80-15-064172,Wpns Law Violation,Null,Rohm,Rg14,,2015/08/15 00:00:00+00,INTERSECTION,S 28th St / W Chestnut St,Louisville,KY,40211.0,Black,M,51.0,S 28th St / W Chestnut St Louisville KY 40211,,,,,,
14,80-16-073556,Robbery,Null,,732,,2016/08/29 00:00:00+00,INTERSECTION,S 22nd St / W Market St,Louisville,KY,40212.0,Null,,,S 22nd St / W Market St Louisville KY 40212,,,,,,
15,80-11-037378,Narcotics,"Rifle, Semi-automatic                                  ",,,762M,2011/05/16 00:00:00+00,INTERSECTION,N 37th St / Bank St,Louisville,KY,40212.0,White,M,27.0,N 37th St / Bank St Louisville KY 40212,,,,,,
16,80-12-049715,Narcotics,"Pistol, Semi-automatic                                 ",,,9MM,2012/06/22 00:00:00+00,INTERSECTION,S 10th St / W Market St,Louisville,KY,40202.0,Black,M,33.0,S 10th St / W Market St Louisville KY 40202,,,,,,
17,80-15-069040,Narcotics,"Pistol, Semi-automatic                                 ",Raven Arms,,25C,2015/08/31 00:00:00+00,INTERSECTION,S 13th St / Patton Ct,Louisville,KY,40210.0,White,M,21.0,S 13th St / Patton Ct Louisville KY 40210,,,,,,
18,80-13-096014,Wpns Law Violation,Null,Rossi - Amadeo Rossi & Co,38 Special,,2013/12/16 00:00:00+00,INTERSECTION,Dixie Hwy / Standard Ave,Louisville,KY,40210.0,Null,,,Dixie Hwy / Standard Ave Louisville KY 40210,1198245.25,269877.18625,-85.7894022466792,38.2309455306941,,LOJIC
19,80-14-011928,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,25C,2014/02/18 00:00:00+00,INTERSECTION,Gheens Ave / New Cut Rd,Louisville,KY,40214.0,White,M,40.0,Gheens Ave / New Cut Rd Louisville KY 40214,1200536.5,245821.125,-85.7800357107396,38.1650011170649,,LOJIC
20,80-15-050967,Wpns Law Violation,Null,Beretta (industria S.A.),21a-.22lr,,2015/07/02 00:00:00+00,INTERSECTION,N 19th St / W Main St,Louisville,KY,40203.0,Null,,,N 19th St / W Main St Louisville KY 40203,,,,,,
21,80-16-024487,Aggravated Assault,Null,Hipoint,,,2016/03/23 00:00:00+00,INTERSECTION,Magazine St / South 10th St,Louisville,KY,40203.0,Null,,,Magazine St / South 10th St Louisville KY 40203,,,,,,
22,80-11-000026,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,380C,2011/01/01 00:00:00+00,INTERSECTION,N 10th St / Rowan St,Louisville,KY,40203.0,Hispanic,M,26.0,N 10th St / Rowan St Louisville KY 40203,,,,,,
23,80-11-103253,Narcotics,"Pistol, Semi-automatic                                 ",Hipoint,,9MM,2011/12/21 00:00:00+00,INTERSECTION,S 11th St / Magazine St,Louisville,KY,40203.0,Black,M,29.0,S 11th St / Magazine St Louisville KY 40203,1204015.5,276320.25,-85.769687088661,38.2488989206585,,LOJIC
24,80-16-050891,Narcotics,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",,40C,2016/06/15 00:00:00+00,INTERSECTION,S 28th St / W Broadway,Louisville,KY,40211.0,Black,M,32.0,S 28th St / W Broadway Louisville KY 40211,,,,,,
25,80-11-042986,Wpns Law Violation,Machine Gun,Draco-c,Ak,762M,2011/06/04 00:00:00+00,INTERSECTION,S 32nd St / Greenwood Ave,Louisville,KY,40211.0,Black,M,18.0,S 32nd St / Greenwood Ave Louisville KY 40211,,,,,,
26,80-12-035338,Wpns Law Violation,"Pistol, Revolver                                       ",Colt,Detective Speci,38C,2012/05/05 00:00:00+00,INTERSECTION,S 35th St / Del Park Ter,Louisville,KY,40211.0,Black,M,23.0,S 35th St / Del Park Ter Louisville KY 40211,,,,,,
27,80-14-005522,Stolen Property,"Pistol, Semi-automatic                                 ",Phoenix Arms Co.,Raven,25C,2014/04/01 00:00:00+00,INTERSECTION,S 36th St / W Market St,Louisville,KY,40212.0,Black,M,18.0,S 36th St / W Market St Louisville KY 40212,,,,,,
28,80-17-002141,Wpns Law Violation,Null,Hipoint,,,2017/01/07 00:00:00+00,INTERSECTION,S 38th St / W Market St,Louisville,KY,40212.0,Black,M,26.0,S 38th St / W Market St Louisville KY 40212,,,,,,
29,80-12-049088,Narcotics,"Pistol, Semi-automatic                                 ",,,45C,2012/06/20 00:00:00+00,INTERSECTION,S 41st St / Herman St,Louisville,KY,40212.0,Black,M,18.0,S 41st St / Herman St Louisville KY 40212,1190323.75,280766.375,-85.8176205230157,38.2604761931767,,LOJIC
30,80-13-031720,Wpns Law Violation,Null,Ruger,,,2013/05/04 00:00:00+00,INTERSECTION,S 4th St / W Broadway,Louisville,KY,40202.0,Black,M,22.0,S 4th St / W Broadway Louisville KY 40202,,,,,,
31,80-16-028210,Narcotics Equip,"Pistol, Semi-automatic                                 ",Smith & Wesson,,9MM,2016/04/04 00:00:00+00,INTERSECTION,S 6th St / Iowa Ave,Louisville,KY,40208.0,White,F,36.0,S 6th St / Iowa Ave Louisville KY 40208,,,,,,
32,80-11-045427,Auto Theft,"Pistol, Revolver                                       ",Smith & Wesson,,32C,2011/06/15 00:00:00+00,INTERSECTION,S Brook St / Woodbine St,Louisville,KY,40208.0,Black,M,16.0,S Brook St / Woodbine St Louisville KY 40208,1208246.25,269173.25,-85.7545503979388,38.2294665609587,,LOJIC
33,80-12-040388,Wpns Law Violation,Submachine Gun (machine Pistol),Hipoint,Jc-40 Series,40C,2012/05/22 00:00:00+00,INTERSECTION,S Floyd St / Warnock St,Louisville,KY,40208.0,Black,M,22.0,S Floyd St / Warnock St Louisville KY 40208,,,,,,
34,80-15-019580,Wpns Law Violation,Null,,38 Spl,,2015/03/19 00:00:00+00,INTERSECTION,Amy Ave / Herman St,Louisville,KY,40212.0,Null,,,Amy Ave / Herman St Louisville KY 40212,1191552.625,280426.0,-85.8133211999714,38.2595990092687,,LOJIC
35,80-17-002189,Theft Fr Veh,"Pistol, Semi-automatic                                 ",Smith & Wesson,,40C,2017/01/08 00:00:00+00,INTERSECTION,Carlisle Ave / Taylor Ave,Louisville,KY,,White,F,29.0,Carlisle Ave / Taylor Ave Louisville KY ,,,,,,
36,80-13-013508,Narcotics,"Pistol, Revolver                                       ",,,9MM,2013/02/24 00:00:00+00,INTERSECTION,S 9th St / W Hill St,Louisville,KY,40208.0,Black,M,20.0,S 9th St / W Hill St Louisville KY 40208,,,,,,
37,80-15-093750,Wpns Law Violation,Null,,,,2015/11/18 00:00:00+00,INTERSECTION,Dixie Hwy / Pendleton Rd,Louisville,KY,40272.0,White,M,18.0,Dixie Hwy / Pendleton Rd Louisville KY 40272,1169249.0,208952.3125,-85.8865624956836,38.0622960892318,,LOJIC
38,80-16-067615,Stolen Property,Null,Sig-sauer,,,2016/08/09 00:00:00+00,INTERSECTION,E Breckinridge St / S Hancock St,Louisville,KY,40203.0,Null,,,E Breckinridge St / S Hancock St Louisville KY 40203,1211232.875,273074.625,-85.7443749917101,38.2403118668975,,LOJIC
39,80-15-033794,Wpns Law Violation,Null,Star,Interarms,,2015/05/06 00:00:00+00,INTERSECTION,Exley Ct / Kaiser Ct,Louisville,KY,40211.0,Null,,,Exley Ct / Kaiser Ct Louisville KY 40211,1187604.875,273773.625,-85.8266713295242,38.2411494275256,,LOJIC
40,80-12-042753,Narcotics,"Pistol, Derringer                                      ",Bond Arms Inc,Texas Defender,45C,2012/05/31 00:00:00+00,INTERSECTION,Fairdale Rd / Mount Holly Rd,Louisville,KY,40118.0,White,M,41.0,Fairdale Rd / Mount Holly Rd Louisville KY 40118,1206309.125,223870.0625,-85.7587098412987,38.1049924457704,,LOJIC
41,80-10-089737,Narcotics,"Pistol, Revolver                                       ",,,38C,2010/11/11 00:00:00+00,INTERSECTION,S 22nd St / Hale Ave,Louisville,KY,40210.0,Black,M,25.0,S 22nd St / Hale Ave Louisville KY 40210,,,,,,
42,80-15-058409,Wpns Law Violation,Null,Smith & Wesson,Sd 9 Ve,,2015/08/05 00:00:00+00,INTERSECTION,I 264 Ramp / I 264 Ramp,Louisville,KY,40205.0,Black,M,39.0,I 264 Ramp / I 264 Ramp Louisville KY 40205,,,,,,
43,80-12-086407,Narcotics,Null,Unknown Manufacturer,Sb,,2012/10/30 00:00:00+00,INTERSECTION,Lana Ct / Whispering Brook Dr,Louisville,KY,40229.0,White,M,47.0,Lana Ct / Whispering Brook Dr Louisville KY 40229,1224639.75,223299.25,-85.6949826227577,38.1042322515239,,LOJIC
44,80-16-008617,Wpns Law Violation,Null,Taurus International,Taurus,,2016/01/29 00:00:00+00,INTERSECTION,N 19th St / W Main St,Louisville,KY,40203.0,Black,M,22.0,N 19th St / W Main St Louisville KY 40203,,,,,,
45,80-13-039741,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,Cf-380,380C,2013/06/01 00:00:00+00,INTERSECTION,N 33rd St / Northwestern Pky,Louisville,KY,40212.0,White,M,50.0,N 33rd St / Northwestern Pky Louisville KY 40212,,,,,,
46,80-11-000002,Intimidation,"Shotgun, Pump Action                                   ",,,12GA,2011/01/01 00:00:00+00,INTERSECTION,Powell Ave / Seelbach Ave,Louisville,KY,40215.0,Black,M,23.0,Powell Ave / Seelbach Ave Louisville KY 40215,1197424.375,254410.625,-85.7913585399808,38.1884423361776,,LOJIC
47,80-16-095649,Wpns Law Violation,Null,Smith & Wesson,Pistols: M&p,,2016/11/07 00:00:00+00,INTERSECTION,S 19th St / W Broadway,Louisville,KY,40203.0,Black,M,32.0,S 19th St / W Broadway Louisville KY 40203,,,,,,
48,80-16-105330,Narcotics,"Pistol, Semi-automatic                                 ",Taurus International,,40C,2016/12/10 00:00:00+00,INTERSECTION,S 23rd St / St Louis Ave,Louisville,KY,40210.0,Black,M,32.0,S 23rd St / St Louis Ave Louisville KY 40210,,,,,,
49,80-15-085836,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Brescia Armas,,635M,2015/10/23 00:00:00+00,INTERSECTION,S 28th St / W Broadway,Louisville,KY,40211.0,Black,M,25.0,S 28th St / W Broadway Louisville KY 40211,,,,,,
50,80-13-057166,Wpns Law Violation,"Pistol, Revolver                                       ",,,22C,2013/08/01 00:00:00+00,INTERSECTION,S 35th St / W Broadway,Louisville,KY,40211.0,Black,M,18.0,S 35th St / W Broadway Louisville KY 40211,,,,,,
51,80-16-104354,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt111,9MM,2016/12/07 00:00:00+00,INTERSECTION,Antonia Way / Interchange Dr,Louisville,KY,40229.0,White,F,23.0,Antonia Way / Interchange Dr Louisville KY 40229,1231195.25,219934.03125,-85.6720228693696,38.0952725072896,,LOJIC
52,80-15-029597,Stolen Property,"Pistol, Semi-automatic                                 ","Remington Arms Co., Inc.                               ",Usmc,380C,2015/04/22 00:00:00+00,INTERSECTION,Arcade Ave / Taylor Blvd,Louisville,KY,40215.0,Null,,,Arcade Ave / Taylor Blvd Louisville KY 40215,1200342.5,259344.40625,-85.7814924346469,38.2021223792865,,LOJIC
53,80-14-015550,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Springfield Armory,geneseo,il                          ",,40C,2014/03/05 00:00:00+00,INTERSECTION,Arcade Ave / Taylor Blvd,Louisville,KY,40215.0,White,M,29.0,Arcade Ave / Taylor Blvd Louisville KY 40215,1200342.5,259344.40625,-85.7814924346469,38.2021223792865,,LOJIC
54,80-14-015550,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Springfield Armory,geneseo,il                          ",,40C,2014/03/05 00:00:00+00,INTERSECTION,Arcade Ave / Taylor Blvd,Louisville,KY,40215.0,White,M,29.0,Arcade Ave / Taylor Blvd Louisville KY 40215,1200342.5,259344.40625,-85.7814924346469,38.2021223792865,,LOJIC
55,80-14-046530,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,Sarb9p,9MM,2014/06/25 00:00:00+00,INTERSECTION,Arcade Ave / Taylor Blvd,Louisville,KY,40215.0,Black,M,19.0,Arcade Ave / Taylor Blvd Louisville KY 40215,1200342.5,259344.40625,-85.7814924346469,38.2021223792865,,LOJIC
56,80-14-046530,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,Sarb9p,9MM,2014/06/25 00:00:00+00,INTERSECTION,Arcade Ave / Taylor Blvd,Louisville,KY,40215.0,Black,M,19.0,Arcade Ave / Taylor Blvd Louisville KY 40215,1200342.5,259344.40625,-85.7814924346469,38.2021223792865,,LOJIC
57,80-16-080940,Stolen Property,Null,"Glock, Inc.                                            ",,,2016/09/20 00:00:00+00,INTERSECTION,Arling Ave / Taylor Blvd,Louisville,KY,40215.0,Black,M,26.0,Arling Ave / Taylor Blvd Louisville KY 40215,1199967.625,248903.375,-85.7821923940051,38.1734379207065,,LOJIC
58,80-11-034724,Wpns Law Violation,"Pistol, Revolver                                       ",Rg Industries,Rg (with Number,22C,2011/05/08 00:00:00+00,INTERSECTION,Armory Pl / W Chestnut St,Louisville,KY,40202.0,Black,M,25.0,Armory Pl / W Chestnut St Louisville KY 40202,1206716.0,276388.875,-85.7602887013194,38.2492093089891,,LOJIC
59,80-12-021818,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",,40C,2012/03/20 00:00:00+00,INTERSECTION,Arnoldtown Rd / St Andrews Church Rd,Louisville,KY,40214.0,Black,M,34.0,Arnoldtown Rd / St Andrews Church Rd Louisville KY 40214,1187777.75,240404.28125,-85.8240839966965,38.149538059386,,LOJIC
60,80-12-021818,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Para Ordnance,P Series,45C,2012/03/20 00:00:00+00,INTERSECTION,Arnoldtown Rd / St Andrews Church Rd,Louisville,KY,40214.0,Black,M,34.0,Arnoldtown Rd / St Andrews Church Rd Louisville KY 40214,1187777.75,240404.28125,-85.8240839966965,38.149538059386,,LOJIC
61,80-15-094257,Wpns Law Violation,"Shotgun, Single-shot                                   ",Winchester,,12GA,2015/11/19 00:00:00+00,INTERSECTION,Arthur St / E Gaulbert Ave,Louisville,KY,40208.0,White,F,38.0,Arthur St / E Gaulbert Ave Louisville KY 40208,1209149.75,266997.625,-85.7512820816076,38.2235335447904,,LOJIC
62,80-15-094257,Wpns Law Violation,"Pistol, Revolver                                       ",Rg Industries,,22C,2015/11/19 00:00:00+00,INTERSECTION,Arthur St / E Gaulbert Ave,Louisville,KY,40208.0,White,F,38.0,Arthur St / E Gaulbert Ave Louisville KY 40208,1209149.75,266997.625,-85.7512820816076,38.2235335447904,,LOJIC
63,80-15-094257,Wpns Law Violation,"Pistol, Revolver                                       ",Standard Arms Co.,,38C,2015/11/19 00:00:00+00,INTERSECTION,Arthur St / E Gaulbert Ave,Louisville,KY,40208.0,White,F,38.0,Arthur St / E Gaulbert Ave Louisville KY 40208,1209149.75,266997.625,-85.7512820816076,38.2235335447904,,LOJIC
64,80-17-010392,Aggravated Assault,"Pistol, Semi-automatic                                 ",Taurus Internat,Model Pt111,9MM,2017/02/05 00:00:00+00,INTERSECTION,Arthur St / E Gaulbert Ave,Louisville,KY,40208.0,Black,M,34.0,Arthur St / E Gaulbert Ave Louisville KY 40208,1209149.75,266997.625,-85.7512820816076,38.2235335447904,,LOJIC
65,80-15-094257,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,9MM,2015/11/19 00:00:00+00,INTERSECTION,Arthur St / E Gaulbert Ave,Louisville,KY,40208.0,White,F,38.0,Arthur St / E Gaulbert Ave Louisville KY 40208,1209149.75,266997.625,-85.7512820816076,38.2235335447904,,LOJIC
66,80-16-108015,Narcotics,"Pistol, Semi-automatic                                 ",Springfield Firearms Corporation,,45C,2016/12/19 00:00:00+00,INTERSECTION,Arthur St / E Lee St,Louisville,KY,40208.0,Black,M,44.0,Arthur St / E Lee St Louisville KY 40208,1209080.5,266519.62375,-85.7514959813964,38.2222180216758,,LOJIC
67,80-16-108015,Narcotics,"Pistol, Semi-automatic                                 ",Springfield Firearms Corporation,,45C,2016/12/19 00:00:00+00,INTERSECTION,Arthur St / E Lee St,Louisville,KY,40208.0,Black,M,44.0,Arthur St / E Lee St Louisville KY 40208,1209080.5,266519.62375,-85.7514959813964,38.2222180216758,,LOJIC
68,80-16-108015,Narcotics,"Pistol, Semi-automatic                                 ",Springfield Firearms Corporation,,45C,2016/12/19 00:00:00+00,INTERSECTION,Arthur St / E Lee St,Louisville,KY,40208.0,Black,M,44.0,Arthur St / E Lee St Louisville KY 40208,1209080.5,266519.62375,-85.7514959813964,38.2222180216758,,LOJIC
69,80-13-058060,Stolen Property,"Pistol, Semi-automatic                                 ",Davis Industries,P-380,380C,2013/08/04 00:00:00+00,INTERSECTION,Artisan Way / Fern Valley Rd,Louisville,KY,40228.0,White,M,33.0,Artisan Way / Fern Valley Rd Louisville KY 40228,,,,,,
70,80-12-032775,Aggravated Assault,"Rifle, Automatic                                       ",,,223C,2012/04/26 00:00:00+00,INTERSECTION,Ashby Ln / Janna Dr,Louisville,KY,40272.0,White,M,20.0,Ashby Ln / Janna Dr Louisville KY 40272,1172025.75,224814.65625,-85.8778933822937,38.105983034813,,LOJIC
71,80-12-032775,Aggravated Assault,"Rifle, Automatic                                       ",,,223C,2012/04/26 00:00:00+00,INTERSECTION,Ashby Ln / Janna Dr,Louisville,KY,40272.0,White,M,20.0,Ashby Ln / Janna Dr Louisville KY 40272,1172025.75,224814.65625,-85.8778933822937,38.105983034813,,LOJIC
72,80-12-032775,Aggravated Assault,"Rifle, Automatic                                       ",,,223C,2012/04/26 00:00:00+00,INTERSECTION,Ashby Ln / Janna Dr,Louisville,KY,40272.0,White,M,20.0,Ashby Ln / Janna Dr Louisville KY 40272,1172025.75,224814.65625,-85.8778933822937,38.105983034813,,LOJIC
73,80-11-037058,Wpns Law Violation,"Pistol, Revolver                                       ",Smith & Wesson,Bg38,38C,2011/05/15 00:00:00+00,INTERSECTION,Ashby Ln / Lower River Rd,Louisville,KY,40272.0,White,M,60.0,Ashby Ln / Lower River Rd Louisville KY 40272,1168717.25,226275.15625,-85.8894800022029,38.1098318550005,,LOJIC
74,80-13-012459,Narcotics,"Rifle, Bolt Action                                     ",,,22C,2013/02/19 00:00:00+00,INTERSECTION,Ashley Pointe Dr / Driftwood Dr,Louisville,KY,40272.0,Black,M,31.0,Ashley Pointe Dr / Driftwood Dr Louisville KY 40272,1197420.25,227291.985,-85.7897955957951,38.1139839599888,,LOJIC
75,80-13-012459,Narcotics,"Rifle, Bolt Action                                     ",,,22C,2013/02/19 00:00:00+00,INTERSECTION,Ashley Pointe Dr / Driftwood Dr,Louisville,KY,40272.0,Black,M,31.0,Ashley Pointe Dr / Driftwood Dr Louisville KY 40272,1197420.25,227291.985,-85.7897955957951,38.1139839599888,,LOJIC
76,80-13-012459,Narcotics,"Pistol, Semi-automatic                                 ",Beretta (industria S.A.),,9MM,2013/02/19 00:00:00+00,INTERSECTION,Ashley Pointe Dr / Driftwood Dr,Louisville,KY,40272.0,Black,M,31.0,Ashley Pointe Dr / Driftwood Dr Louisville KY 40272,1197420.25,227291.985,-85.7897955957951,38.1139839599888,,LOJIC
77,80-11-103565,Narcotics,"Pistol, Semi-automatic                                 ",Taurus Internat,Taurus Internat,25C,2011/12/22 00:00:00+00,INTERSECTION,Coppercreek Cir / Coppercreek Dr,Lyndon,KY,40222.0,Black,M,22.0,Coppercreek Cir / Coppercreek Dr Lyndon KY 40222,,,,,,
78,80-13-012459,Narcotics,"Pistol, Semi-automatic                                 ",Beretta (industria S.A.),,9MM,2013/02/19 00:00:00+00,INTERSECTION,Ashley Pointe Dr / Driftwood Dr,Louisville,KY,40272.0,Black,M,31.0,Ashley Pointe Dr / Driftwood Dr Louisville KY 40272,1197420.25,227291.985,-85.7897955957951,38.1139839599888,,LOJIC
79,80-16-013129,Wpns Law Violation,"Pistol, Revolver                                       ",Smith & Wesson,,38C,2016/02/13 00:00:00+00,INTERSECTION,Auburndale Ave / Southern Pkwy,Louisville,KY,,White,M,23.0,Auburndale Ave / Southern Pkwy Louisville KY ,,,,,,
80,80-15-049456,Narcotics,Null,,40 S& W,,2015/06/28 00:00:00+00,INTERSECTION,S 41st St / Larkwood Ave,Louisville,KY,40212.0,Black,M,31.0,S 41st St / Larkwood Ave Louisville KY 40212,1190111.0,280232.875,-85.8183297268507,38.2590014678401,,LOJIC
81,80-16-014238,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Springfield Armory,geneseo,il                          ",Xd,45C,2016/02/18 00:00:00+00,INTERSECTION,Auburndale Ave / Southern Pky,Louisville,KY,40214.0,Black,M,21.0,Auburndale Ave / Southern Pky Louisville KY 40214,1201720.75,248940.81375,-85.7760970649351,38.1736206352834,,LOJIC
82,80-13-028701,Robbery,"Pistol, Semi-automatic                                 ",Czechoslovakia,Czechoslovakia,9MM,2013/04/24 00:00:00+00,INTERSECTION,Audubon Pky / Preston Hwy,Louisville,KY,40213.0,Black,M,26.0,Audubon Pky / Preston Hwy Louisville KY 40213,1213721.625,259384.9375,-85.734942503879,38.2028352399102,,LOJIC
83,80-10-066562,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Cobra Enterpris,Fs380,380C,2010/08/26 00:00:00+00,INTERSECTION,Ayars Ct / Lambert Ave,Louisville,KY,40218.0,Black,M,25.0,Ayars Ct / Lambert Ave Louisville KY 40218,1239618.125,251851.5625,-85.6444373647855,38.1832624624698,,LOJIC
84,80-16-065574,Narcotics,"Pistol, Revolver                                       ",Taurus International,,357C,2016/08/02 00:00:00+00,INTERSECTION,Baldwin St / Wilson Ave,Louisville,KY,40210.0,Black,M,27.0,Baldwin St / Wilson Ave Louisville KY 40210,1199761.125,270871.875,-85.7841834424553,38.2337460271634,,LOJIC
85,80-16-022192,Wpns Law Violation,"Pistol, Revolver                                       ",Ruger,,38C,2016/03/15 00:00:00+00,INTERSECTION,Ballardsville / Windy Willow,Louisville,KY,40241.0,Black,M,40.0,Ballardsville / Windy Willow Louisville KY 40241,,,,,,
86,80-14-079225,Wpns Law Violation,"Pistol, Revolver                                       ",Harrington & Richardson,,22C,2014/10/15 00:00:00+00,INTERSECTION,Bank St / Locher Aly,Louisville,KY,40212.0,White,M,17.0,Bank St / Locher Aly Louisville KY 40212,1197871.25,283939.84375,-85.7915233891685,38.2695390931572,,LOJIC
87,80-11-080327,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Carl Walther,P-22,22C,2011/10/05 00:00:00+00,INTERSECTION,Bardstown Rd / Bardstown Falls Rd,Louisville,KY,40291.0,White,M,29.0,Bardstown Rd / Bardstown Falls Rd Louisville KY 40291,1261331.25,224773.3925,-85.5675572490742,38.1097907964886,,LOJIC
88,80-13-070366,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt145,45C,2013/09/15 00:00:00+00,INTERSECTION,Bardstown Rd / Bashford Manor Ln,Louisville,KY,40218.0,Black,M,27.0,Bardstown Rd / Bashford Manor Ln Louisville KY 40218,1233968.5,259096.4375,-85.6644772389665,38.2029181747351,,LOJIC
89,80-15-099620,Wpns Law Violation,Null,Smith & Wesson,Bodyguard 380,,2015/12/08 00:00:00+00,INTERSECTION,Bardstown Rd / Goldsmith Ln,Louisville,KY,40205.0,Black,M,24.0,Bardstown Rd / Goldsmith Ln Louisville KY 40205,1232702.0,261120.64125,-85.6689925988627,38.2084225241864,,LOJIC
90,80-16-111291,Aggravated Assault,"Pistol, Revolver                                       ",Harrington & Richardson,Sportsman 199,22C,2016/12/31 00:00:00+00,INTERSECTION,Bardstown Rd / Deer Park Ave,Louisville,KY,40205.0,Black,M,28.0,Bardstown Rd / Deer Park Ave Louisville KY 40205,1223392.75,268734.0,-85.7018044329501,38.2289280091471,,LOJIC
91,80-12-020381,Narcotics,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",Model 22/22c (4,40C,2012/03/16 00:00:00+00,INTERSECTION,Bardstown Rd / Douglass Blvd,Louisville,KY,40205.0,White,M,22.0,Bardstown Rd / Douglass Blvd Louisville KY 40205,1225625.875,267111.9375,-85.6939429094948,38.2245707481677,,LOJIC
92,80-12-020381,Narcotics,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",Model 22/22c (4,40C,2012/03/16 00:00:00+00,INTERSECTION,Bardstown Rd / Douglass Blvd,Louisville,KY,40205.0,White,M,22.0,Bardstown Rd / Douglass Blvd Louisville KY 40205,1225625.875,267111.9375,-85.6939429094948,38.2245707481677,,LOJIC
