ScoreRecent,GradeRecent,DateRecent,Score2,Grade2,Date2,Score3,Grade3,Date3,permit_number,facility_type,facility_type_description,subtype,subtype_description,premise_name,premise_address,premise_city,premise_state,premise_zip,opening_date,ObjectId
96,A,2023/03/23 00:00:00,91,C,2022/07/27 00:00:00,95,A,2021/12/08 00:00:00,33649,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,FISHERY,3624 LEXINGTON RD,LOUISVILLE,KY,40207,1988/08/05 00:00:00,20
100,,2022/10/31 00:00:00,100,,2021/10/26 00:00:00,100,,2019/02/15 00:00:00,33899,610,RETAIL FOOD STORES,62,PRE-PACKAGED RETAIL,UCHM SENIOR NUTRITION,150 S STATE ST,LOUISVILLE,KY,40206,2005/06/13 00:00:00,21
99,A,2023/04/11 00:00:00,99,A,2022/10/19 00:00:00,98,A,2022/02/21 00:00:00,34163,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,KY SCHOOL FOR THE BLIND,1867 FRANKFORT AVE,LOUISVILLE,KY,40206,2009/10/20 00:00:00,22
100,A,2023/09/29 00:00:00,100,A,2023/04/05 00:00:00,100,A,2022/09/16 00:00:00,34783,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,LOUISVILLE COUNTRY CLUB,25 MOCKINGBIRD VALLEY TRAIL,LOUISVILLE,KY,40207,1988/08/11 00:00:00,23
100,A,2023/07/06 00:00:00,98,,2023/07/06 00:00:00,98,A,2022/12/01 00:00:00,35199,607,RETAIL/FOOD ESTABLISHMENT,55,"RETAIL-FOOD  10,001 SQ FT OR OVER",KROGER L-224,2200 BROWNSBORO RD,LOUISVILLE,KY,40206,1988/08/12 00:00:00,24
98,A,2023/07/12 00:00:00,98,A,2022/11/01 00:00:00,95,A,2022/02/22 00:00:00,35211,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,PAT'S STEAK HOUSE,2437 BROWNSBORO RD,LOUISVILLE,KY,40206,1988/08/12 00:00:00,25
96,A,2023/05/25 00:00:00,94,A,2022/11/28 00:00:00,95,A,2022/04/18 00:00:00,35215,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,LEE'S FAMOUS RECIPE,2925 BROWNSBORO RD,LOUISVILLE,KY,40206,1988/08/12 00:00:00,26
99,A,2023/09/01 00:00:00,99,A,2022/10/20 00:00:00,99,A,2022/10/20 00:00:00,36820,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,IRISH ROVER CLUB,2319 FRANKFORT AVE,LOUISVILLE,KY,40206,1989/01/11 00:00:00,27
99,A,2023/10/09 00:00:00,98,,2023/10/09 00:00:00,93,A,2023/04/18 00:00:00,37089,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",SPEEDWAY #5485,4150 WESTPORT RD,LOUISVILLE,KY,40207,1989/02/28 00:00:00,28
99,,2023/07/20 00:00:00,100,,2022/08/02 00:00:00,100,,2021/07/28 00:00:00,41554,610,RETAIL FOOD STORES,61,SUPERMARKET WITH PROCESSING,CONVENIENCE PLUS ONE,1035 ZORN AVE,LOUISVILLE,KY,40207,1990/04/02 00:00:00,29
99,A,2023/08/02 00:00:00,99,A,2023/02/09 00:00:00,100,A,2022/08/16 00:00:00,43368,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,HEINE BROTHERS COFFEE,119 CHENOWETH LN,LOUISVILLE,KY,40207,1997/11/17 00:00:00,30
100,A,2023/06/27 00:00:00,100,,2023/06/27 00:00:00,99,A,2022/12/06 00:00:00,44242,607,RETAIL/FOOD ESTABLISHMENT,55,"RETAIL-FOOD  10,001 SQ FT OR OVER",KROGER L-387,291 N HUBBARDS LN,LOUISVILLE,KY,40207,1991/04/19 00:00:00,31
100,A,2023/07/24 00:00:00,100,A,2023/01/30 00:00:00,100,A,2022/08/10 00:00:00,45222,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,HEINE BROTHERS COFFEE,2309 FRANKFORT AVE,LOUISVILLE,KY,40206,2005/04/05 00:00:00,32
100,A,2023/08/22 00:00:00,96,,2023/08/22 00:00:00,98,A,2023/02/07 00:00:00,45468,607,RETAIL/FOOD ESTABLISHMENT,54,"RETAIL-FOOD  10,000 SQ FT OR LESS",LOTSA PASTA,3717 LEXINGTON RD,LOUISVILLE,KY,40207,1991/11/08 00:00:00,33
96,A,2023/06/08 00:00:00,96,A,2023/06/08 00:00:00,95,A,2022/10/27 00:00:00,46121,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,PORCINI,2730 FRANKFORT AVE,LOUISVILLE,KY,40206,1992/02/27 00:00:00,34
100,A,2023/09/19 00:00:00,100,A,2023/03/07 00:00:00,100,A,2022/09/13 00:00:00,46435,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,ST. MATTHEWS LITTLE LEAGUE,220 TEN PIN LN,LOUISVILLE,KY,40207,1992/04/24 00:00:00,35
97,A,2023/07/25 00:00:00,98,A,2023/01/09 00:00:00,100,A,2022/08/16 00:00:00,48068,605,FOOD SERVICE ESTABLISHMENT,11,FOOD SERVICE,PAPA JOHN'S #4,1961 BROWNSBORO RD,LOUISVILLE,KY,40206,2010/01/11 00:00:00,36
