OBJECTID,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
1007,2606706900,337.0,170.0,61.0,109.0,167.0,72.0,133.0,204.0,,0,0,0,0.358823529411765,0.431137724550898,,0.0,136638369.523438,70920.181524473
1008,2604927760,207.0,108.0,39.0,69.0,99.0,38.0,77.0,130.0,11.0,0,0,0,0.361111111111111,0.383838383838384,0.0531400966183575,0.0,191749275.00293,70458.3460971069
1009,2604919900,289.0,153.0,55.0,98.0,136.0,55.0,110.0,179.0,10.0,0,0,0,0.359477124183007,0.404411764705882,0.0346020761245675,0.0,937489720.936035,168906.135302398
1010,2604919880,117.0,52.0,20.0,32.0,65.0,28.0,48.0,69.0,,0,0,0,0.384615384615385,0.430769230769231,,0.0,55078599.5083008,42860.8589611686
1011,2604916620,75.0,39.0,15.0,24.0,36.0,15.0,30.0,45.0,,0,0,0,0.384615384615385,0.416666666666667,,0.0,31292425.4931641,30374.637760042
1012,2604916260,126.0,68.0,23.0,45.0,58.0,19.0,42.0,84.0,,0,0,0,0.338235294117647,0.327586206896552,,0.0,953642267.039551,132986.942938129
1013,2602104840,89.0,46.0,15.0,31.0,43.0,16.0,31.0,58.0,,0,0,0,0.326086956521739,0.372093023255814,,0.0,985457502.777832,125608.468908444
1014,2602100000,,,,,,,,,,0,0,0,,,,,27875580739.2837,709237.087239586
1015,2604912060,1091.0,565.0,203.0,362.0,526.0,224.0,427.0,664.0,47.0,7,0,0,0.35929203539823,0.425855513307985,0.0430797433547204,0.0064161319890009,652903809.307129,127253.060138716
1016,2604904000,94.0,48.0,16.0,32.0,46.0,16.0,32.0,62.0,,0,0,0,0.333333333333333,0.347826086956522,,0.0,1001560615.15332,126814.950154857
