OBJECTID,GEOID,NAME,B27011_001E,B27011_002E,B27011_003E,B27011_004E,B27011_005E,B27011_006E,B27011_007E,B27011_008E,B27011_009E,B27011_010E,B27011_011E,B27011_012E,B27011_013E,B27011_014E,B27011_015E,B27011_016E,B27011_017E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
25,53033001800,"Census Tract 18, King County, Washington",4115,3571,3520,3411,3284,192,109,51,51,51,0,0,544,536,502,46,8,5Y20,Seattle,9.2,9.0,Licton Springs,Licton Springs,18.0
26,53033001900,"Census Tract 19, King County, Washington",3540,3153,3058,3037,2858,185,21,95,48,18,30,47,387,387,298,114,0,5Y20,Seattle,8.1,8.0,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",19.0
27,53033002000,"Census Tract 20, King County, Washington",2794,2343,2165,2143,2041,108,22,178,137,94,43,41,451,404,179,251,47,5Y20,Seattle,8.1,8.0,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",20.0
28,53033002100,"Census Tract 21, King County, Washington",3035,2679,2563,2531,2480,58,32,116,68,57,11,48,356,322,282,58,34,5Y20,Seattle,7.4,7.0,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",21.0
29,53033002200,"Census Tract 22, King County, Washington",3635,3058,2952,2930,2828,133,22,106,92,92,36,14,577,577,481,113,0,5Y20,Seattle,7.4,7.0,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",22.0
30,53033002400,"Census Tract 24, King County, Washington",2144,2016,1977,1977,1901,117,0,39,39,20,19,0,128,119,95,24,9,5Y20,Seattle,7.4,7.0,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",24.0
31,53033002500,"Census Tract 25, King County, Washington",2336,1987,1943,1796,1671,134,147,44,44,34,10,0,349,333,270,79,16,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",25.0
32,53033002600,"Census Tract 26, King County, Washington",3942,3578,3437,3312,3082,232,125,141,125,70,55,16,364,323,274,58,41,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",26.0
33,53033002700,"Census Tract 27, King County, Washington",4115,3580,3550,3376,3207,169,174,30,30,30,0,0,535,493,452,127,42,5Y20,Seattle,9.4,9.0,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",27.0
34,53033002800,"Census Tract 28, King County, Washington",3725,3439,3388,3249,3104,167,139,51,51,34,17,0,286,286,283,62,0,5Y20,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",28.0
35,53033002900,"Census Tract 29, King County, Washington",3311,2836,2772,2728,2625,103,44,64,64,54,10,0,475,458,423,42,17,5Y20,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",29.0
36,53033003000,"Census Tract 30, King County, Washington",4581,3909,3838,3715,3544,198,123,71,46,46,0,25,672,651,554,97,21,5Y20,Seattle,10.2,10.0,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",30.0
37,53033003100,"Census Tract 31, King County, Washington",4170,3665,3498,3450,3414,108,48,167,167,167,0,0,505,505,491,69,0,5Y20,Seattle,10.3,10.0,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",31.0
38,53033003201,"Census Tract 32.01, King County, Washington",2941,2717,2717,2557,2557,30,160,0,0,0,0,0,224,189,189,68,35,5Y20,Seattle,10.3,10.0,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",32.01
39,53033003202,"Census Tract 32.02, King County, Washington",3171,2891,2743,2673,2673,47,70,148,148,148,0,0,280,280,180,100,0,5Y20,Seattle,10.3,10.0,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",32.02
40,53033003301,"Census Tract 33.01, King County, Washington",3650,3265,3099,3041,2890,151,58,166,166,166,0,0,385,385,257,128,0,5Y20,Seattle,10.2,10.0,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",33.01
41,53033003302,"Census Tract 33.02, King County, Washington",3197,2707,2640,2617,2347,291,23,67,67,67,0,0,490,457,317,161,33,5Y20,Seattle,10.2,10.0,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",33.02
42,53033003400,"Census Tract 34, King County, Washington",2606,2384,2230,2090,2063,54,140,154,107,86,21,47,222,222,204,23,0,5Y20,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",34.0
43,53033003500,"Census Tract 35, King County, Washington",2822,2445,2374,2328,2208,144,46,71,69,47,22,2,377,352,293,77,25,5Y20,Seattle,9.3,9.0,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",35.0
44,53033003601,"Census Tract 36.01, King County, Washington",2252,2053,2005,1968,1927,61,37,48,20,20,20,28,199,199,199,0,0,5Y20,Seattle,9.4,9.0,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",36.01
45,53033003602,"Census Tract 36.02, King County, Washington",3273,2904,2745,2722,2545,177,23,159,159,113,62,0,369,357,113,244,12,5Y20,Seattle,9.4,9.0,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",36.02
46,53033003800,"Census Tract 38, King County, Washington",1802,1532,1497,1475,1427,54,22,35,35,34,1,0,270,258,196,81,12,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",38.0
47,53033003900,"Census Tract 39, King County, Washington",1900,1587,1565,1498,1449,67,67,22,22,22,0,0,313,307,283,24,6,5Y20,Seattle,7.4,7.0,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",39.0
48,53033004000,"Census Tract 40, King County, Washington",1907,1594,1529,1505,1369,168,24,65,54,19,35,11,313,313,194,125,0,5Y20,Seattle,7.5,7.0,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",40.0
49,53033004101,"Census Tract 41.01, King County, Washington",2184,1610,1610,1610,1587,23,0,0,0,0,0,0,574,529,508,21,45,5Y20,Seattle,7.5,7.0,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",41.01
50,53033004102,"Census Tract 41.02, King County, Washington",2153,1696,1641,1547,1533,42,94,55,55,55,0,0,457,457,380,93,0,5Y20,Seattle,7.5,7.0,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",41.02
51,53033004201,"Census Tract 42.01, King County, Washington",2103,1784,1721,1721,1721,0,0,63,63,35,28,0,319,319,286,51,0,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",42.01
52,53033004202,"Census Tract 42.02, King County, Washington",3244,2803,2688,2673,2587,111,15,115,115,112,3,0,441,439,302,137,2,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",42.02
53,53033004301,"Census Tract 43.01, King County, Washington",2645,1918,1834,1721,1550,210,113,84,74,43,31,10,727,624,431,242,103,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",43.01
54,53033004302,"Census Tract 43.02, King County, Washington",3479,1920,1797,1765,1602,266,32,123,119,100,19,4,1559,1270,1191,87,289,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",43.02
55,53033004401,"Census Tract 44.01, King County, Washington",3393,3046,2784,2735,2499,259,49,262,231,105,152,31,347,347,324,23,0,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",44.01
56,53033004402,"Census Tract 44.02, King County, Washington",3109,2264,2204,2046,1810,263,158,60,46,46,0,14,845,747,675,127,98,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",44.02
57,53033004500,"Census Tract 45, King County, Washington",2720,2327,2237,2131,2016,158,106,90,90,79,20,0,393,365,345,31,28,5Y20,Seattle,11.2,11.0,Wallingford,"Wallingford, Meridian, Northlake, University District",45.0
58,53033004600,"Census Tract 46, King County, Washington",2459,2100,1888,1833,1808,43,55,212,212,59,153,0,359,327,318,45,32,5Y20,Seattle,9.4,9.0,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",46.0
59,53033004701,"Census Tract 47.01, King County, Washington",2507,2319,1976,1786,1748,40,190,343,244,225,19,99,188,150,57,93,38,5Y20,Seattle,10.4,10.0,Ballard,"Ballard, West Woodland, Adams",47.01
60,53033004702,"Census Tract 47.02, King County, Washington",2542,2422,2313,2285,2162,123,28,109,109,109,0,0,120,120,108,12,0,5Y20,Seattle,10.4,10.0,Ballard,"Ballard, West Woodland, Adams",47.02
61,53033004703,"Census Tract 47.03, King County, Washington",3026,2785,2770,2751,2663,111,19,15,0,0,0,15,241,241,241,0,0,5Y20,Seattle,10.4,10.0,Ballard,"Ballard, West Woodland, Adams",47.03
62,53033004800,"Census Tract 48, King County, Washington",4213,3796,3670,3635,3531,246,35,126,126,83,43,0,417,387,321,66,30,5Y20,Seattle,11.1,11.0,Fremont,"Fremont, Wallingford, Northlake",48.0
63,53033004901,"Census Tract 49.01, King County, Washington",3565,3197,3132,2987,2834,153,145,65,34,0,34,31,368,287,238,65,81,5Y20,Seattle,11.1,11.0,Fremont,"Fremont, Wallingford, Northlake",49.01
64,53033004902,"Census Tract 49.02, King County, Washington",3230,2990,2906,2828,2744,104,78,84,84,48,36,0,240,101,65,36,139,5Y20,Seattle,11.1,11.0,Fremont,"Fremont, Wallingford, Northlake",49.02
65,53033005000,"Census Tract 50, King County, Washington",3606,3405,3394,3126,3040,124,268,11,11,11,0,0,201,159,105,54,42,5Y20,Seattle,11.2,11.0,Wallingford,"Wallingford, Meridian, Northlake, University District",50.0
66,53033005100,"Census Tract 51, King County, Washington",2475,2129,2056,1952,1831,141,104,73,65,40,25,8,346,339,304,51,7,5Y20,Seattle,11.2,11.0,Wallingford,"Wallingford, Meridian, Northlake, University District",51.0
67,53033005201,"Census Tract 52.01, King County, Washington",3106,2632,2599,2442,2358,97,157,33,33,33,0,0,474,379,327,122,95,5Y20,Seattle,11.2,11.0,Wallingford,"Wallingford, Meridian, Northlake, University District",52.01
68,53033005202,"Census Tract 52.02, King County, Washington",3192,2263,2213,2169,2040,129,44,50,50,50,0,0,929,832,790,81,97,5Y20,Seattle,11.2,11.0,Wallingford,"Wallingford, Meridian, Northlake, University District",52.02
69,53033005303,"Census Tract 53.03, King County, Washington",2223,846,666,661,584,82,5,180,166,154,12,14,1377,1351,1292,66,26,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",53.03
