OBJECTID,GEOID,NAME,B27011_001E,B27011_002E,B27011_003E,B27011_004E,B27011_005E,B27011_006E,B27011_007E,B27011_008E,B27011_009E,B27011_010E,B27011_011E,B27011_012E,B27011_013E,B27011_014E,B27011_015E,B27011_016E,B27011_017E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
318,53033027800,"Census Tract 278, King County, Washington",1961,1578,1514,1463,1444,31,51,64,59,59,0,5,383,319,259,91,64,5Y20,King County Balance,,,,,278.0
319,53033027901,"Census Tract 279.01, King County, Washington",3020,2218,1836,1714,1627,166,122,382,301,37,264,81,802,728,336,405,74,5Y20,King County Balance,,,,,279.01
320,53033027902,"Census Tract 279.02, King County, Washington",2300,2067,1962,1526,1476,83,436,105,33,32,1,72,233,166,44,122,67,5Y20,King County Balance,,,,,279.02
321,53033028000,"Census Tract 280, King County, Washington",2945,2386,2247,1963,1658,486,284,139,116,41,75,23,559,541,107,477,18,5Y20,King County Balance,,,,,280.0
322,53033028100,"Census Tract 281, King County, Washington",1856,1591,1490,1360,1052,352,130,101,94,34,60,7,265,205,90,154,60,5Y20,King County Balance,,,,,281.0
323,53033028200,"Census Tract 282, King County, Washington",2971,2571,2531,2177,1807,440,354,40,40,16,24,0,400,364,129,282,36,5Y20,King County Balance,,,,,282.0
324,53033028300,"Census Tract 283, King County, Washington",3399,3037,2899,2813,2668,163,86,138,111,107,4,27,362,309,239,70,53,5Y20,King County Balance,,,,,283.0
325,53033028402,"Census Tract 284.02, King County, Washington",3532,2946,2757,2242,1591,704,515,189,189,123,66,0,586,482,196,326,104,5Y20,King County Balance,,,,,284.02
326,53033028403,"Census Tract 284.03, King County, Washington",2937,2429,2331,2167,1641,554,164,98,98,0,98,0,508,394,188,206,114,5Y20,King County Balance,,,,,284.03
327,53033028500,"Census Tract 285, King County, Washington",2930,2626,2491,2145,1933,268,346,135,49,33,19,86,304,281,144,177,23,5Y20,King County Balance,,,,,285.0
328,53033028600,"Census Tract 286, King County, Washington",3529,2914,2829,2728,2703,68,101,85,85,85,16,0,615,538,451,117,77,5Y20,King County Balance,,,,,286.0
329,53033028700,"Census Tract 287, King County, Washington",3410,2811,2604,2554,2397,224,50,207,198,148,50,9,599,549,249,311,50,5Y20,King County Balance,,,,,287.0
330,53033028801,"Census Tract 288.01, King County, Washington",1441,1158,1135,1101,1022,82,34,23,10,4,6,13,283,264,98,166,19,5Y20,King County Balance,,,,,288.01
331,53033028802,"Census Tract 288.02, King County, Washington",4274,3651,3471,2739,2111,682,732,180,140,15,125,40,623,421,168,261,202,5Y20,King County Balance,,,,,288.02
332,53033028901,"Census Tract 289.01, King County, Washington",2085,1730,1586,1494,1455,71,92,144,111,61,62,33,355,337,120,236,18,5Y20,King County Balance,,,,,289.01
333,53033028902,"Census Tract 289.02, King County, Washington",4396,3697,3435,2583,2239,371,852,262,160,81,79,102,699,577,149,446,122,5Y20,King County Balance,,,,,289.02
334,53033029001,"Census Tract 290.01, King County, Washington",2282,1862,1783,1656,1560,114,127,79,79,49,48,0,420,358,210,167,62,5Y20,King County Balance,,,,,290.01
335,53033029003,"Census Tract 290.03, King County, Washington",3919,3058,2889,2413,2174,352,476,169,132,36,96,37,861,494,140,397,367,5Y20,King County Balance,,,,,290.03
336,53033029004,"Census Tract 290.04, King County, Washington",2487,2008,1805,1175,889,293,630,203,174,46,128,29,479,302,55,247,177,5Y20,King County Balance,,,,,290.04
337,53033029101,"Census Tract 291.01, King County, Washington",2099,1774,1578,1450,1251,210,128,196,137,94,43,59,325,286,148,138,39,5Y20,King County Balance,,,,,291.01
338,53033029102,"Census Tract 291.02, King County, Washington",3093,2467,2406,2112,1723,454,294,61,50,17,50,11,626,527,300,270,99,5Y20,King County Balance,,,,,291.02
339,53033029203,"Census Tract 292.03, King County, Washington",1944,1479,1462,1314,1205,168,148,17,17,9,8,0,465,427,290,228,38,5Y20,King County Balance,,,,,292.03
340,53033029205,"Census Tract 292.05, King County, Washington",3216,2784,2705,2265,1977,403,440,79,79,47,51,0,432,375,217,187,57,5Y20,King County Balance,,,,,292.05
341,53033029206,"Census Tract 292.06, King County, Washington",2762,2086,1832,1509,1275,310,323,254,48,31,17,206,676,527,123,423,149,5Y20,King County Balance,,,,,292.06
342,53033029207,"Census Tract 292.07, King County, Washington",1732,1320,1179,1109,1024,85,70,141,75,35,40,66,412,370,268,113,42,5Y20,King County Balance,,,,,292.07
343,53033029208,"Census Tract 292.08, King County, Washington",2916,2600,2476,2059,1558,516,417,124,124,0,124,0,316,316,79,237,0,5Y20,King County Balance,,,,,292.08
344,53033029304,"Census Tract 293.04, King County, Washington",3080,2609,2473,2321,2266,96,152,136,42,33,9,94,471,412,367,59,59,5Y20,King County Balance,,,,,293.04
345,53033029305,"Census Tract 293.05, King County, Washington",2854,2215,2091,1835,1723,181,256,124,113,29,84,11,639,629,399,289,10,5Y20,King County Balance,,,,,293.05
346,53033029306,"Census Tract 293.06, King County, Washington",2197,1784,1732,1574,1466,130,158,52,44,8,36,8,413,380,330,78,33,5Y20,King County Balance,,,,,293.06
347,53033029307,"Census Tract 293.07, King County, Washington",2507,1954,1885,1761,1664,149,124,69,7,7,0,62,553,522,420,113,31,5Y20,King County Balance,,,,,293.07
348,53033029308,"Census Tract 293.08, King County, Washington",2280,1857,1725,1677,1489,246,48,132,114,111,3,18,423,406,270,157,17,5Y20,King County Balance,,,,,293.08
349,53033029309,"Census Tract 293.09, King County, Washington",2581,2307,2198,2067,2011,166,131,109,109,60,49,0,274,262,134,168,12,5Y20,King County Balance,,,,,293.09
350,53033029403,"Census Tract 294.03, King County, Washington",3890,3126,2952,2818,2541,341,134,174,73,45,28,101,764,670,374,327,94,5Y20,King County Balance,,,,,294.03
351,53033029405,"Census Tract 294.05, King County, Washington",3790,3121,3061,2943,2751,264,118,60,53,33,20,7,669,628,411,269,41,5Y20,King County Balance,,,,,294.05
352,53033029406,"Census Tract 294.06, King County, Washington",3075,2639,2501,2408,2167,249,93,138,110,72,38,28,436,421,263,175,15,5Y20,King County Balance,,,,,294.06
353,53033029407,"Census Tract 294.07, King County, Washington",2758,2076,1961,1780,1452,378,181,115,105,0,105,10,682,604,256,407,78,5Y20,King County Balance,,,,,294.07
354,53033029408,"Census Tract 294.08, King County, Washington",3154,2486,2285,1764,1553,254,521,201,201,93,108,0,668,562,207,409,106,5Y20,King County Balance,,,,,294.08
355,53033029504,"Census Tract 295.04, King County, Washington",4106,2998,2577,2388,2145,395,189,421,286,120,166,135,1108,1025,432,593,83,5Y20,King County Balance,,,,,295.04
356,53033029505,"Census Tract 295.05, King County, Washington",2511,2148,2089,1839,1487,484,250,59,59,23,36,0,363,298,148,150,65,5Y20,King County Balance,,,,,295.05
357,53033029506,"Census Tract 295.06, King County, Washington",2837,2255,2195,1983,1415,568,212,60,60,0,60,0,582,543,179,390,39,5Y20,King County Balance,,,,,295.06
358,53033029507,"Census Tract 295.07, King County, Washington",2120,1803,1677,1528,1237,308,149,126,126,30,96,0,317,317,150,167,0,5Y20,King County Balance,,,,,295.07
359,53033029508,"Census Tract 295.08, King County, Washington",2266,1988,1818,1690,1603,181,128,170,170,53,119,0,278,278,225,68,0,5Y20,King County Balance,,,,,295.08
360,53033029602,"Census Tract 296.02, King County, Washington",3979,3512,3349,3263,3134,155,86,163,155,35,140,8,467,436,321,124,31,5Y20,King County Balance,,,,,296.02
361,53033029603,"Census Tract 296.03, King County, Washington",2981,2484,2376,2073,1937,159,303,108,108,81,27,0,497,423,148,275,74,5Y20,King County Balance,,,,,296.03
362,53033029604,"Census Tract 296.04, King County, Washington",2001,1547,1292,1213,1078,142,79,255,255,245,183,0,454,395,108,287,59,5Y20,King County Balance,,,,,296.04
363,53033029701,"Census Tract 297.01, King County, Washington",2790,2395,2128,1922,1635,348,206,267,190,35,155,77,395,342,152,210,53,5Y20,King County Balance,,,,,297.01
364,53033029702,"Census Tract 297.02, King County, Washington",1420,1160,1111,823,706,169,288,49,49,35,14,0,260,199,78,135,61,5Y20,King County Balance,,,,,297.02
365,53033029803,"Census Tract 298.03, King County, Washington",2409,1951,1818,1567,1456,193,251,133,66,26,40,67,458,353,257,179,105,5Y20,King County Balance,,,,,298.03
366,53033029804,"Census Tract 298.04, King County, Washington",2911,2329,2155,2138,1996,216,17,174,174,174,0,0,582,540,371,169,42,5Y20,King County Balance,,,,,298.04
367,53033029805,"Census Tract 298.05, King County, Washington",2483,1856,1842,1734,1486,297,108,14,14,14,0,0,627,514,260,254,113,5Y20,King County Balance,,,,,298.05
368,53033029806,"Census Tract 298.06, King County, Washington",3396,3049,2939,2655,2316,409,284,110,86,86,0,24,347,291,146,145,56,5Y20,King County Balance,,,,,298.06
369,53033029901,"Census Tract 299.01, King County, Washington",2897,2307,2154,2004,1750,278,150,153,153,26,143,0,590,575,175,409,15,5Y20,King County Balance,,,,,299.01
370,53033029902,"Census Tract 299.02, King County, Washington",2933,2293,2167,2057,1996,158,110,126,103,103,0,23,640,606,413,274,34,5Y20,King County Balance,,,,,299.02
371,53033030003,"Census Tract 300.03, King County, Washington",3853,2999,2789,2021,1949,129,768,210,38,35,3,172,854,753,356,444,101,5Y20,King County Balance,,,,,300.03
372,53033030005,"Census Tract 300.05, King County, Washington",3376,2755,2655,2092,1891,278,563,100,85,29,56,15,621,524,305,310,97,5Y20,King County Balance,,,,,300.05
373,53033030006,"Census Tract 300.06, King County, Washington",2473,2035,1930,1237,1008,239,693,105,78,13,65,27,438,321,189,142,117,5Y20,King County Balance,,,,,300.06
374,53033030007,"Census Tract 300.07, King County, Washington",1984,1558,1558,1384,933,550,174,0,0,0,0,0,426,291,111,207,135,5Y20,King County Balance,,,,,300.07
375,53033030008,"Census Tract 300.08, King County, Washington",3018,2559,2425,2121,1850,366,304,134,76,15,76,58,459,398,109,327,61,5Y20,King County Balance,,,,,300.08
376,53033030101,"Census Tract 301.01, King County, Washington",2210,1689,1520,1229,958,350,291,169,148,86,62,21,521,521,114,428,0,5Y20,King County Balance,,,,,301.01
377,53033030102,"Census Tract 301.02, King County, Washington",2009,1567,1533,1390,1357,33,143,34,15,0,15,19,442,427,341,118,15,5Y20,King County Balance,,,,,301.02
378,53033030201,"Census Tract 302.01, King County, Washington",3942,2996,2848,2504,2219,344,344,148,116,116,73,32,946,872,461,461,74,5Y20,King County Balance,,,,,302.01
379,53033030203,"Census Tract 302.03, King County, Washington",2408,1982,1790,1197,1025,224,593,192,0,0,0,192,426,379,146,240,47,5Y20,King County Balance,,,,,302.03
380,53033030204,"Census Tract 302.04, King County, Washington",2215,1611,1498,1362,1134,280,136,113,88,11,77,25,604,507,127,425,97,5Y20,King County Balance,,,,,302.04
381,53033030304,"Census Tract 303.04, King County, Washington",2688,2039,2001,1758,1657,169,243,38,38,26,12,0,649,625,300,382,24,5Y20,King County Balance,,,,,303.04
382,53033030305,"Census Tract 303.05, King County, Washington",2946,2000,1967,1866,1782,154,101,33,19,17,2,14,946,931,601,397,15,5Y20,King County Balance,,,,,303.05
383,53033030306,"Census Tract 303.06, King County, Washington",3648,2864,2764,2527,2390,166,237,100,82,64,18,18,784,724,504,247,60,5Y20,King County Balance,,,,,303.06
384,53033030308,"Census Tract 303.08, King County, Washington",3793,3137,2954,2708,2495,322,246,183,139,52,87,44,656,603,466,185,53,5Y20,King County Balance,,,,,303.08
385,53033030309,"Census Tract 303.09, King County, Washington",3843,3375,3258,2978,2578,587,280,117,100,31,69,17,468,412,276,172,56,5Y20,King County Balance,,,,,303.09
386,53033030310,"Census Tract 303.10, King County, Washington",4366,3589,3473,3358,3069,378,115,116,94,94,0,22,777,767,567,205,10,5Y20,King County Balance,,,,,303.1
387,53033030311,"Census Tract 303.11, King County, Washington",2882,2277,2147,2009,1873,175,138,130,82,48,34,48,605,555,403,258,50,5Y20,King County Balance,,,,,303.11
388,53033030312,"Census Tract 303.12, King County, Washington",3393,2641,2436,2186,2019,202,250,205,157,87,84,48,752,635,424,250,117,5Y20,King County Balance,,,,,303.12
389,53033030313,"Census Tract 303.13, King County, Washington",2827,2249,2138,1731,1391,398,407,111,65,38,27,46,578,507,163,375,71,5Y20,King County Balance,,,,,303.13
390,53033030314,"Census Tract 303.14, King County, Washington",2476,1905,1817,1492,1437,137,325,88,42,34,8,46,571,521,195,361,50,5Y20,King County Balance,,,,,303.14
391,53033030403,"Census Tract 304.03, King County, Washington",3015,2453,2382,2329,2196,203,53,71,50,26,24,21,562,528,286,294,34,5Y20,King County Balance,,,,,304.03
392,53033030404,"Census Tract 304.04, King County, Washington",2955,2547,2470,2402,2175,316,68,77,32,9,23,45,408,388,214,221,20,5Y20,King County Balance,,,,,304.04
393,53033030405,"Census Tract 304.05, King County, Washington",2100,1523,1468,1438,1239,247,30,55,39,38,1,16,577,566,346,296,11,5Y20,King County Balance,,,,,304.05
394,53033030406,"Census Tract 304.06, King County, Washington",1887,1593,1523,1450,1202,289,73,70,23,23,0,47,294,255,151,129,39,5Y20,King County Balance,,,,,304.06
395,53033030407,"Census Tract 304.07, King County, Washington",1513,1239,1128,987,697,290,141,111,111,38,73,0,274,251,131,173,23,5Y20,King County Balance,,,,,304.07
396,53033030501,"Census Tract 305.01, King County, Washington",1399,972,952,733,704,125,219,20,20,9,15,0,427,392,72,344,35,5Y20,King County Balance,,,,,305.01
397,53033030503,"Census Tract 305.03, King County, Washington",2898,2238,2160,2069,1817,393,91,78,63,31,32,15,660,643,146,543,17,5Y20,King County Balance,,,,,305.03
398,53033030504,"Census Tract 305.04, King County, Washington",2833,2232,2138,1878,1594,359,260,94,54,29,25,40,601,483,109,382,118,5Y20,King County Balance,,,,,305.04
399,53033030600,"Census Tract 306, King County, Washington",3685,2899,2726,2324,2196,186,402,173,173,97,76,0,786,689,287,540,97,5Y20,King County Balance,,,,,306.0
400,53033030700,"Census Tract 307, King County, Washington",2734,2212,2077,1767,1487,385,310,135,51,10,41,84,522,429,118,341,93,5Y20,King County Balance,,,,,307.0
401,53033030801,"Census Tract 308.01, King County, Washington",3732,3132,2844,2118,1828,522,726,288,143,10,133,145,600,510,93,439,90,5Y20,King County Balance,,,,,308.01
402,53033030802,"Census Tract 308.02, King County, Washington",2174,1714,1663,1496,1249,285,167,51,44,22,22,7,460,397,255,185,63,5Y20,King County Balance,,,,,308.02
403,53033030901,"Census Tract 309.01, King County, Washington",2603,2216,2025,1854,1587,342,171,191,175,85,90,16,387,321,180,180,66,5Y20,King County Balance,,,,,309.01
404,53033030902,"Census Tract 309.02, King County, Washington",3899,3250,3199,2985,2518,596,214,51,7,7,0,44,649,583,311,394,66,5Y20,King County Balance,,,,,309.02
405,53033031000,"Census Tract 310, King County, Washington",2783,2447,2359,2247,2176,148,112,88,88,59,29,0,336,310,255,74,26,5Y20,King County Balance,,,,,310.0
406,53033031101,"Census Tract 311.01, King County, Washington",2712,2233,2124,1670,1583,199,454,109,86,50,39,23,479,416,221,238,63,5Y20,King County Balance,,,,,311.01
407,53033031102,"Census Tract 311.02, King County, Washington",1772,1411,1366,1123,994,277,243,45,45,6,39,0,361,328,119,261,33,5Y20,King County Balance,,,,,311.02
408,53033031202,"Census Tract 312.02, King County, Washington",3546,2597,2452,2275,2044,303,177,145,34,12,22,111,949,620,348,293,329,5Y20,King County Balance,,,,,312.02
409,53033031204,"Census Tract 312.04, King County, Washington",3673,2818,2771,2732,2665,214,39,47,47,13,34,0,855,782,627,253,73,5Y20,King County Balance,,,,,312.04
410,53033031206,"Census Tract 312.06, King County, Washington",3332,2077,2026,1828,1586,281,198,51,28,18,10,23,1255,1015,824,335,240,5Y20,King County Balance,,,,,312.06
411,53033031207,"Census Tract 312.07, King County, Washington",2479,2008,1885,1675,1437,409,210,123,94,57,37,29,471,431,152,301,40,5Y20,King County Balance,,,,,312.07
412,53033031208,"Census Tract 312.08, King County, Washington",2821,2384,2271,2023,1916,164,248,113,113,29,84,0,437,354,278,93,83,5Y20,King County Balance,,,,,312.08
413,53033031301,"Census Tract 313.01, King County, Washington",1199,915,823,748,698,80,75,92,65,38,27,27,284,252,217,43,32,5Y20,King County Balance,,,,,313.01
414,53033031302,"Census Tract 313.02, King County, Washington",2481,2222,2140,1876,1674,209,264,82,82,23,59,0,259,259,166,102,0,5Y20,King County Balance,,,,,313.02
415,53033031400,"Census Tract 314, King County, Washington",3732,3081,2815,2700,2553,201,115,266,217,80,137,49,651,531,390,193,120,5Y20,King County Balance,,,,,314.0
416,53033031501,"Census Tract 315.01, King County, Washington",2466,1941,1879,1744,1636,162,135,62,30,30,30,32,525,396,242,154,129,5Y20,King County Balance,,,,,315.01
417,53033031502,"Census Tract 315.02, King County, Washington",2927,2381,2328,2119,2059,124,209,53,53,0,53,0,546,515,441,143,31,5Y20,King County Balance,,,,,315.02
418,53033031601,"Census Tract 316.01, King County, Washington",3524,3024,2961,2856,2755,185,105,63,63,44,19,0,500,459,418,50,41,5Y20,King County Balance,,,,,316.01
419,53033031603,"Census Tract 316.03, King County, Washington",4238,3324,3213,2955,2869,160,258,111,111,109,2,0,914,856,804,124,58,5Y20,King County Balance,,,,,316.03
420,53033031604,"Census Tract 316.04, King County, Washington",3400,2829,2701,2617,2541,105,84,128,128,85,43,0,571,550,510,50,21,5Y20,King County Balance,,,,,316.04
421,53033031605,"Census Tract 316.05, King County, Washington",2776,2434,2411,2304,2268,83,107,23,23,23,14,0,342,342,308,109,0,5Y20,King County Balance,,,,,316.05
422,53033031704,"Census Tract 317.04, King County, Washington",4033,3199,3095,2791,2622,277,304,104,87,43,44,17,834,751,540,319,83,5Y20,King County Balance,,,,,317.04
423,53033031705,"Census Tract 317.05, King County, Washington",2475,2088,2005,1919,1773,146,86,83,42,42,13,41,387,361,325,60,26,5Y20,King County Balance,,,,,317.05
424,53033031707,"Census Tract 317.07, King County, Washington",1538,1327,1278,1247,1224,28,31,49,49,28,21,0,211,201,168,33,10,5Y20,King County Balance,,,,,317.07
425,53033031708,"Census Tract 317.08, King County, Washington",2527,1965,1946,1744,1635,109,202,19,19,19,0,0,562,438,128,317,124,5Y20,King County Balance,,,,,317.08
426,53033031709,"Census Tract 317.09, King County, Washington",2430,2002,1926,1926,1675,303,0,76,21,0,21,55,428,419,419,22,9,5Y20,King County Balance,,,,,317.09
427,53033031710,"Census Tract 317.10, King County, Washington",2659,2101,2029,1730,1699,52,299,72,0,0,0,72,558,444,142,302,114,5Y20,King County Balance,,,,,317.1
428,53033031800,"Census Tract 318, King County, Washington",2982,2475,2400,2344,2219,159,56,75,53,46,7,22,507,453,358,125,54,5Y20,King County Balance,,,,,318.0
429,53033031904,"Census Tract 319.04, King County, Washington",1920,1430,1404,1305,1288,38,99,26,26,25,1,0,490,490,415,97,0,5Y20,King County Balance,,,,,319.04
430,53033031906,"Census Tract 319.06, King County, Washington",2125,1608,1534,1517,1472,45,17,74,62,51,11,12,517,457,282,189,60,5Y20,King County Balance,,,,,319.06
431,53033031908,"Census Tract 319.08, King County, Washington",2813,2394,2216,2141,2055,131,75,178,171,58,151,7,419,280,227,74,139,5Y20,King County Balance,,,,,319.08
432,53033031909,"Census Tract 319.09, King County, Washington",1901,1379,1286,1272,1155,187,14,93,93,21,72,0,522,443,426,17,79,5Y20,King County Balance,,,,,319.09
433,53033031910,"Census Tract 319.10, King County, Washington",2607,2233,2053,1921,1741,198,132,180,140,140,0,40,374,374,283,91,0,5Y20,King County Balance,,,,,319.1
434,53033031911,"Census Tract 319.11, King County, Washington",2613,1979,1945,1930,1872,72,15,34,18,0,18,16,634,605,511,108,29,5Y20,King County Balance,,,,,319.11
435,53033031912,"Census Tract 319.12, King County, Washington",2405,1982,1955,1781,1580,244,174,27,27,16,11,0,423,393,274,305,30,5Y20,King County Balance,,,,,319.12
436,53033031913,"Census Tract 319.13, King County, Washington",2106,1930,1859,1859,1859,46,0,71,71,71,0,0,176,176,162,18,0,5Y20,King County Balance,,,,,319.13
437,53033032002,"Census Tract 320.02, King County, Washington",1714,1113,1044,978,946,46,66,69,69,47,22,0,601,493,398,104,108,5Y20,King County Balance,,,,,320.02
438,53033032003,"Census Tract 320.03, King County, Washington",3395,2818,2786,2691,2629,90,95,32,32,32,0,0,577,564,521,63,13,5Y20,King County Balance,,,,,320.03
439,53033032005,"Census Tract 320.05, King County, Washington",4708,4030,3936,3762,3504,530,174,94,94,94,0,0,678,678,518,247,0,5Y20,King County Balance,,,,,320.05
440,53033032006,"Census Tract 320.06, King County, Washington",3187,2522,2371,2305,2207,145,66,151,85,57,28,66,665,640,470,192,25,5Y20,King County Balance,,,,,320.06
441,53033032007,"Census Tract 320.07, King County, Washington",2082,1651,1593,1555,1502,90,38,58,58,45,13,0,431,419,386,43,12,5Y20,King County Balance,,,,,320.07
442,53033032008,"Census Tract 320.08, King County, Washington",2899,2322,2185,2118,2044,216,67,137,128,36,92,9,577,553,489,100,24,5Y20,King County Balance,,,,,320.08
443,53033032010,"Census Tract 320.10, King County, Washington",3824,3369,3205,3138,3138,56,67,164,128,112,16,36,455,436,352,106,19,5Y20,King County Balance,,,,,320.1
444,53033032011,"Census Tract 320.11, King County, Washington",2567,2149,2102,1971,1961,51,131,47,47,21,26,0,418,391,368,40,27,5Y20,King County Balance,,,,,320.11
445,53033032102,"Census Tract 321.02, King County, Washington",3114,2482,2279,2249,2192,114,30,203,78,78,13,125,632,541,459,96,91,5Y20,King County Balance,,,,,321.02
446,53033032103,"Census Tract 321.03, King County, Washington",3420,3081,3003,2822,2737,218,181,78,78,56,37,0,339,286,126,198,53,5Y20,King County Balance,,,,,321.03
447,53033032104,"Census Tract 321.04, King County, Washington",4167,3505,3236,2972,2798,291,264,269,208,140,68,61,662,581,553,157,81,5Y20,King County Balance,,,,,321.04
448,53033032207,"Census Tract 322.07, King County, Washington",2193,1674,1640,1631,1616,15,9,34,34,34,0,0,519,519,510,25,0,5Y20,King County Balance,,,,,322.07
449,53033032211,"Census Tract 322.11, King County, Washington",2933,2323,2277,2276,2238,75,1,46,37,37,0,9,610,552,535,25,58,5Y20,King County Balance,,,,,322.11
450,53033032213,"Census Tract 322.13, King County, Washington",2860,2284,2244,2244,2234,10,0,40,40,30,10,0,576,576,558,53,0,5Y20,King County Balance,,,,,322.13
451,53033032215,"Census Tract 322.15, King County, Washington",3375,2435,2423,2423,2423,8,0,12,12,0,12,0,940,918,904,41,22,5Y20,King County Balance,,,,,322.15
452,53033032216,"Census Tract 322.16, King County, Washington",2926,2223,2160,2055,2011,44,105,63,63,63,0,0,703,586,543,43,117,5Y20,King County Balance,,,,,322.16
453,53033032217,"Census Tract 322.17, King County, Washington",2462,1773,1677,1658,1658,33,19,96,96,91,5,0,689,687,678,10,2,5Y20,King County Balance,,,,,322.17
454,53033032218,"Census Tract 322.18, King County, Washington",3156,2391,2364,2328,2309,43,36,27,27,27,0,0,765,752,668,84,13,5Y20,King County Balance,,,,,322.18
455,53033032219,"Census Tract 322.19, King County, Washington",3234,2583,2514,2498,2434,100,16,69,69,46,23,0,651,651,539,127,0,5Y20,King County Balance,,,,,322.19
456,53033032220,"Census Tract 322.20, King County, Washington",6268,5383,5237,5145,5054,173,92,146,115,115,0,31,885,871,785,107,14,5Y20,King County Balance,,,,,322.2
457,53033032221,"Census Tract 322.21, King County, Washington",4250,3735,3623,3621,3596,164,2,112,112,75,37,0,515,514,514,0,1,5Y20,King County Balance,,,,,322.21
458,53033032222,"Census Tract 322.22, King County, Washington",2830,2453,2334,2252,2010,253,82,119,119,74,45,0,377,365,320,45,12,5Y20,King County Balance,,,,,322.22
459,53033032223,"Census Tract 322.23, King County, Washington",2377,1964,1953,1953,1953,32,0,11,11,11,0,0,413,413,413,66,0,5Y20,King County Balance,,,,,322.23
460,53033032224,"Census Tract 322.24, King County, Washington",1564,1218,1187,1187,1187,0,0,31,31,31,0,0,346,346,345,1,0,5Y20,King County Balance,,,,,322.24
461,53033032225,"Census Tract 322.25, King County, Washington",2172,1686,1623,1623,1623,0,0,63,63,42,21,0,486,479,479,0,7,5Y20,King County Balance,,,,,322.25
462,53033032307,"Census Tract 323.07, King County, Washington",3750,2958,2882,2800,2746,66,82,76,62,62,0,14,792,736,554,189,56,5Y20,King County Balance,,,,,323.07
463,53033032311,"Census Tract 323.11, King County, Washington",4115,2841,2697,2629,2527,112,68,144,132,120,12,12,1274,1110,1088,22,164,5Y20,King County Balance,,,,,323.11
464,53033032313,"Census Tract 323.13, King County, Washington",4288,3303,3175,2987,2955,59,188,128,128,128,0,0,985,985,944,68,0,5Y20,King County Balance,,,,,323.13
465,53033032315,"Census Tract 323.15, King County, Washington",3440,2691,2616,2598,2546,73,18,75,75,69,6,0,749,749,663,95,0,5Y20,King County Balance,,,,,323.15
466,53033032316,"Census Tract 323.16, King County, Washington",3249,2433,2384,2341,2315,35,43,49,32,32,0,17,816,788,764,40,28,5Y20,King County Balance,,,,,323.16
467,53033032317,"Census Tract 323.17, King County, Washington",4110,3098,3013,2975,2947,127,38,85,85,85,0,0,1012,995,875,141,17,5Y20,King County Balance,,,,,323.17
468,53033032318,"Census Tract 323.18, King County, Washington",4247,3521,3426,3339,3312,79,87,95,61,61,0,34,726,702,679,23,24,5Y20,King County Balance,,,,,323.18
469,53033032319,"Census Tract 323.19, King County, Washington",4134,3413,3281,3142,2876,353,139,132,131,104,41,1,721,633,501,175,88,5Y20,King County Balance,,,,,323.19
470,53033032320,"Census Tract 323.20, King County, Washington",3041,2419,2334,2244,2173,85,90,85,85,78,7,0,622,606,499,117,16,5Y20,King County Balance,,,,,323.2
471,53033032321,"Census Tract 323.21, King County, Washington",4213,3498,3443,3362,3275,124,81,55,55,55,0,0,715,679,591,98,36,5Y20,King County Balance,,,,,323.21
472,53033032322,"Census Tract 323.22, King County, Washington",1933,1514,1474,1396,1382,38,78,40,40,40,0,0,419,375,347,28,44,5Y20,King County Balance,,,,,323.22
473,53033032323,"Census Tract 323.23, King County, Washington",3528,2900,2811,2765,2692,73,46,89,77,77,0,12,628,614,614,13,14,5Y20,King County Balance,,,,,323.23
474,53033032324,"Census Tract 323.24, King County, Washington",4138,3219,2999,2726,2635,174,273,220,68,68,0,152,919,843,687,261,76,5Y20,King County Balance,,,,,323.24
475,53033032325,"Census Tract 323.25, King County, Washington",4094,3208,2959,2959,2868,169,0,249,131,131,0,118,886,886,644,274,0,5Y20,King County Balance,,,,,323.25
476,53033032326,"Census Tract 323.26, King County, Washington",2182,1636,1516,1337,1298,155,179,120,120,76,44,0,546,498,482,30,48,5Y20,King County Balance,,,,,323.26
477,53033032327,"Census Tract 323.27, King County, Washington",1459,1065,1016,955,913,67,61,49,49,38,11,0,394,362,332,63,32,5Y20,King County Balance,,,,,323.27
478,53033032328,"Census Tract 323.28, King County, Washington",1914,1513,1473,1473,1439,79,0,40,40,29,11,0,401,401,365,45,0,5Y20,King County Balance,,,,,323.28
479,53033032330,"Census Tract 323.30, King County, Washington",3052,2652,2555,2479,2465,14,76,97,97,82,15,0,400,345,304,41,55,5Y20,King County Balance,,,,,323.3
480,53033032331,"Census Tract 323.31, King County, Washington",3817,3265,3216,2833,2719,114,383,49,49,49,0,0,552,535,535,0,17,5Y20,King County Balance,,,,,323.31
481,53033032332,"Census Tract 323.32, King County, Washington",3953,3224,3177,3160,3149,31,17,47,47,47,0,0,729,720,712,21,9,5Y20,King County Balance,,,,,323.32
482,53033032333,"Census Tract 323.33, King County, Washington",1725,1350,1322,1306,1306,28,16,28,28,28,0,0,375,359,281,78,16,5Y20,King County Balance,,,,,323.33
483,53033032401,"Census Tract 324.01, King County, Washington",3783,3091,3009,2863,2774,89,146,82,69,69,0,13,692,645,526,119,47,5Y20,King County Balance,,,,,324.01
