OBJECTID,LBAS_NO,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
1754,3604-04,3604,Myron Kinney Brook,36,Pachaug,3,Thames,238.34599304,0.37241598,20714.5889646023,-10382373.0445533
1755,6900-24,6900,Naugatuck River,69,Naugatuck,6,Housatonic,349.70401,0.546413,18625.6360391983,-15233124.5315385
1756,4013-11,4013,Sumner Brook,40,Connecticut Main Stem,4,Connecticut,199.8480072,0.31226301,17008.2241794108,-8705387.36672217
1757,4607-13,4607,Coginchaug River,46,Mattabesset,4,Connecticut,1215.9699707,1.89995002,45359.3015567601,-52967560.1019041
1758,3604-03,3604,Myron Kinney Brook,36,Pachaug,3,Thames,191.02799987,0.29848098,17042.3420818044,-8321180.6209188
1759,4000-45,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,1226.7199707,1.91673994,40448.8272091846,-53435737.5564135
1760,4000-43,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,987.38098144,1.54278004,33257.3036898445,-43010328.9757386
1761,3003-03,3003,Poquetanuck Brook,30,Thames Main Stem,3,Thames,958.90698242,1.49828994,37752.2116392522,-41769970.526344
1762,3906-09,3906,Gardner Brook,39,Yantic,3,Thames,234.7579956,0.36680901,15217.4922775728,-10226042.3515539
1763,1002-03,1002,Green Fall River,10,Pawcatuck Main Stem,1,Pawcatuck,363.28799438,0.56763797,23035.068649994,-15824843.9484602
1764,4013-07,4013,Sumner Brook,40,Connecticut Main Stem,4,Connecticut,413.48001098,0.64606201,22047.8666975608,-18011165.3308532
1765,4710-07,4710,Moodus River,47,Salmon,4,Connecticut,627.51098632,0.98048597,22203.0560916044,-27334366.0552881
1766,3904-03,3904,Deep River,39,Yantic,3,Thames,671.65399169,1.04946005,30942.3389663194,-29257259.2304266
1767,4802-01,4802,East Branch Eightmile River,48,Eightmile,4,Connecticut,908.37097167,1.41933,31184.8537555731,-39568636.1401371
1768,6916-08,6916,Hop Brook,69,Naugatuck,6,Housatonic,422.10998535,0.65954601,22670.196279728,-18387097.1426808
1769,6806-01,6806,Transylvania Brook,68,Pomperaug,6,Housatonic,491.80499267,0.76844501,24564.8124551223,-21423031.1615563
1770,6917-00,6917,Long Meadow Pond Brook,69,Naugatuck,6,Housatonic,4288.95019531,6.70148992,117705.235501525,-186826681.263969
1771,4013-05,4013,Sumner Brook,40,Connecticut Main Stem,4,Connecticut,313.67401123,0.490116,19597.8805125272,-13663648.5159568
1772,4800-03,4800,Eightmile River,48,Eightmile,4,Connecticut,258.56500244,0.40400698,17086.8384292292,-11263079.0581637
1773,4710-05,4710,Moodus River,47,Salmon,4,Connecticut,635.90600585,0.993604,26886.0952696292,-27700075.4558745
1774,5200-08,5200,Quinnipiac River,52,Quinnipiac,5,South Central Coast,611.87298583,0.95605099,24447.7277039118,-26653179.6054267
1775,6700-34,6700,Shepaug River,67,Shepaug,6,Housatonic,904.27398681,1.41293001,29305.8112602685,-39390168.4143479
1776,3001-08,3001,Trading Cove Brook,30,Thames Main Stem,3,Thames,765.4119873,1.19596004,28987.6676900013,-33341361.2309407
1777,6000-40,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,558.85198974,0.87320601,22913.1280257028,-24343599.6438748
1778,6400-01,6400,Lake Candlewood,64,Candlewood,6,Housatonic,516.32897949,0.806764,22379.3521167603,-22491281.7604726
1779,4607-10,4607,Coginchaug River,46,Mattabesset,4,Connecticut,1745.76000976,2.72775006,46433.364343972,-76045419.206903
1780,4013-09,4013,Sumner Brook,40,Connecticut Main Stem,4,Connecticut,485.77899169,0.75902998,27494.6294118846,-21160530.6858749
1781,5202-02,5202,Tenmile River,52,Quinnipiac,5,South Central Coast,1212.32995605,1.89426994,44876.8386041704,-52809174.7192694
1782,3604-01,3604,Myron Kinney Brook,36,Pachaug,3,Thames,656.77301025,1.02620995,26430.8821481756,-28609044.2771738
1783,3604-02,3604,Myron Kinney Brook,36,Pachaug,3,Thames,459.45800781,0.71790301,24590.6583678631,-20013989.8470598
1784,3001-02,3001,Trading Cove Brook,30,Thames Main Stem,3,Thames,439.58300781,0.68684798,25807.9814024222,-19148220.9457153
1785,3003-04,3003,Poquetanuck Brook,30,Thames Main Stem,3,Thames,557.77099609,0.871517,35097.7692445161,-24296490.2629632
1786,5200-10,5200,Quinnipiac River,52,Quinnipiac,5,South Central Coast,1742.92004394,2.72330999,51980.6780797075,-75921598.6013311
1787,3003-01,3003,Poquetanuck Brook,30,Thames Main Stem,3,Thames,2182.87988281,3.41074991,84798.4909032656,-95086169.6842279
1788,6000-46,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,519.51599121,0.81174397,30301.5492592668,-22630128.5494335
1789,4607-12,4607,Coginchaug River,46,Mattabesset,4,Connecticut,301.0710144,0.47042399,19366.3492039648,-13114658.2615487
1790,3906-02,3906,Gardner Brook,39,Yantic,3,Thames,501.86099243,0.78415799,27091.231446765,-21861059.9692487
