OBJECTID,LBAS_NO,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
1,6000-00,6000,Housatonic River,60,Housatonic Main Stem,6,Housatonic,335383.0,524.03601074,2211020.16208393,-14609276299.4617
2,4300-00,4300,Farmington River,43,Farmington,4,Connecticut,99534.296875,155.52200317,1232304.1594354,-4335712956.61956
3,3300-00,3300,French River,33,French,3,Thames,55224.69921875,86.28849792,394153.806188797,-2405586354.50023
4,6004-00,6004,Konkapot River,60,Housatonic Main Stem,6,Housatonic,37962.8984375,59.31700134,281207.205314629,-1653661911.92243
5,3700-00,3700,Quinebaug River,37,Quinebaug,3,Thames,90597.203125,141.55799865,1100260.93558926,-3946414177.5793
6,4307-00,4307,Hubbard Brook,43,Farmington,4,Connecticut,10130.59960937,15.82909965,138952.133819893,-441289493.092847
7,4200-11,4200,Scantic River,42,Scantic,4,Connecticut,1879.89001464,2.93733,52768.5834194474,-81887964.6492349
8,6002-00,6002,Schenob Brook,60,Housatonic Main Stem,6,Housatonic,13402.59960937,20.94160079,162946.889797544,-583818208.178378
9,4200-10,4200,Scantic River,42,Scantic,4,Connecticut,1238.35998535,1.93492996,47878.9763418446,-53942854.6452294
10,4304-00,4304,Sandy Brook,43,Farmington,4,Connecticut,10630.20019531,16.60969924,259174.562345164,-463050838.25118
11,4306-00,4306,Valley Brook,43,Farmington,4,Connecticut,4763.22998046,7.44255018,82073.7808878065,-207486375.405716
12,6101-00,6101,Whiting River,61,Blackberry,6,Housatonic,7119.52978515,11.1243,161052.290102449,-310126610.46091
13,4307-01,4307,Hubbard Brook,43,Farmington,4,Connecticut,3145.45996093,4.91478013,62925.1341493275,-137016090.265762
14,4001-00,4001,Great Brook,40,Connecticut Main Stem,4,Connecticut,14881.29980468,23.25209999,141618.952787945,-648229977.057954
15,3701-00,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,4668.35009765,7.29430007,108027.267803352,-203353451.172775
16,3301-01,3301,Mill Brook,33,French,3,Thames,1652.69995117,2.58235001,41513.4660002585,-71991835.1989298
17,4200-09,4200,Scantic River,42,Scantic,4,Connecticut,1043.60998535,1.63064002,32078.5225084797,-45459630.7783349
18,4301-03,4301,Slocum Brook,43,Farmington,4,Connecticut,1731.02001953,2.70473003,51027.6640925613,-75403426.6498237
19,4200-13,4200,Scantic River,42,Scantic,4,Connecticut,579.17199707,0.90495598,26521.2586132659,-25228726.2734221
20,4200-07,4200,Scantic River,42,Scantic,4,Connecticut,564.36499023,0.88182097,23943.1534031788,-24583747.4046793
21,4002-00,4002,Threemile Brook,40,Connecticut Main Stem,4,Connecticut,4150.22021484,6.48471021,59866.0061632479,-180783439.342988
22,4200-05,4200,Scantic River,42,Scantic,4,Connecticut,1674.68005371,2.6166799,56250.3569708543,-72948980.5956347
23,4201-02,4201,Watchaug Brook,42,Scantic,4,Connecticut,1425.7199707,2.22768998,47673.889555999,-62104504.3398633
24,4101-05,4101,Muddy Brook,41,Stony Brook,4,Connecticut,787.38897705,1.23029994,31463.6901629826,-34298685.2064027
25,3701-01,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,1906.94995117,2.97959995,54835.49750111,-83066552.7504071
26,4301-01,4301,Slocum Brook,43,Farmington,4,Connecticut,1089.75,1.70272994,38367.813535375,-47469332.8502731
27,3301-00,3301,Mill Brook,33,French,3,Thames,5421.29003906,8.47076988,73592.1189091221,-236151648.262931
28,4201-00,4201,Watchaug Brook,42,Scantic,4,Connecticut,2910.30004882,4.54733991,83432.3152742019,-126772644.037049
29,3702-00,3702,Breakneck Brook,37,Quinebaug,3,Thames,2796.80004882,4.36998987,72345.865229855,-121828358.757237
30,4101-07,4101,Muddy Brook,41,Stony Brook,4,Connecticut,2306.87988281,3.60450005,79199.4379359001,-100487750.19803
31,4200-08,4200,Scantic River,42,Scantic,4,Connecticut,539.96600341,0.84369701,25130.4749042069,-23520917.2113495
32,3704-00,3704,Cohasse Brook,37,Quinebaug,3,Thames,2251.82006835,3.51847004,79650.8125211999,-98089256.4018176
33,6101-03,6101,Whiting River,61,Blackberry,6,Housatonic,525.55401611,0.82117897,22112.138680564,-22893147.1734881
34,4101-04,4101,Muddy Brook,41,Stony Brook,4,Connecticut,302.45599365,0.472588,24594.275256538,-13174988.8814023
35,4201-01,4201,Watchaug Brook,42,Scantic,4,Connecticut,371.80700683,0.580949,17331.5876312721,-16195925.2345934
36,3700-03,3700,Quinebaug River,37,Quinebaug,3,Thames,1944.57995605,3.03840994,60639.7222294802,-84705948.2887348
37,6001-00,6001,Sages Ravine Brook,60,Housatonic Main Stem,6,Housatonic,2265.4399414,3.53975009,53666.7253406197,-98682466.5537743
38,6003-00,6003,Andrus Brook,60,Housatonic Main Stem,6,Housatonic,1373.02001953,2.14533996,41915.8968406292,-59808616.9963368
39,3703-00,3703,Hatchet Brook,37,Quinebaug,3,Thames,1999.1899414,3.12373995,55844.5580189813,-87084867.9977435
40,4101-06,4101,Muddy Brook,41,Stony Brook,4,Connecticut,328.34298706,0.51303499,20588.9288275894,-14302596.3121473
41,4200-06,4200,Scantic River,42,Scantic,4,Connecticut,477.87200927,0.746674,21631.9385856758,-20816089.081518
42,4200-00,4200,Scantic River,42,Scantic,4,Connecticut,15003.79980468,23.44339942,421290.47001645,-653565087.197771
43,3701-06,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,2867.55004882,4.48054981,69530.7613134476,-124910466.044367
44,4301-00,4301,Slocum Brook,43,Farmington,4,Connecticut,2173.05004882,3.39538002,64969.6982976882,-94657864.241534
45,3705-00,3705,Lebanon Brook,37,Quinebaug,3,Thames,4835.60009765,7.5556302,135775.157960729,-210638886.352639
46,4304-05,4304,Sandy Brook,43,Farmington,4,Connecticut,2027.79003906,3.16842007,63051.8953229297,-88330598.2601807
47,3102-01,3102,Middle River,31,Willimantic,3,Thames,1135.5,1.77420997,38627.1244422495,-49462177.4623998
48,4101-03,4101,Muddy Brook,41,Stony Brook,4,Connecticut,2442.04003906,3.81569004,82172.6581017272,-106375332.113269
49,6101-07,6101,Whiting River,61,Blackberry,6,Housatonic,991.26202392,1.54885005,33726.8104255651,-43179365.6101348
50,3703-01,3703,Hatchet Brook,37,Quinebaug,3,Thames,521.40802001,0.8147,32757.3270392525,-22712523.4612098
51,4003-00,4003,Freshwater Brook,40,Connecticut Main Stem,4,Connecticut,4162.6899414,6.50419998,112833.666780983,-181326664.184133
52,6101-02,6101,Whiting River,61,Blackberry,6,Housatonic,850.86297607,1.32947003,31851.6330358588,-37063601.4582572
53,4200-12,4200,Scantic River,42,Scantic,4,Connecticut,620.37097167,0.96932899,24171.0591444045,-27023348.4480753
54,4304-06,4304,Sandy Brook,43,Farmington,4,Connecticut,344.95401,0.53899002,20727.8898432265,-15026182.7667354
55,4003-02,4003,Freshwater Brook,40,Connecticut Main Stem,4,Connecticut,1353.43005371,2.11472988,55776.1347167884,-58955206.7637043
56,4320-09,4320,Salmon Brook,43,Farmington,4,Connecticut,2055.0,3.2109301,65457.2647186636,-89515625.7015238
57,4200-01,4200,Scantic River,42,Scantic,4,Connecticut,797.99597167,1.24687004,27411.6344166802,-34760701.0651339
58,4300-02,4300,Farmington River,43,Farmington,4,Connecticut,415.70401,0.64953798,22151.5425128805,-18108080.2279108
59,3704-01,3704,Cohasse Brook,37,Quinebaug,3,Thames,468.76699829,0.73244899,22709.7991851898,-20419505.3483923
60,4320-00,4320,Salmon Brook,43,Farmington,4,Connecticut,4477.04003906,6.99537992,179905.379714332,-195019978.241304
61,4201-03,4201,Watchaug Brook,42,Scantic,4,Connecticut,846.70098876,1.32297003,30233.5653649677,-36882286.965955
62,3300-03,3300,French River,33,French,3,Thames,798.58300781,1.24778997,37561.1069854594,-34786290.0063479
63,3103-01,3103,Furnace Brook,31,Willimantic,3,Thames,1373.39001464,2.14592003,48433.0554195272,-59824770.8428386
64,4304-01,4304,Sandy Brook,43,Farmington,4,Connecticut,338.22299194,0.52847301,16928.4716272932,-14732991.303645
65,4101-08,4101,Muddy Brook,41,Stony Brook,4,Connecticut,643.10797119,1.00486004,27748.5180416235,-28013796.1373524
66,3102-02,3102,Middle River,31,Willimantic,3,Thames,313.77301025,0.49026998,19655.2256586858,-13667952.1190729
67,3401-00,3401,Rocky Brook,34,Fivemile,3,Thames,1671.44995117,2.61163997,51504.6984217316,-72808415.335911
68,3700-04,3700,Quinebaug River,37,Quinebaug,3,Thames,662.440979,1.03506004,25892.4213392128,-28855944.3301008
69,6005-04,6005,Factory Brook,60,Housatonic Main Stem,6,Housatonic,3687.75,5.76211023,94707.7743747622,-160638528.947924
70,3708-02,3708,Little River,37,Quinebaug,3,Thames,1844.2199707,2.8815999,45068.3080401372,-80334413.9362299
71,6101-01,6101,Whiting River,61,Blackberry,6,Housatonic,353.80099487,0.55281502,17347.1417279593,-15411588.5990739
72,4304-04,4304,Sandy Brook,43,Farmington,4,Connecticut,1242.22998046,1.94098997,35867.1002118279,-54111611.3658937
73,4200-14,4200,Scantic River,42,Scantic,4,Connecticut,976.00299072,1.52499997,31062.7544377058,-42514696.6345187
74,3300-01,3300,French River,33,French,3,Thames,834.65698242,1.30414998,37691.6090259797,-36357672.6734626
75,6101-04,6101,Whiting River,61,Blackberry,6,Housatonic,1269.77001953,1.98400998,33915.3385122552,-55311006.3505148
76,6006-01,6006,Spruce Swamp Creek,60,Housatonic Main Stem,6,Housatonic,2493.22998046,3.89566993,67777.2504510919,-108604956.345412
77,3102-03,3102,Middle River,31,Willimantic,3,Thames,1133.19995117,1.77061998,41274.5465951553,-49362141.8199679
78,3300-02,3300,French River,33,French,3,Thames,979.30297851,1.53015995,50440.7917285637,-42658465.8626077
79,3700-01,3700,Quinebaug River,37,Quinebaug,3,Thames,287.68701171,0.44951099,18752.3425292597,-12531646.1813392
80,3102-00,3102,Middle River,31,Willimantic,3,Thames,4299.31005859,6.71766996,123071.444658981,-187277767.184739
81,3705-02,3705,Lebanon Brook,37,Quinebaug,3,Thames,639.61798095,0.99940299,27166.9422005499,-27861754.7342849
82,6100-04,6100,Blackberry River,61,Blackberry,6,Housatonic,2205.85009765,3.44665002,68940.9809373936,-96087018.1711788
83,3701-05,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,330.09500122,0.51577299,18335.0944438297,-14378931.6538334
84,6100-12,6100,Blackberry River,61,Blackberry,6,Housatonic,843.00897216,1.31719994,36993.8889513901,-36721473.225062
85,3103-07,3103,Furnace Brook,31,Willimantic,3,Thames,1003.2000122,1.56751,47383.5505098292,-43699532.5980513
86,4320-03,4320,Salmon Brook,43,Farmington,4,Connecticut,1047.01000976,1.63594996,35781.8196510038,-45607721.6377149
87,4304-02,4304,Sandy Brook,43,Farmington,4,Connecticut,298.01501464,0.465649,18145.4206920398,-12981550.6053973
88,4301-02,4301,Slocum Brook,43,Farmington,4,Connecticut,367.59100341,0.57436102,24681.1428009696,-16012257.1414012
89,3401-01,3401,Rocky Brook,34,Fivemile,3,Thames,1151.06005859,1.79852998,34721.1211553847,-50140028.3322865
90,6006-03,6006,Spruce Swamp Creek,60,Housatonic Main Stem,6,Housatonic,744.26397705,1.16290998,31048.2004248825,-32420131.3349459
91,3102-05,3102,Middle River,31,Willimantic,3,Thames,1366.01000976,2.13439989,41282.1919664699,-59503531.0925303
92,4320-02,4320,Salmon Brook,43,Farmington,4,Connecticut,858.98297119,1.34215998,38139.33297804,-37417322.0283606
93,4320-19,4320,Salmon Brook,43,Farmington,4,Connecticut,1702.64001464,2.66037988,63316.2498336153,-74167145.9110049
94,3701-04,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,699.95501708,1.09368002,27826.239842199,-30490043.4157508
95,3701-03,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,1111.98999023,1.73749005,41250.9033754861,-48438423.7000929
96,6006-02,6006,Spruce Swamp Creek,60,Housatonic Main Stem,6,Housatonic,371.54299926,0.580536,23142.8828402976,-16184416.6675902
97,3401-03,3401,Rocky Brook,34,Fivemile,3,Thames,429.53100585,0.67114198,24743.2185277936,-18710368.2111854
98,4200-03,4200,Scantic River,42,Scantic,4,Connecticut,1665.29003906,2.60201001,47159.4711107482,-72539985.8404333
99,4320-01,4320,Salmon Brook,43,Farmington,4,Connecticut,405.99200439,0.63436198,20226.1935636057,-17685003.7576515
100,4101-01,4101,Muddy Brook,41,Stony Brook,4,Connecticut,736.84802246,1.15132999,33586.9157125377,-32097111.0003203
101,4001-01,4001,Great Brook,40,Connecticut Main Stem,4,Connecticut,699.38000488,1.09277999,26257.7874093115,-30464982.3335649
102,4300-05,4300,Farmington River,43,Farmington,4,Connecticut,3456.37988281,5.40058994,61388.9421073639,-150559699.110145
103,3203-00,3203,Bigelow Brook,32,Natchaug,3,Thames,7641.54003906,11.93990039,225394.522476991,-332865717.647527
104,3103-03,3103,Furnace Brook,31,Willimantic,3,Thames,403.43600463,0.630369,19865.371706,-17573676.0890763
105,6004-01,6004,Konkapot River,60,Housatonic Main Stem,6,Housatonic,1454.09997558,2.27203011,36683.0050872845,-63340669.1772562
106,4200-02,4200,Scantic River,42,Scantic,4,Connecticut,297.04800415,0.46413698,15977.3709138628,-12939404.6012212
107,4200-15,4200,Scantic River,42,Scantic,4,Connecticut,1648.9699707,2.57651996,53908.3066056115,-71829246.1819415
108,3700-07,3700,Quinebaug River,37,Quinebaug,3,Thames,1058.83996582,1.65443003,45003.4345384584,-46122954.3874778
109,4101-00,4101,Muddy Brook,41,Stony Brook,4,Connecticut,3101.45996093,4.84603023,72714.1211228349,-135099606.15476
110,3701-02,3701,Hamilton Reservoir Brook,37,Quinebaug,3,Thames,1429.84997558,2.2341299,45510.7874015437,-62284094.042814
111,6303-00,6303,Webatuck Creek,63,Tenmile,6,Housatonic,32119.5,50.18679809,350480.496080477,-1399127361.77869
112,4002-01,4002,Threemile Brook,40,Connecticut Main Stem,4,Connecticut,559.86401367,0.87478697,20864.9037160932,-24387666.2913571
113,4308-03,4308,East Branch Farmington River,43,Farmington,4,Connecticut,341.27899169,0.53324902,21915.6081102315,-14866130.8620544
114,4308-00,4308,East Branch Farmington River,43,Farmington,4,Connecticut,9860.45019531,15.40699958,215863.176643054,-429521134.168949
115,3700-02,3700,Quinebaug River,37,Quinebaug,3,Thames,516.73602294,0.80739897,22721.631154655,-22509002.1950606
116,6100-00,6100,Blackberry River,61,Blackberry,6,Housatonic,4721.9399414,7.37802982,148153.078620894,-205687720.358871
117,4002-02,4002,Threemile Brook,40,Connecticut Main Stem,4,Connecticut,1441.52001953,2.25237989,42513.388090653,-62792707.8219777
118,3103-04,3103,Furnace Brook,31,Willimantic,3,Thames,567.1420288,0.88616001,21175.2357430512,-24704706.8048612
119,3708-01,3708,Little River,37,Quinebaug,3,Thames,3827.4099121,5.98032999,143658.333158677,-166721984.910588
120,4000-01,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,648.45202636,1.01321005,29347.9347660073,-28246584.7825094
121,4300-03,4300,Farmington River,43,Farmington,4,Connecticut,814.33801269,1.27240002,30864.7459480355,-35472584.0958342
122,4000-03,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,1371.23999023,2.14256,50084.9530100395,-59731093.7541028
123,4300-01,4300,Farmington River,43,Farmington,4,Connecticut,495.36199951,0.77400201,23379.6646119852,-21577951.5976766
124,3708-04,3708,Little River,37,Quinebaug,3,Thames,407.89099121,0.63732999,21713.7890961797,-17767740.7507693
125,4308-02,4308,East Branch Farmington River,43,Farmington,4,Connecticut,665.39599609,1.03968,30850.1498133968,-28984672.0531812
126,4100-01,4100,Stony Brook,41,Stony Brook,4,Connecticut,1000.66998291,1.56354999,42233.2317679203,-43589231.0649575
127,4308-01,4308,East Branch Farmington River,43,Farmington,4,Connecticut,1071.15002441,1.67367005,32801.6100997551,-46659219.8076334
128,4304-03,4304,Sandy Brook,43,Farmington,4,Connecticut,1668.4399414,2.60694003,54886.6590209606,-72677209.0985824
129,4320-05,4320,Salmon Brook,43,Farmington,4,Connecticut,2365.85009765,3.69664001,70641.2084309066,-103056529.667285
130,4101-02,4101,Muddy Brook,41,Stony Brook,4,Connecticut,512.55902099,0.80087298,26363.0781520623,-22327074.2595008
131,6101-05,6101,Whiting River,61,Blackberry,6,Housatonic,630.06097412,0.98447,27956.0699731467,-27445435.9547314
132,4202-00,4202,Gillettes Brook,42,Scantic,4,Connecticut,2491.35009765,3.89274001,83700.7995336238,-108523347.727742
133,4200-20,4200,Scantic River,42,Scantic,4,Connecticut,948.89599609,1.48265004,37803.5947798276,-41333920.8565084
134,3400-00,3400,Fivemile River,34,Fivemile,3,Thames,12481.79980468,19.50279998,301949.417371027,-543706815.45323
135,4320-12,4320,Salmon Brook,43,Farmington,4,Connecticut,1780.83996582,2.78256988,48217.5312669024,-77573554.8322754
136,6006-05,6006,Spruce Swamp Creek,60,Housatonic Main Stem,6,Housatonic,1001.35998535,1.56463003,41944.5592646932,-43619406.1827277
137,4304-09,4304,Sandy Brook,43,Farmington,4,Connecticut,3431.4699707,5.36168003,83992.2011368252,-149475016.330338
138,4200-04,4200,Scantic River,42,Scantic,4,Connecticut,660.83197021,1.03254997,24109.2947603237,-28785856.3164904
139,4200-21,4200,Scantic River,42,Scantic,4,Connecticut,905.09399414,1.41420996,42512.2425091528,-39425904.4078557
140,4101-10,4101,Muddy Brook,41,Stony Brook,4,Connecticut,576.40698242,0.90063697,24450.9905475086,-25108306.8266623
141,3103-02,3103,Furnace Brook,31,Willimantic,3,Thames,371.40200805,0.580316,19703.8516253771,-16178265.9128666
142,3103-05,3103,Furnace Brook,31,Willimantic,3,Thames,1385.66003417,2.16509008,49370.9904877179,-60359270.9898711
143,3700-06,3700,Quinebaug River,37,Quinebaug,3,Thames,371.04000854,0.57975,22327.9783496963,-16162504.6231672
144,6101-06,6101,Whiting River,61,Blackberry,6,Housatonic,723.39099121,1.13030004,31942.6024325429,-31510918.7819861
145,3103-06,3103,Furnace Brook,31,Willimantic,3,Thames,882.80297851,1.37937998,29731.0325701058,-38454923.423969
146,6006-04,6006,Spruce Swamp Creek,60,Housatonic Main Stem,6,Housatonic,378.29400634,0.591084,23967.0893665891,-16478488.5582354
147,4101-09,4101,Muddy Brook,41,Stony Brook,4,Connecticut,284.02801513,0.44379401,15922.4092962562,-12372275.6241246
148,3705-01,3705,Lebanon Brook,37,Quinebaug,3,Thames,826.54101562,1.29147005,34796.0971156547,-36004134.866303
149,6100-06,6100,Blackberry River,61,Blackberry,6,Housatonic,1118.44995117,1.74758005,34652.4223898392,-48719662.8378472
150,4000-00,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,44389.3984375,69.35849761,1065405.7709866,-1933602989.15825
151,4320-18,4320,Salmon Brook,43,Farmington,4,Connecticut,1073.83996582,1.67788004,35483.6243596804,-46776587.8871043
152,4320-20,4320,Salmon Brook,43,Farmington,4,Connecticut,565.12097167,0.88300198,30418.0924762962,-24616676.9742103
153,3401-02,3401,Rocky Brook,34,Fivemile,3,Thames,660.32299804,1.03175997,26632.1328710664,-28763688.7455794
154,3700-05,3700,Quinebaug River,37,Quinebaug,3,Thames,1294.30004882,2.02235007,38554.9394612621,-56379866.1846242
155,3104-00,3104,Roaring Brook,31,Willimantic,3,Thames,5538.41015625,8.65375995,184798.28389265,-241253133.839864
156,4000-04,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,1477.04003906,2.30787992,49618.4714936063,-64339891.3667235
157,4000-02,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,956.54302978,1.49460005,28524.4162647432,-41667004.0341229
158,3300-05,3300,French River,33,French,3,Thames,1053.17004394,1.64557003,38799.7334925003,-45875903.1672819
159,3300-04,3300,French River,33,French,3,Thames,574.78997802,0.89810901,23768.2195133314,-25037847.267667
160,4300-04,4300,Farmington River,43,Farmington,4,Connecticut,614.93499755,0.96083599,22845.0647686852,-26786558.1981165
161,3708-05,3708,Little River,37,Quinebaug,3,Thames,425.81100463,0.66532999,21445.316219092,-18548335.1734481
162,4100-02,4100,Stony Brook,41,Stony Brook,4,Connecticut,753.52398681,1.17737996,31912.1451874555,-32823499.6848846
163,4308-05,4308,East Branch Farmington River,43,Farmington,4,Connecticut,425.22198486,0.66440898,22167.6282151946,-18522665.3911809
164,3102-04,3102,Middle River,31,Willimantic,3,Thames,528.16900634,0.82526397,23376.8022612656,-23007045.9652542
165,3103-08,3103,Furnace Brook,31,Willimantic,3,Thames,253.94599914,0.39678999,19513.5313574721,-11061870.3761577
166,4200-16,4200,Scantic River,42,Scantic,4,Connecticut,789.44396972,1.23351001,29708.8011712138,-34388171.3273968
167,4200-17,4200,Scantic River,42,Scantic,4,Connecticut,549.87402343,0.859178,27610.8743026805,-23952510.9534452
168,3706-00,3706,English Neighborhood Brook,37,Quinebaug,3,Thames,1576.84997558,2.46381998,56610.8612499763,-68687440.162441
169,4200-23,4200,Scantic River,42,Scantic,4,Connecticut,1223.63000488,1.91191995,39065.9267179608,-53301242.7645578
170,3101-07,3101,Edson Brook,31,Willimantic,3,Thames,988.51397705,1.54454994,40675.6247479144,-43059686.3442764
171,3103-00,3103,Furnace Brook,31,Willimantic,3,Thames,3444.63989257,5.38225984,114180.758866863,-150048707.011505
172,4320-06,4320,Salmon Brook,43,Farmington,4,Connecticut,760.70098876,1.18859994,29282.409642267,-33136134.8926904
173,3203-01,3203,Bigelow Brook,32,Natchaug,3,Thames,1326.2199707,2.07222008,43665.9654824723,-57770256.1647468
174,3101-05,3101,Edson Brook,31,Willimantic,3,Thames,1449.03002929,2.26411008,49554.5857568714,-63119677.4469882
175,4320-04,4320,Salmon Brook,43,Farmington,4,Connecticut,526.065979,0.82197797,27181.5797435974,-22915440.4877453
176,4101-12,4101,Muddy Brook,41,Stony Brook,4,Connecticut,576.49499511,0.900774,25331.7336508128,-25112127.2213477
177,4003-01,4003,Freshwater Brook,40,Connecticut Main Stem,4,Connecticut,1101.2199707,1.72065997,29232.6623272237,-47969243.5506649
178,4101-11,4101,Muddy Brook,41,Stony Brook,4,Connecticut,272.28900146,0.42545101,17762.2849054413,-11860893.0971237
179,3706-02,3706,English Neighborhood Brook,37,Quinebaug,3,Thames,438.80200195,0.68562799,20199.5396253029,-19114220.9634145
180,3708-03,3708,Little River,37,Quinebaug,3,Thames,186.78199768,0.29184699,15035.1280927715,-8136220.74855222
181,3203-02,3203,Bigelow Brook,32,Natchaug,3,Thames,201.04800415,0.31413701,14783.2779120231,-8757641.68356064
182,4304-11,4304,Sandy Brook,43,Farmington,4,Connecticut,219.6289978,0.343171,16055.0630581368,-9567051.45873048
183,4202-01,4202,Gillettes Brook,42,Scantic,4,Connecticut,323.35699462,0.50524497,17195.2049478521,-14085425.0050212
184,4308-06,4308,East Branch Farmington River,43,Farmington,4,Connecticut,368.17800903,0.57527798,19993.7123475339,-16037816.5237298
185,3400-02,3400,Fivemile River,34,Fivemile,3,Thames,1547.80004882,2.4184401,41196.308274701,-67422164.7203581
186,3101-06,3101,Edson Brook,31,Willimantic,3,Thames,1891.08996582,2.95482993,43687.1807116084,-82375877.5155814
187,6200-07,6200,Hollenbeck River,62,Hollenbeck,6,Housatonic,2646.37988281,4.1349802,48135.9899749502,-115276475.837019
188,4304-07,4304,Sandy Brook,43,Farmington,4,Connecticut,503.88400268,0.787319,21256.4151908552,-21949199.1965028
189,3104-01,3104,Roaring Brook,31,Willimantic,3,Thames,1062.38000488,1.65997004,48338.5234683602,-46277187.985736
190,4308-04,4308,East Branch Farmington River,43,Farmington,4,Connecticut,675.56298828,1.05557,25601.9887911497,-29427535.7231681
191,6005-01,6005,Factory Brook,60,Housatonic Main Stem,6,Housatonic,1511.31005859,2.36142992,61965.7341239927,-65832882.7515869
192,6100-11,6100,Blackberry River,61,Blackberry,6,Housatonic,367.66500854,0.57447701,20481.3143476222,-16015494.8393165
193,6100-09,6100,Blackberry River,61,Blackberry,6,Housatonic,833.19396972,1.30186998,28112.803153965,-36293930.9497634
194,4000-05,4000,Connecticut River,40,Connecticut Main Stem,4,Connecticut,382.5960083,0.59780699,20675.6689327595,-16665895.4700205
195,3102-06,3102,Middle River,31,Willimantic,3,Thames,646.25897216,1.00978004,27124.6273148571,-28151038.526835
196,6100-10,6100,Blackberry River,61,Blackberry,6,Housatonic,432.31500244,0.675493,20945.9538767099,-18831658.4757608
197,4202-02,4202,Gillettes Brook,42,Scantic,4,Connecticut,561.90802001,0.87798202,22145.3252530207,-24476731.3104244
198,6100-05,6100,Blackberry River,61,Blackberry,6,Housatonic,681.31500244,1.06455004,27553.0180782268,-29678062.6262655
199,3400-01,3400,Fivemile River,34,Fivemile,3,Thames,282.89199829,0.44201898,18612.9426272717,-12322794.1354347
200,6005-02,6005,Factory Brook,60,Housatonic Main Stem,6,Housatonic,833.48498535,1.30232,40142.899350567,-36306616.9252029
201,3102-07,3102,Middle River,31,Willimantic,3,Thames,316.68798828,0.49482399,20934.4404683256,-13794914.5377088
202,3300-08,3300,French River,33,French,3,Thames,934.4420166,1.46007001,33667.4485911266,-40704285.1670123
203,4320-17,4320,Salmon Brook,43,Farmington,4,Connecticut,698.04797363,1.09070003,36028.6006364735,-30406995.1145917
204,3708-08,3708,Little River,37,Quinebaug,3,Thames,700.48199462,1.09449994,34269.3566054425,-30513013.4437752
205,3706-01,3706,English Neighborhood Brook,37,Quinebaug,3,Thames,1072.66003417,1.67603003,39094.1450262402,-46725093.0204978
206,3300-07,3300,French River,33,French,3,Thames,687.79302978,1.07467997,29524.7121024861,-29960274.6248421
207,3104-04,3104,Roaring Brook,31,Willimantic,3,Thames,222.80599975,0.34813499,22532.346226551,-9705436.85435617
208,4308-07,4308,East Branch Farmington River,43,Farmington,4,Connecticut,568.98498535,0.88903802,23004.438842954,-24784968.7371984
209,6005-03,6005,Factory Brook,60,Housatonic Main Stem,6,Housatonic,1115.28002929,1.74263,45326.0152132211,-48581729.59729
210,3400-03,3400,Fivemile River,34,Fivemile,3,Thames,1577.20996093,2.46439003,38738.2435006931,-68703123.690603
211,6100-07,6100,Blackberry River,61,Blackberry,6,Housatonic,1440.31005859,2.25048995,50045.7759472148,-62740082.5636139
212,3104-03,3104,Roaring Brook,31,Willimantic,3,Thames,303.9460144,0.47491499,20894.800562404,-13239879.6463625
213,4300-07,4300,Farmington River,43,Farmington,4,Connecticut,889.67999267,1.39013004,33245.1772911766,-38754469.7636175
214,4320-07,4320,Salmon Brook,43,Farmington,4,Connecticut,507.1080017,0.79235601,24832.2179514122,-22089634.1894664
215,3300-06,3300,French River,33,French,3,Thames,1282.90002441,2.00451993,52107.6205385233,-55882951.3800984
216,4100-03,4100,Stony Brook,41,Stony Brook,4,Connecticut,778.18902587,1.21591997,40296.3740037054,-33897918.9909529
217,3203-03,3203,Bigelow Brook,32,Natchaug,3,Thames,460.73800659,0.71990299,25953.8802453245,-20069728.7707994
218,6006-00,6006,Spruce Swamp Creek,60,Housatonic Main Stem,6,Housatonic,1084.9699707,1.69526994,30892.0258220645,-47261411.483077
219,4319-02,4319,West Branch Salmon Brook,43,Farmington,4,Connecticut,1206.61999511,1.88533997,38369.4656359264,-52560225.0187374
220,6006-06,6006,Spruce Swamp Creek,60,Housatonic Main Stem,6,Housatonic,663.07000732,1.03604996,26987.8313854748,-28883345.8637446
221,6100-08,6100,Blackberry River,61,Blackberry,6,Housatonic,299.82299804,0.46847298,18234.4612905588,-13060278.9161737
222,3700-08,3700,Quinebaug River,37,Quinebaug,3,Thames,1068.52001953,1.66955995,44241.3804739552,-46544547.2097763
223,3202-00,3202,Still River,32,Natchaug,3,Thames,4629.29980468,7.23327016,163071.175996173,-201652074.801433
