OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,LIMA_LIM_ACC_CODE,LIM_ACC_CODE_DESC,TOWN_TOWN,TOWN_DESC,YEAR,GlobalID,Shape__Length
1284,7-N,26.49,31.86,2,Full Control-Other Divided Hwys 4 or more lanes,18,BROOKFIELD,2022,57ab342f-dba9-45ae-bb0c-af827ef2dbba,28289.6410043505
1285,702-E,0.0,0.81,2,Full Control-Other Divided Hwys 4 or more lanes,148,WALLINGFORD,2022,064b3126-148c-4996-a36f-45cbe379fac2,4383.24157927421
1286,72-N,6.47,7.45,5,"Partial Control-Divided, 4 or more lanes",17,BRISTOL,2022,60e4ca43-b33f-4614-9453-6dfe27353613,5207.35734170352
1287,741-E,0.0,0.09,4,Full Control-Undivided Highways,92,NEW HAVEN,2022,c593ab66-6dfa-403b-9fb8-8f7996dbbb11,554.571458997487
1288,291-W,1.24,4.59,2,Full Control-Other Divided Hwys 4 or more lanes,132,SOUTH WINDSOR,2022,a8f0cf3a-a245-4318-8c85-845c66f22571,17591.6417846352
1289,2A-E,4.91,6.31,2,Full Control-Other Divided Hwys 4 or more lanes,85,MONTVILLE,2022,51cd5cae-1afb-48bd-824d-b06d2a893e1a,7413.65323833642
1290,3-N,10.99,11.86,2,Full Control-Other Divided Hwys 4 or more lanes,159,WETHERSFIELD,2022,b49f0736-8cec-44d9-8bfb-188ff1143250,4593.52010484845
1291,3-N,11.86,13.84,2,Full Control-Other Divided Hwys 4 or more lanes,53,GLASTONBURY,2022,2bc44aff-b716-4180-83bb-9284b5bce3e7,10425.8310626326
1292,34-E,23.24,24.37,2,Full Control-Other Divided Hwys 4 or more lanes,92,NEW HAVEN,2022,5ed433a1-b34e-4985-b515-fd93464a8889,7835.23628578887
1293,384-E,0.0,1.04,2,Full Control-Other Divided Hwys 4 or more lanes,42,EAST HARTFORD,2022,6d8896f8-35f9-45f9-95f4-1f6db1d7761b,5843.31390177615
1294,175-E,3.11,3.84,6,Partial Control-Undivided Highways,93,NEWINGTON,2022,1f03dae7-f0dd-4660-9ccf-aae5c3e20d1a,3877.4527906918
1295,187-N,8.47,8.87,3,Full Control-Divided 2 Lanes,11,BLOOMFIELD,2022,311f8a59-bf6d-49a8-9bbc-f394799aa713,2361.98412535769
1296,190-W,3.19,3.23,4,Full Control-Undivided Highways,48,ENFIELD,2022,b2ba5d90-9754-4f34-b23c-5fd808a286d3,219.715845521616
1297,2-E,4.26,12.67,2,Full Control-Other Divided Hwys 4 or more lanes,53,GLASTONBURY,2022,4c86c905-05f2-4d88-885c-32d46ef60a01,44404.5018312607
1298,20-E,27.79,31.04,2,Full Control-Other Divided Hwys 4 or more lanes,164,WINDSOR,2022,158d2fe2-fb46-4675-9108-61a8e5daa174,17140.7373928454
1299,20-E,31.22,31.56,2,Full Control-Other Divided Hwys 4 or more lanes,164,WINDSOR,2022,8d4818c1-249b-431c-8f94-7f058f4ab3d7,1725.64409877771
1300,20-W,28.16,31.04,2,Full Control-Other Divided Hwys 4 or more lanes,164,WINDSOR,2022,e79298a9-6c46-4e47-ae94-861e8b957239,15244.4235036818
1301,25-N,4.01,9.87,2,Full Control-Other Divided Hwys 4 or more lanes,144,TRUMBULL,2022,e62da36a-a02b-41c0-910e-08a28f747495,30904.4085831327
1302,291-E,1.24,4.59,2,Full Control-Other Divided Hwys 4 or more lanes,132,SOUTH WINDSOR,2022,594e0d75-2800-4c5a-a6d3-0a1fbf4fbdf5,17548.4724016682
1303,2A-E,6.31,6.64,4,Full Control-Undivided Highways,85,MONTVILLE,2022,5a885e16-baa6-42cb-b3c1-1c98706c8d4a,1765.66423820534
1304,9-N,37.4,39.27,2,Full Control-Other Divided Hwys 4 or more lanes,93,NEWINGTON,2022,42d7b6a6-e88f-4746-9e22-3e7e1ad6f04f,9822.45585294013
1305,9-S,37.4,39.27,2,Full Control-Other Divided Hwys 4 or more lanes,93,NEWINGTON,2022,ea17f80b-5acd-4fae-ad99-2d7ff5cbceae,9505.85313477384
1306,9-S,39.27,39.69,2,Full Control-Other Divided Hwys 4 or more lanes,88,NEW BRITAIN,2022,507d8b29-7183-447f-ba8e-bdc571ba336b,2364.83378444625
1307,91-N,25.83,28.04,2,Full Control-Other Divided Hwys 4 or more lanes,33,CROMWELL,2022,b2dd7b40-d64c-47f3-a683-acf07da6c617,11706.4203717117
1308,91-N,48.75,49.94,2,Full Control-Other Divided Hwys 4 or more lanes,165,WINDSOR LOCKS,2022,1ec630c5-203f-4261-993f-23d155afde3a,6284.9597303973
1309,91-N,51.66,58.17,2,Full Control-Other Divided Hwys 4 or more lanes,48,ENFIELD,2022,36b6ae45-d5dc-4414-9bf7-9d3e212b4b3f,34415.6205758064
1310,95-N,41.33,42.35,2,Full Control-Other Divided Hwys 4 or more lanes,106,ORANGE,2022,4804f691-47c9-417f-a5f4-75fde477993e,5524.99102115052
1311,95-N,42.35,45.79,2,Full Control-Other Divided Hwys 4 or more lanes,156,WEST HAVEN,2022,2dedd046-7808-4922-bb57-92ba177bcb59,18026.6975896231
1312,95-S,0.0,6.29,2,Full Control-Other Divided Hwys 4 or more lanes,56,GREENWICH,2022,1abb5c4f-6100-42c3-abb1-7e9e776f63bb,33246.5893018118
1313,95-S,41.33,42.35,2,Full Control-Other Divided Hwys 4 or more lanes,106,ORANGE,2022,35226393-f48b-45fd-8ac1-36958c2a1cc3,5554.5988341503
1314,95-S,66.71,70.46,2,Full Control-Other Divided Hwys 4 or more lanes,27,CLINTON,2022,fc8f2151-455d-4835-af5f-cd7616c532c5,19844.6104473164
1315,95-S,100.93,107.77,2,Full Control-Other Divided Hwys 4 or more lanes,137,STONINGTON,2022,788bb833-4e13-45f2-be57-965ed4338505,35750.7101429195
1316,145-N,1.64,2.03,6,Partial Control-Undivided Highways,154,WESTBROOK,2022,aa2ea6de-9c21-4f6d-9875-262f27be7ec3,2045.62144077309
1317,15-N,45.07,45.5,1,Full Control Parkways,92,NEW HAVEN,2022,308d8f6e-b674-4205-b441-5dcdbe9b2ce2,2265.59052175131
1318,15-N,81.9,83.53,2,Full Control-Other Divided Hwys 4 or more lanes,42,EAST HARTFORD,2022,ff298c29-6f85-4012-9c16-74495e271f8c,8282.70197477029
1319,15-S,39.55,43.4,1,Full Control Parkways,106,ORANGE,2022,aacf4f83-da98-4689-9ff0-88836aec174d,20316.591596769
1320,15-S,43.4,45.07,1,Full Control Parkways,167,WOODBRIDGE,2022,9b5150b7-b475-4b3c-b8f0-857dcc1d3e7d,8916.67564261444
1321,15-S,45.5,45.81,1,Full Control Parkways,167,WOODBRIDGE,2022,767936f8-7f69-4305-9776-963bf10f61b8,1635.65285353002
1322,15-S,56.54,62.3,1,Full Control Parkways,148,WALLINGFORD,2022,0f297545-310e-49c4-8b13-4764a98fe1eb,30329.4215723483
1323,15-S,63.87,66.65,2,Full Control-Other Divided Hwys 4 or more lanes,79,MERIDEN,2022,ffd28032-17a0-450a-8a7d-87d024a7b3ff,14200.3082521612
1324,17-N,34.05,34.16,2,Full Control-Other Divided Hwys 4 or more lanes,53,GLASTONBURY,2022,4c690667-73af-49ba-b611-45b0a5a73b0e,574.810414395476
1325,17-N,34.16,34.94,4,Full Control-Undivided Highways,53,GLASTONBURY,2022,62a02d92-8ac3-4bb3-9382-29948febf173,4192.02025146703
1326,501-N,0.0,0.77,2,Full Control-Other Divided Hwys 4 or more lanes,155,WEST HARTFORD,2022,1b81b963-5d74-4ffb-9f23-badf1235c2be,4068.36623749429
1327,502-E,0.0,0.51,4,Full Control-Undivided Highways,42,EAST HARTFORD,2022,2e4d5516-59d0-4193-bcc9-a161a62f0fff,2678.49542843656
1328,518-N,0.0,0.45,6,Partial Control-Undivided Highways,42,EAST HARTFORD,2022,a93bed58-99a5-4879-a17c-98de87f93401,2408.04254010686
1329,531-E,0.84,1.39,6,Partial Control-Undivided Highways,51,FARMINGTON,2022,29e7eb3a-3a3b-4061-ad1f-26d34b4b3227,2960.89446542029
1330,571-W,0.0,1.45,2,Full Control-Other Divided Hwys 4 or more lanes,7,BERLIN,2022,a3f54a19-5a6e-4826-8414-2dfc37586b69,7673.27342813596
1331,794-W,0.0,0.97,3,Full Control-Divided 2 Lanes,14,BRANFORD,2022,12536ffa-aae1-490b-82b7-9689bb26d21e,5388.50389419451
1332,796-S,0.0,1.78,1,Full Control Parkways,83,MILFORD,2022,9ea1f808-24bc-49b1-8db2-e3fa47d57668,9534.59075539275
1333,8-N,15.82,19.71,2,Full Control-Other Divided Hwys 4 or more lanes,124,SEYMOUR,2022,7f886dcc-327d-4b36-b0af-fa48ed8b6464,20578.1363281347
