OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,LIMA_LIM_ACC_CODE,LIM_ACC_CODE_DESC,TOWN_TOWN,TOWN_DESC,YEAR,GlobalID,Shape__Length
1397,2A-E,3.9,4.91,3,Full Control-Divided 2 Lanes,85,MONTVILLE,2022,fc14afa2-7be4-496c-8ac7-46cd6a7210fb,5311.87307553039
1398,2A-E,6.64,7.05,4,Full Control-Undivided Highways,113,PRESTON,2022,3be39e71-2044-4787-9318-b599ca601bc3,2166.18520720101
1399,32-N,0.0,1.13,2,Full Control-Other Divided Hwys 4 or more lanes,94,NEW LONDON,2022,4b9609f5-4ed5-4b79-8921-0328b8c950a8,6030.64668133301
1400,395-N,4.98,10.44,2,Full Control-Other Divided Hwys 4 or more lanes,85,MONTVILLE,2022,65f92ef7-4c17-4ab1-ac87-c6e86bf1f58a,28894.9937549786
1401,395-N,35.59,43.98,2,Full Control-Other Divided Hwys 4 or more lanes,68,KILLINGLY,2022,7c7310f3-0a44-4aa4-813b-db6fb9c6b49c,44280.4888357048
1402,395-S,4.98,10.44,2,Full Control-Other Divided Hwys 4 or more lanes,85,MONTVILLE,2022,a3c31349-b50e-4f88-87a9-386f0fb59679,28870.1643369834
1403,4-E,43.43,43.82,7,Partial Control-Channelization,51,FARMINGTON,2022,0662fcd3-aa32-408b-8931-c103e80dfa7f,2105.95633324882
1404,40-S,2.25,3.08,2,Full Control-Other Divided Hwys 4 or more lanes,61,HAMDEN,2022,9f3cd658-7e95-4867-b19b-ae8f6e07596f,4205.54846501759
1405,476-N,0.63,1.41,4,Full Control-Undivided Highways,158,WESTPORT,2022,ab819768-1142-4d9b-970d-7f3dd2a3d0ce,4152.45560082963
1406,691-W,4.67,6.04,2,Full Control-Other Divided Hwys 4 or more lanes,131,SOUTHINGTON,2022,44b36df8-0a63-4345-9780-b22b3d32f79c,7235.65756493172
1407,691-W,6.04,8.21,2,Full Control-Other Divided Hwys 4 or more lanes,25,CHESHIRE,2022,bd783dab-9459-4c73-ac90-4bfc7f9dc526,11457.9862127518
1408,695-E,0.0,0.11,2,Full Control-Other Divided Hwys 4 or more lanes,108,PLAINFIELD,2022,774726ef-f46c-4e58-bc55-fe6dcc2e85df,608.304835594766
1409,695-W,0.11,4.49,2,Full Control-Other Divided Hwys 4 or more lanes,68,KILLINGLY,2022,4b9b1999-da28-49c0-bcb4-d49cefa203f8,23346.4156811317
1410,71-N,17.69,17.73,7,Partial Control-Channelization,93,NEWINGTON,2022,8c29945d-8800-4505-9077-c8bef03e797b,211.665445253493
