OBJECTID,GEOID10,B03002_001,White,AA,AI_AN_A,Asian,NHOPIA,Other,TwoRace,Hispanic,RaceEthnic,Shape__Area,Shape__Length
375,261635426003,579,0,569,0,0,0,0,10,0,Black or African American alone,4470778.68188477,17750.8771772128
376,261635044002,654,6,648,0,0,0,0,0,0,Black or African American alone,3882331.07324219,8288.42624346284
377,261635440002,1444,156,1286,0,1,0,0,1,0,Black or African American alone,7697571.86962891,13993.4574672917
378,261635393004,1355,10,1334,11,0,0,0,0,0,Black or African American alone,3220001.51123047,7812.01389906945
379,261635393003,983,8,963,0,0,0,0,12,0,Black or African American alone,3725474.49902344,8186.24703515617
380,261635393002,358,0,358,0,0,0,0,0,0,Black or African American alone,2857942.28564453,7260.45651556246
381,261635393001,1239,2,1214,12,0,0,0,11,0,Black or African American alone,4346763.82910156,9446.29336303396
382,261635392006,970,21,836,0,4,0,0,104,5,Black or African American alone,5988847.56103516,10731.6622197613
383,261635436001,414,57,333,0,0,0,0,24,0,Black or African American alone,3577504.42895508,7972.41651623957
384,261635434003,982,8,853,0,0,0,0,80,41,Black or African American alone,4575341.53857422,9590.61482715148
385,261635434002,742,12,695,35,0,0,0,0,0,Black or African American alone,3175172.67578125,7580.80850515591
386,261635434001,1454,48,1340,31,0,0,0,35,0,Black or African American alone,3680775.32617188,8089.04353525471
387,261635432003,1546,2,1505,1,0,0,0,13,25,Black or African American alone,3780185.953125,9786.08782903924
388,261635432001,1111,0,1048,0,0,0,0,63,0,Black or African American alone,4954485.70898438,11364.3667094919
389,261635432002,497,81,340,28,0,0,0,36,12,Black or African American alone,5104857.09082031,8953.19785617574
390,261635429004,703,29,666,0,0,0,0,8,0,Black or African American alone,3473230.44189453,7900.63487805108
391,261635429003,1101,26,1055,0,0,0,0,20,0,Black or African American alone,3383078.19970703,7826.14018237489
392,261635429002,654,38,600,0,0,0,0,16,0,Black or African American alone,3316331.18652344,7798.23528242003
393,261635353005,1326,25,1289,0,0,0,0,12,0,Black or African American alone,10246904.4804688,13829.0001500113
394,261635373002,528,11,508,0,0,0,0,9,0,Black or African American alone,4967080.79125977,11460.6690140329
395,261635362002,1038,0,1018,0,5,0,0,15,0,Black or African American alone,4660739.19433594,9690.146080611
396,261635010003,957,98,859,0,0,0,0,0,0,Black or African American alone,2906727.30126953,7026.71443483771
397,261635258002,1176,123,15,0,0,0,0,46,992,Hispanic or Latino:,3513959.30810547,7818.97079840097
398,261635273001,624,0,570,54,0,0,0,0,0,Black or African American alone,4752999.83789063,9039.24032229021
399,261635392005,1193,0,1165,0,0,0,0,0,28,Black or African American alone,2567167.09667969,6438.19702099595
400,261635392004,424,0,410,0,0,0,0,0,14,Black or African American alone,2066993.21972656,5867.04275050526
401,261635392001,469,0,469,0,0,0,0,0,0,Black or African American alone,2142573.94384766,6902.59578773469
402,261635391002,975,4,949,22,0,0,0,0,0,Black or African American alone,3034041.60791016,7446.43576454586
403,261635391001,1001,5,968,15,0,0,0,13,0,Black or African American alone,3665129.96630859,7973.60050410696
404,261635390004,271,0,249,0,0,0,0,0,22,Black or African American alone,2334486.02685547,7076.9968890943
405,261635390003,587,0,574,0,0,0,0,0,13,Black or African American alone,3356118.09326172,7849.88030295853
406,261635390002,649,0,649,0,0,0,0,0,0,Black or African American alone,3475477.57421875,8533.29804687007
407,261635390001,1112,6,1071,0,0,0,0,35,0,Black or African American alone,4908539.60205078,9314.26018715627
408,261635389004,480,0,480,0,0,0,0,0,0,Black or African American alone,3334332.61181641,7636.43104424528
409,261635389003,1093,7,1079,0,0,0,0,7,0,Black or African American alone,3802057.45019531,8308.01262295429
410,261635389002,1070,10,1050,10,0,0,0,0,0,Black or African American alone,4831571.27001953,10105.257416519
411,261635389001,754,13,732,0,0,0,0,0,9,Black or African American alone,1873109.24023438,5496.06445050634
412,261635388002,676,12,630,0,0,0,0,34,0,Black or African American alone,2277648.22753906,6979.16974449372
