Month Sr No,GRACE/GRACE-FO record index,MONTH,YEAR,START DAY,YEAR.1,END DAY,COMMON MISSING DAYS,CSR unused days,GFZ unused days,JPL unused days
152,140.0,NOV,2014,305,2014,336,,320,,
153,,DEC,2014,335,2014,365,335-365,,,
154,141.0,JAN,2015,1,2015,31,1 to 12,,,
155,142.0,FEB,2015,32,2015,59,,,,
156,143.0,MAR,2015,60,2015,90,,,,
157,144.0,APR,2015,91,2015,120,,,,
158,145.0,MAY,2015,102,2015,151,132-151,,,
159,,JUN,2015,152,2015,179,152-179,,,
160,146.0,JUL,2015,180,2015,212,188-193,,,
161,147.0,AUG,2015,213,2015,243,,,,
162,148.0,SEP,2015,244,2015,273,271-273,,,
163,,OCT,2015,274,2015,304,274-304,,,
164,,NOV,2015,305,2015,334,305-334,,,
165,149.0,DEC,2015,335,2016,3,335-344,,,365
166,150.0,JAN,2016,1,2016,28,1 to 3,,,20
167,151.0,FEB,2016,29,2016,60,,,,
168,152.0,MAR,2016,61,2016,91,,,,
169,,APR,2016,92,2016,121,92-121,,,
170,153.0,MAY,2016,122,2016,152,122-128,,,146
171,154.0,JUN,2016,153,2016,182,,,,
172,155.0,JUL,2016,183,2016,213,212-213,,,
173,156.0,AUG,2016,214,2016,247,214-220,,,
174,,SEP,2016,248,2016,274,248-274,,,
175,,OCT,2016,275,2016,305,275-305,,,
176,157.0,NOV,2016,306,2016,345,306-318,"336,337,338",,
177,158.0,DEC,2016,346,2017,6,,1,,
178,159.0,JAN,2017,7,2017,34,,,,
179,,FEB,2017,35,2017,59,35-59,,,
180,160.0,MAR,2017,60,2017,104,60-75,,,
181,161.0,APR,2017,100,2017,128,,121-122,,
182,162.0,MAY,2017,122,2017,142,,,,
183,163.0,JUN,2017,143,2017,181,180-181,155,,
184,,JUL,2017,182,2017,212,No Coverage,,,
185,,AUG,2017,213,2017,243,No Coverage,,,
186,,SEP,2017,244,2017,273,No Coverage,,,
187,,OCT,2017,274,2017,304,No Coverage,,,
188,,NOV,2017,305,2017,334,No Coverage,,,
189,,DEC,2017,335,2017,365,No Coverage,,,
190,,JAN,2017,1,2017,31,No Coverage,,,
191,,FEB,2017,32,2017,59,No Coverage,,,
192,,MAR,2017,60,2017,90,No Coverage,,,
193,,APR,2017,91,2017,120,No Coverage,,,
194,,MAY,2017,121,2017,151,No Coverage,,,
195,164.0,JUN,2018,152,2018,181,GRACE-FO begins coverage,,172,172
196,165.0,JUL,2018,182,2018,212,200-212,,,
197,,AUG,2018,213,2018,243,213-243,,,
198,,SEP,2018,244,2018,273,244-273,,,
199,166.0,OCT,2018,274,2018,313,274-294,,,
200,167.0,NOV,2018,305,2018,334,,,,
201,168.0,DEC,2018,335,2018,365,,,,
202,169.0,JAN,2019,1,2019,31,,,,
203,170.0,FEB,2019,26,2019,63,39-51,,38,
204,171.0,MAR,2019,60,2019,90,,,,
205,172.0,APR,2019,91,2019,120,,,,
206,173.0,MAY,2019,121,2019,151,,,,
207,174.0,JUN,2019,152,2019,181,,,,
208,175.0,JUL,2019,182,2019,212,,,,
209,176.0,AUG,2019,213,2019,243,,,,
210,177.0,SEP,2019,244,2019,273,,271,271,
211,178.0,OCT,2019,274,2019,304,,,,
212,179.0,NOV,2019,305,2019,334,,,,
213,180.0,DEC,2019,335,2019,365,,,,
214,181.0,JAN,2020,1,2020,31,19-23,,,
215,182.0,FEB,2020,32,2020,60,39-43,,,
216,183.0,MAR,2020,61,2020,91,,,,
217,184.0,APR,2020,92,2020,121,,,,
218,185.0,MAY,2020,122,2020,152,,,,
219,186.0,JUN,2020,153,2020,182,,,,
220,187.0,JUL,2020,183,2020,213,,,,
221,188.0,AUG,2020,214,2020,244,,,,
222,189.0,SEP,2020,245,2020,274,,,,
223,190.0,OCT,2020,275,2020,305,,,,
224,191.0,NOV,2020,306,2020,335,,,,
225,192.0,DEC,2020,336,2020,366,,,,
226,193.0,JAN,2021,1,2021,31,,,,
227,194.0,FEB,2021,32,2021,59,,,,
228,195.0,MAR,2021,60,2021,90,,,,
229,196.0,APR,2021,91,2021,120,,,,
230,197.0,MAY,2021,121,2021,151,,,,
231,198.0,JUN,2021,152,2021,181,,,,
232,199.0,JUL,2021,182,2021,212,,,,
233,200.0,AUG,2021,213,2021,243,,,,
234,201.0,SEP,2021,244,2021,273,,,,
235,202.0,OCT,2021,274,2021,304,,,,
236,203.0,NOV,2021,305,2021,334,,,,
237,204.0,DEC,2021,335,2021,365,,,,
238,205.0,JAN,2022,1,2022,31,,,,
239,206.0,FEB,2022,32,2022,59,,,,
240,207.0,MAR,2022,60,2022,90,,,,
241,208.0,APR,2022,91,2022,120,,,,
242,209.0,MAY,2022,121,2022,151,,,,
243,210.0,JUN,2022,152,2022,181,,,,
244,211.0,JUL,2022,182,2022,212,,,,
245,212.0,AUG,2022,213,2022,243,,215,215,
246,213.0,SEP,2022,244,2022,273,,,,
247,214.0,OCT,2022,274,2022,304,,,,
248,215.0,NOV,2022,305,2022,334,,,,
249,216.0,DEC,2022,335,2022,365,,,GFZ not available for now,
250,217.0,JAN,2023,1,2023,31,,,GFZ not available for now,
251,218.0,FEB,2023,32,2023,59,,,GFZ not available for now,
