OBJECTID,ADMIN_ST,ADMU_NM,LUP_OHV_DSGNTN,GIS_ACRES,GlobalID,Shape__Area,Shape__Length
1057,UT,Vernal Field Office,Limited,10.1179928,{C0838DA9-B1CB-4444-BCBE-C07342ABB606},40946.06414081,809.881916837579
1058,UT,Vernal Field Office,Limited,0.85335893,{3B9F6DB4-7966-41F5-8721-8D00DCA38178},3453.42107436,1157.6047304644
1059,UT,Vernal Field Office,Limited,0.3095822,{7DEB1F88-2B72-492F-90CC-DE94CBF1BD67},1252.83469615,582.225269965618
1060,UT,Vernal Field Office,Limited,0.91987492,{45C2224D-D7D1-46A3-85A9-FC832095F01E},3722.601739915,922.010521532676
1061,UT,Vernal Field Office,Limited,33.91581143,{5A7B1B52-FA24-467E-A9E7-8394545657BC},137252.41929222,2888.12614743654
1062,UT,Vernal Field Office,Limited,1.79036278,{79806385-1775-4F92-BB70-D83C19DD2BA4},7245.34110101,1205.75971814953
1063,UT,Vernal Field Office,Limited,1.63982999,{EECE8380-CD13-4C4F-80AF-834F9FFBB360},6636.1565205,829.791525220477
1064,UT,Vernal Field Office,Limited,3.12965074,{4A644D3C-905C-4CB0-849C-D38CF5CC0271},12665.24721071,1634.87643890715
1065,UT,Vernal Field Office,Limited,13.54914522,{34078892-CB23-44A0-A27A-A6D0C2DD70DD},54831.44536752,2157.39079425607
1066,UT,Vernal Field Office,Limited,5.74180866,{47377FE1-5E60-42EE-BE10-406D6E7FF034},23236.275249035,2435.89498027844
1067,UT,Vernal Field Office,Limited,2.33830387,{D3F2B9F8-3A22-4266-93D4-EFFAB8FE99F6},9462.7800439,2173.86652580791
1068,UT,Vernal Field Office,Limited,42.99891739,{53EDD45D-EDF4-473F-B888-18258D9F4829},174010.44499908,2516.3647781088
1069,UT,Vernal Field Office,Limited,4516.50832124,{543D1D48-83D0-41A9-BCE5-600EEBBCFAD3},18277660.7066134,20590.2597941421
1070,UT,Vernal Field Office,Limited,1.30718289,{DA226F26-A730-4731-9E5F-C980B713EB7F},5289.98145375,669.781390347697
1071,UT,Vernal Field Office,Limited,0.50028755,{CC8B5591-DD08-436C-960F-AC4015BAA203},2024.591887895,834.945848426934
1072,UT,Vernal Field Office,Limited,40.57751738,{9B9D2A40-D34A-4320-9997-BBE37D56DE15},164211.386818485,3735.62840570265
1073,UT,Vernal Field Office,Limited,2.63506989,{E4684F4A-3F04-4772-8E2E-1DE8C87CC781},10663.749522125,832.137636128752
1074,UT,Vernal Field Office,Limited,1.88143099,{5623A34E-0CE0-45A8-B6EE-5D80B757AF11},7613.881077365,1201.85822309704
1075,UT,Vernal Field Office,Limited,0.17246627,{37FBD83F-6338-44AF-849D-55CACCA84C83},697.946250685,128.409306879
1076,UT,Vernal Field Office,Limited,3.13341575,{B6C9D19A-771D-4A22-B2E4-9102A407FF51},12680.48366054,1605.66039775762
1077,UT,Vernal Field Office,Limited,3746.26669889,{B3D89E97-20C5-4D54-8922-05927B51C00F},15160603.4504328,34721.9997382675
1078,UT,Vernal Field Office,Limited,12.53665249,{D52553ED-B8A8-4C73-A49C-BB42A5F55AE5},50734.03263266,1527.39311077133
1079,UT,Vernal Field Office,Limited,10.61300763,{F904D0D0-BAA2-4E64-9158-72253FF2F00B},42949.31808003,4072.71756235658
1080,UT,Vernal Field Office,Limited,2.29141183,{800301B4-FEDB-4138-A8CF-DF1A594C72B8},9273.014689515,472.969868696352
1081,UT,Vernal Field Office,Limited,1.29670603,{71D88E35-B646-4DF1-989C-5F9EE3990CD9},5247.583110055,1333.50676507098
1082,UT,Vernal Field Office,Limited,107.46624571,{5760845F-022F-4E6F-AEA4-F0D60764F366},434900.46663627,4551.75740087041
1083,UT,Vernal Field Office,Limited,2.92557418,{8935E381-F1D1-4A2D-9839-08349B933C98},11839.37864246,1609.74139390334
1084,UT,Vernal Field Office,Limited,0.30797219,{06066EAA-93B2-47AB-9604-66BFE2F1B4CF},1246.31921829,511.410191244989
1085,UT,Vernal Field Office,Limited,39.56565077,{37D7C7D3-9DB5-407B-874F-9725F4D27D5C},160116.50792702,1599.29309580064
1086,UT,Vernal Field Office,Limited,5.79626971,{9FC1AED6-1DA0-4CB9-B307-349BF5DBF50E},23456.67131348,3219.06822113531
1087,UT,Vernal Field Office,Limited,55.76200502,{0B67F03D-DFB7-4B9F-B422-DA45475D9C76},225660.76475033,17579.6388619395
1088,UT,Vernal Field Office,Limited,9.75591172,{22DF3317-47B3-486A-85B6-13BE324A6855},39480.774011215,989.223898377104
1089,UT,Vernal Field Office,Limited,1.62285653,{1B1DEB9C-E82B-4254-832B-68D0FFB7A10E},6567.46739022,1510.78813898971
1090,UT,Vernal Field Office,Limited,2.48627108,{7ABC5668-8717-4D5D-A991-56F8D89EE45C},10061.582086505,452.230750557749
1091,UT,Vernal Field Office,Limited,1.99039625,{7B8C3816-6C2F-4248-AE90-9B2751F2CE78},8054.847857575,1606.19026511265
1092,UT,Richfield Field Office,Limited,3676.77430588,{2A7D8578-8F27-4C7D-AFF6-BE0C3EF5AFB0},14879377.7134598,32800.5047182359
1093,UT,Vernal Field Office,Limited,5.73791089,{441804C8-F79A-4866-A906-707674966DB1},23220.501533165,1616.8714824889
1094,UT,Vernal Field Office,Limited,39.75991077,{8220981A-AF45-4CAC-8739-73F0E436EC52},160902.650233645,1603.40764578341
1095,UT,Vernal Field Office,Limited,0.44653052,{F45EB1BD-F947-4414-A5A1-0F7EC3F4E10E},1807.044901875,991.300862880487
1096,UT,Vernal Field Office,Limited,13.46038466,{6248C5AF-3554-4B9C-9C91-FD5ADDA0DCB7},54472.244126865,1101.11876534744
1097,UT,Vernal Field Office,Limited,167.82514226,{0D10C884-5E25-4176-B40A-E650BC054E9B},679164.25479138,6014.82593596839
1098,UT,Vernal Field Office,Limited,74.07901367,{7C693421-31E1-4F3A-A0ED-ACD27BAE60D6},299787.13221749,4184.99089122147
1099,UT,Vernal Field Office,Limited,6.64964412,{41A5B4F0-A5BA-40D6-95B8-7AF637345A68},26910.155002305,2335.8355881299
1100,UT,Vernal Field Office,Limited,2.36015748,{83B2DCCE-9674-4231-B711-899B8012E82E},9551.218462555,1306.31838870142
