sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
5879@1,-79.86152302,40.62539823,44.0,19.0,14.0,18.0,36.0,151.0,362.0,606.0,477.0,315.0,292.0,288.0,326.0,349.0,481.0,604.0,678.0,790.0,575.0,431.0,416.0,227.0,188.0,119.0
5970@1,-79.79640914,40.44504722,18.0,19.0,24.0,31.0,100.0,223.0,356.0,385.0,296.0,297.0,272.0,291.0,333.0,358.0,463.0,561.0,535.0,402.0,315.0,258.0,200.0,119.0,78.0,36.0
5957@1,-79.82097619,40.48762446,60.0,36.0,39.0,27.0,45.0,165.0,395.0,584.0,478.0,423.0,434.0,448.0,435.0,489.0,532.0,637.0,662.0,715.0,611.0,511.0,429.0,247.0,170.0,106.0
120@1,-79.70385879,40.44354849,27.0,7.0,14.0,9.0,35.0,119.0,365.0,550.0,539.0,421.0,354.0,458.0,504.0,465.0,508.0,640.0,698.0,731.0,471.0,390.0,278.0,146.0,111.0,56.0
26732@1,-80.11427254,40.38989858,19.0,14.0,7.0,10.0,9.0,33.0,113.0,232.0,220.0,173.0,174.0,177.0,188.0,202.0,195.0,247.0,309.0,348.0,324.0,264.0,181.0,140.0,87.0,54.0
27598@1,-80.03451208,40.4382557,45.0,40.0,28.0,42.0,58.0,270.0,734.0,918.0,838.0,505.0,422.0,450.0,540.0,589.0,767.0,815.0,84.0,988.0,697.0,523.0,321.0,312.0,193.0,122.0
3688@1,-80.27973494,40.51056686,52.0,42.0,15.0,21.0,30.0,76.0,248.0,479.0,549.0,419.0,406.0,439.0,463.0,551.0,612.0,682.0,717.0,628.0,406.0,369.0,326.0,281.0,174.0,127.0
6029@1,-79.81955655,40.36913222,5.0,1.0,-1.0,7.0,15.0,31.0,39.0,50.0,48.0,47.0,38.0,56.0,54.0,65.0,76.0,99.0,78.0,72.0,56.0,56.0,35.0,30.0,9.0,6.0
27849@1,-79.99862971,40.451181,12.0,14.0,26.0,19.0,18.0,46.0,138.0,263.0,284.0,113.0,99.0,119.0,124.0,93.0,110.0,127.0,117.0,138.0,116.0,98.0,74.0,57.0,47.0,24.0
5510@1,-80.16211738,40.38459789,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,11.0,6.0,4.0,3.0,5.0,14.0,9.0,13.0,11.0,2.0,1.0,1.0
27583@1,-80.02496363,40.40431042,6.0,9.0,13.0,16.0,19.0,53.0,128.0,177.0,133.0,149.0,136.0,125.0,153.0,186.0,202.0,272.0,227.0,222.0,144.0,105.0,97.0,81.0,49.0,33.0
27559@1,-79.96684881,40.42285581,21.0,4.0,5.0,12.0,13.0,61.0,262.0,385.0,294.0,215.0,207.0,210.0,284.0,331.0,509.0,556.0,618.0,600.0,593.0,385.0,254.0,123.0,80.0,63.0
18651@1,-79.85375139,40.33138892,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,7.0,15.0,5.0,18.0,24.0,11.0,8.0,15.0,16.0,15.0,17.0,13.0,13.0,13.0,5.0,2.0,3.0
10507@1,-79.90966117,40.30688925,87.0,38.0,24.0,18.0,48.0,143.0,356.0,389.0,344.0,278.0,318.0,339.0,348.0,374.0,356.0,491.0,561.0,541.0,432.0,357.0,322.0,248.0,174.0,132.0
27671@1,-79.86998432,40.39013548,5.0,1.0,3.0,2.0,7.0,17.0,33.0,72.0,48.0,54.0,41.0,33.0,53.0,60.0,51.0,90.0,89.0,65.0,60.0,46.0,47.0,40.0,16.0,10.0
27516@1,-79.89401217,40.5168524,3.0,5.0,-1.0,4.0,26.0,167.0,397.0,369.0,223.0,247.0,255.0,256.0,245.0,302.0,379.0,453.0,647.0,333.0,264.0,176.0,104.0,28.0,10.0,5.0
5983@1,-79.77959456,40.51363096,32.0,24.0,25.0,6.0,19.0,123.0,215.0,359.0,248.0,215.0,177.0,157.0,223.0,194.0,238.0,358.0,375.0,392.0,259.0,188.0,153.0,127.0,92.0,75.0
10553@1,-79.75936223,40.5012759,18.0,14.0,8.0,9.0,33.0,126.0,409.0,587.0,457.0,308.0,252.0,303.0,274.0,335.0,532.0,528.0,626.0,766.0,507.0,463.0,321.0,161.0,123.0,42.0
10595@1,-80.00432132,40.56929381,25.0,19.0,13.0,13.0,34.0,156.0,519.0,758.0,608.0,442.0,449.0,538.0,536.0,556.0,664.0,879.0,1.0,28.0,690.0,472.0,327.0,278.0,138.0,134.0
5297@1,-80.14311504,40.61505737,9.0,9.0,4.0,9.0,8.0,48.0,117.0,192.0,156.0,115.0,86.0,85.0,78.0,95.0,160.0,168.0,199.0,205.0,144.0,102.0,63.0,52.0,27.0,24.0
10466@2,-79.96025497,40.54817427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,332.5,364.0,349.5,397.0,452.0,398.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10466@1,-79.96016636,40.54809753,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,691.0,715.0,747.0,854.5,518.5,478.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21550@1,-80.18751356,40.4424076,24.0,13.0,17.0,19.0,35.0,125.0,356.0,610.0,443.0,354.0,381.0,477.0,480.0,442.0,457.0,483.0,659.0,667.0,607.0,363.0,257.0,193.0,96.0,51.0
23795@1,-79.96181657,40.51386332,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,2.0,-1.0,1.0,1.0,-1.0,-1.0,4.0,2.0,-1.0
5944@1,-79.81233925,40.48402439,82.0,50.0,35.0,51.0,62.0,235.0,688.0,931.0,918.0,722.0,615.0,788.0,816.0,769.0,969.0,503.0,608.0,631.0,539.0,812.0,656.0,471.0,267.0,179.0
6044@1,-79.86344126,40.27828579,57.0,39.0,23.0,24.0,69.0,254.0,385.0,439.0,390.0,399.0,436.0,499.0,518.0,565.0,584.0,738.0,821.0,811.0,639.0,630.0,502.0,382.0,216.0,114.0
6109@1,-79.96738357,40.35488948,17.0,8.0,5.0,16.0,49.0,147.0,197.0,221.0,189.0,191.0,214.0,234.0,237.0,255.0,282.0,292.0,293.0,333.0,272.0,222.0,152.0,87.0,86.0,33.0
5898@2,-79.84330904,40.53491361,28.0,36.0,39.0,71.0,204.0,572.0,955.0,764.0,606.0,541.0,603.0,636.0,613.0,717.0,742.0,684.0,758.0,698.0,620.0,571.0,357.0,245.0,146.0,76.0
5898@1,-79.84323518,40.53485501,29.0,27.0,60.0,104.0,312.0,669.0,781.0,728.0,790.0,798.0,808.0,849.0,759.0,882.0,235.0,192.0,467.0,228.0,892.0,687.0,439.0,220.0,148.0,99.0
19006@2,-79.94982601,40.34803405,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,916.0,873.0,888.0,122.0,149.0,257.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19006@1,-79.9499974,40.34791144,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,869.0,799.0,835.0,846.0,998.0,825.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6104@1,-79.91267062,40.33845583,61.0,27.0,46.0,51.0,114.0,297.0,419.0,422.0,318.0,264.0,286.0,300.0,313.0,286.0,414.0,456.0,449.0,372.0,302.0,214.0,188.0,180.0,159.0,102.0
6075@1,-79.95806986,40.26544895,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,-1.0,4.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0
93@1,-80.02462671,40.43170511,225.0,101.0,123.0,166.0,259.0,627.0,12.0,433.0,499.0,255.0,137.0,210.0,313.0,352.0,760.0,150.0,537.0,315.0,675.0,16.0,744.0,300.0,753.0,674.0
5525@1,-80.25850421,40.44576745,5.0,3.0,1.0,6.0,17.0,38.0,94.0,136.0,156.0,74.0,93.0,114.0,152.0,110.0,138.0,217.0,162.0,171.0,134.0,95.0,109.0,46.0,32.0,35.0
47@2,-80.02957141,40.43385253,265.0,189.0,150.0,156.0,180.0,326.0,831.0,210.0,210.0,983.0,908.0,22.0,126.0,175.0,612.0,710.0,724.0,740.0,553.0,928.0,768.0,735.0,669.0,466.0
47@1,-80.02939249,40.43385298,121.0,98.0,85.0,119.0,184.0,511.0,5.0,325.0,290.0,843.0,649.0,629.0,694.0,666.0,678.0,783.0,813.0,865.0,816.0,523.0,386.0,385.0,255.0,193.0
5462@1,-80.02397281,40.34277106,80.0,41.0,29.0,36.0,66.0,265.0,661.0,687.0,646.0,724.0,721.0,816.0,752.0,729.0,723.0,807.0,943.0,864.0,765.0,662.0,579.0,496.0,257.0,184.0
27831@1,-79.78471172,40.57768457,14.0,6.0,5.0,8.0,14.0,47.0,116.0,142.0,119.0,116.0,105.0,122.0,170.0,177.0,190.0,247.0,236.0,233.0,189.0,109.0,97.0,114.0,33.0,17.0
5863@1,-79.9556861,40.58235175,26.0,16.0,7.0,7.0,33.0,128.0,461.0,835.0,636.0,498.0,437.0,479.0,489.0,495.0,646.0,754.0,900.0,946.0,696.0,483.0,325.0,253.0,109.0,97.0
27523@1,-80.02182426,40.46331323,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,273.5,262.0,256.0,315.5,337.0,377.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5926@1,-79.75005536,40.66438756,14.0,11.0,12.0,28.0,89.0,230.0,287.0,197.0,116.0,115.0,134.0,184.0,212.0,229.0,297.0,355.0,303.0,203.0,139.0,97.0,79.0,50.0,35.0,18.0
6128@1,-79.82086304,40.43318941,21.0,13.0,11.0,7.0,17.0,33.0,74.0,105.0,125.0,87.0,108.0,115.0,118.0,129.0,128.0,150.0,186.0,139.0,109.0,75.0,68.0,49.0,28.0,26.0
5878@1,-79.87119918,40.59919581,13.0,7.0,8.0,23.0,49.0,179.0,340.0,415.0,330.0,226.0,192.0,180.0,202.0,219.0,282.0,353.0,426.0,370.0,254.0,182.0,124.0,85.0,63.0,42.0
5954@1,-79.83409051,40.47994726,75.0,51.0,44.0,40.0,83.0,402.0,281.0,106.0,11.0,637.0,554.0,573.0,557.0,575.0,689.0,898.0,964.0,28.0,724.0,543.0,469.0,337.0,233.0,161.0
27553@1,-80.01650061,40.4276298,46.0,20.0,12.0,17.0,28.0,108.0,566.0,895.0,980.0,590.0,487.0,512.0,542.0,571.0,750.0,836.0,44.0,978.0,725.0,456.0,361.0,275.0,225.0,97.0
21468@1,-80.1391271,40.38989757,17.0,5.0,2.0,7.0,10.0,30.0,94.0,183.0,141.0,96.0,122.0,111.0,129.0,124.0,130.0,163.0,236.0,277.0,191.0,133.0,120.0,67.0,49.0,31.0
146@2,-80.0240258,40.55909564,57.0,21.0,23.0,16.0,36.0,175.0,533.0,975.0,875.0,768.0,744.0,903.0,852.0,791.0,862.0,778.0,802.0,916.0,760.0,572.0,467.0,337.0,156.0,94.0
146@1,-80.02387412,40.55915655,46.0,24.0,23.0,29.0,37.0,129.0,268.0,473.0,490.0,475.0,583.0,616.0,678.0,751.0,806.0,904.0,930.0,959.0,903.0,646.0,466.0,375.0,208.0,95.0
10519@1,-79.87544495,40.58885782,13.0,10.0,2.0,6.0,35.0,100.0,328.0,646.0,397.0,236.0,214.0,203.0,240.0,209.0,315.0,501.0,600.0,502.0,365.0,204.0,153.0,86.0,68.0,49.0
5307@1,-79.85274642,40.2410659,16.0,15.0,4.0,9.0,36.0,87.0,179.0,226.0,123.0,117.0,112.0,133.0,155.0,161.0,193.0,227.0,266.0,236.0,154.0,110.0,82.0,66.0,34.0,25.0
8152@2,-80.28259936,40.49852929,65.0,24.0,18.0,30.0,65.0,109.0,172.0,121.0,147.0,177.0,148.0,186.0,183.0,202.0,251.0,344.0,376.0,390.0,237.0,191.0,146.0,120.0,105.0,81.0
8152@1,-80.2829219,40.49837976,17.0,10.0,13.0,20.0,30.0,66.0,141.0,244.0,180.0,111.0,97.0,95.0,102.0,95.0,127.0,115.0,133.0,179.0,99.0,80.0,79.0,44.0,46.0,20.0
5740@1,-80.03733285,40.62669047,24.0,23.0,17.0,48.0,164.0,512.0,865.0,836.0,670.0,582.0,646.0,610.0,634.0,655.0,954.0,964.0,984.0,774.0,597.0,463.0,366.0,195.0,72.0,51.0
26676@1,-79.71066046,40.52865647,6.0,8.0,5.0,3.0,7.0,22.0,66.0,138.0,122.0,68.0,76.0,71.0,114.0,108.0,116.0,110.0,152.0,149.0,95.0,59.0,69.0,58.0,19.0,23.0
21626@1,-80.27189096,40.51680577,-1.0,6.0,5.0,9.0,9.0,22.0,42.0,45.0,47.0,46.0,52.0,62.0,46.0,48.0,60.0,58.0,67.0,48.0,30.0,32.0,25.0,9.0,9.0,9.0
155@1,-79.99732396,40.57752218,8.0,6.0,3.0,3.0,11.0,44.0,132.0,255.0,209.0,170.0,172.0,204.0,184.0,171.0,246.0,287.0,291.0,339.0,276.0,161.0,127.0,92.0,46.0,36.0
6047@1,-79.84876266,40.29763705,11.0,4.0,5.0,7.0,10.0,35.0,45.0,62.0,63.0,61.0,54.0,65.0,53.0,59.0,90.0,122.0,126.0,96.0,85.0,69.0,61.0,46.0,36.0,15.0
27613@1,-80.03671555,40.51802382,26.0,24.0,10.0,6.0,7.0,36.0,131.0,322.0,336.0,266.0,321.0,334.0,349.0,362.0,388.0,470.0,531.0,576.0,463.0,408.0,229.0,183.0,98.0,64.0
21562@2,-80.02489668,40.39932401,82.0,50.0,20.0,29.0,49.0,114.0,467.0,878.0,706.0,552.0,566.0,651.0,656.0,665.0,789.0,993.0,36.0,14.0,923.0,761.0,492.0,366.0,217.0,152.0
21562@1,-80.02467037,40.39939269,30.0,22.0,11.0,19.0,42.0,174.0,489.0,764.0,657.0,541.0,493.0,573.0,590.0,610.0,699.0,767.0,779.0,723.0,602.0,397.0,306.0,217.0,105.0,67.0
11982@2,-79.75724995,40.43623731,41.0,8.0,10.0,23.0,25.0,118.0,507.0,745.0,569.0,416.0,400.0,406.0,549.0,640.0,984.0,75.0,195.0,160.0,147.0,745.0,491.0,238.0,155.0,122.0
27447@1,-79.92684174,40.4253834,278.0,142.0,114.0,187.0,317.0,914.0,727.0,989.0,649.0,683.0,523.0,694.0,728.0,841.0,873.0,821.0,806.0,657.0,676.0,463.0,286.0,91.0,712.0,542.0
11982@1,-79.75710685,40.43624194,44.0,22.0,23.0,25.0,51.0,133.0,456.0,724.0,770.0,783.0,959.0,962.0,969.0,996.0,6.0,56.0,206.0,148.0,897.0,652.0,434.0,292.0,164.0,76.0
6009@1,-79.79925565,40.43812185,43.0,12.0,17.0,22.0,35.0,68.0,220.0,249.0,253.0,240.0,236.0,224.0,231.0,244.0,286.0,309.0,344.0,309.0,262.0,205.0,177.0,123.0,94.0,43.0
10535@1,-79.76387913,40.62564239,11.0,3.0,6.0,24.0,124.0,215.0,224.0,183.0,177.0,151.0,165.0,186.0,190.0,233.0,332.0,336.0,302.0,257.0,196.0,156.0,80.0,46.0,41.0,24.0
10498@2,-79.91405491,40.45522433,41.0,36.0,29.0,27.0,105.0,286.0,652.0,845.0,9.0,846.0,696.0,816.0,986.0,592.0,665.0,764.0,808.0,816.0,725.0,567.0,464.0,316.0,231.0,107.0
5285@1,-80.00485905,40.44134626,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,653.0,675.0,731.0,778.0,935.0,929.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10598@1,-80.03416321,40.58396027,29.0,24.0,12.0,18.0,31.0,110.0,372.0,777.0,658.0,552.0,542.0,526.0,551.0,510.0,622.0,813.0,911.0,882.0,667.0,444.0,273.0,222.0,82.0,42.0
10467@1,-79.95871217,40.5571166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,649.0,594.5,687.0,780.0,392.0,336.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25060@1,-80.22048299,40.55569605,97.0,62.0,64.0,73.0,133.0,290.0,742.0,78.0,856.0,576.0,596.0,535.0,623.0,733.0,783.0,964.0,87.0,164.0,709.0,480.0,417.0,366.0,303.0,224.0
1932@1,-79.69707074,40.47112613,8.0,2.0,-1.0,-1.0,3.0,25.0,73.0,140.0,128.0,90.0,86.0,109.0,159.0,155.0,144.0,169.0,179.0,189.0,126.0,76.0,75.0,52.0,27.0,9.0
10526@2,-79.91797683,40.3528097,69.0,40.0,48.0,47.0,113.0,330.0,663.0,30.0,963.0,900.0,760.0,934.0,836.0,733.0,888.0,64.0,220.0,224.0,859.0,730.0,399.0,315.0,222.0,133.0
10526@1,-79.91801082,40.35272366,82.0,53.0,31.0,45.0,58.0,333.0,916.0,38.0,806.0,636.0,689.0,743.0,868.0,894.0,101.0,167.0,251.0,165.0,926.0,805.0,659.0,527.0,304.0,191.0
30325@1,-80.08842558,40.49636062,96.5,60.0,86.5,120.5,133.5,286.5,556.0,610.0,554.5,482.5,490.0,503.5,491.0,517.5,510.0,522.5,575.5,416.5,257.0,191.0,150.0,171.5,139.0,137.0
27458@1,-79.95592243,40.43614848,141.0,87.0,49.0,35.0,83.0,196.0,806.0,514.0,218.0,953.0,976.0,123.0,131.0,146.0,362.0,712.0,750.0,785.0,592.0,312.0,849.0,631.0,374.0,262.0
10468@1,-80.08514076,40.32265464,38.0,34.0,21.0,14.0,31.0,198.0,744.0,29.0,903.0,831.0,675.0,742.0,811.0,645.0,728.0,865.0,889.0,122.0,812.0,623.0,517.0,298.0,194.0,112.0
32719@1,-80.10390086,40.56900007,17.0,6.0,12.0,21.0,36.0,84.0,313.0,684.0,506.0,355.0,318.0,308.0,332.0,351.0,371.0,527.0,677.0,966.0,582.0,388.0,210.0,173.0,113.0,41.0
5880@1,-79.85023628,40.63720788,14.0,4.0,5.0,4.0,25.0,65.0,172.0,279.0,274.0,139.0,102.0,133.0,156.0,161.0,211.0,322.0,283.0,288.0,183.0,161.0,139.0,80.0,71.0,43.0
5484@2,-80.00286228,40.4315632,129.0,70.0,67.0,46.0,75.0,262.0,565.0,971.0,762.0,489.0,506.0,494.0,485.0,586.0,670.0,816.0,930.0,916.0,564.0,422.0,353.0,327.0,230.0,167.0
31201@1,-79.947343,40.31241382,14.0,7.0,1.0,2.0,6.0,33.0,132.0,169.0,237.0,169.0,139.0,198.0,207.0,189.0,183.0,237.0,234.0,237.0,219.0,105.0,112.0,93.0,51.0,39.0
27632@1,-80.03260337,40.4426787,251.0,180.0,148.0,122.0,152.0,430.0,917.0,400.0,220.0,949.0,752.0,783.0,777.0,893.0,55.0,204.0,304.0,282.0,112.0,781.0,707.0,612.0,493.0,357.0
6700@2,-80.02688846,40.44992184,93.0,49.0,72.0,102.0,137.0,452.0,434.0,790.0,201.0,881.0,864.0,889.0,937.0,972.0,122.0,592.0,833.0,778.0,357.0,30.0,837.0,542.0,346.0,151.0
6700@1,-80.02664195,40.450049,58.0,48.0,27.0,61.0,97.0,422.0,329.0,642.0,128.0,843.0,816.0,855.0,872.0,890.0,924.0,328.0,615.0,890.0,541.0,871.0,640.0,482.0,295.0,154.0
27538@1,-80.01782374,40.50738929,36.0,24.0,11.0,12.0,32.0,79.0,282.0,514.0,370.0,317.0,309.0,329.0,350.0,362.0,408.0,479.0,612.0,738.0,508.0,382.0,309.0,250.0,167.0,85.0
5860@1,-79.96169309,40.52407679,68.0,38.0,28.0,35.0,56.0,195.0,561.0,890.0,908.0,756.0,725.0,840.0,851.0,764.0,914.0,123.0,220.0,191.0,49.0,879.0,616.0,413.0,229.0,146.0
10561@1,-80.15265683,40.40460454,8.0,4.0,3.0,3.0,5.0,32.0,95.0,137.0,117.0,85.0,80.0,92.0,87.0,78.0,99.0,150.0,232.0,234.0,134.0,76.0,70.0,40.0,17.0,17.0
19400@1,-79.95728803,40.44131846,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,155.0,153.0,307.0,356.0,454.0,599.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27790@1,-79.99804047,40.43629228,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,590.0,537.0,639.0,727.0,681.0,725.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10654@1,-80.0473469,40.3188236,33.0,24.0,9.0,15.0,19.0,157.0,360.0,659.0,514.0,478.0,453.0,536.0,471.0,478.0,546.0,682.0,724.0,781.0,737.0,558.0,419.0,365.0,206.0,103.0
5719@1,-79.995092,40.47486925,6.0,-1.0,-1.0,3.0,-1.0,5.0,8.0,36.0,35.0,27.0,25.0,17.0,22.0,35.0,58.0,49.0,43.0,40.0,24.0,20.0,6.0,10.0,13.0,5.0
27381@1,-79.93382349,40.43292188,27.0,12.0,9.0,7.0,8.0,66.0,273.0,564.0,586.0,379.0,270.0,242.0,305.0,323.0,423.0,632.0,781.0,828.0,511.0,339.0,220.0,184.0,133.0,89.0
21469@1,-80.08992182,40.3869771,4.0,3.0,12.0,2.0,31.0,88.0,430.0,743.0,702.0,528.0,486.0,563.0,614.0,642.0,715.0,789.0,63.0,239.0,822.0,669.0,517.0,264.0,13.0,16.0
21469@2,-80.0896678,40.38692755,87.0,44.0,36.0,36.0,81.0,184.0,367.0,942.0,851.0,643.0,551.0,587.0,611.0,614.0,638.0,733.0,851.0,835.0,759.0,612.0,758.0,515.0,361.0,235.0
147@2,-80.02485504,40.57471488,71.0,25.0,25.0,15.0,52.0,221.0,562.0,54.0,954.0,867.0,840.0,924.0,935.0,920.0,22.0,921.0,54.0,159.0,902.0,528.0,391.0,328.0,176.0,116.0
147@1,-80.02468905,40.57470441,50.0,27.0,24.0,40.0,43.0,132.0,450.0,870.0,739.0,646.0,667.0,826.0,849.0,896.0,947.0,87.0,132.0,82.0,955.0,664.0,539.0,405.0,216.0,129.0
6724@1,-80.03183262,40.44200022,57.0,54.0,29.0,33.0,54.0,228.0,829.0,302.0,51.0,743.0,474.0,380.0,485.0,458.0,568.0,700.0,108.0,114.0,760.0,342.0,244.0,188.0,166.0,121.0
5925@1,-79.79716131,40.65091649,4.0,5.0,10.0,22.0,78.0,200.0,268.0,194.0,162.0,122.0,138.0,132.0,164.0,197.0,287.0,315.0,308.0,236.0,126.0,136.0,97.0,29.0,29.0,8.0
137@2,-80.08728553,40.4084405,66.0,25.0,27.0,17.0,27.0,112.0,248.0,327.0,347.0,354.0,345.0,353.0,411.0,420.0,479.0,570.0,729.0,808.0,425.0,367.0,305.0,271.0,161.0,95.0
137@1,-80.08716598,40.40839158,65.0,37.0,23.0,20.0,42.0,146.0,380.0,647.0,650.0,452.0,408.0,387.0,449.0,419.0,435.0,522.0,609.0,843.0,626.0,420.0,293.0,234.0,138.0,87.0
14862@1,-79.92478767,40.5020629,5.0,1.0,3.0,2.0,7.0,21.0,30.0,68.0,70.0,43.0,50.0,41.0,59.0,82.0,73.0,77.0,86.0,94.0,84.0,60.0,55.0,32.0,26.0,9.0
5663@1,-80.10592691,40.49697239,22.0,12.0,16.0,12.0,23.0,91.0,214.0,339.0,279.0,172.0,157.0,128.0,143.0,184.0,217.0,251.0,290.0,325.0,200.0,137.0,98.0,65.0,56.0,49.0
46917@1,-79.76336987,40.44809405,35.0,15.0,17.0,22.0,47.0,152.0,397.0,502.0,554.0,425.0,428.0,492.0,605.0,524.0,626.0,693.0,880.0,844.0,612.0,520.0,273.0,226.0,114.0,70.0
27566@1,-80.02190574,40.39513534,32.0,15.0,3.0,9.0,17.0,78.0,233.0,528.0,367.0,207.0,194.0,189.0,202.0,211.0,276.0,326.0,355.0,323.0,303.0,225.0,154.0,137.0,61.0,41.0
6088@1,-79.8938506,40.28718137,55.0,36.0,9.0,11.0,8.0,42.0,137.0,129.0,126.0,151.0,171.0,218.0,207.0,226.0,227.0,221.0,267.0,284.0,216.0,210.0,182.0,140.0,115.0,66.0
27685@1,-80.09367873,40.47299089,34.0,17.0,15.0,30.0,40.0,103.0,352.0,450.0,431.0,403.0,397.0,422.0,460.0,468.0,526.0,585.0,595.0,515.0,427.0,357.0,239.0,165.0,119.0,98.0
5747@1,-80.08801278,40.67231202,12.0,2.0,3.0,5.0,4.0,31.0,176.0,384.0,464.0,214.0,189.0,296.0,415.0,359.0,288.0,381.0,620.0,733.0,480.0,214.0,161.0,96.0,56.0,38.0
31195@2,-80.010926,40.53548111,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,515.0,523.0,678.0,660.0,687.0,717.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6085@1,-79.86584346,40.35737077,118.0,67.0,65.0,71.0,148.0,442.0,868.0,64.0,832.0,648.0,706.0,551.0,624.0,761.0,832.0,167.0,218.0,57.0,772.0,491.0,519.0,583.0,543.0,226.0
27688@1,-80.17600399,40.53386232,6.0,2.0,3.0,-1.0,5.0,17.0,28.0,53.0,70.0,76.0,49.0,52.0,63.0,57.0,61.0,61.0,64.0,70.0,45.0,51.0,41.0,23.0,20.0,10.0
5284@1,-80.00204817,40.4424693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,359.0,345.0,358.0,441.0,470.0,519.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11553@1,-80.02967068,40.50781391,88.0,46.0,22.0,28.0,60.0,280.0,686.0,34.0,852.0,570.0,532.0,530.0,610.0,684.0,731.0,859.0,954.0,64.0,804.0,597.0,426.0,338.0,305.0,216.0
5706@2,-80.04602736,40.588447,12.0,11.0,3.0,3.0,9.0,15.0,94.0,212.0,155.0,204.0,230.0,252.0,272.0,306.0,533.0,356.0,531.0,554.0,391.0,348.0,322.0,228.0,68.0,34.0
19376@1,-79.86854316,40.35096445,68.0,36.0,25.0,25.0,54.0,160.0,314.0,412.0,419.0,411.0,319.0,353.0,357.0,412.0,451.0,575.0,597.0,494.0,411.0,297.0,231.0,191.0,153.0,122.0
19376@2,-79.86834419,40.35108707,73.0,31.0,31.0,43.0,85.0,237.0,400.0,478.0,413.0,433.0,416.0,467.0,463.0,453.0,565.0,582.0,565.0,524.0,453.0,297.0,297.0,227.0,158.0,145.0
16314@1,-79.7265419,40.66774289,35.0,21.0,36.0,74.0,276.0,521.0,638.0,474.0,347.0,351.0,358.0,362.0,472.0,546.0,690.0,793.0,711.0,439.0,349.0,268.0,189.0,116.0,102.0,50.0
39012@2,-80.16250944,40.51678366,39.0,32.0,44.0,49.0,175.0,469.0,615.0,644.0,521.0,454.0,498.0,539.0,564.0,591.0,617.0,734.0,732.0,627.0,436.0,391.0,257.0,220.0,127.0,70.0
5877@1,-79.88789559,40.57775461,21.0,10.0,5.0,12.0,27.0,93.0,262.0,404.0,361.0,249.0,213.0,249.0,257.0,236.0,277.0,371.0,448.0,463.0,277.0,216.0,196.0,158.0,86.0,45.0
10479@1,-79.7862241,40.35826956,98.0,33.0,33.0,37.0,76.0,204.0,369.0,519.0,542.0,551.0,613.0,661.0,652.0,719.0,717.0,822.0,809.0,791.0,685.0,531.0,442.0,307.0,244.0,180.0
10599@1,-79.95794955,40.59103979,29.0,12.0,15.0,29.0,44.0,119.0,360.0,795.0,507.0,462.0,405.0,501.0,495.0,489.0,557.0,676.0,709.0,766.0,576.0,420.0,252.0,222.0,113.0,64.0
