sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
5671@1,-80.18925701,40.57153849,3.0,-1.0,2.0,1.0,4.0,17.0,32.0,85.0,56.0,24.0,50.0,68.0,52.0,45.0,62.0,82.0,72.0,65.0,38.0,39.0,29.0,19.0,16.0,2.0
809@1,-80.23302593,40.45515719,35.0,16.0,16.0,14.0,33.0,139.0,363.0,695.0,455.0,277.0,294.0,440.0,468.0,363.0,374.0,475.0,684.0,621.0,483.0,316.0,278.0,220.0,136.0,102.0
27693@1,-80.1711086,40.50927568,3.0,2.0,1.0,5.0,7.0,25.0,90.0,183.0,123.0,60.0,56.0,54.0,55.0,62.0,86.0,103.0,140.0,157.0,89.0,62.0,41.0,25.0,12.0,8.0
10463@2,-79.86146601,40.43927632,277.0,196.0,165.0,263.0,623.0,134.0,888.0,222.0,478.0,161.0,233.0,271.0,187.0,70.0,228.0,85.0,189.0,387.0,249.0,715.0,489.0,200.0,788.0,486.0
10463@1,-79.86040895,40.4398317,762.0,416.0,319.0,280.0,306.0,814.0,858.0,712.0,569.0,354.0,390.0,637.0,960.0,54.0,492.0,926.0,65.0,89.0,512.0,878.0,377.0,387.0,508.0,36.0
23902@2,-79.88281865,40.40367731,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,383.0,390.5,464.5,28.5,84.5,123.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23902@1,-79.88262741,40.40380872,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,743.5,718.0,824.5,969.0,1057.0,1088.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
110@1,-79.85451574,40.55162039,12.0,4.0,-1.0,5.0,10.0,51.0,112.0,218.0,156.0,92.0,90.0,79.0,96.0,108.0,152.0,160.0,241.0,190.0,108.0,79.0,78.0,54.0,32.0,20.0
10522@1,-79.82843807,40.58620733,26.0,17.0,12.0,14.0,43.0,123.0,283.0,354.0,284.0,168.0,173.0,189.0,230.0,189.0,288.0,377.0,421.0,434.0,298.0,227.0,169.0,117.0,86.0,68.0
14456@2,-79.84049301,40.54018821,75.0,37.0,35.0,50.0,77.0,259.0,500.0,904.0,717.0,484.0,495.0,552.0,530.0,548.0,656.0,757.0,826.0,662.0,511.0,460.0,312.0,265.0,154.0,102.0
