OBJECTID,adm_code,adm_manage,adm_name,GIS_acres,SMA_ID,GlobalID,SHAPE_Length,SHAPE_Area
4552,BLM,BLM,,0.0072588,2.0,{03199D65-E348-4F83-875B-9D2BAB68E032},26.7540009489882,29.3753102084051
4553,STA,STA,,638.40312126,2386.0,{524393C1-641C-4926-8C13-C71817A576C7},6429.53177656333,2583525.77133468
4554,BLM,BLM,,7310.3501918,2.0,{F38017F2-ED27-417C-81F9-50C782A929C7},64124.3392431274,29583937.6236875
4555,BLM,BLM,,40.61251132,2.0,{EBFAA5EA-B6B0-4DD0-B257-613D9CDC7B0B},1623.43935486283,164353.002257365
4556,PRI,PRI, ,10.81272844,2388.0,{AE3720EF-866D-4D6F-8D94-1185D1B551D3},1120.29503025676,43757.5595170213
4557,STA,LOCAL,Las Animas Rifle Range SAA,79.78501217,2386.0,{B9B7C37A-66F1-4C1B-9691-53A9FE92DBC3},2409.49568559617,322878.488919535
4558,BLM,BLM,,18.24328065,2.0,{06D9132F-CD98-445B-A774-F901CF22DBDB},1735.01782473801,73827.9374758817
4559,LOCAL,LOCAL,Yampa River State Wildlife Area,5.806e-05,2387.0,{61F42E90-64FF-4894-BC07-88FE246DA64F},6.32094692761095,0.234947639454719
4560,BLM,BLM,,96.73588805,2.0,{0F5B963A-8627-4C23-88C7-01ECBAADD702},7746.08770030094,391476.249830838
4561,PRI,PRI, ,5.04726085,2388.0,{850C1C66-2953-446F-B5AF-BECCECE5BA8D},989.872229613095,20425.5399728645
4562,LOCAL,LOCAL,,0.01073656,2387.0,{547EEAE7-D6C2-4783-84FA-42540748B502},31.796063501862,43.44931702752
4563,PRI,PRI, ,20.62868231,2388.0,{FCDF05C6-3583-4492-B3D0-1C702D5C10CE},2010.16936675745,83481.3154764829
4564,PRI,PRI, ,10.75549702,2388.0,{6F4BEC42-E647-41D0-BB28-4E5AC4F4CCB9},1150.72054370121,43525.9521821925
4565,STA,LOCAL,Los Mogotes Peak STL,640.47244912,2386.0,{1B1CEADC-C223-45B0-8663-AF99FADB271C},6443.85328059076,2591900.04407248
4566,BLM,BLM,,319.17422482,2.0,{9302A372-98AD-426E-B5A3-7853FEC6B7B5},4812.16510931288,1291652.26159758
4567,PRI,PRI, ,316.76473446,2388.0,{DB24DA49-F5F9-4ED7-BC27-239456717CC7},5598.58113255908,1281901.40003137
