YEAR,STATE,BENE_GEO_CD,MA_OP_POPN,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_OTHR_PCT,BENE_DUAL_PCT,BENES_IP_STAY_CNT,BENES_IP_PCT,IP_STAY_PER_1000_BENES,IP_DAYS_PER_1000_BENES,BENES_IRF_CNT,BENES_IRF_PCT,IRF_STAYS_PER_1000_BENES,IRF_DAYS_PER_1000_BENES,BENES_LTC_CNT,BENES_LTC_PCT,LTC_STAYS_PER_1000_BENES,LTC_DAYS_PER_1000_BENES,BENES_SNF_CNT,BENES_SNF_PCT,SNF_STAYS_PER_1000_BENES,SNF_DAYS_PER_1000_BENES
2016,MD,24.0,89812,73,0.5825,0.4175,0.5115,0.3899,0.0283,0.0703,0.1702,8682,0.0967,149.4121,870.6854,47,0.0005,0.5790,8.2728,*,*,*,*,3008,0.0335,46.3524,918.6746
2016,ME,23.0,77860,72,0.5297,0.4703,0.9595,0.0023,0.0040,0.0342,0.1585,9150,0.1175,163.0619,849.5633,286,0.0037,3.9430,54.5081,*,*,*,*,2113,0.0271,34.7547,608.7208
2016,MI,26.0,664526,72,0.5531,0.4469,0.8469,0.1072,0.0154,0.0305,0.0990,101706,0.1531,229.064,1163.9755,3241,0.0049,5.2458,67.5053,940,0.0014,1.5710,41.1692,26434,0.0398,53.9061,1185.0958
2016,MN,27.0,527077,74,0.563,0.437,0.9426,0.0134,0.0070,0.0371,0.0949,19026,0.0361,51.6319,233.8691,205,0.0004,0.4079,5.4603,94,0.0002,0.2087,5.6595,9910,0.0188,25.5617,677.0756
2016,MO,29.0,345231,72,0.5656,0.4344,0.8557,0.1142,0.0117,0.0184,0.1221,53800,0.1558,234.4517,1182.8804,1638,0.0047,5.2776,72.2733,306,0.0009,1.2137,34.0584,14002,0.0406,53.4888,1017.0726
2016,MS,28.0,85838,70,0.5548,0.4452,0.5514,0.4332,0.0069,0.0084,0.2971,13681,0.1594,245.7653,1369.0091,186,0.0022,2.2834,32.5380,140,0.0016,1.8407,47.2052,2145,0.0250,30.8139,605.7690
2016,MT,30.0,40946,73,0.5401,0.4599,0.9537,0.0014,0.0108,0.0341,0.0674,4826,0.1179,156.4011,718.141,83,0.0020,2.0759,26.9379,21,0.0005,0.5373,14.8000,799,0.0195,23.2990,448.7129
2016,NC,37.0,562553,72,0.5782,0.4218,0.7612,0.2008,0.0114,0.0266,0.1232,78372,0.1393,203.3071,1071.2484,1305,0.0023,2.4549,35.9362,213,0.0004,0.4177,12.9908,18022,0.0320,42.4351,892.5150
2016,ND,38.0,22834,75,0.552,0.448,0.9733,0.0013,0.0039,0.0215,0.0558,408,0.0179,26.7145,152.3605,*,*,*,*,*,*,*,*,109,0.0048,6.0874,108.0844
2016,NE,31.0,39955,73,0.5541,0.4459,0.8700,0.0761,0.0295,0.0245,0.1092,6328,0.1584,235.1896,1181.7294,113,0.0028,3.0785,44.6753,30,0.0008,0.7759,23.2261,2107,0.0527,69.7535,1612.7894
2016,NH,33.0,22333,73,0.5543,0.4457,0.9475,0.0062,0.0128,0.0336,0.0635,2814,0.126,185.3759,1006.4926,88,0.0039,4.4777,57.7621,*,*,*,*,860,0.0385,50.8664,1197.5104
2016,NJ,34.0,246343,73,0.5599,0.4401,0.6114,0.1600,0.1484,0.0802,0.1349,36301,0.1474,228.8435,1354.4976,913,0.0037,4.0594,60.4401,83,0.0003,0.4993,13.5989,12922,0.0525,74.9240,2033.4290
2016,NM,35.0,122219,72,0.5638,0.4362,0.5740,0.0154,0.3713,0.0393,0.2405,14451,0.1182,165.4571,807.3622,541,0.0044,4.9092,61.2998,119,0.0010,1.4564,30.8054,3669,0.0300,37.8010,830.6483
2016,NV,32.0,159013,73,0.5565,0.4435,0.7226,0.0848,0.1031,0.0895,0.1135,20605,0.1296,192.7515,1065.2462,392,0.0025,2.6664,29.4127,98,0.0006,1.1068,20.3002,5527,0.0348,45.5938,773.2827
2016,NY,36.0,1245990,73,0.5802,0.4198,0.6127,0.1459,0.1497,0.0916,0.2859,173971,0.1396,212.6839,1285.1307,2358,0.0019,2.0755,29.2522,150,0.0001,0.1734,5.8259,41221,0.0331,44.2692,1081.6539
2016,National,,18185605,73,0.5645,0.4355,0.6958,0.1136,0.1345,0.0561,0.1871,2448058,0.1346,200.739,1067.9302,49082,0.0027,2.9612,38.7754,15144,0.0008,1.0669,27.6903,592609,0.0326,43.3887,992.0710
2016,OH,39.0,806190,73,0.5795,0.4205,0.8536,0.1077,0.0118,0.0269,0.1506,130876,0.1623,250.4199,1346.7222,3196,0.0040,4.2856,56.7782,1224,0.0015,1.7254,48.3360,46157,0.0573,77.3292,3099.2533
2016,OK,40.0,119483,72,0.5613,0.4387,0.8341,0.0796,0.0208,0.0656,0.1229,20399,0.1707,255.8774,1350.0916,439,0.0037,3.8499,49.6891,270,0.0023,2.8874,59.2888,2973,0.0249,31.9627,576.6511
2016,OR,41.0,346935,73,0.5688,0.4312,0.9083,0.0135,0.0239,0.0544,0.1606,39086,0.1127,156.6662,720.2733,291,0.0008,0.9339,11.2615,66,0.0002,0.2306,7.2117,10176,0.0293,36.6438,706.0372
2016,PA,42.0,1035390,73,0.5712,0.4288,0.8533,0.0942,0.0277,0.0249,0.1805,180368,0.1742,269.3198,1463.8668,6062,0.0059,6.5077,91.2381,1005,0.0010,1.1281,26.3823,55842,0.0539,74.1199,1277.2173
2016,PR,72.0,567355,70,0.5439,0.4561,0.0015,0.0002,0.9982,0.0001,*,63483,0.1119,155.631,1030.0553,1157,0.0020,2.1168,24.1471,*,*,*,*,2323,0.0041,4.2777,45.6081
2016,RI,44.0,74308,75,0.5884,0.4116,0.8920,0.0247,0.0466,0.0366,0.1471,11632,0.1565,240.0414,1213.6378,114,0.0015,1.6687,22.9585,16,0.0002,0.4710,14.8302,4802,0.0646,88.9272,1666.4962
2016,SC,45.0,228576,70,0.5706,0.4294,0.6423,0.3315,0.0113,0.0150,0.2508,36575,0.16,245.8832,1392.2809,533,0.0023,2.4937,36.1237,185,0.0008,0.8575,28.9663,8538,0.0374,48.6359,1061.3975
2016,SD,46.0,33204,75,0.5528,0.4472,0.9726,0.0020,0.0043,0.0211,0.0621,1095,0.033,46.5004,264.3657,14,0.0004,0.4518,6.5655,*,*,*,*,258,0.0078,9.9084,205.0657
2016,TN,47.0,447192,70,0.5608,0.4392,0.8295,0.1474,0.0076,0.0155,0.2812,73399,0.1641,253.0367,1396.9257,1740,0.0039,4.1727,57.0158,430,0.0010,1.0353,32.6258,18665,0.0417,55.5690,1197.9463
2016,TX,48.0,1229929,71,0.5648,0.4352,0.5367,0.1296,0.2926,0.0411,0.2307,180841,0.147,223.6414,1272.1198,4564,0.0037,3.9986,55.7179,2492,0.0020,2.3351,70.6797,33743,0.0274,35.8159,771.4876
2016,UT,49.0,123304,72,0.55,0.45,0.9078,0.0056,0.0494,0.0371,0.1172,11729,0.0951,126.403,546.6084,116,0.0009,0.9894,15.6362,149,0.0012,1.3463,35.6112,4760,0.0386,47.6627,907.8943
2016,VA,51.0,248207,71,0.5638,0.4362,0.6730,0.2586,0.0208,0.0476,0.1958,35405,0.1426,221.6054,1226.1661,544,0.0022,2.3327,34.5760,134,0.0005,0.5963,20.8455,9705,0.0391,55.2523,1304.1091
2016,VI,78.0,194,71,0.5567,0.4433,*,*,*,*,*,21,0.1082,154.6392,1422.6804,0,0.0000,0.0000,0.0000,*,*,*,*,*,*,*,*
2016,VT,50.0,10283,73,0.5387,0.4613,0.9506,0.0036,0.0060,0.0398,0.0978,1146,0.1114,157.6388,763.8821,31,0.0030,3.1119,42.2056,0,0.0000,0.0000,0.0000,330,0.0321,41.5248,976.0770
