OBJECTID,BOUNDARY,Notes,SHAPE_Length
140,TsunamiZone,Tsunami Regulatory Zone,3780.84105496441
141,TsunamiZone,Tsunami Regulatory Zone,27679.7689226639
142,Artifact,Boundary Of Topo Quad,67.3110163361155
143,TsunamiZone,Tsunami Regulatory Zone,95966.4138384746
144,TsunamiZone,Tsunami Regulatory Zone,227.592356889909
145,Artifact,Boundary Of Topo Quad,28.983429676366
146,TsunamiZone,Tsunami Regulatory Zone,51040.203663175
147,Artifact,Boundary Of Topo Quad,25.4161969461153
148,TsunamiZone,Tsunami Regulatory Zone,15904.9511484271
149,Artifact,Boundary Of Topo Quad,15.5751186762661
150,TsunamiZone,Tsunami Regulatory Zone,22193.2889718418
151,Artifact,Boundary Of Topo Quad,24.639023780381
152,TsunamiZone,Tsunami Regulatory Zone,5204.29261070592
153,TsunamiZone,Tsunami Regulatory Zone,421.022586558511
154,TsunamiZone,Tsunami Regulatory Zone,921.311181950519
155,Artifact,Boundary Of Topo Quad,15.9883507892498
156,Artifact,Boundary Of Topo Quad,302.933901806997
157,Artifact,Boundary Of Topo Quad,42.0858711809877
158,TsunamiZone,Tsunami Regulatory Zone,1412.83316884462
159,Artifact,Boundary Of Topo Quad,54.7374877935322
160,TsunamiZone,Tsunami Regulatory Zone,87671.1256646464
161,TsunamiZone,Tsunami Regulatory Zone,170.263536430577
162,TsunamiZone,Tsunami Regulatory Zone,475.380531964519
163,TsunamiZone,Tsunami Regulatory Zone,25405.7376395019
164,TsunamiZone,Tsunami Regulatory Zone,126.845306797242
165,Artifact,Boundary Of Topo Quad,20.7370956980239
166,TsunamiZone,Tsunami Regulatory Zone,90184.0660092587
167,TsunamiZone,Tsunami Regulatory Zone,2634.31455331362
168,TsunamiZone,Tsunami Regulatory Zone,287.37082062955
169,Artifact,Boundary Of Topo Quad,36.6852430048397
170,TsunamiZone,Tsunami Regulatory Zone,88425.2439468394
171,Artifact,Boundary Of Topo Quad,67.5864580312827
172,TsunamiZone,Tsunami Regulatory Zone,2294.87952804263
173,Artifact,Boundary Of Topo Quad,59.5156758091136
174,TsunamiZone,Tsunami Regulatory Zone,617.538010337499
175,TsunamiZone,Tsunami Regulatory Zone,242670.910429142
176,Artifact,Boundary Of Topo Quad,31.4126829730599
177,TsunamiZone,Tsunami Regulatory Zone,26220.291585066
178,Artifact,Boundary Of Topo Quad,28.4934985559748
179,TsunamiZone,Tsunami Regulatory Zone,108625.459862453
180,Artifact,Boundary Of Topo Quad,55.9615159438945
181,TsunamiZone,Tsunami Regulatory Zone,18185.4712074756
182,TsunamiZone,Tsunami Regulatory Zone,457.125797220761
183,TsunamiZone,Tsunami Regulatory Zone,75167.7601206974
184,Artifact,Boundary Of Topo Quad,18.335680579713
185,TsunamiZone,Tsunami Regulatory Zone,21245.9601035965
186,TsunamiZone,Tsunami Regulatory Zone,18769.599692495
187,Artifact,Boundary Of Topo Quad,23.8551851406349
188,TsunamiZone,Tsunami Regulatory Zone,7306.5946525345
189,Artifact,Boundary Of Topo Quad,47.7704370532513
190,TsunamiZone,Tsunami Regulatory Zone,116041.095969833
191,TsunamiZone,Tsunami Regulatory Zone,66682.8955591534
192,Artifact,Boundary Of Topo Quad,23.7060662430716
193,Artifact,Boundary Of Topo Quad,12.5011266194994
194,TsunamiZone,Tsunami Regulatory Zone,19130.0776357392
195,Artifact,Boundary Of Topo Quad,27.2973052312148
196,TsunamiZone,Tsunami Regulatory Zone,9448.77898496756
197,Artifact,Boundary Of Topo Quad,28.7092956112532
198,TsunamiZone,Tsunami Regulatory Zone,765.982887563446
199,TsunamiZone,Tsunami Regulatory Zone,263.677860079141
200,Artifact,Boundary Of Topo Quad,899.894211410525
201,TsunamiZone,Tsunami Regulatory Zone,16155.8139891364
202,TsunamiZone,Tsunami Regulatory Zone,45921.8398284317
203,TsunamiZone,Tsunami Regulatory Zone,670.138906865713
204,TsunamiZone,Tsunami Regulatory Zone,425.598528887374
205,TsunamiZone,Tsunami Regulatory Zone,4022.60334717009
206,TsunamiZone,Tsunami Regulatory Zone,24978.2034433405
207,TsunamiZone,Tsunami Regulatory Zone,6570.67398883854
