OBJECTID_12_13_14_15_16,ID,NAME,ST_ABBREV,TSEGNAME,TLIFENAME,TURBZNAME,TC_ID,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,OBJECTID,TC_ID_1,OBJECTID_1,TC_ID_12,OBJECTID_12,TC_ID_12_13,TC_Land_A_1,OBJECTID_12_13,TC_ID_12_13_14,Total_A_1,Can_A_1,Grass_A_1,Soil_A_1,Water_A_1,Build_A_1,Road_A_1,Paved_A_1,Perv_A_1,Imperv_A_1,Can_P_1,Grass_P_1,Soil_P_1,Water_P_1,Build_P_1,Road_P_1,Paved_P_1,Perv_P_1,Imperv_P_1,OBJECTID_12_13_14,TC_ID_12_13_14_15,TC_E_A_1,TC_Pv_A_1,TC_Land_A_12,TC_Pi_A_1,TC_P_A_1,TC_E_P_1,TC_Pv_P_1,TC_P_P_1,TC_Pi_P_1,OBJECTID_12_13_14_15,TC_ID_12_13_14_15_16,TC_Land_A_12_13,Gain_1,Loss_1,No_Change_1,TreeCanopy_2016_Area_1,TreeCanopy_2021_Area_1,Change_Area_1,Change_PercentChange_1,TreeCanopy_2016_Percent_1,TreeCanopy_2021_Percent_1,Change_Percent_AbsDiff_1,Shape__Area,Shape__Length
98,530330028004,530330028.004,WA,Emerald City,Middle Ground,Metro Cities,98,3507261,941553,975511,0,0,854317,478180,257700,1917064,1590197,26.8458207130864,27.8140406431115,0.0,0.0,24.3585236456597,13.6340010053429,7.34761399279951,54.6598613561979,45.3401386438021,941553,975511,3507261,257700,1233211,26.8458207130864,27.8140406431115,35.161654635911,7.34761399279951,137441,99138,804112,903250,941553,38303,4.24057569886521,25.7537149359571,26.8458207130864,1.0921057771293,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3507239.41079712,7937.40777871339
99,530330029001,530330029.001,WA,City Lights,Middle Ground,Urban Periphery,99,3882646,977149,1035645,2067,0,957076,538714,371995,2014861,1867785,25.1670896599896,26.6736910859244,0.053236890512295,0.0,24.6500968669304,13.874919320484,9.58096617615925,51.8940176364263,48.1059823635737,977149,1035645,3882646,374062,1409707,25.1670896599896,26.6736910859244,36.3078941525959,9.63420306667154,136392,119037,840757,959794,977149,17355,1.8082005096927,24.7201006736128,25.1670896599896,0.446988986376798,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3882623.12811279,8502.33260855261
100,530330029002,530330029.002,WA,Urban Chic,Upscale Avenues,Suburban Periphery,100,3557947,1017373,943671,0,0,914099,466822,215982,1961044,1596903,28.5943832215601,26.5229077330269,0.0,0.0,25.6917542616571,13.1205439541398,6.07041082961607,55.117290954587,44.882709045413,1017373,943671,3557947,215982,1159653,28.5943832215601,26.5229077330269,32.593318562643,6.07041082961607,141971,125127,875402,1000529,1017373,16844,1.68350942351496,28.1209641402753,28.5943832215601,0.473419081284799,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3557954.15267944,8432.03782111408
101,530330029003,530330029.003,WA,Urban Chic,Upscale Avenues,Suburban Periphery,101,3174175,873885,988328,0,0,760864,399582,151516,1862213,1311962,27.5310907558657,31.1365315396914,0.0,0.0,23.9704490143108,12.5885308781022,4.7733978120299,58.6676222955571,41.3323777044429,873885,988328,3174175,151516,1139844,27.5310907558657,31.1365315396914,35.9099293517213,4.7733978120299,128771,86013,745114,831127,873885,42758,5.14458079210518,26.1840320713256,27.5310907558657,1.3470586845401,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3174186.69363403,8090.4242508437
102,530330030001,530330030.001,WA,Urban Chic,Upscale Avenues,Suburban Periphery,102,4422175,1238434,1515002,3709,0,887648,609872,167510,2757145,1665030,28.0050879940301,34.2592050291994,0.0838727549226342,0.0,20.0726565547496,13.7912226449654,3.78795502213277,62.3481657781522,37.6518342218478,1238434,1515002,4422175,171219,1686221,28.0050879940301,34.2592050291994,38.1310328062548,3.87182777705541,182021,139515,1056413,1195928,1238434,42506,3.55422734478999,27.0438867751728,28.0050879940301,0.961201218857298,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4422175.82196045,10286.6384493477
103,530330030002,530330030.002,WA,Enterprising Professionals,Upscale Avenues,Suburban Periphery,103,3948952,905075,1162394,0,0,894309,558204,428970,2067469,1881483,22.9193720257932,29.4355059266357,0.0,0.0,22.6467427307296,14.1354972154637,10.8628821013778,52.3548779524289,47.6451220475711,905075,1162394,3948952,428970,1591364,22.9193720257932,29.4355059266357,40.2983880280135,10.8628821013778,139677,134159,765398,899557,905075,5518,0.61341304664407,22.779638749724,22.9193720257932,0.139733276069201,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3948977.20751953,8523.36549570018
104,530330030003,530330030.003,WA,Urban Chic,Upscale Avenues,Suburban Periphery,104,4206240,1182103,1301995,6260,0,955175,519145,241562,2490358,1715882,28.1035556696717,30.953892312374,0.148826505382479,0.0,22.7085235269504,12.3422581688159,5.74294381680551,59.2062744874282,40.7937255125718,1182103,1301995,4206240,247822,1549817,28.1035556696717,30.953892312374,36.845662634562,5.89177032218799,174572,143474,1007531,1151005,1182103,31098,2.70181276362831,27.3642255315912,28.1035556696717,0.739330138080501,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4206246.10992432,8507.89135515845
105,530330030004,530330030.004,WA,Enterprising Professionals,Upscale Avenues,Suburban Periphery,105,3494666,974353,1086304,0,0,774169,471475,188365,2060657,1434009,27.8811480124281,31.0846301191587,0.0,0.0,22.1528752676221,13.4912749887972,5.39007161199382,58.9657781315868,41.0342218684132,974353,1086304,3494666,188365,1274669,27.8811480124281,31.0846301191587,36.4747017311526,5.39007161199382,140515,100589,833838,934427,974353,39926,4.27277893297176,26.738664009665,27.8811480124281,1.1424840027631,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3494676.8729248,7994.73294836085
106,530330031001,530330031.001,WA,Urban Chic,Upscale Avenues,Suburban Periphery,106,3291443,636510,1160658,0,0,747080,549052,198143,1797168,1494275,19.3383266852867,35.2628922937447,0.0,0.0,22.6976435563368,16.6811942360843,6.01994322854748,54.6012189790314,45.3987810209686,636510,1160658,3291443,198143,1358801,19.3383266852867,35.2628922937447,41.2828355222922,6.01994322854748,114540,79842,521970,601812,636510,34698,5.76558792446811,18.2841385981772,19.3383266852867,1.0541880871095,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3291411.93490601,7308.54547859642
107,530330031002,530330031.002,WA,Urban Chic,Upscale Avenues,Suburban Periphery,107,3339891,720074,1191276,0,0,801141,477428,149972,1911350,1428541,21.5598053948467,35.6681101269473,0.0,0.0,23.9870402956264,14.2947180012761,4.49032618130352,57.227915521794,42.772084478206,720074,1191276,3339891,149972,1341248,21.5598053948467,35.6681101269473,40.1584363082508,4.49032618130352,117565,98507,602509,701016,720074,19058,2.71862553779086,20.9891879705056,21.5598053948467,0.570617424341098,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3339871.54641724,8228.51347782296
