OBJECTID,SampleDate,Location,Ph,Temperature,DissolvedOxygen,Conductivity,BiologicalOxygenDemand,TotalSuspendedSolids,EColi,Ammonia,Nitrate,Weather,R_Humidity,WindSpeed,WindGust,FrozenOver,Comments,LocationID,GlobalID
24393,2013/09/20 10:05:00+00,Skunk Creek @ Marion Road,8.55,14.9,6.61,1.256,5.0,43.0,101.0,0.01,0.01,,,,,No,,26D,{B0DA927A-0ABD-47EA-9DC8-2F51752B324B}
24394,2012/06/28 10:01:00+00,Big Sioux River @ Timberline,7.57,23.4,8.62,0.002,6.8,48.0,236.0,0.01,3.4,,,,,No,,26B,{8FA7ED98-F83A-48E1-8C60-2AEF9D9CE79A}
24395,2012/06/05 10:00:00+00,Big Sioux River @ I-90,8.44,25.5,8.21,0.0,3.4,73.0,75.0,0.07,3.2,,,,,No,,26C,{320398ED-067A-4B59-A3D0-0F9A3D60BA74}
24396,2012/07/02 10:00:00+00,Big Sioux River @ Bahnson,8.3,23.7,8.43,0.004,9.1,67.0,152.0,0.03,0.52,,,,,No,,26A,{0221F9B5-B40C-4C9F-8EE1-46B575C1FCFB}
24397,2012/08/07 10:00:00+00,Big Sioux River @ Bahnson,8.16,24.9,5.9,1.29,5.5,47.5,249.0,0.03,7.2,,,,,No,,26A,{CA74250B-B0D2-44D8-A4A1-86FC217685AC}
24398,2012/08/14 10:00:00+00,Big Sioux River @ Timberline,8.23,20.47,7.06,1.337,2.6,18.0,82.0,0.06,16.0,,,,,No,,26B,{57ECF069-7DD9-4CC7-97BE-89112171E520}
24399,2012/09/07 10:00:00+00,Big Sioux River @ Timberline,8.34,20.18,7.28,1.386,4.6,4.6,517.0,0.05,15.0,,,,,No,,26B,{35871C0B-A1A9-4D58-9F0C-356BA1A6F165}
24400,2012/09/11 10:00:00+00,Big Sioux River @ I-90,8.66,18.94,7.36,0.879,4.4,280.0,86.0,0.02,0.013,,,,,No,,26C,{4262C61A-4E68-4115-83F5-6F9C86F7570E}
24401,2012/09/21 10:00:00+00,Skunk Creek @ Marion Road,8.83,13.96,6.59,1.309,6.2,59.0,365.0,0.01,0.01,,,,,No,,26D,{94824DA6-5BB8-4AB3-A9DC-BBC8410C6B22}
24402,2013/03/11 10:00:00+00,Skunk Creek @ Marion Road,7.73,1.1,17.86,1.293,11.4,19.0,1120.0,1.35,1.6,,,,,No,,26D,{24913131-C1AD-4B30-A0A7-1226BA70BD3F}
