OBJECTID,ALLOT_NO,ALLOT_NAME,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_CD,ST_ALLOT,ACTIVE_DT,GlobalID,Shape__Length,Shape__Area
932,4847.0,Bunting Well,217.54208837,AZ,A02000,AZA02000,AZ04847,9999/09/09 00:00:00+00,{8158985A-7A0D-459E-AAB4-F48C36C40BDE},6518.37749923421,880361.59746638
933,4842.0,Cedar Wash,10548.52620631,AZ,A01000,AZA01000,AZ04842,9999/09/09 00:00:00+00,{D0E4A30D-B036-4682-85C0-471BB7FD709D},34797.1655631402,42688371.0248703
934,4837.0,Lower Hurricane,23572.19737878,AZ,A01000,AZA01000,AZ04837,9999/09/09 00:00:00+00,{C9FCD886-F77F-4F21-A7A0-4261623FE962},52704.295545178,95393298.3523979
935,4811.0,Wolfhole Canyon Sp,20487.77112894,AZ,A01000,AZA01000,AZ04811,9999/09/09 00:00:00+00,{E371748A-3C53-4B7D-A819-9B0D614317DE},59401.7279585571,82911068.1738182
936,5214.0,Flat Top Well,8838.90333048,AZ,A01000,AZA01000,AZ05214,9999/09/09 00:00:00+00,{B8363DF9-0A4A-4801-96C4-DEFA0A8929FE},24525.3853774189,35769772.709921
937,5327.0,Coyote,40612.06067664,AZ,A01000,AZA01000,AZ05327,9999/09/09 00:00:00+00,{91EAE523-416F-4ED8-9306-0430D85AD13E},58996.6452226485,164351178.576151
938,4823.0,Wolfhole Lake,13328.05833621,AZ,A01000,AZA01000,AZ04823,9999/09/09 00:00:00+00,{54EF84FF-8946-4722-9764-C13CCFB91092},37857.0280517528,53936738.4760311
939,5207.0,Atkin Well,8292.10613208,AZ,A01000,AZA01000,AZ05207,9999/09/09 00:00:00+00,{3CAA2E04-6E44-4383-8BFC-7AFAFB5E1F16},34138.8172747433,33556962.955819
940,5314.0,Pratt Tank,5364.27333113,AZ,A01000,AZA01000,AZ05314,9999/09/09 00:00:00+00,{F1F81E8B-4DAF-475C-89A2-947FA722370D},23400.0467215353,21708443.9815819
941,5251.0,Hurricane Cliff,5181.1349286,AZ,A01000,AZA01000,AZ05251,9999/09/09 00:00:00+00,{C56EB0B9-22A8-44F2-8D61-6D63463C5AE1},20046.9006536086,20967309.1611348
942,4838.0,Lambing-Starvation,5396.5165257,AZ,A01000,AZA01000,AZ04838,9999/09/09 00:00:00+00,{5F7C0459-59EE-4ABE-BE9C-904344F02A9F},26337.7367428622,21838927.5606079
943,114.0,Hurricane Rim,34795.18633779,AZ,A01000,AZA01000,AZ00114,9999/09/09 00:00:00+00,{C296A2B6-720D-47F9-9F37-AD14F219E3E5},74860.2473580871,140811123.299687
944,5270.0,Short Creek,7434.07321106,AZ,A01000,AZA01000,AZ05270,9999/09/09 00:00:00+00,{E75E9463-2D09-4AC2-9A54-9FBCD7EE427D},33244.0469059665,30084626.9187821
945,4847.0,Bunting Well,60019.05132716,AZ,A02000,AZA02000,AZ04847,9999/09/09 00:00:00+00,{7AE7C71A-70D4-4002-A10E-9794E1293B1C},112085.130219034,242888483.329685
946,12.0,Johnson Spring,638.45758205,UT,C04000,UTP02000,UT00012,9999/09/09 00:00:00+00,{67263B37-987D-4665-A615-FE09735C3603},8013.20621261709,2583746.16633769
947,5213.0,Rock Pockets,7146.6296671,AZ,A01000,AZA01000,AZ05213,9999/09/09 00:00:00+00,{7D7CCDA7-FC44-46C6-85A4-EE79BF5914F5},22891.385119547,28921384.166815
948,5210.0,Antelope Spring,16963.89013801,AZ,A01000,AZA01000,AZ05210,9999/09/09 00:00:00+00,{D4373861-C6A0-496B-AA97-A08692C7D8A3},51110.7390544942,68650427.7538716
949,5206.0,Antelope,17784.44165882,AZ,A01000,AZA01000,AZ05206,9999/09/09 00:00:00+00,{8DE422AC-3888-4CF9-B92F-CBE25026A97F},62957.4842722337,71971081.9458017
950,4859.0,Mustang Spring,9405.58474067,AZ,A01000,AZA01000,AZ04859,9999/09/09 00:00:00+00,{6EC07EB7-BFF3-43DB-AEA8-9E5DD8ADEB32},29011.7030090501,38063051.0141982
951,0.0,,15573.62487373,AZ,A01000,AZA01000,AZ00000,9999/09/09 00:00:00+00,{906A863D-8DC0-4CD8-AB56-E5ADFBC6F646},151906.729558561,63024223.8403089
952,96.0,Herd House,1202.92996165,AZ,A01000,AZA01000,AZ00096,9999/09/09 00:00:00+00,{D8D580A7-685B-43C8-A062-3A3B4EE07B32},9867.42604066338,4868084.84102016
953,4861.0,Toquer Tank,12215.08881843,AZ,A01000,AZA01000,AZ04861,9999/09/09 00:00:00+00,{A7A8258B-ED87-473A-A956-F17E2CF460D3},39653.4756327328,49432710.6350398
954,4110.0,Cottonwood Point,3555.12004844,UT,C03000,UTC03000,UT04110,9999/09/09 00:00:00+00,{EB7A1ED6-59B3-46A1-923F-AB367973EEBD},24684.7989484846,14387060.4004304
955,5313.0,Muggins Flat,11863.5122203,AZ,A01000,AZA01000,AZ05313,9999/09/09 00:00:00+00,{AA789AFC-6DFB-4C68-A99C-4D5FC179D4DA},32786.2738464885,48009930.620944
956,5311.0,Sage,2437.17164185,AZ,A01000,AZA01000,AZ05311,9999/09/09 00:00:00+00,{C98D1FED-46D9-459B-8B39-C8B7A3B0FA38},17842.0489146316,9862883.71132069
957,4843.0,Littlefield,3252.84717122,AZ,A01000,AZA01000,AZ04843,9999/09/09 00:00:00+00,{AEBAA819-2CB2-4D99-9782-1938E09CEB98},27357.4136423426,13163805.4659545
958,0.0,Ryan,1631.42947523,AZ,A01000,AZA01000,AZ00000,9999/09/09 00:00:00+00,{54F08BC5-5571-42A3-9429-D64BC7258C4F},21730.8128894213,6602160.84952972
959,5310.0,Cowboy Butte,4222.27187613,AZ,A01000,AZA01000,AZ05310,9999/09/09 00:00:00+00,{7C4E6841-B683-486F-B4BC-F07430BC085B},24598.2347543114,17086928.0590389
960,5330.0,Johnsons Run,3502.33777876,AZ,A01000,AZA01000,AZ05330,9999/09/09 00:00:00+00,{CCB1F1DE-BC6A-4A8E-BF05-20EC2E1797BF},22631.5885756001,14173458.1333756
961,4847.0,Bunting Well,2803.61530638,AZ,A02000,AZA02000,AZ04847,9999/09/09 00:00:00+00,{9D528A3D-22F2-4F95-AC91-6CA86227B3C1},33042.7397302699,11345828.6085672
962,14021.0,Fort Pearce/Honeymoon,13598.91420143,UT,C03000,UTC03000,UT14021,9999/09/09 00:00:00+00,{DF46978D-1927-47FA-88C7-35397CFD1AB9},50471.6730487832,55032853.273708
963,5307.0,Chatterly,5987.50096987,AZ,A01000,AZA01000,AZ05307,9999/09/09 00:00:00+00,{AEF963BC-254C-4EA7-BA25-CC12AC5D132C},25462.6649144126,24230556.7540277
964,5330.0,Johnsons Run,6725.49720807,AZ,A01000,AZA01000,AZ05330,9999/09/09 00:00:00+00,{9440AB88-8EFB-4B96-A942-78E7538E3E1D},24155.2757158156,27217121.5702947
966,4827.0,Littlefield Community,75230.33427986,AZ,A01000,AZA01000,AZ04827,9999/09/09 00:00:00+00,{012AAA84-4F97-4ECF-AD3E-EE93E012795F},92101.6525229205,304446361.439757
967,4842.0,Cedar Wash,1363.88647026,AZ,A01000,AZA01000,AZ04842,9999/09/09 00:00:00+00,{A86F0CEC-B457-4800-B2E8-22A87B99C5CB},19014.3885790732,5519452.72159356
968,5328.0,Sand Hills,197325.2394048,AZ,A02000,AZA02000,AZ05328,9999/09/09 00:00:00+00,{2A712DCA-37C0-464B-A423-1F43CCF4137D},182570.173759498,798546912.386932
969,4805.0,Coyote Spring,20768.90695003,AZ,A01000,AZA01000,AZ04805,9999/09/09 00:00:00+00,{AA7D9B2C-F670-4B33-BC6F-B164E4F9615F},62442.6417869853,84048784.4769551
970,4871.0,Pocum,4359.65150431,AZ,A01000,AZA01000,AZ04871,9999/09/09 00:00:00+00,{21ED8C5E-F7EE-4E25-A1D1-0E3449DCE631},21233.2579715296,17642883.6896433
971,5243.0,White Pockets,3252.30009546,AZ,A01000,AZA01000,AZ05243,9999/09/09 00:00:00+00,{18109388-4EFC-4D8F-AF68-CB5A8A9DC2D9},16953.7857738945,13161591.5288631
972,5264.0,Black Knolls,15300.68171406,AZ,A01000,AZA01000,AZ05264,9999/09/09 00:00:00+00,{7FDA70A8-F613-48E4-8E08-48ED4A923EDD},41073.3433948689,61919662.0616337
973,5207.0,Atkin Well,19891.24989273,AZ,A01000,AZA01000,AZ05207,9999/09/09 00:00:00+00,{71A7B0FA-9DCC-42B6-B246-F4207498ED43},50840.6722800801,80497032.3779654
974,4863.0,Sunshine,17018.41074393,AZ,A01000,AZA01000,AZ04863,9999/09/09 00:00:00+00,{47BF5043-4BD5-47E9-B2F6-3E270B4065B7},54077.8310511924,68871064.8181346
975,99.0,Rock Canyon,2378.1039336,AZ,A01000,AZA01000,AZ00099,9999/09/09 00:00:00+00,{D67A268F-8B73-47E3-8659-27F1E8B9B50F},15430.688141193,9623845.17684408
976,5309.0,Highway East,5661.66059268,AZ,A01000,AZA01000,AZ05309,9999/09/09 00:00:00+00,{296DD743-0BF0-4D1B-A8E8-15F6646158A1},23706.1972596386,22911927.5309534
