X,Y,OBJECTID,RIPS_num,RIPS_name,allot_num,allot_name,NEPA_num,improve_subtype,improve_type,admin_st_code,admin_unit_code,maint_respone,est_year,last_insp_date,GlobalID,COORD_SRC_TYPE,ACCURACY_FT,created_date,last_edited_date,TempPurpose,RIPS_num_legacy,Old_GUID,Comment_cnt
359610.1744,4411544.7417,4431,000643,State Bridge Reservoir 12,,,,8.0,MANMADE POND OR RESERVOIR,CO,COG02000,,,,{5062550F-313F-427E-8225-D9F38E9619AB},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000643,{9D5A7342-1D03-46DA-A719-16F9CF473BDF},0.0
338021.8466,4384814.2334,4432,277048,Eagle Wld Area Spring 1,,,,8.0,DEVELOPED SPRING,CO,COG02000,,,,{99ECC752-965D-4F23-A556-A7A3F5519250},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,277048,{01C6E3DC-1A64-44AD-A77D-A407AF31FB5D},0.0
320719.7652,4408876.1528,4433,000298,Elk Track Pond,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{4689552F-6119-4E40-AFC0-946AFB19F34F},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000298,{A0E72123-CE18-40E1-AE37-A47838FA73CC},0.0
321082.9195,4407216.0188,4434,000299,E Fork Sheep Ck Pond,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{0A3F452F-3FF8-45A2-BE21-34EDB74BA8F2},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000299,{0F86C144-0B95-4E06-8805-BB942621330B},0.0
320921.5176,4406241.8429,4435,000300,E Fork Sheep Ck Pond 2,,,,8.0,NATURAL POND OR RESERVOIR,CO,COG02000,,,,{45018225-1A6E-4C37-BB59-671D4E42744F},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,000300,{E12B3B32-5418-4862-AB23-2C704043950E},0.0
321481.1743,4398726.605,4436,004975,Irrwaddy Ridge Reservoir 6,,,,8.0,MANMADE POND OR RESERVOIR,CO,COG02000,,,,{687B0CA3-9F8E-4302-B79C-A67577BD2D69},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,004975,{1D035F49-DFE3-48C5-98E1-06BDC4DF93D2},0.0
316518.4588,4397441.252,4437,005336,Upper Jack Reservoir,,,,8.0,MANMADE POND OR RESERVOIR,CO,COG02000,,,,{9131F852-6FC5-4AD4-8315-6A858A430375},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,005336,{A5BE9ECE-2643-42DC-ACB1-894DEC5985AC},0.0
316818.4969,4397365.0518,4438,005339,Jackass Reservoir,,,,8.0,MANMADE POND OR RESERVOIR,CO,COG02000,,,,{19116402-3288-477E-BCA4-6EFCAE44B199},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,005339,{A358E3D3-2480-48A8-B931-A433488CDB1D},0.0
319809.3529,4396593.5253,4439,005340,Onion Ridge Reservoir 1,,,,8.0,MANMADE POND OR RESERVOIR,CO,COG02000,,,,{9BEDE2D1-4179-46A5-89D7-341AA0BC55E2},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,005340,{A21F1331-EEFB-4186-AA5F-F23A269F371C},0.0
319137.839,4396512.5626,4440,005341,Onion Ridge Reservoir 2,,,,8.0,MANMADE POND OR RESERVOIR,CO,COG02000,,,,{6AF690A6-22AB-4D75-8B29-6D5215568AF3},,,2015/04/08 21:18:13+00,2022/07/28 17:23:27+00,,005341,{D864AB25-F1A2-4EDA-8BD1-4325F915DC5B},0.0
