OBJECTID,COMMENT,STEWARD1,STEWARD2,SHAPE_Length,SHAPE_Area
1,,,,4065.11166020059,646571.244995723
2,,,,942.965923914604,19915.1295080086
3,,,,1230.39474764513,80896.6374010782
4,,,,1013.91535260579,35161.0168791815
5,,,,1086.0425929329,50391.0235956264
6,,,,1158.04716356387,65623.9136397778
7,,,,1298.34652758914,95065.5948608442
8,,,,859.452842879911,13826.6371654122
9,,,,1233.40409629523,81336.6993383942
10,,,,1106.720113027,54368.2136374556
11,,,,708.782854142275,21681.0635997107
12,,,,979.052047545267,27448.2860399034
13,,,,1042.68788005144,40886.8241625366
14,,,,1170.60060930905,67865.412506057
15,,,,1288.06310392009,87612.0028423698
16,,,,611.654566838493,16010.5478583564
17,,,,863.850754247353,3031.79216313954
18,,,,866.790560261656,3315.64605316656
19,,,,864.240843231144,2957.46063607322
20,,,,874.239495911582,5122.69490223471
21,,,,96277.8316319796,253054932.044339
22,,,,816.644722198526,6119.96418533867
23,,,,4532.65198576508,529853.146980689
24,,,,1307.31140994039,83516.5371754503
25,,,,6292.22802792836,2451721.62362447
26,,,,6389.3270066001,2548265.15563898
27,,,,6379.42355675111,2532971.55297852
28,,,,6381.8837101575,2538426.05866683
29,,,,6389.85889491288,2541176.47574704
30,,,,1548.47366951405,149489.487626107
31,,,,1544.80269482181,148825.419204113
32,,,,1548.47366951405,149489.487626107
33,,,,1555.65035476473,150764.267318258
34,,,,1589.64055410373,156602.070074164
35,,,,1593.61803598222,158263.442755472
36,,,,1594.88954232211,158527.3770129
37,,,,1544.80269482181,148825.419204113
38,,,,1552.02454072262,150127.193860956
39,,,,1484.13562670431,139181.474993005
40,,,,776.85309161396,13302.8647844382
41,,,,409.406804771049,4206.12275371832
42,,,,1953.38696273936,123478.517814148
43,,,,555.040522799551,9226.47803046383
44,,,,6398.81989072808,2556591.75637475
45,,,,1742.91824011714,95073.5178023204
46,,,,6222.76394005999,2412893.31652366
47,,,,1463.72767054048,133603.288078698
48,,,,399.972169640849,8136.60525993251
49,,,,1600.34422606758,159850.356863338
50,,,,1598.13735779146,159297.808335244
51,,,,1594.85893443588,158520.999670276
52,,,,1593.56651970545,158255.250775956
53,,,,1355.81607520969,113100.788428016
54,,,,1340.71922327821,110229.039589633
55,,,,1200.77536669886,89427.8163971176
56,,,,1400.94651182327,121707.178478409
57,,,,1361.50832636205,108760.36377355
58,,,,1374.02638104062,111421.802511653
59,,,,1067.17727179427,47582.2242810094
60,,,,1089.45620181675,52263.3544897771
61,,,,1348.54506432852,97404.9588877512
62,,,,1536.31189379554,150502.267945743
63,,,,360.293172659498,6142.21771383695
64,,,,205.615950330335,2074.77764510568
65,,,,262.238056193073,3262.04909188841
66,,BLM Cadastral - NM,,1591.63150170398,158099.920311097
67,,BLM Cadastral - NM,,1589.52998222649,157666.373071743
68,,BLM Cadastral - NM,,1593.17145941704,158369.868470528
69,,BLM Cadastral - NM,,1587.71798300059,157199.250438679
70,,BLM Cadastral - NM,,1592.92036186479,158250.442621651
71,,,,1301.46717371795,55756.4630628053
72,,,,1212.97315683793,73901.6996540328
73,,,,2157.50422351237,129658.162716838
74,,,,6420.32816807085,2518522.36338371
75,,,,6456.27686500394,2597816.22874563
76,,,,6478.95200536792,2595307.67104822
77,,,,1380.93275107833,66498.0335853401
78,,,,6018.10008829205,2229460.49277455
79,,,,6191.45434602746,2365498.05067594
80,,,,6271.65644945202,2440049.08090895
81,,,,6539.83844518368,2682758.89960309
82,,,,6467.93874426131,2604937.67240488
83,,,,499.992390059638,13705.0422199841
84,,,,615.075683595227,20258.3488854918
85,,,,327.496474025286,4519.62028777598
86,,,,750.170993495122,35907.2793107981
87,,,,1137.98343234729,62876.308207572
88,,,,805.588757764489,40458.0961758456
89,,,,1179.89136367091,70870.6330908173
90,,,,6447.22936384665,2590893.44757726
91,,,,1604.17085201318,159570.922978513
92,,,,6502.65200461469,2600768.40057187
93,,,,251.525660058406,2545.77079089184
94,,,,201.597054093465,1647.30595412313
95,,,,323.696306599189,201.469578748343
96,,,,6436.98298290167,2562810.49815322
97,,,,6471.89176226081,2638055.56004769
98,,,,6682.32600110714,2739092.91910002
99,,,,6233.83500294276,2383351.23694888
100,,,,1608.36339237668,161622.720891326
101,,,,1607.56953287135,161390.109022613
102,,,,6341.88993139117,2504996.60984432
103,,,,6238.13588049859,2426481.12204409
104,,,,6955.81896113165,3025104.56140999
105,,,,316.140920564349,4037.55875199494
106,,,,1584.0659001391,160513.516327298
107,,,,1526.51171700169,104130.933350817
108,,,,6417.57884848106,2567384.4433868
109,,,,672.90045890321,15975.9541145466
110,,,,6811.24139491471,2939803.12829955
111,,BLM Cadastral - NM,,6453.20508050517,2574871.75154964
112,,BLM Cadastral - NM,,6316.89481405287,2490636.24335702
113,Known survey issue,,,702.529112604626,25308.8227999814
114,,,,1614.0222585832,157460.804348558
115,,,,1403.08069388859,84298.1218023043
116,,,,907.013417359246,33721.0153490542
117,,,,236.989386020928,2286.88656836675
118,,,,1030.64327664914,30917.5867288499
119,,,,939.426433141331,41433.2397364157
120,,,,831.915971655334,23733.7151003031
121,,,,871.561188942435,33353.7227251253
122,,,,1042.21807288143,30256.5841558014
123,,,,1302.38064255919,72491.384544675
124,,,,1443.97481914912,76574.953891244
125,,,,1179.05206393736,79907.2166688441
126,,,,712.003130327732,24524.3067948256
127,,,,512.872414171794,15329.2203451247
128,Mount Taylor Ranch,,,4234.37427350244,1017000.82223156
129,,,,10096.0357632675,3691874.02377645
130,Mount Taylor Ranch,,,24495.1963699221,26713267.8722973
131,,,,138.714292151335,23.738831289718
132,,,,124.475963884143,60.2628747512563
133,,,,653.806322960758,4176.95599611399
134,,,,263.713429490119,1678.0630227395
135,,,,138.714292151335,23.738831289718
136,,,,124.475963884143,60.2628747512563
137,,,,188.755130349988,2068.96515134222
138,,,,188.755130349988,2068.96515134222
139,,,,253.224733575625,1281.96834725083
140,,,,253.224733575625,1281.96834725083
141,,,,328.576056690983,901.513146305027
142,,,,328.576056690983,901.513146305027
143,,,,164.998197294204,1053.9229094732
144,,,,164.998197294204,1053.9229094732
145,,,,15.046722113547,4.38096022864715
146,,,,15.046722113547,4.38096022864715
147,Record Issue,,,1618.68159726014,163285.826186299
148,Record Issue,,,1619.20097238559,163385.775294602
149,Known Survey Issue,,,1367.14297858317,115007.675669103
150,Known Survey Issue,,,1370.85801634374,115640.7229325
151,Known Survey Issue,,,1524.58600467982,141433.0418566
152,Known Survey Issue,,,702.242731853705,29691.6017218123
153,Known Survey Issue,,,877.109351702017,47723.955048194
154,Known Survey Issue,,,733.458351693405,15759.6913419118
155,Known Survey Issue,,,1540.82262832944,149303.099560667
156,Known Survey Issue,,,1377.90297063338,117066.930972331
157,Known Survey Issue,,,1275.54516127224,88317.8675396021
158,Known Survey Issue,,,74.3697578534146,162.912441436491
159,Known Survey Issue,,,1601.72751991865,162572.373892195
160,Known Survey Issue,,,176.024542229337,1218.11231522461
161,Known Survey Issue,,,1580.8665947728,154577.567286432
162,Known Survey Issue,,,1399.80621853667,78687.8845560476
163,Known Survey Issue,,,1495.66356714042,131171.259783393
164,Known Survey Issue,,,1588.43368703494,140056.884554554
165,Known Survey Issue,,,1218.61278291851,83674.3535674567
166,Known Survey Issue,,,1465.32475026177,39865.0938500095
167,Known Survey Issue,,,997.273714385425,56477.4501478042
168,Known Survey Issue,,,1705.8186440468,149196.092348504
169,Known Survey Issue,,,2548.41056691858,336644.064888808
170,Known Survey Issue,,,1890.57235530627,162571.829237827
171,Known Survey Issue,,,7106.9777790013,2056091.81131109
172,Known Survey Issue,,,2452.51861029315,279435.334214414
173,Known Survey Issue,,,1835.49387271962,159553.556715861
174,Known Survey Issue,,,2160.67394503966,271813.181212494
175,Known Survey Issue,,,434.765604857354,5881.15016850882
176,Known Survey Issue,,,1024.62492154303,53084.4503222568
177,Known Survey Issue,,,1175.72860587909,30170.3533883884
178,Known Survey Issue,,,1242.12539954158,38269.5535632286
179,Known Survey Issue,,,74.5981326051865,59.745618947907
180,Known Survey Issue,,,990.613075267001,60524.512977677
181,Known Survey Issue,,,1788.11200584559,173017.734870606
182,Known Survey Issue,,,1822.37047616189,98120.5093550677
183,Known Survey Issue,,,1819.13453477729,71583.5793779842
184,Known Survey Issue,,,1801.78018012937,141292.289635326
185,Known Survey Issue,,,1957.61720134661,120572.226657744
186,Known Survey Issue,,,1265.16639754602,80005.9498149712
187,Known Survey Issue,,,1321.86040193014,103390.835073819
188,Known Survey Issue,,,753.375102222797,17839.9350124051
189,Known Survey Issue,,,1968.45706977156,244100.922863418
190,Known Survey Issue,,,2278.42111839616,290450.231416297
191,Known Survey Issue,,,696.293970483757,24259.0119789516
192,Known Survey Issue,,,286.155039801702,427.930178402628
193,Known Survey Issue,,,3574.74520572513,659393.237677444
194,Known Survey Issue,,,2179.12864420712,284612.397544795
195,Known Survey Issue,,,1884.69977967154,24484.9487182301
196,Known Survey Issue,,,2081.63969951074,199894.781950766
197,Known Survey Issue,,,3570.59226090707,452529.249268082
198,Known Survey Issue,,,1846.24115492534,202798.07488105
199,Known Survey Issue,,,532.814150768999,10545.8148104916
200,Known Survey Issue,,,454.203788654465,8774.91396465514
201,,,,82288.7014110898,257518053.101858
202,Known Survey Issue,,,1457.21807547726,125177.520247745
203,Known Survey Issue,,,1612.35529061889,162977.418741884
204,Known Survey Issue,,,687.507870368129,19983.3961879811
205,Known Survey Issue,,,1534.87459257875,152923.2551548
206,Known Survey Issue,,,1146.33897424753,55562.283042861
207,Known Survey Issue,BLM Cadastral - NM,,23924.1305862291,3202552.99256828
208,Known Survey Issue,,,419.846062837028,7417.97913772595
209,Known Survey Issue,,,1424.30937929376,109105.789535407
210,Known Survey Issue,,,1235.83930985266,64401.6778514845
211,Known Survey Issue,,,1592.87359444803,161729.640615057
212,Known Survey Issue,,,1438.20865392755,117016.181548215
213,Known Survey Issue,,,979.394633843747,40509.3398776953
214,Known Survey Issue,,,1513.59317499137,147558.290252166
215,Known Survey Issue,,,1610.17521550615,162686.71708355
216,Known Survey Issue,,,1545.58436111025,155322.085077162
217,Known Survey Issue,,,597.701233067517,15092.5782363766
218,Known Survey Issue,,,1560.51264230772,157909.396675154
219,Known Survey Issue,,,1400.12243308151,100418.260649221
220,Known Survey Issue,,,761.540031547064,24547.9894094969
221,Known Survey Issue,,,1485.55377018329,140459.967812233
222,Known Survey Issue,,,1048.75694926991,46483.5483758019
223,Known Survey Issue,,,1468.78354183851,131006.755844844
224,Known Survey Issue,,,1499.6266040664,143075.034155312
225,Known Survey Issue,,,1322.67595201895,73902.4657844701
226,Known Survey Issue,,,1488.25449364295,138178.902352993
227,Known Survey Issue,,,688.896840381396,20007.9360295596
228,Known Survey Issue,,,1413.87880863394,84564.5408314256
229,Known Survey Issue,,,963.270092721421,39156.9498953949
230,Known Survey Issue,,,1574.8139770787,159673.195296986
231,Known Survey Issue,,,871.134303250095,32042.4803711078
232,Known Survey Issue,,,504.620584808506,10754.0162169758
233,Known Survey Issue,,,1533.86310844568,152534.40972642
