OBJECTID,GEOID10,ALAND10,AWATER10,GlobalID,T_Parcel,T_Str_CR,Pct_S_CR,T_Str_1230,Pct_S_1230,T_Vac_Q413,Pct_V_Q413,T_Vac_Q114,Pct_V_Q114,T_Vac_Q214,Pct_V_Q214,T_Vac_Q314,Pct_V_Q314,T_Vac_Q414,Pct_V_Q414
30,261635064002014,22657,0,2baa5a77-b1f9-4aa5-b5ab-866b34a66e1d,44.0,20.0,0.454545454545455,20.0,0.454545454545455,7.0,0.35,7.0,0.35,7.0,0.35,7.0,0.35,7.0,0.35
31,261635017001001,18210,0,a35158a6-f982-4691-9681-4735e7838522,19.0,15.0,0.789473684210526,15.0,0.789473684210526,4.0,0.266666666666667,4.0,0.266666666666667,3.0,0.2,3.0,0.2,3.0,0.2
32,261635204001002,29341,0,a83663a0-4f87-45d6-8b82-c513227a28f6,24.0,20.0,0.833333333333333,20.0,0.833333333333333,,,,,,,,,,
33,261635392005003,9940,0,49774737-9288-4695-93cc-a5bd26752601,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
34,261635126001011,13062,0,1e6ea8e4-644a-41ac-b09b-e119384f5d53,27.0,5.0,0.185185185185185,5.0,0.185185185185185,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2
35,261635372002033,7394,0,c997acb2-2f1c-4a2c-af86-a686c37eb6df,,,,,,,,,,,,,,,
36,261635122001013,8279,0,1be58ae8-9058-44ef-a2ce-64d584ea2df5,,,,,,,,,,,,,,,
37,261635064001029,1719,0,087d6872-73e4-4237-8125-486fd8b7a938,,,,,,,,,,,,,,,
38,261635114001029,2100,0,7529f0a4-fb6d-49ad-8714-a95aef7ba302,,,,,,,,,,,,,,,
39,261635249001042,15675,0,6fc71a32-7634-4fb3-891b-3f4ca96ad83b,26.0,10.0,0.384615384615385,10.0,0.384615384615385,1.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1
40,261635254001001,2073,0,56cba0dc-00f3-49e3-bc11-681fb6fe860b,,,,,,,,,,,,,,,
41,261635255002008,22126,0,7f28d9db-61f8-4824-917e-ac884a3d786c,16.0,9.0,0.5625,9.0,0.5625,,,,,,,,,,
42,261635254002011,16846,0,9f8f5d32-624e-49c9-9790-1c015e6d597d,39.0,6.0,0.153846153846154,6.0,0.153846153846154,,,,,,,,,,
