OBJECTID,LAND_CLASS,CT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
280,Land,Connecticut,CT,Connecticut,CNTY_COD,1,Fairfield,False, , , ,861.07884579967,-38315.6950728167
281,Land,Connecticut,CT,Connecticut,CNTY_COD,1,Fairfield,False, , , ,222.093413012218,-3039.79246478949
282,Land,Connecticut,CT,Connecticut,CNTY_COD,1,Fairfield,False, , , ,96.7497023705095,-628.488032931773
283,Land,Connecticut,CT,Connecticut,CNTY_COD,1,Fairfield,False, , , ,122.850807746686,-917.60559635073
284,Land,Connecticut,CT,Connecticut,CNTY_COD,1,Fairfield,False, , , ,97.778131965309,-636.201502572481
285,Land,Connecticut,CT,Connecticut,CNTY_COD,1,Fairfield,False, , , ,110.199070606215,-772.544368947713
286,Land,Other States,RI,Rhode Island,CFIPS,0, ,False, , , ,83.9884748886248,-405.015851352223
287,Land,Other States,RI,Rhode Island,CFIPS,0, ,False, , , ,155.569715971401,-1247.52884383549
288,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,840.488280425459,-13101.3303667385
289,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,660.885289682681,-14567.8057372033
290,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,1203.4654733313,-28372.7659092893
291,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,391.341718030753,-4392.32725647518
292,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,903.817658430433,-23830.4297035243
293,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,False, , , ,1696.18419706262,-107871.603011834
294,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,False, , , ,622.879655033172,-16025.424128035
295,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,False, , , ,131617.21394032,-117926187.050213
296,Land,Other States,NY,New York,CNTYCODE,47,Suffolk,False, , , ,500.19529406725,-15507.7525903546
297,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,242.659704775834,-2110.34481193745
298,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,398.30130932645,-8339.07026884198
299,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,409.94542286915,-4016.5745036225
300,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,1241.57660196602,-53958.4356904818
301,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,245.130200663353,-3105.24644742005
302,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,142.919533602206,-1211.33299802006
303,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,782.347303804577,-44354.5428692258
304,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,292.486361343186,-5719.55822022751
305,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,305.911265653904,-4703.14641001272
306,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,143.056476922756,-1375.69825796877
307,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,2561.04430251367,-221188.325003046
308,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,1940.38372978239,-94051.9532683732
309,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,325.693455666598,-5051.78670519066
310,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,836.94775592238,-30097.5517073888
311,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,188.887874709276,-2415.32233986856
312,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,323.45243817388,-6190.25043013531
313,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,208.971152091334,-2345.30624596292
314,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,3647.01546405613,-192358.866771418
315,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,3382.4517385058,-403075.459331103
316,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,1321.9824131638,-63534.0407478981
317,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,6490.3360198491,-939906.285150964
318,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,240.573269258875,-3700.33931387336
319,Land,Other States,NY,New York,CNTYCODE,55,Westchester,True,Westchester, ,Westchester,770265.461382221,-13251868314.3141
320,Water,Water,RI,Rhode Island, ,9, ,False, , , ,1189.77565446871,-31650.2424098617
321,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,206.699798450182,-2882.12398020124
322,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,1952.86447427276,-94465.824830097
323,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,3557.70338350041,-343786.537458089
324,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,754.853765123209,-21551.2610514526
325,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,540.516305200451,-11790.5984885396
326,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,614.502315468493,-18931.2241131341
327,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,265.857340620564,-2931.47313999878
328,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,1027.60041429591,-62044.354306401
329,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,436.939072414849,-9165.78440701537
330,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,193.263559033835,-2282.91705949213
331,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,3719.28202809096,-162175.416545221
332,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,1272.24601526081,-42281.9320750088
333,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,267.033501592171,-4010.89381485666
334,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,509.92693976536,-15210.3100365122
335,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,470.890207265026,-11532.4156984218
336,Land,Connecticut,CT,Connecticut,CNTY_COD,6,New London,False, , , ,367.486295630051,-7122.35647553977
337,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,383.8583397119,-4636.55043364818
338,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,365.87681368123,-6989.03065678486
339,Land,Other States,RI,Rhode Island,CFIPS,9,Washington,False, , , ,302.591103759296,-5879.73113283918
