OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,SASC_STE_ADSYS_CODE,STE_ADSYS_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,Shape__Length
9097,91-N-161,0.0,0.26,5,"Ramps, Turning Roadways or Connectors",63,HARTFORD,2022,26f59eac-822d-4ff5-8db1-fe0f1a2a6e8e,1379.9975385997
9098,91-N-198,0.0,0.11,5,"Ramps, Turning Roadways or Connectors",63,HARTFORD,2022,3c218310-b130-4d2b-9014-fda5afa2b5ca,562.406361451574
9099,91-N-211,0.0,0.26,5,"Ramps, Turning Roadways or Connectors",164,WINDSOR,2022,420b8070-e4cc-42b2-92ad-3cb71106829a,1389.75937928195
9100,91-N-29,0.0,0.38,5,"Ramps, Turning Roadways or Connectors",100,NORTH HAVEN,2022,94c3d090-2a15-4345-9549-3a9b3d38b7c5,2039.78400108968
9101,91-N-51A,0.0,0.09,5,"Ramps, Turning Roadways or Connectors",118,ROCKY HILL,2022,38302dc2-1132-4fff-ad12-7ac81c80c909,540.313034106448
9102,91-N-601,0.0,0.8,5,"Ramps, Turning Roadways or Connectors",63,HARTFORD,2022,15ac5cf1-397a-4c4a-bca3-4d33924ec5d3,4065.18558434616
9103,91-S-126,0.0,0.2,5,"Ramps, Turning Roadways or Connectors",48,ENFIELD,2022,1303b0e7-f2ad-4e90-8456-d8ae2bf85732,1021.3001670052
9104,91-S-130,0.0,0.22,5,"Ramps, Turning Roadways or Connectors",82,MIDDLETOWN,2022,d36fe87f-0ebd-4482-80a9-c4947cb22ddd,1146.30116326753
9105,91-S-146,0.0,0.07,5,"Ramps, Turning Roadways or Connectors",79,MERIDEN,2022,815a43e6-0853-455a-9834-da6e5f0a5298,338.554668970914
9106,2-W-38,0.0,0.32,5,"Ramps, Turning Roadways or Connectors",28,COLCHESTER,2022,5a46dc96-5bad-427b-9ee3-2380e548a881,1676.62031056657
9107,2-W-59,0.0,0.02,5,"Ramps, Turning Roadways or Connectors",13,BOZRAH,2022,8ebf55d3-2900-424a-a388-40d9bd02caf5,68.9122652314152
9108,2-W-76,0.0,0.13,5,"Ramps, Turning Roadways or Connectors",42,EAST HARTFORD,2022,c8f4bbe8-8e0c-4dc3-83ae-baf23b601d93,665.036756351586
9109,2-W-79,0.0,0.13,5,"Ramps, Turning Roadways or Connectors",42,EAST HARTFORD,2022,0ced2739-04ae-4a36-8dd8-dbc2ea2df598,702.814056607775
9110,2-W-89,0.0,0.14,5,"Ramps, Turning Roadways or Connectors",71,LEDYARD,2022,43991f21-ee21-4957-8577-0ad5d46680d4,745.2006311499
9111,20-E,27.76,31.04,2,State Secondary (State Maintained),164,WINDSOR,2022,d807f2fb-8415-4918-a6a4-b4d2e2fa4b7a,17307.2640370185
9112,20-E,31.04,31.22,2,State Secondary (State Maintained),165,WINDSOR LOCKS,2022,3650f66e-af96-49de-b977-41440779d54f,914.067068599154
9113,20-E-801,0.23,0.55,5,"Ramps, Turning Roadways or Connectors",165,WINDSOR LOCKS,2022,790ae455-236f-4eca-b837-4b150c0c5e91,1723.27821929761
9114,20-E-9,0.0,0.24,5,"Ramps, Turning Roadways or Connectors",164,WINDSOR,2022,f7d90b62-a544-473b-a655-a9e5fae80ac7,1324.59556367273
9115,20-W-4,0.0,0.25,5,"Ramps, Turning Roadways or Connectors",165,WINDSOR LOCKS,2022,43d14ad9-a42d-456e-9380-58c581e9cf8f,1298.34772431375
