OBJECTID,RMA_DSG,RMA_NAME,RMZ_NAME,BLM_ORG_CD,PLANID,GIS_ACRES,WEB_DOC_PATH,GLOBALID,SHAPE_Length,SHAPE_Area
4879,SRMA,Trout Creek/Oregon Canyon ,,ORB00,Andrews Management Unit RMP 2005,0.58565898,,{5A22DCE2-07CC-44BB-A6D0-ED91370F97FF},1406.60308200503,4296.75063812466
4880,SRMA,<Null>,,ORV04,Unknown,11355.62259534,,{1829672D-65FF-43C9-8FC5-FDCBF37250AE},94644.2367585441,87316557.8685845
4881,SRMA,<Null>,,ORV04,Unknown,12689.25263627,,{360B54B5-F00C-4484-8E9C-2808DB5B980E},144469.724722935,98238797.0142856
4882,SRMA,<Null>,,ORV04,Unknown,1919.5356315,,{49320F26-6558-4252-8D95-395FD0AF8E1D},22384.2374184455,14859597.5253797
4883,SRMA,<Null>,,ORV04,Unknown,187.11001308,,{E498E43A-FA7D-414B-B94F-ABFBAF521B32},5252.58269740404,1449161.42869465
4884,SRMA,<Null>,,ORV04,Unknown,30960.69643498,,{D23D563C-F278-429A-9CE4-FB861B73B2B0},175921.308134093,237541455.771205
4885,SRMA,<Null>,,ORV04,Unknown,168471.9073697,,{D23A44D7-CEF3-47BF-B7DA-4825F42D438F},624096.89440687,1286546887.82133
4886,SRMA,<Null>,,ORV04,Unknown,258831.45172637,,{57ABD63D-8CAF-4001-B872-3DCEE171E199},607635.638858486,1920741679.42501
4887,SRMA,<Null>,,ORV04,Unknown,179178.04082766,,{853916D7-3F55-4095-8ADC-C7A164A472AB},393543.726733101,1321989089.25552
4888,ERMA,,,ORV04,Unknown,1430.83193219,,{ECF949F9-4807-43F6-8817-3EF0661EE8CC},15250.5418250849,10673074.5397653
4889,ERMA,<Null>,,ORV04,Unknown,10620.6763464,,{6529A575-79BC-4CAF-AE57-D49D99D5A0C2},61152.0058811229,78520502.0619236
4890,ERMA,<Null>,,ORV04,Unknown,10328.52520176,,{DDC66D4F-404B-4974-AA36-D543480EB49E},53648.4160235325,76460141.0386509
4891,ERMA,,,ORV04,Unknown,7827.24955519,,{36C551F3-DCBB-4672-9D00-87952C454539},104220.684524725,61342373.5176794
4892,ERMA,,,ORV04,Unknown,384.93181695,,{2CBA2591-CA40-4D77-A1AD-6641FB2ACCAE},9962.53730450475,3013395.51020943
4893,ERMA,<Null>,,ORV04,Unknown,151522.65589661,,{01F83C81-4CA0-4656-A42C-06FBBBEE3500},192751.951589726,1115144244.83883
4894,ERMA,<Null>,,ORV04,Unknown,2810110.08406815,,{816A2B53-A7A6-4A44-AE27-CAC6F930A56E},5582110.52606934,-21376774658.2572
4895,ERMA,<Null>,,ORV04,Unknown,80263.87236449,,{4070584E-83D1-4619-B112-B6EE60897C8A},202200.537103163,596557441.609436
4896,ERMA,,,ORV04,Unknown,159.46552464,,{F27A6360-7601-4392-9515-D4BD12B9CBAF},4363.54929640969,1189894.60409247
4897,ERMA,<Null>,,ORV04,Unknown,40.75227823,,{C98AB21A-AAD9-4BA5-9324-4D159FC168B1},2232.99281086989,311633.444217729
4898,ERMA,<Null>,,ORV04,Unknown,4.71450745,,{722996DF-6F05-4C9D-A272-91756E6C0713},1025.95518074517,34698.1361437408
4899,ERMA,<Null>,,ORV04,Unknown,2.17678118,,{55F18CCD-355A-439D-9CF7-90CC79218E2B},527.960595762556,15996.1475245484
4900,ERMA,<Null>,,ORV04,Unknown,358.90560356,,{3B094EC6-CC3D-4C4D-85A2-86930FD9EC02},9959.52333992411,2678228.0337718
4901,ERMA,<Null>,,ORV04,Unknown,20.14742099,,{6AC74AFA-9E65-40AD-8E19-47F5DD46FB32},1895.17254318558,150484.574183248
4902,ERMA,<Null>,,ORV04,Unknown,6.7704503,,{734D9CD9-71D5-44FA-A4B0-39E38E7E58F0},1176.86219810602,50569.2605708857
4903,ERMA,<Null>,,ORV04,Unknown,1.87267218,,{D81AA6E6-0A94-45DD-9A23-C95C12F9B2E9},483.043990993084,14301.7138443044
4904,ERMA,<Null>,,ORV04,Unknown,649.08219469,,{4FF2F487-9B53-4BA2-9289-4DC83DCCFA12},8909.38499253847,4960303.78094873
4905,ERMA,<Null>,,ORV04,Unknown,194.73468352,,{648D4752-D476-4D7E-BDE5-CEE57230E397},8881.69500025695,1490226.9496214
4906,ERMA,<Null>,,ORV04,Unknown,979.75320764,,{1537D21A-4081-4C2F-8569-9034D598BB80},29938.4091906517,7477482.8494879
