OBJECTID,Class,GIS_acres,CREATE_DATE,MODIFY_DATE,GlobalID,SHAPE_Length,SHAPE_Area
1,K,65.53051739,,,{D010F73E-3BC6-4D2E-81D3-AF6A8F83B5AA},3204.99007076907,265193.655953383
2,K,498.62067707,,,{A56DAC53-9202-425D-8202-40E5BF9B2E91},8437.94472970998,2017854.36076918
3,K,27.46270347,,,{10D21A43-5103-4F09-B246-9C07197B571B},2387.47410948115,111138.062496985
4,K,10.46622796,,,{C6F49117-7C59-46BA-AADF-6A9361F93724},1249.80517845954,42355.491264938
5,K,154.54323337,,,{487CB8D9-AFA4-4A02-BBA4-AD642DE365E9},3265.4623658285,625416.778180463
6,K,2158.6884954,,,{BFE5E49C-1BD5-43EA-B93D-CC20F9E1C4AA},16270.3076582051,8735937.34529879
7,K,27.16519445,,,{70BE1E47-7CA4-458F-BE48-F6386D5A8EC2},1374.41520697366,109934.081386703
8,K,2.85213276,,,{EC3F2581-C57F-4133-8C8B-1230E56A77E8},434.442785443439,11542.2179608831
9,K,185.95738535,,,{E7F8AB5B-41FE-44E1-B1F4-C464CDB406F5},4062.95482377172,752545.84938788
10,K,14.79029103,,,{CEF51087-1AC3-4B53-893D-0954F5EF1D41},1103.97137307267,59854.4236705908
11,K,118.868292,,,{95A89481-A779-42AE-9C8E-C7A3A7A07206},3580.20087603251,481044.835109899
12,K,28694.5798863,,,{C49B71D2-9D6F-4765-B890-FCBD3D9E5B9E},70351.2516247441,116123309.393753
13,K,10.20996775,,,{ADAF277F-8AB4-4E36-B0FA-DEAB20093AA8},1372.1732500006,41318.4388415868
14,K,31.59773767,,,{386EA0A1-6CED-4570-9AFF-0ABF3758CA0A},1442.51432445675,127872.019122765
15,K,58.62181552,,,{D99C2BEB-EF6A-4F59-9E9A-3264EF8762BE},3509.41907339278,237235.019608083
16,K,4.79846601,,,{DC670706-47E0-45A1-B1AA-EC4B9F81C6F4},747.102814696299,19418.7806842143
17,K,43731.2903397,,,{B4EB2A37-994C-4632-97C4-63D70C8B719E},176457.189610786,176974961.070103
18,K,6.42817356,,,{8284A63B-6C82-4E89-AFBE-82B925C250D2},911.060701854466,26013.9995159477
19,K,5.29787669,,,{6EA1D462-6997-43CE-BB3B-35A73154FB4C},697.042568375248,21439.8320895445
20,K,3250.8551638,,,{78DAE4CA-88F6-4B7E-A28B-1A73F83F5E9D},52585.8065760017,13155796.7210318
21,K,6.6749419,,,{5ED6F5AC-8C75-450B-AABB-1E7E6A35438A},711.710899167601,27012.6395515478
22,K,4.02442437,,,{6B3E9FCD-1A2E-4D5C-B1D4-B79A114CBF8B},694.029307370623,16286.3327803555
23,K,11.69585266,,,{E3BA87B9-DE75-401B-88D9-BDDDED142217},1057.7428581559,47331.6257848565
24,K,5.3111778,,,{497E83AC-2085-4C43-BD18-1E46AC0E1520},887.396929280229,21493.6599880546
25,K,5.77476899,,,{7B99A928-672F-476A-B4B2-756AE23A72C7},907.617096343367,23369.7544719086
26,K,18.53280144,,,{0CCE3442-9C51-4BB0-86FA-4AAFAD1E03B3},1224.08894034758,74999.8865617891
27,K,5.59937244,,,{A5156038-95B0-4C6E-941D-4C9E7279C706},1618.99133825403,22659.9469771045
28,K,115.34626408,,,{905662BD-147C-451A-8C08-BCB4A59565F2},4252.5714806231,466791.636794989
29,K,356.47215645,,,{D48E641B-19C2-45F3-BCA2-BE5176CB450E},9514.82563668923,1442597.40614403
30,K,44.50604713,,,{86786B3F-D536-4381-8B28-18FB55FD1AD3},2278.00676504609,180110.303113739
31,K,20.89430636,,,{34ABD1D9-69C6-4E4E-9376-74250D963F57},1785.61027521135,84556.5961505212
32,K,14688.0338929,,,{F23E1181-8D5F-4BF4-A695-2C642A44C92C},71981.6961097669,59440602.0541221
33,K,1.60586032,,,{19628BC1-FDDE-4D1D-9828-BF73EED64F32},642.921419537729,6498.71215008152
34,K,339.8656531,,,{46706BCE-4948-49C0-AC97-494D600764D3},10071.0132211513,1375393.0026028
35,K,1234.53267823,,,{96BE8D95-8D99-4632-9794-B3AFC9C99E59},17968.6862662856,4995996.48152823
36,K,34.48075714,,,{6AE3F2F0-F227-4FC2-8A7C-70FCB20846DF},2040.60928837322,139539.23167053
37,K,6201.68208146,,,{FDBE0B8D-DBC3-45DA-9874-C14940D395F9},37334.3828352797,25097417.3506051
38,K,6343.47459284,,,{D89BEBB3-0EFA-4A42-B3A8-14E02CA85CC6},22307.0601301983,25671233.5811804
39,K,6.53977191,,,{39CC9155-09FF-4503-8E17-5BF2C9279284},692.9839309109,26465.6238236521
40,K,2.61522274,,,{0750958F-A356-405B-8761-9ECB26E01FCC},1594.07628619347,10583.4732985566
41,K,2.46861519,,,{BB0D70FF-5495-4EA4-978E-25CE02B28013},501.476783437435,9990.17121822174
42,K,462.97550874,,,{A0B9DD7E-A8C1-40A9-8096-AF27D25DFE01},9591.92976450596,1873602.90539373
43,K,3.07112837,,,{97E2C993-A3BF-4EEC-8822-DCCD6BF4C8D3},612.687102875121,12428.4653062247
44,K,87.6549106,,,{22E2A92E-22CD-47DB-9905-4F335C035430},5630.10062328418,354728.256830751
45,K,32.0317402,,,{B2DC4D65-82ED-44B1-BF05-7583A9D8AB5C},2688.87536577944,129628.372093524
46,K,86.38004125,,,{93EC8F44-7FDF-4CC6-8AF1-DDDE5D7E8CC1},3659.16624234578,349569.023008948
47,K,3.76740504,,,{7B54280B-2075-4B85-BE26-32959F5DE727},758.118995961808,15246.2082966162
48,K,1.019931,,,{10B63E29-6DC7-4228-A16B-67F5DF6E3BA4},564.431956863658,4127.53085060157
49,K,4.51174724,,,{F0E73E10-12E3-4E68-80BC-86976F88CE3E},1171.69659952343,18258.4663664588
50,K,201.30913451,,,{D4B2EE80-ED59-4AE5-9EF3-004700A3487F},7374.8464294388,814672.422581563
51,K,22.76671155,,,{2E757C6A-5BB7-40C1-B62D-AD4EEB8E1636},1414.72218763163,92133.9814234994
52,K,50.52983164,,,{DD36831D-8C53-4619-979F-EB0E10259B85},2277.47828523906,204487.791662432
53,K,0.92389977,,,{AF137B08-07F0-4551-8AF0-80C36B548546},665.407656769173,3738.90469732135
54,K,42.6555819,,,{0813FD93-12ED-4EE2-AC1A-326E191B7E82},2229.96632026701,172621.706089006
55,K,74.97220777,,,{C5B0B701-397D-421F-AC04-103AE7007ED7},5060.86932753001,303402.974149074
56,K,99.76169822,,,{5508CA3D-1409-4E90-B642-FC58D8018815},3985.37571148856,403722.884061634
57,K,31.98153118,,,{5923E222-2134-45ED-856A-22D27D7814C0},1892.65279159032,129425.182564052
58,K,137.23785275,,,{5BE12FF6-1225-483B-A63A-F3094E8A69E7},5145.71660214777,555384.107351576
59,K,57.14358574,,,{FEE7635E-DA60-4BE8-9C9E-2B22FEA8D77D},2185.64162119971,231252.811996836
60,K,6.48675473,,,{754979B6-310D-4FE2-97D4-0F52E761BFCA},1028.54949944913,26251.0700800989
61,K,77.49908811,,,{FEE53808-C820-45AF-B1EE-709220D8DD34},3220.28929146092,313628.936992544
62,K,0.92515746,,,{23A29DFC-2D71-4DF0-91C9-51BE547345E2},265.137445220634,3743.99441334026
63,K,127.48017153,,,{965EADB6-090D-4969-95E6-E2C273A5A2CB},3256.50175218449,515896.014502465
64,K,576.38537759,,,{59FDC5EA-17C8-47A9-8F44-D5D1246E7D0E},6989.94051635131,2332558.19733122
65,K,43640.8193891,,,{B60C10C8-37A7-4B40-968F-516E1042A169},79039.7422046926,176608836.658197
66,K,198.8883515,,,{2DB434F4-9BF9-4C7A-8540-D604A435D46F},5694.5558897253,804875.822129215
67,K,931.14286513,,,{D574E0F0-EBFD-4BE4-909E-1F1F89F5E2B8},13916.0318880302,3768216.55678284
68,K,43.22023808,,,{B9EBEC01-817C-48C6-A99E-DF2375A940D0},2693.36546575736,174906.797686945
69,K,163.6936596,,,{516085B0-F250-48B0-9EC7-F5C4D2F63D2A},3720.82957900534,662447.387481967
