Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2013,State,48.0,Texas,MC,1380641.0,25107627.0,5.5,,,55063.0,3.99,,
2013,State,49.0,Utah,All,233588.0,2937252.0,7.95,,,20885.0,8.94,,
2013,State,49.0,Utah,FFS,81512.0,1301043.0,6.27,,,7827.0,9.6,,
2013,State,49.0,Utah,MC,152076.0,1636209.0,9.29,,,13058.0,8.59,,
2013,State,50.0,Vermont,All,118134.0,1335242.0,8.85,,,16549.0,14.01,,
2013,State,50.0,Vermont,FFS,118134.0,1335242.0,8.85,,,16549.0,14.01,,
2013,State,50.0,Vermont,MC,0.0,0.0,,,,0.0,,,
2013,State,51.0,Virginia,All,730742.0,10508281.0,6.95,,,51828.0,7.09,,
2013,State,51.0,Virginia,FFS,115686.0,2396396.0,4.83,,,11931.0,10.31,,
2013,State,51.0,Virginia,MC,615056.0,8111885.0,7.58,,,39897.0,6.49,,
2013,State,53.0,Washington,All,620072.0,7032472.0,8.82,,,69150.0,11.15,,
2013,State,53.0,Washington,FFS,188293.0,2395203.0,7.86,,,23405.0,12.43,,
2013,State,53.0,Washington,MC,431779.0,4637269.0,9.31,,,45745.0,10.59,,
2013,State,54.0,West Virginia,All,401118.0,5794848.0,6.92,,,22227.0,5.54,,
2013,State,54.0,West Virginia,FFS,329579.0,4721906.0,6.98,,,20429.0,6.2,,
2013,State,54.0,West Virginia,MC,71539.0,1072942.0,6.67,,,1798.0,2.51,,
2013,State,55.0,Wisconsin,All,899000.0,10155576.0,8.85,,,120342.0,13.39,,
2013,State,55.0,Wisconsin,FFS,896650.0,10127535.0,8.85,,,119908.0,13.37,,
2013,State,55.0,Wisconsin,MC,2350.0,28041.0,8.38,,,434.0,18.47,,
2013,State,56.0,Wyoming,All,41202.0,529696.0,7.78,,,4230.0,10.27,,
2013,State,56.0,Wyoming,FFS,41202.0,529696.0,7.78,,,4230.0,10.27,,
2013,State,56.0,Wyoming,MC,0.0,0.0,,,,0.0,,,
