AGE_GROUP,CONFIRMED_by_age,CongregateSetting,FORMRECEIVED_WEEK_ENDING,non_CongregateSetting,REPORTED,ObjectId
0,36,2,2020/05/30 04:00:00+00,34,2022/10/09 10:17:00+00,79
20,135,4,2020/05/30 04:00:00+00,131,2022/10/09 10:17:00+00,80
0,49,2,2020/06/06 04:00:00+00,47,2022/10/09 10:17:00+00,81
45,116,10,2020/06/06 04:00:00+00,106,2022/10/09 10:17:00+00,82
20,162,1,2020/07/04 04:00:00+00,161,2022/10/09 10:17:00+00,83
45,98,14,2020/07/11 04:00:00+00,84,2022/10/09 10:17:00+00,84
45,169,10,2020/07/18 04:00:00+00,159,2022/10/09 10:17:00+00,85
0,189,8,2020/07/25 04:00:00+00,181,2022/10/09 10:17:00+00,86
20,668,9,2020/08/15 04:00:00+00,659,2022/10/09 10:17:00+00,87
45,402,12,2020/08/15 04:00:00+00,390,2022/10/09 10:17:00+00,88
45,331,17,2020/08/22 04:00:00+00,314,2022/10/09 10:17:00+00,89
45,245,29,2020/08/29 04:00:00+00,216,2022/10/09 10:17:00+00,90
65,154,25,2020/09/05 04:00:00+00,129,2022/10/09 10:17:00+00,91
20,344,16,2020/09/12 04:00:00+00,328,2022/10/09 10:17:00+00,92
0,127,4,2020/09/19 04:00:00+00,123,2022/10/09 10:17:00+00,93
0,194,20,2020/09/26 04:00:00+00,174,2022/10/09 10:17:00+00,94
0,243,9,2020/10/03 04:00:00+00,234,2022/10/09 10:17:00+00,95
65,191,45,2020/10/03 04:00:00+00,146,2022/10/09 10:17:00+00,96
0,279,3,2020/10/24 04:00:00+00,276,2022/10/09 10:17:00+00,97
20,957,10,2020/11/07 05:00:00+00,947,2022/10/09 10:17:00+00,98
0,543,6,2020/11/14 05:00:00+00,537,2022/10/09 10:17:00+00,99
45,836,25,2020/11/14 05:00:00+00,811,2022/10/09 10:17:00+00,100
45,70,1,2020/04/04 04:00:00+00,69,2022/10/09 10:17:00+00,101
45,91,5,2020/04/11 04:00:00+00,86,2022/10/09 10:17:00+00,102
20,60,6,2020/04/18 04:00:00+00,54,2022/10/09 10:17:00+00,103
45,83,22,2020/04/18 04:00:00+00,61,2022/10/09 10:17:00+00,104
65,78,58,2020/04/25 04:00:00+00,20,2022/10/09 10:17:00+00,105
20,115,9,2020/05/02 04:00:00+00,106,2022/10/09 10:17:00+00,106
45,119,11,2020/05/02 04:00:00+00,108,2022/10/09 10:17:00+00,107
20,101,0,2020/05/09 04:00:00+00,101,2022/10/09 10:17:00+00,108
45,95,3,2020/05/09 04:00:00+00,92,2022/10/09 10:17:00+00,109
45,99,5,2020/05/23 04:00:00+00,94,2022/10/09 10:17:00+00,110
65,100,76,2020/05/30 04:00:00+00,24,2022/10/09 10:17:00+00,111
65,76,45,2020/06/06 04:00:00+00,31,2022/10/09 10:17:00+00,112
0,57,0,2020/07/11 04:00:00+00,57,2022/10/09 10:17:00+00,113
65,73,39,2020/07/11 04:00:00+00,34,2022/10/09 10:17:00+00,114
0,98,1,2020/07/18 04:00:00+00,97,2022/10/09 10:17:00+00,115
20,280,8,2020/07/18 04:00:00+00,272,2022/10/09 10:17:00+00,116
20,536,5,2020/07/25 04:00:00+00,531,2022/10/09 10:17:00+00,117
45,273,5,2020/07/25 04:00:00+00,268,2022/10/09 10:17:00+00,118
0,219,4,2020/08/08 04:00:00+00,215,2022/10/09 10:17:00+00,119
45,322,24,2020/08/08 04:00:00+00,298,2022/10/09 10:17:00+00,120
0,255,9,2020/08/22 04:00:00+00,246,2022/10/09 10:17:00+00,121
20,550,10,2020/08/22 04:00:00+00,540,2022/10/09 10:17:00+00,122
20,462,85,2020/08/29 04:00:00+00,377,2022/10/09 10:17:00+00,123
65,115,22,2020/08/29 04:00:00+00,93,2022/10/09 10:17:00+00,124
20,579,64,2020/09/05 04:00:00+00,515,2022/10/09 10:17:00+00,125
0,164,4,2020/09/12 04:00:00+00,160,2022/10/09 10:17:00+00,126
65,136,34,2020/09/19 04:00:00+00,102,2022/10/09 10:17:00+00,127
20,497,12,2020/10/03 04:00:00+00,485,2022/10/09 10:17:00+00,128
