AGE_GROUP,CONFIRMED_by_age,CongregateSetting,FORMRECEIVED_WEEK_ENDING,non_CongregateSetting,REPORTED,ObjectId
0,141,0,2021/07/24 04:00:00+00,141,2022/10/09 10:17:00+00,336
0,299,0,2021/07/31 04:00:00+00,299,2022/10/09 10:17:00+00,337
45,415,0,2021/08/07 04:00:00+00,415,2022/10/09 10:17:00+00,338
65,183,0,2021/08/07 04:00:00+00,183,2022/10/09 10:17:00+00,339
0,936,0,2021/08/21 04:00:00+00,936,2022/10/09 10:17:00+00,340
65,344,0,2021/08/28 04:00:00+00,344,2022/10/09 10:17:00+00,341
0,1126,0,2021/09/04 04:00:00+00,1126,2022/10/09 10:17:00+00,342
45,673,0,2021/09/04 04:00:00+00,673,2022/10/09 10:17:00+00,343
45,593,0,2021/09/11 04:00:00+00,593,2022/10/09 10:17:00+00,344
20,1370,0,2021/09/18 04:00:00+00,1370,2022/10/09 10:17:00+00,345
0,610,0,2021/10/02 04:00:00+00,610,2022/10/09 10:17:00+00,346
0,440,0,2021/10/23 04:00:00+00,440,2022/10/09 10:17:00+00,347
20,601,0,2021/11/06 04:00:00+00,601,2022/10/09 10:17:00+00,348
65,167,0,2021/11/06 04:00:00+00,167,2022/10/09 10:17:00+00,349
45,303,0,2021/11/13 05:00:00+00,303,2022/10/09 10:17:00+00,350
65,187,0,2021/11/27 05:00:00+00,187,2022/10/09 10:17:00+00,351
0,497,0,2021/12/11 05:00:00+00,497,2022/10/09 10:17:00+00,352
45,490,0,2021/12/11 05:00:00+00,490,2022/10/09 10:17:00+00,353
0,603,0,2021/12/25 05:00:00+00,603,2022/10/09 10:17:00+00,354
45,693,0,2021/12/25 05:00:00+00,693,2022/10/09 10:17:00+00,355
0,3785,0,2022/01/08 05:00:00+00,3785,2022/10/09 10:17:00+00,356
20,7277,0,2022/01/08 05:00:00+00,7277,2022/10/09 10:17:00+00,357
45,3634,0,2022/01/08 05:00:00+00,3634,2022/10/09 10:17:00+00,358
20,6962,0,2022/01/15 05:00:00+00,6962,2022/10/09 10:17:00+00,359
45,2616,0,2022/01/29 05:00:00+00,2616,2022/10/09 10:17:00+00,360
45,1277,0,2022/02/12 05:00:00+00,1277,2022/10/09 10:17:00+00,361
0,2604,0,2022/02/19 05:00:00+00,2604,2022/10/09 10:17:00+00,362
20,2539,0,2022/02/19 05:00:00+00,2539,2022/10/09 10:17:00+00,363
45,221,0,2022/03/12 05:00:00+00,221,2022/10/09 10:17:00+00,364
65,785,0,2022/01/01 05:00:00+00,785,2022/10/09 10:17:00+00,365
65,1356,0,2022/01/08 05:00:00+00,1356,2022/10/09 10:17:00+00,366
0,2731,0,2022/01/29 05:00:00+00,2731,2022/10/09 10:17:00+00,367
20,4279,0,2022/01/29 05:00:00+00,4279,2022/10/09 10:17:00+00,368
65,1275,0,2022/01/29 05:00:00+00,1275,2022/10/09 10:17:00+00,369
0,1782,0,2022/02/05 05:00:00+00,1782,2022/10/09 10:17:00+00,370
20,2173,0,2022/02/05 05:00:00+00,2173,2022/10/09 10:17:00+00,371
45,1361,0,2022/02/05 05:00:00+00,1361,2022/10/09 10:17:00+00,372
0,1629,0,2022/02/12 05:00:00+00,1629,2022/10/09 10:17:00+00,373
0,390,0,2022/02/26 05:00:00+00,390,2022/10/09 10:17:00+00,374
45,399,0,2022/02/26 05:00:00+00,399,2022/10/09 10:17:00+00,375
65,251,0,2022/02/26 05:00:00+00,251,2022/10/09 10:17:00+00,376
0,314,0,2022/03/05 05:00:00+00,314,2022/10/09 10:17:00+00,377
20,368,0,2022/03/05 05:00:00+00,368,2022/10/09 10:17:00+00,378
20,338,0,2022/03/12 05:00:00+00,338,2022/10/09 10:17:00+00,379
0,668,0,2022/03/19 04:00:00+00,668,2022/10/09 10:17:00+00,380
0,113,0,2022/04/02 04:00:00+00,113,2022/10/09 10:17:00+00,381
20,175,0,2022/04/09 04:00:00+00,175,2022/10/09 10:17:00+00,382
0,180,0,2022/04/23 04:00:00+00,180,2022/10/09 10:17:00+00,383
20,301,0,2022/04/23 04:00:00+00,301,2022/10/09 10:17:00+00,384
45,339,0,2022/04/30 04:00:00+00,339,2022/10/09 10:17:00+00,385
65,226,0,2022/04/30 04:00:00+00,226,2022/10/09 10:17:00+00,386
0,489,0,2022/05/07 04:00:00+00,489,2022/10/09 10:17:00+00,387
65,400,0,2022/05/14 04:00:00+00,400,2022/10/09 10:17:00+00,388
65,575,0,2022/05/21 04:00:00+00,575,2022/10/09 10:17:00+00,389
20,802,0,2022/05/28 04:00:00+00,802,2022/10/09 10:17:00+00,390
45,587,0,2022/05/28 04:00:00+00,587,2022/10/09 10:17:00+00,391
0,337,0,2022/06/11 04:00:00+00,337,2022/10/09 10:17:00+00,392
65,412,0,2022/06/18 04:00:00+00,412,2022/10/09 10:17:00+00,393
0,314,0,2022/07/02 04:00:00+00,314,2022/10/09 10:17:00+00,394
65,451,0,2022/07/02 04:00:00+00,451,2022/10/09 10:17:00+00,395
20,1220,0,2022/07/16 04:00:00+00,1220,2022/10/09 10:17:00+00,396
20,1064,0,2022/07/23 04:00:00+00,1064,2022/10/09 10:17:00+00,397
20,988,0,2022/08/06 04:00:00+00,988,2022/10/09 10:17:00+00,398
65,496,0,2022/08/06 04:00:00+00,496,2022/10/09 10:17:00+00,399
65,440,0,2022/08/13 04:00:00+00,440,2022/10/09 10:17:00+00,400
45,117,0,2021/05/22 04:00:00+00,117,2022/10/09 10:17:00+00,401
20,170,0,2021/05/29 04:00:00+00,170,2022/10/09 10:17:00+00,402
45,74,0,2021/05/29 04:00:00+00,74,2022/10/09 10:17:00+00,403
0,52,0,2021/06/12 04:00:00+00,52,2022/10/09 10:17:00+00,404
20,103,0,2021/06/12 04:00:00+00,103,2022/10/09 10:17:00+00,405
65,15,0,2021/06/19 04:00:00+00,15,2022/10/09 10:17:00+00,406
20,71,0,2021/06/26 04:00:00+00,71,2022/10/09 10:17:00+00,407
0,61,0,2021/07/03 04:00:00+00,61,2022/10/09 10:17:00+00,408
20,104,0,2021/07/10 04:00:00+00,104,2022/10/09 10:17:00+00,409
65,56,0,2021/07/24 04:00:00+00,56,2022/10/09 10:17:00+00,410
45,461,0,2021/08/14 04:00:00+00,461,2022/10/09 10:17:00+00,411
65,248,0,2021/08/14 04:00:00+00,248,2022/10/09 10:17:00+00,412
65,76,28,2020/04/11 04:00:00+00,48,2022/10/09 10:17:00+00,413
45,585,0,2021/08/21 04:00:00+00,585,2022/10/09 10:17:00+00,414
0,1165,0,2021/08/28 04:00:00+00,1165,2022/10/09 10:17:00+00,415
65,337,0,2021/09/04 04:00:00+00,337,2022/10/09 10:17:00+00,416
65,304,0,2021/09/11 04:00:00+00,304,2022/10/09 10:17:00+00,417
0,1036,0,2021/09/18 04:00:00+00,1036,2022/10/09 10:17:00+00,418
65,285,0,2021/09/25 04:00:00+00,285,2022/10/09 10:17:00+00,419
65,239,0,2021/10/02 04:00:00+00,239,2022/10/09 10:17:00+00,420
45,508,0,2021/10/09 04:00:00+00,508,2022/10/09 10:17:00+00,421
0,597,0,2021/10/16 04:00:00+00,597,2022/10/09 10:17:00+00,422
20,511,0,2021/10/23 04:00:00+00,511,2022/10/09 10:17:00+00,423
65,151,0,2021/10/23 04:00:00+00,151,2022/10/09 10:17:00+00,424
0,295,0,2021/10/30 04:00:00+00,295,2022/10/09 10:17:00+00,425
65,86,0,2021/10/30 04:00:00+00,86,2022/10/09 10:17:00+00,426
0,458,0,2021/11/06 04:00:00+00,458,2022/10/09 10:17:00+00,427
20,551,0,2021/11/20 05:00:00+00,551,2022/10/09 10:17:00+00,428
65,136,0,2021/11/20 05:00:00+00,136,2022/10/09 10:17:00+00,429
20,837,0,2021/12/04 05:00:00+00,837,2022/10/09 10:17:00+00,430
65,209,0,2021/12/11 05:00:00+00,209,2022/10/09 10:17:00+00,431
0,511,0,2021/12/18 05:00:00+00,511,2022/10/09 10:17:00+00,432
65,237,0,2021/12/18 05:00:00+00,237,2022/10/09 10:17:00+00,433
20,1514,0,2021/12/25 05:00:00+00,1514,2022/10/09 10:17:00+00,434
0,3320,0,2022/01/15 05:00:00+00,3320,2022/10/09 10:17:00+00,435
45,3947,0,2022/01/15 05:00:00+00,3947,2022/10/09 10:17:00+00,436
45,3354,0,2022/01/22 05:00:00+00,3354,2022/10/09 10:17:00+00,437
45,1334,0,2022/02/19 05:00:00+00,1334,2022/10/09 10:17:00+00,438
65,488,0,2022/02/19 05:00:00+00,488,2022/10/09 10:17:00+00,439
65,190,0,2022/03/05 05:00:00+00,190,2022/10/09 10:17:00+00,440
0,334,0,2022/03/12 05:00:00+00,334,2022/10/09 10:17:00+00,441
65,147,0,2022/03/12 05:00:00+00,147,2022/10/09 10:17:00+00,442
65,149,0,2022/03/19 04:00:00+00,149,2022/10/09 10:17:00+00,443
45,100,0,2022/03/26 04:00:00+00,100,2022/10/09 10:17:00+00,444
65,77,0,2022/03/26 04:00:00+00,77,2022/10/09 10:17:00+00,445
45,105,0,2022/04/02 04:00:00+00,105,2022/10/09 10:17:00+00,446
65,137,0,2022/04/16 04:00:00+00,137,2022/10/09 10:17:00+00,447
65,145,0,2022/04/23 04:00:00+00,145,2022/10/09 10:17:00+00,448
20,414,0,2022/04/30 04:00:00+00,414,2022/10/09 10:17:00+00,449
65,242,0,2022/05/07 04:00:00+00,242,2022/10/09 10:17:00+00,450
20,876,0,2022/06/04 04:00:00+00,876,2022/10/09 10:17:00+00,451
45,633,0,2022/06/04 04:00:00+00,633,2022/10/09 10:17:00+00,452
20,987,0,2022/06/11 04:00:00+00,987,2022/10/09 10:17:00+00,453
0,378,0,2022/06/25 04:00:00+00,378,2022/10/09 10:17:00+00,454
20,1087,0,2022/06/25 04:00:00+00,1087,2022/10/09 10:17:00+00,455
45,715,0,2022/06/25 04:00:00+00,715,2022/10/09 10:17:00+00,456
65,448,0,2022/06/25 04:00:00+00,448,2022/10/09 10:17:00+00,457
45,618,0,2022/07/02 04:00:00+00,618,2022/10/09 10:17:00+00,458
0,461,0,2022/07/16 04:00:00+00,461,2022/10/09 10:17:00+00,459
45,770,0,2022/07/30 04:00:00+00,770,2022/10/09 10:17:00+00,460
0,468,0,2022/08/13 04:00:00+00,468,2022/10/09 10:17:00+00,461
20,861,0,2022/08/20 04:00:00+00,861,2022/10/09 10:17:00+00,462
65,402,0,2022/08/20 04:00:00+00,402,2022/10/09 10:17:00+00,463
20,733,0,2022/09/03 04:00:00+00,733,2022/10/09 10:17:00+00,464
65,301,0,2022/09/10 04:00:00+00,301,2022/10/09 10:17:00+00,465
20,422,0,2022/09/17 04:00:00+00,422,2022/10/09 10:17:00+00,466
65,258,0,2022/09/17 04:00:00+00,258,2022/10/09 10:17:00+00,467
20,293,0,2022/10/08 04:00:00+00,293,2022/10/09 10:17:00+00,468
0,1,0,2020/04/18 04:00:00+00,1,2022/10/09 10:17:00+00,469
0,10,2,2020/05/09 04:00:00+00,8,2022/10/09 10:17:00+00,470
20,130,4,2020/05/16 04:00:00+00,126,2022/10/09 10:17:00+00,471
0,33,11,2020/05/23 04:00:00+00,22,2022/10/09 10:17:00+00,472
45,102,16,2020/05/30 04:00:00+00,86,2022/10/09 10:17:00+00,473
45,93,11,2020/06/13 04:00:00+00,82,2022/10/09 10:17:00+00,474
0,28,0,2020/06/20 04:00:00+00,28,2022/10/09 10:17:00+00,475
45,73,7,2020/06/20 04:00:00+00,66,2022/10/09 10:17:00+00,476
65,46,28,2020/06/20 04:00:00+00,18,2022/10/09 10:17:00+00,477
0,33,0,2020/06/27 04:00:00+00,33,2022/10/09 10:17:00+00,478
20,125,4,2020/06/27 04:00:00+00,121,2022/10/09 10:17:00+00,479
0,31,0,2020/07/04 04:00:00+00,31,2022/10/09 10:17:00+00,480
45,86,3,2020/07/04 04:00:00+00,83,2022/10/09 10:17:00+00,481
20,216,3,2020/07/11 04:00:00+00,213,2022/10/09 10:17:00+00,482
65,102,50,2020/07/18 04:00:00+00,52,2022/10/09 10:17:00+00,483
65,113,24,2020/07/25 04:00:00+00,89,2022/10/09 10:17:00+00,484
0,196,14,2020/08/01 04:00:00+00,182,2022/10/09 10:17:00+00,485
45,251,4,2020/08/01 04:00:00+00,247,2022/10/09 10:17:00+00,486
65,122,18,2020/08/01 04:00:00+00,104,2022/10/09 10:17:00+00,487
0,300,4,2020/08/15 04:00:00+00,296,2022/10/09 10:17:00+00,488
65,161,30,2020/08/15 04:00:00+00,131,2022/10/09 10:17:00+00,489
65,198,45,2020/08/22 04:00:00+00,153,2022/10/09 10:17:00+00,490
0,251,9,2020/09/05 04:00:00+00,242,2022/10/09 10:17:00+00,491
45,347,27,2020/09/05 04:00:00+00,320,2022/10/09 10:17:00+00,492
20,315,7,2020/09/19 04:00:00+00,308,2022/10/09 10:17:00+00,493
20,432,5,2020/09/26 04:00:00+00,427,2022/10/09 10:17:00+00,494
45,285,9,2020/09/26 04:00:00+00,276,2022/10/09 10:17:00+00,495
65,156,46,2020/09/26 04:00:00+00,110,2022/10/09 10:17:00+00,496
45,364,8,2020/10/03 04:00:00+00,356,2022/10/09 10:17:00+00,497
20,487,5,2020/10/10 04:00:00+00,482,2022/10/09 10:17:00+00,498
0,233,4,2020/10/17 04:00:00+00,229,2022/10/09 10:17:00+00,499
20,566,4,2020/10/17 04:00:00+00,562,2022/10/09 10:17:00+00,500
20,690,3,2020/10/24 04:00:00+00,687,2022/10/09 10:17:00+00,501
45,572,8,2020/10/24 04:00:00+00,564,2022/10/09 10:17:00+00,502
65,327,71,2020/10/24 04:00:00+00,256,2022/10/09 10:17:00+00,503
20,1004,5,2020/10/31 04:00:00+00,999,2022/10/09 10:17:00+00,504
65,344,58,2020/11/07 05:00:00+00,286,2022/10/09 10:17:00+00,505
45,972,14,2020/11/21 05:00:00+00,958,2022/10/09 10:17:00+00,506
20,1477,10,2020/11/28 05:00:00+00,1467,2022/10/09 10:17:00+00,507
0,529,7,2020/12/05 05:00:00+00,522,2022/10/09 10:17:00+00,508
65,557,45,2020/12/05 05:00:00+00,512,2022/10/09 10:17:00+00,509
0,479,2,2020/12/12 05:00:00+00,477,2022/10/09 10:17:00+00,510
0,401,5,2021/01/02 05:00:00+00,396,2022/10/09 10:17:00+00,511
45,845,8,2021/01/02 05:00:00+00,837,2022/10/09 10:17:00+00,512
45,996,17,2021/01/16 05:00:00+00,979,2022/10/09 10:17:00+00,513
45,908,5,2021/01/23 05:00:00+00,903,2022/10/09 10:17:00+00,514
65,483,66,2021/01/23 05:00:00+00,417,2022/10/09 10:17:00+00,515
0,441,9,2021/01/30 05:00:00+00,432,2022/10/09 10:17:00+00,516
65,456,60,2021/01/30 05:00:00+00,396,2022/10/09 10:17:00+00,517
45,541,6,2021/02/13 05:00:00+00,535,2022/10/09 10:17:00+00,518
65,173,10,2021/02/20 05:00:00+00,163,2022/10/09 10:17:00+00,519
20,486,3,2021/02/27 05:00:00+00,483,2022/10/09 10:17:00+00,520
20,382,0,2021/03/06 05:00:00+00,382,2022/10/09 10:17:00+00,521
20,339,0,2021/03/13 05:00:00+00,339,2022/10/09 10:17:00+00,522
45,237,0,2021/03/13 05:00:00+00,237,2022/10/09 10:17:00+00,523
20,331,0,2021/03/20 04:00:00+00,331,2022/10/09 10:17:00+00,524
45,210,0,2021/03/20 04:00:00+00,210,2022/10/09 10:17:00+00,525
65,103,0,2021/03/20 04:00:00+00,103,2022/10/09 10:17:00+00,526
20,287,0,2021/04/03 04:00:00+00,287,2022/10/09 10:17:00+00,527
45,149,0,2021/04/03 04:00:00+00,149,2022/10/09 10:17:00+00,528
20,266,0,2021/04/10 04:00:00+00,266,2022/10/09 10:17:00+00,529
20,342,0,2021/04/17 04:00:00+00,342,2022/10/09 10:17:00+00,530
0,202,0,2021/05/01 04:00:00+00,202,2022/10/09 10:17:00+00,531
45,189,0,2021/05/01 04:00:00+00,189,2022/10/09 10:17:00+00,532
45,136,0,2021/05/08 04:00:00+00,136,2022/10/09 10:17:00+00,533
45,122,0,2021/05/15 04:00:00+00,122,2022/10/09 10:17:00+00,534
20,239,0,2021/05/22 04:00:00+00,239,2022/10/09 10:17:00+00,535
