oshpd_id9,BigLanguageGroup,LanguageGroup,PLS_DESCRIPTION,NumberofEncounters,AnnotationforNumberofEncounters
106010735,Other Languages,African Languages,Yoruba,1,1 indicates <30 encounters
106010735,Other Languages,African Languages,Igbo,1,1 indicates <30 encounters
106010735,Other Languages,African Languages,Swahili,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Urdu,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Hindi,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Mongolian,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Mien; lu Mien,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Malayalam,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Hmong,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Mandarin,50,
106010735,Other Languages,Asian/Pacfic Islander Languages,Tonga,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Mon-Khmer,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Tagalog,99,
106010735,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,331,
106010735,Other Languages,Asian/Pacfic Islander Languages,Chinese,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Korean,33,
106010735,Other Languages,Asian/Pacfic Islander Languages,Japanese,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Lao,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Telugu,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Thai,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,147,
106010735,Other Languages,Asian/Pacfic Islander Languages,Nepali,1,1 indicates <30 encounters
106010735,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,1,1 indicates <30 encounters
106010735,English Language,English Language,English,"12,340",
106010735,Other Languages,European Languages,Croatian,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,Bosnian,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,Lithuanian,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,French,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,Hungarian,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,Italian,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,Dutch,1,1 indicates <30 encounters
106010735,Other Languages,European Languages,Russian,1,1 indicates <30 encounters
106010735,Other Languages,Latin American Languages,Portuguese,1,1 indicates <30 encounters
106010735,Other Languages,Middle Eastern Languages,Amharic,1,1 indicates <30 encounters
106010735,Other Languages,Middle Eastern Languages,Arabic,113,
106010735,Other Languages,Middle Eastern Languages,Pashto,1,1 indicates <30 encounters
106010735,Other Languages,Middle Eastern Languages,Farsi,1,1 indicates <30 encounters
106010735,Other Languages,Middle Eastern Languages,Turkish,1,1 indicates <30 encounters
106010735,Other Languages,Middle Eastern Languages,Tigrinya,1,1 indicates <30 encounters
106010735,Spanish Language,Spanish Language,Spanish,"1,620",
106010739,Other Languages,African Languages,Somali,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Marathi,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Burmese,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Hindi,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Tonga,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Telugu,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Malayalam,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,428,
106010739,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,61,
106010739,Other Languages,Asian/Pacfic Islander Languages,Nepali,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Korean,49,
106010739,Other Languages,Asian/Pacfic Islander Languages,Thai,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Samoan,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Mongolian,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Javanese,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Indonesian,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Japanese,36,
106010739,Other Languages,Asian/Pacfic Islander Languages,Chinese,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Lao,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Tagalog,49,
106010739,Other Languages,Asian/Pacfic Islander Languages,Mandarin,179,
106010739,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,172,
106010739,Other Languages,Asian/Pacfic Islander Languages,Mien; lu Mien,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Hmong,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Bengali,1,1 indicates <30 encounters
106010739,Other Languages,Asian/Pacfic Islander Languages,Urdu,48,
106010739,English Language,English Language,English,"41,350",
106010739,Other Languages,European Languages,Italian,1,1 indicates <30 encounters
106010739,Other Languages,European Languages,Bosnian,1,1 indicates <30 encounters
106010739,Other Languages,European Languages,Swedish,1,1 indicates <30 encounters
106010739,Other Languages,European Languages,Romanian,1,1 indicates <30 encounters
106010739,Other Languages,European Languages,Russian,36,
106010739,Other Languages,European Languages,Bulgarian,1,1 indicates <30 encounters
106010739,Other Languages,European Languages,German,1,1 indicates <30 encounters
106010739,Other Languages,European Languages,French,34,
106010739,Other Languages,European Languages,Yiddish,1,1 indicates <30 encounters
106010739,Other Languages,European Languages,Dutch,1,1 indicates <30 encounters
106010739,Other Languages,Latin American Languages,French Creole,1,1 indicates <30 encounters
106010739,Other Languages,Latin American Languages,Portuguese,43,
106010739,Other Languages,Middle Eastern Languages,Armenian,1,1 indicates <30 encounters
106010739,Other Languages,Middle Eastern Languages,Persian,1,1 indicates <30 encounters
106010739,Other Languages,Middle Eastern Languages,Hebrew,1,1 indicates <30 encounters
106010739,Other Languages,Middle Eastern Languages,Amharic,30,
106010739,Other Languages,Middle Eastern Languages,Pashto,1,1 indicates <30 encounters
106010739,Other Languages,Middle Eastern Languages,Turkish,1,1 indicates <30 encounters
106010739,Other Languages,Middle Eastern Languages,Arabic,225,
106010739,Other Languages,Middle Eastern Languages,Tigrinya,50,
106010739,Other Languages,Middle Eastern Languages,Farsi,66,
106010739,Other Languages,Sign Languages,Sign Language,1,1 indicates <30 encounters
106010739,Spanish Language,Spanish Language,Spanish,"4,000",
106010776,Other Languages,African Languages,Igbo,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,259,
106010776,Other Languages,Asian/Pacfic Islander Languages,Bengali,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Hmong,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Lao,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Japanese,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Burmese,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Chinese,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Nepali,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Mien; lu Mien,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Tagalog,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Tonga,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Korean,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Hindi,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,41,
106010776,Other Languages,Asian/Pacfic Islander Languages,Mon-Khmer,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Mandarin,101,
106010776,Other Languages,Asian/Pacfic Islander Languages,Telugu,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Mongolian,42,
106010776,Other Languages,Asian/Pacfic Islander Languages,Thai,1,1 indicates <30 encounters
106010776,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,132,
106010776,Other Languages,Asian/Pacfic Islander Languages,Urdu,1,1 indicates <30 encounters
106010776,English Language,English Language,English,"27,470",
106010776,Other Languages,European Languages,Russian,1,1 indicates <30 encounters
106010776,Other Languages,European Languages,Czech,1,1 indicates <30 encounters
106010776,Other Languages,European Languages,Romanian,1,1 indicates <30 encounters
106010776,Other Languages,European Languages,Italian,1,1 indicates <30 encounters
106010776,Other Languages,European Languages,French,1,1 indicates <30 encounters
106010776,Other Languages,Latin American Languages,Portuguese,164,
106010776,Other Languages,Middle Eastern Languages,Persian,1,1 indicates <30 encounters
106010776,Other Languages,Middle Eastern Languages,Farsi,1,1 indicates <30 encounters
106010776,Other Languages,Middle Eastern Languages,Turkish,1,1 indicates <30 encounters
106010776,Other Languages,Middle Eastern Languages,Pashto,43,
106010776,Other Languages,Middle Eastern Languages,Hebrew,1,1 indicates <30 encounters
106010776,Other Languages,Middle Eastern Languages,Amharic,37,
106010776,Other Languages,Middle Eastern Languages,Arabic,496,
106010776,Other Languages,Middle Eastern Languages,Tigrinya,77,
106010776,Other Languages,Sign Languages,Sign Language,1,1 indicates <30 encounters
106010776,Spanish Language,Spanish Language,Spanish,"9,530",
106010844,Other Languages,Asian/Pacfic Islander Languages,Korean,1,1 indicates <30 encounters
106010844,Other Languages,Asian/Pacfic Islander Languages,Chinese,1,1 indicates <30 encounters
106010844,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,1,1 indicates <30 encounters
106010844,Other Languages,Asian/Pacfic Islander Languages,Mandarin,1,1 indicates <30 encounters
106010844,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,1,1 indicates <30 encounters
106010844,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,1,1 indicates <30 encounters
106010844,English Language,English Language,English,"2,160",
106010844,Other Languages,European Languages,Russian,1,1 indicates <30 encounters
106010844,Other Languages,European Languages,French,1,1 indicates <30 encounters
106010844,Other Languages,Latin American Languages,Portuguese,1,1 indicates <30 encounters
106010844,Other Languages,Middle Eastern Languages,Farsi,1,1 indicates <30 encounters
106010844,Other Languages,Sign Languages,Sign Language,1,1 indicates <30 encounters
106010844,Spanish Language,Spanish Language,Spanish,50,
106010846,Other Languages,African Languages,Somali,1,1 indicates <30 encounters
106010846,Other Languages,African Languages,Swahili,1,1 indicates <30 encounters
106010846,Other Languages,African Languages,Yoruba,1,1 indicates <30 encounters
106010846,Other Languages,African Languages,Afrikaans,1,1 indicates <30 encounters
106010846,Other Languages,African Languages,Igbo,30,
106010846,Other Languages,Asian/Pacfic Islander Languages,Gujarati,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Mien; lu Mien,154,
106010846,Other Languages,Asian/Pacfic Islander Languages,Chinese,85,
106010846,Other Languages,Asian/Pacfic Islander Languages,Samoan,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Mongolian,102,
106010846,Other Languages,Asian/Pacfic Islander Languages,Fijian,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,121,
106010846,Other Languages,Asian/Pacfic Islander Languages,Hindi,77,
106010846,Other Languages,Asian/Pacfic Islander Languages,Mandarin,244,
106010846,Other Languages,Asian/Pacfic Islander Languages,Japanese,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Mon-Khmer,101,
106010846,Other Languages,Asian/Pacfic Islander Languages,Tonga,41,
106010846,Other Languages,Asian/Pacfic Islander Languages,Thai,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Lao,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Malayalam,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Filipino,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Nepali,55,
106010846,Other Languages,Asian/Pacfic Islander Languages,Marathi,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Telugu,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Bengali,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Tagalog,310,
106010846,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,"1,042",
106010846,Other Languages,Asian/Pacfic Islander Languages,Urdu,1,1 indicates <30 encounters
106010846,Other Languages,Asian/Pacfic Islander Languages,Korean,69,
106010846,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,588,
106010846,English Language,English Language,English,"62,900",
106010846,Other Languages,European Languages,Bulgarian,1,1 indicates <30 encounters
106010846,Other Languages,European Languages,Hungarian,1,1 indicates <30 encounters
106010846,Other Languages,European Languages,Italian,1,1 indicates <30 encounters
106010846,Other Languages,European Languages,Croatian,1,1 indicates <30 encounters
106010846,Other Languages,European Languages,Albanian,1,1 indicates <30 encounters
106010846,Other Languages,European Languages,French,65,
106010846,Other Languages,European Languages,Polish,1,1 indicates <30 encounters
106010846,Other Languages,European Languages,Catalan,1,1 indicates <30 encounters
106010846,Other Languages,European Languages,Bosnian,1,1 indicates <30 encounters
106010846,Other Languages,European Languages,Romanian,1,1 indicates <30 encounters
106010846,Other Languages,European Languages,Russian,39,
106010846,Other Languages,Latin American Languages,Portuguese,68,
106010846,Other Languages,Middle Eastern Languages,Arabic,634,
106010846,Other Languages,Middle Eastern Languages,Persian,52,
106010846,Other Languages,Middle Eastern Languages,Pashto,72,
106010846,Other Languages,Middle Eastern Languages,Farsi,117,
106010846,Other Languages,Middle Eastern Languages,Tigrinya,343,
106010846,Other Languages,Middle Eastern Languages,Amharic,174,
106010846,Other Languages,Middle Eastern Languages,Armenian,1,1 indicates <30 encounters
106010846,Other Languages,Middle Eastern Languages,Turkish,1,1 indicates <30 encounters
106010846,Other Languages,Sign Languages,Sign Language,1,1 indicates <30 encounters
106010846,Spanish Language,Spanish Language,Spanish,"19,320",
106010887,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,1,1 indicates <30 encounters
106010887,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,1,1 indicates <30 encounters
106010887,Other Languages,Asian/Pacfic Islander Languages,Chinese,1,1 indicates <30 encounters
106010887,Other Languages,Asian/Pacfic Islander Languages,Tagalog,1,1 indicates <30 encounters
106010887,Other Languages,Asian/Pacfic Islander Languages,Mandarin,1,1 indicates <30 encounters
106010887,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,1,1 indicates <30 encounters
106010887,Other Languages,Asian/Pacfic Islander Languages,Lao,1,1 indicates <30 encounters
106010887,Other Languages,Asian/Pacfic Islander Languages,Korean,1,1 indicates <30 encounters
106010887,English Language,English Language,English,430,
106010887,Other Languages,European Languages,Polish,1,1 indicates <30 encounters
106010887,Other Languages,Middle Eastern Languages,Farsi,1,1 indicates <30 encounters
106010887,Spanish Language,Spanish Language,Spanish,10,
106010937,Other Languages,African Languages,Somali,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Mandarin,323,
106010937,Other Languages,Asian/Pacfic Islander Languages,Hindi,33,
106010937,Other Languages,Asian/Pacfic Islander Languages,Nepali,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,540,
106010937,Other Languages,Asian/Pacfic Islander Languages,Hmong,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Chinese,57,
106010937,Other Languages,Asian/Pacfic Islander Languages,Burmese,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Tonga,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Urdu,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Samoan,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Thai,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Ilocano; Iloko,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,"1,969",
106010937,Other Languages,Asian/Pacfic Islander Languages,Mien; lu Mien,59,
106010937,Other Languages,Asian/Pacfic Islander Languages,Korean,137,
106010937,Other Languages,Asian/Pacfic Islander Languages,Mongolian,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,33,
106010937,Other Languages,Asian/Pacfic Islander Languages,Mon-Khmer,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Gujarati,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Bengali,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Indonesian,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Japanese,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Telugu,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Marathi,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Lao,1,1 indicates <30 encounters
106010937,Other Languages,Asian/Pacfic Islander Languages,Tagalog,78,
106010937,English Language,English Language,English,"38,960",
106010937,Other Languages,European Languages,Polish,1,1 indicates <30 encounters
106010937,Other Languages,European Languages,Romanian,1,1 indicates <30 encounters
106010937,Other Languages,European Languages,Bosnian,1,1 indicates <30 encounters
106010937,Other Languages,European Languages,Croatian,1,1 indicates <30 encounters
106010937,Other Languages,European Languages,Italian,1,1 indicates <30 encounters
106010937,Other Languages,European Languages,Bulgarian,1,1 indicates <30 encounters
106010937,Other Languages,European Languages,Danish,1,1 indicates <30 encounters
106010937,Other Languages,European Languages,French,1,1 indicates <30 encounters
106010937,Other Languages,European Languages,Finnish,1,1 indicates <30 encounters
106010937,Other Languages,European Languages,Russian,32,
106010937,Other Languages,Latin American Languages,Portuguese,1,1 indicates <30 encounters
106010937,Other Languages,Middle Eastern Languages,Amharic,1,1 indicates <30 encounters
106010937,Other Languages,Middle Eastern Languages,Armenian,1,1 indicates <30 encounters
106010937,Other Languages,Middle Eastern Languages,Persian,1,1 indicates <30 encounters
106010937,Other Languages,Middle Eastern Languages,Turkish,1,1 indicates <30 encounters
106010937,Other Languages,Middle Eastern Languages,Tigrinya,54,
106010937,Other Languages,Middle Eastern Languages,Pashto,1,1 indicates <30 encounters
106010937,Other Languages,Middle Eastern Languages,Farsi,1,1 indicates <30 encounters
106010937,Other Languages,Middle Eastern Languages,Arabic,224,
106010937,Other Languages,Sign Languages,Sign Language,1,1 indicates <30 encounters
106010937,Spanish Language,Spanish Language,Spanish,"1,730",
106010967,Other Languages,African Languages,Somali,1,1 indicates <30 encounters
106010967,Other Languages,African Languages,Afrikaans,1,1 indicates <30 encounters
106010967,Other Languages,African Languages,Igbo,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Samoan,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Urdu,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Gujarati,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Tonga,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Telugu,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Hindi,209,
106010967,Other Languages,Asian/Pacfic Islander Languages,Chinese,50,
106010967,Other Languages,Asian/Pacfic Islander Languages,Bengali,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Mandarin,105,
106010967,Other Languages,Asian/Pacfic Islander Languages,Korean,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Fijian,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Tagalog,399,
106010967,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,224,
106010967,Other Languages,Asian/Pacfic Islander Languages,Marathi,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Nepali,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,267,
106010967,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,98,
106010967,Other Languages,Asian/Pacfic Islander Languages,Burmese,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Japanese,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Ilocano; Iloko,1,1 indicates <30 encounters
106010967,Other Languages,Asian/Pacfic Islander Languages,Thai,1,1 indicates <30 encounters
106010967,English Language,English Language,English,"16,270",
106010967,Other Languages,European Languages,Albanian,1,1 indicates <30 encounters
106010967,Other Languages,European Languages,German,1,1 indicates <30 encounters
106010967,Other Languages,European Languages,Greek,1,1 indicates <30 encounters
106010967,Other Languages,European Languages,Romanian,1,1 indicates <30 encounters
106010967,Other Languages,European Languages,Dutch,1,1 indicates <30 encounters
106010967,Other Languages,European Languages,Russian,1,1 indicates <30 encounters
106010967,Other Languages,European Languages,French,1,1 indicates <30 encounters
106010967,Other Languages,European Languages,Bosnian,1,1 indicates <30 encounters
106010967,Other Languages,European Languages,Italian,1,1 indicates <30 encounters
106010967,Other Languages,Latin American Languages,Portuguese,1,1 indicates <30 encounters
106010967,Other Languages,Middle Eastern Languages,Arabic,54,
106010967,Other Languages,Middle Eastern Languages,Farsi,148,
106010967,Other Languages,Middle Eastern Languages,Amharic,1,1 indicates <30 encounters
106010967,Other Languages,Middle Eastern Languages,Hebrew,1,1 indicates <30 encounters
106010967,Other Languages,Middle Eastern Languages,Persian,38,
106010967,Other Languages,Middle Eastern Languages,Tigrinya,1,1 indicates <30 encounters
106010967,Other Languages,Middle Eastern Languages,Armenian,1,1 indicates <30 encounters
106010967,Other Languages,Middle Eastern Languages,Pashto,36,
106010967,Other Languages,Sign Languages,Sign Language,1,1 indicates <30 encounters
106010967,Spanish Language,Spanish Language,Spanish,"5,180",
106010987,Other Languages,African Languages,Somali,1,1 indicates <30 encounters
106010987,Other Languages,African Languages,Afrikaans,1,1 indicates <30 encounters
106010987,Other Languages,African Languages,Swahili,1,1 indicates <30 encounters
106010987,Other Languages,African Languages,Yoruba,1,1 indicates <30 encounters
106010987,Other Languages,Asian/Pacfic Islander Languages,Korean,59,
106010987,Other Languages,Asian/Pacfic Islander Languages,Burmese,1,1 indicates <30 encounters
106010987,Other Languages,Asian/Pacfic Islander Languages,Tonga,1,1 indicates <30 encounters
106010987,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,592,
106010987,Other Languages,Asian/Pacfic Islander Languages,Chinese,920,
106010987,Other Languages,Asian/Pacfic Islander Languages,Lao,1,1 indicates <30 encounters
106010987,Other Languages,Asian/Pacfic Islander Languages,Gujarati,50,
106010987,Other Languages,Asian/Pacfic Islander Languages,Hindi,301,
106010987,Other Languages,Asian/Pacfic Islander Languages,Japanese,1,1 indicates <30 encounters
106010987,Other Languages,Asian/Pacfic Islander Languages,Urdu,69,
106010987,Other Languages,Asian/Pacfic Islander Languages,Tagalog,327,
106010987,Other Languages,Asian/Pacfic Islander Languages,Indonesian,1,1 indicates <30 encounters
106010987,Other Languages,Asian/Pacfic Islander Languages,Thai,1,1 indicates <30 encounters
106010987,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,257,
106010987,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,301,
106010987,Other Languages,Asian/Pacfic Islander Languages,Ilocano; Iloko,1,1 indicates <30 encounters
106010987,Other Languages,Asian/Pacfic Islander Languages,Telugu,84,
106010987,Other Languages,Asian/Pacfic Islander Languages,Samoan,1,1 indicates <30 encounters
106010987,Other Languages,Asian/Pacfic Islander Languages,Nepali,1,1 indicates <30 encounters
106010987,English Language,English Language,English,"43,850",
106010987,Other Languages,European Languages,Romanian,33,
106010987,Other Languages,European Languages,German,1,1 indicates <30 encounters
106010987,Other Languages,European Languages,Swedish,1,1 indicates <30 encounters
106010987,Other Languages,European Languages,Italian,1,1 indicates <30 encounters
106010987,Other Languages,European Languages,Dutch,1,1 indicates <30 encounters
106010987,Other Languages,European Languages,Bulgarian,1,1 indicates <30 encounters
106010987,Other Languages,European Languages,French,1,1 indicates <30 encounters
106010987,Other Languages,European Languages,Russian,56,
106010987,Other Languages,European Languages,Croatian,1,1 indicates <30 encounters
106010987,Other Languages,Latin American Languages,Portuguese,32,
106010987,Other Languages,Middle Eastern Languages,Armenian,1,1 indicates <30 encounters
106010987,Other Languages,Middle Eastern Languages,Persian,1,1 indicates <30 encounters
106010987,Other Languages,Middle Eastern Languages,Arabic,68,
106010987,Other Languages,Middle Eastern Languages,Farsi,511,
106010987,Other Languages,Middle Eastern Languages,Pashto,1,1 indicates <30 encounters
106010987,Other Languages,Middle Eastern Languages,Turkish,1,1 indicates <30 encounters
106010987,Other Languages,Sign Languages,Sign Language,49,
106010987,Spanish Language,Spanish Language,Spanish,"2,210",
106013687,English Language,English Language,English,350,
106014034,Other Languages,Asian/Pacfic Islander Languages,Tagalog,1,1 indicates <30 encounters
106014034,Other Languages,Asian/Pacfic Islander Languages,Vietnamese,1,1 indicates <30 encounters
106014034,Other Languages,Asian/Pacfic Islander Languages,Chinese,1,1 indicates <30 encounters
106014034,English Language,English Language,English,"5,100",
106014034,Other Languages,European Languages,Polish,1,1 indicates <30 encounters
106014034,Spanish Language,Spanish Language,Spanish,30,
106014050,Other Languages,Asian/Pacfic Islander Languages,Korean,113,
106014050,Other Languages,Asian/Pacfic Islander Languages,Gujarati,30,
106014050,Other Languages,Asian/Pacfic Islander Languages,Mandarin,346,
106014050,Other Languages,Asian/Pacfic Islander Languages,Panjabi; Punjabi,133,
106014050,Other Languages,Asian/Pacfic Islander Languages,Cantonese; Yue Chinese,126,
106014050,Other Languages,Asian/Pacfic Islander Languages,Japanese,1,1 indicates <30 encounters
106014050,Other Languages,Asian/Pacfic Islander Languages,Hmong,1,1 indicates <30 encounters
106014050,Other Languages,Asian/Pacfic Islander Languages,Ilocano; Iloko,1,1 indicates <30 encounters
106014050,Other Languages,Asian/Pacfic Islander Languages,Telugu,48,
106014050,Other Languages,Asian/Pacfic Islander Languages,Lao,1,1 indicates <30 encounters
106014050,Other Languages,Asian/Pacfic Islander Languages,Tonga,1,1 indicates <30 encounters
106014050,Other Languages,Asian/Pacfic Islander Languages,Indonesian,1,1 indicates <30 encounters
106014050,Other Languages,Asian/Pacfic Islander Languages,Mon-Khmer,1,1 indicates <30 encounters
106014050,Other Languages,Asian/Pacfic Islander Languages,Urdu,1,1 indicates <30 encounters
106014050,Other Languages,Asian/Pacfic Islander Languages,Burmese,1,1 indicates <30 encounters
106014050,Other Languages,Asian/Pacfic Islander Languages,Hindi,153,
106014050,Other Languages,Asian/Pacfic Islander Languages,Tagalog,79,
106014050,Other Languages,Asian/Pacfic Islander Languages,Nepali,1,1 indicates <30 encounters
