OBJECTID,SMPOLY_COD,SURFM_POLY,DESCRIP,IMS_LEGEND,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
4455,A/S/SG,Alluv/Sand/Sand+Gravel,Alluvium overlying Sand overlying Sand and Gravel,Natural Postglacial,2.74150991,0.0042836,2882.48522327254,119420.020596176
4456,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,3.6229999,0.00566093,2921.93800196529,157817.85190239
4457,A/S/F,Alluv/Sand/Fines,Alluvium overlying Sand overlying Fines,Natural Postglacial,0.60797798,0.00094996,1220.39098739401,26483.4114431014
4458,W,Water,Water,Water,22.10099983,0.0345328,5621.04074667167,962719.045122414
4459,T,Till,Till,Till,458.84799194,0.71694999,20720.7792372262,19987430.3367929
4460,TT,Thick Till,Thick Till,Thick Till,85.3615036,0.133377,7899.01953184543,3718349.54194402
4461,SG,Sand+Gravel,Sand and Gravel,Coarse,44.57649993,0.06965079,7191.38382200205,1941753.99114203
4462,SG,Sand+Gravel,Sand and Gravel,Coarse,10.51700019,0.01643289,2541.13458033367,458121.89931857
4463,TT,Thick Till,Thick Till,Thick Till,44.52859878,0.06957589,5462.54311826085,1939665.85026991
4464,T,Till,Till,Till,3.0924201,0.00483191,1449.81506523428,134705.881009799
4465,TT,Thick Till,Thick Till,Thick Till,3153.2199707,4.9268999,168121.217413405,137354095.748853
4466,SG,Sand+Gravel,Sand and Gravel,Coarse,76.20829772,0.119075,9326.99217145447,3319632.83932728
4467,T,Till,Till,Till,13.2322998,0.0206755,4195.39455752862,576399.330712064
