OBJECTID,SMPOLY_COD,SURFM_POLY,DESCRIP,IMS_LEGEND,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
4703,A/SG/S,Alluv/Sand+Gravel/Sand,Alluvium overlying Sand and Gravel overlying Sand,Natural Postglacial,0.71842801,0.00112253,858.866664180586,31294.735990161
4704,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,16.78289985,0.0262233,6665.85533601342,731062.524451498
4705,SG,Sand+Gravel,Sand and Gravel,Coarse,57.05559921,0.0891494,7890.36684904886,2485342.7671428
4706,TT,Thick Till,Thick Till,Thick Till,44.28430175,0.06919419,5494.00919500917,1929025.43206575
4707,SG,Sand+Gravel,Sand and Gravel,Coarse,16.39109992,0.025611,6910.65205074763,713994.430820112
4708,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,35.58470153,0.0556011,6656.41996587919,1550070.00113421
4709,SW,Swamp,Swamp,Natural Postglacial,21.87330055,0.034177,6931.72285900046,952799.328767859
4710,W,Water,Water,Water,8.05101966,0.01257969,3644.79818572265,350702.519360186
4711,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,2.28793001,0.00357489,3202.37416091984,99661.9535749482
4712,TT,Thick Till,Thick Till,Thick Till,81.87329864,0.127927,8818.73509431494,3566402.86833254
4713,A/SG/S,Alluv/Sand+Gravel/Sand,Alluvium overlying Sand and Gravel overlying Sand,Natural Postglacial,0.67639297,0.00105685,1055.73059240831,29463.634860102
4714,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,0.303413,0.00047408,827.185555492646,13216.6606141189
4715,W,Water,Water,Water,41.52769851,0.064887,8808.66029633339,1808946.33316845
4716,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,10.34090042,0.01615759,9256.92169728616,450448.823773468
