OBJECTID,ID305B,MILES_SQUARE,CYCLE,NAME,MARINE_AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,SHELLFISH,IMPAIRED,SHAPE_Length,SHAPE_Area
130,CT-W2_022,0.704,2012,"LIS WB Shore - Cos Cob Harbor, Greenwich",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,51878.610272398,19617399.8734771
131,CT-E2_007,0.555,2012,"LIS EB Shore - Outer Mumford Cove, Groton",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,42387.1175579381,15466669.715972
132,CT-C2_014-SB,0.648,2012,"LIS CB Shore - Branford Harbor, Branford",Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,39633.5932930351,18071382.6259057
133,CT-E2_014,0.302,2012,"LIS EB Shore - Niantic Bay (West), East Lyme",Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,19211.1902304137,8425765.35875651
134,CT-E2_019-SB,0.423,2012,"LIS EB Shore - CT River Mouth (East), Old Lyme",Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,25957.4308062695,11805198.7569257
135,CT-W3_004,4.155,2012,"LIS WB Midshore - Shoal Point, Fairfield",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,47630.0906239215,115825404.328531
136,CT-W3_005,5.275,2012,"LIS WB Midshore - Southport Harbor, Fairfield",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,49068.2849829861,147055583.904747
137,CT-W2_020,0.54,2012,"LIS WB Shore - Stamford Harbor (West), Greenwich",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,41204.5776274016,15057898.790391
138,CT-W1_016-SB,0.31,2012,"LIS WB Inner - Holly Pond, Stamford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,24183.8112001606,8636172.14401663
139,CT-C3_008,8.379,2012,LIS CB Midshore - Branford,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,No,74542.1105805723,233581056.629101
140,CT-W3_002,8.083,2012,"LIS WB Midshore - Bridgeport Hbr, East, Bridgeport",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,64536.0880007159,225347723.977011
141,CT-W2_007,0.188,2012,"LIS WB Shore - Southport Harbor (West), Fairfield",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,13135.9202597682,5232367.32101178
142,CT-W2_015,0.342,2012,"LIS WB Shore - Fivemile River Estuary, Darien",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,28735.9965860973,9541387.1097162
143,CT-W2_002,0.458,2012,"LIS WB Shore - Long Beach, Stratford",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,28274.5769365464,12763318.7768585
144,CT-W2_001,0.409,2012,"LIS WB Shore - Lordship, Stratford",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,24865.6685676807,11399688.1549483
145,CT-C2_021,0.331,2012,"LIS CB Shore - Bayview, Milford",Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,No,21119.7716114179,9233692.73149634
146,CT-E3_009-SB,2.89,2012,"LIS EB Midshore - Old Saybrook, CT River",Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,40344.9720344878,80565918.5522197
147,CT-C2_001,0.244,2012,"LIS CB Shore - Westbrook Harbor (East), Westbrook",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,17052.081222719,6789121.2939572
148,CT-C3_002,3.619,2012,"LIS CB Midshore - Duck Island area, Clinton",Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,62265.2461081424,100894596.084832
149,CT-C2_007,0.482,2012,"LIS CB Shore - Madison Beaches (West), Madison",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,29157.8031399161,13432502.855896
150,CT-C3_004,5.554,2012,"LIS CB Midshore - Hammonasset Beach area, Madison",Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,51678.9367296096,154829705.902273
151,CT-C2_015-SB,0.731,2012,"LIS CB Shore - Pages Cove, Branford",Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,53869.8827086084,20383623.9586602
152,CT-C3_012-SB,3.83,2012,"LIS CB Midshore - Outer Branford Harbor, Branford",Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,51369.0710330299,106761879.51375
153,CT-E1_032,0.098,2012,"LIS EB Inner - Oyster River Area, Old Saybrook",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,60412.0746499596,2736394.59462016
154,CT-C1_001,0.182,2012,LIS CB Inner - Patchogue And Menunketesuck Rivers,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,88922.0596383363,5060668.84379386
155,CT-W3_012,2.101,2012,"LIS WB Midshore - Outer Stamford Harbor, Greenwich",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,32734.2928845522,58581899.7000808
156,CT-W3_011,2.404,2012,"LIS WB Midshore - Outer Westcott Cove, Stamford",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,43044.6330024422,67015564.9382567
157,CT-W2_019,0.524,2012,"LIS WB Shore - Stamford Harbor, Stamford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,31564.1899311003,14610225.5738029
158,CT-W1_012-SB,0.942,2012,"LIS WB Inner - Norwalk Harbor, Norwalk",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,70932.9240956982,26257497.2739537
159,CT-W1_013-SB,0.044,2012,"LIS WB Inner - Norwalk Hrbr (MarvinBeach), Norwalk",Not Supporting,Not Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,Yes,6714.80010757164,1224385.0279087
160,CT-W2_014,0.424,2012,"LIS WB Shore - Wilson Cove, Farm Creek, Norwalk",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,35997.9662772516,11825047.369786
161,CT-W1_015-SB,0.466,2012,"LIS WB Inner - Cove Harbor, Stamford",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,23122.7058252917,12977632.9430766
162,CT-E2_004,0.694,2012,"LIS EB Shore - Wilcox Cove (Mason Is.), Stonington",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,54533.486725476,19353840.7740419
163,CT-E3_003,2.853,2012,"LIS EB Midshore - Groton, Mystic River",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,51645.453069475,79549861.8470054
164,CT-W3_001,7.916,2012,"LIS WB Midshore - Lordship, Stratford",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,65137.7927317268,220692894.477064
165,CT-C3_011,8.152,2012,LIS CB Midshore - East Haven,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,102225.020796068,227275019.495257
166,CT-C3_006,8.364,2012,"LIS CB Midshore - Outer Guilford Harbor, Guilford",Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,71762.5629232049,233185039.502516
167,CT-C3_005,8.348,2012,LIS CB Midshore - Madison,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,No,68312.6893275045,232716733.104572
168,CT-C3_020,10.663,2012,"LIS CB Midshore - Milford Point, Milford",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,86565.9644430666,297277705.79631
169,CT-C3_017,8.095,2012,LIS CB Midshore - Milford,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,63748.8134522544,225669935.931587
170,CT-E3_007,2.93,2012,"LIS EB Midshore - East Lyme, Rocky Neck",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,53108.9529703063,81687630.5787037
171,CT-C3_019-I,0.573,2012,"LIS CB Midshore - Outer Silver Sand Beach, Milford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,17949.3805112461,15972018.4315758
172,CT-C3_018,11.311,2012,"LIS CB Midshore - Fort Trumbull, Milford",Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,Yes,79956.74412669,315335913.110471
173,CT-E3_005-SB,5.256,2012,"LIS EB Midshore - Waterford, Thames River",Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,Yes,76086.9683476362,146533706.576228
174,CT-C3_015-SB,4.561,2012,"LIS CB Midshore - New Haven Harbor, New Haven",Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,Yes,58465.9078673902,127144098.594887
175,CT-W3_014,2.007,2012,"LIS WB Midshore - Outer Captain Harbor, Greenwich",Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,Yes,31574.7271153362,55938224.128471
176,CT-E1_014-SB,1.994,2012,"LIS EB Inner - Thames River (Mouth), New London",Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,77299.9908392665,55590146.2484415
177,CT-E1_031-SB,2.13,2012,"LIS EB Inner - Connecticut River (upper), Chester",Not Assessed,Not Assessed,Not Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",Yes,199013.731953061,59371835.9432631
178,CT-W3_007,5.663,2012,"LIS WB Midshore - Offshore Norwalk Islands,Norwalk",Not Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,Yes,72857.8609507924,157887389.461176
179,CT-C2_008,0.481,2012,"LIS CB Shore - Guilford Harbor, Guilford",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,30583.7935870412,13396719.3609791
180,CT-C2_009,0.431,2012,"LIS CB Shore - Indian Cove, Guilford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,27051.9571774708,12027134.5781372
181,CT-W3_013,2.378,2012,"LIS WB Midshore - Outer Cos Cob Harbor, Greenwich",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,51319.5460962566,66295443.8295408
182,CT-C2_010,0.738,2012,"LIS CB Shore - Joshua Cove & Island Bay, Guilford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,46255.5490125715,20560688.9057505
183,CT-W2_012,0.258,2012,"LIS WB Shore - Outer Norwalk Harbor(East), Norwalk",Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,16017.9391514844,7185558.58465889
184,CT-W2_006,0.183,2012,"LIS WB Shore - Southport Harbor (East), Fairfield",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,12244.980140814,5101178.27439835
185,CT-W2_009,0.324,2012,"LIS WB Shore - Compo Cove, SISP, Westport",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,19624.6261910146,9031116.49476509
186,CT-W2_018,0.366,2012,"LIS WB Shore - Westcott Cove, Stamford",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,30453.3335210629,10212232.6800324
187,CT-E2_017,0.531,2012,"LIS EB Shore - Rocky Neck (Fourmile Rvr), Old Lyme",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,31440.7690128098,14794070.7502903
188,CT-E2_016,0.322,2012,"LIS EB Shore - Pattagansett River Mouth, East Lyme",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,45121.3071412189,8984828.84291954
189,CT-E3_006,6.179,2012,LIS EB Midshore - Niantic Bay,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,93975.6910231106,172264535.74846
190,CT-E2_010-SB,0.299,2012,"LIS EB Shore - Thames Rvr Mouth (West), New London",Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,Yes,21168.5586188872,8331928.8278657
191,CT-E2_011-SB,0.486,2012,"LIS EB Shore - Thames Rvr Mouth (West), Waterford",Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,Yes,29902.0785072294,13550986.3289529
192,CT-C1_014-SB,0.626,2012,"LIS CB Inner - Quinnipiac River (mouth), New Haven",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,102937.095714488,17449996.5570322
193,CT-W4_005,11.753,2012,LIS WB Offshore - Greenwich,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",Yes,84184.6248275376,327665922.222781
194,CT-W4_004,16.767,2012,LIS WB Offshore - Darien,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",Yes,90155.7593096468,467427831.506097
195,CT-W4_003,15.06,2012,LIS WB Offshore - Norwalk,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",Yes,101854.417648844,419842698.091694
196,CT-W4_002,26.403,2012,LIS WB Offshore - Fairfield,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",Yes,114464.039438385,736072765.605199
197,CT-W2_008,0.237,2012,"LIS WB Shore - Green Farms, Westport",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,15197.4134739193,6593467.73596213
198,CT-W3_015-I,3.422,2012,"LIS WB Midshore - Captain Harbor, Greenwich",Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,69674.4477115553,95395226.590069
199,CT-W2_021,1.244,2012,"LIS WB Shore - Greenwich Cove, Greenwich",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,90586.798712189,34669931.7429547
200,CT-C1_022,0.063,2012,"LIS CB Inner - West River (Upper), West Haven",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,29827.1772992521,1745288.91024107
201,CT-C4_002,27.166,2012,LIS CB Offshore - Guilford,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",No,113305.820724787,757340583.823764
202,CT-C4_003,35.333,2012,LIS CB Offshore - East Haven,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",No,136040.688437132,985019712.339838
203,CT-C4_005,24.248,2012,LIS CB Offshore - Milford,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",Yes,119197.018145473,675982496.327386
204,CT-C4_004,34.332,2012,LIS CB Offshore - West Haven,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",Yes,140024.546744534,957129656.186359
205,CT-W4_001,19.767,2012,LIS WB Offshore - Bridgeport,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",Yes,102427.967850485,551076187.852598
206,CT-E4_002,15.984,2012,LIS EB Offshore - East Lyme,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",No,92940.5870904589,445618163.202576
207,CT-E4_001,5.935,2012,LIS EB Offshore - Waterford,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",No,62268.5197071846,165456523.698928
208,CT-C1_006,0.151,2012,"LIS CB Inner - East and Neck Rivers, Guilford",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,89946.8589312529,4197796.13060644
209,CT-C1_023-SB,0.068,2012,"LIS CB Inner - Mill River (mouth), New Haven/Hamden",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,31263.3745932084,1903430.77629018
210,CT-E1_001-SB,0.12130433,2012,"LIS EB Inner - Pawcatuck River (01), Stonington",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,28848.0107731232,3381770.87224953
