OBJECTID,ID305B,MILES_SQUARE,CYCLE,NAME,MARINE_AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,SHELLFISH,IMPAIRED,SHAPE_Length,SHAPE_Area
30,CT-W2_010,0.419,2012,"LIS WB Shore - Compo Beach, Cedar Point, Westport",Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,25238.8473509162,11674163.2915251
31,CT-W3_006,9.69,2012,"LIS WB Midshore - Sherwood Point, Westport",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,75378.0956925817,270138236.835778
32,CT-C3_016,6.121,2012,LIS CB Midshore - West Haven,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,58735.5333781603,170639628.623612
33,CT-E3_010,4.409,2012,LIS EB Midshore - Old Saybrook,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,46023.1439721937,122902676.142884
34,CT-E3_008,3.517,2012,"LIS EB Midshore - Old Lyme, CT River",Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,47590.3354094752,98059104.4931676
35,CT-W1_011,0.189,2012,"LIS WB Inner - Saugatuck River, Westport",Not Assessed,Not Assessed,Fully Supporting,Not Assessed Harvesting for Direct Consumption,No,36982.8585532212,5261207.77923258
36,CT-C1_017,0.012,2012,"LIS CB Inner - Oyster River, Milford",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,13934.9533915806,345488.811060252
37,CT-C1_016,0.008,2012,"LIS CB Inner - Cove River, West Haven",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,8911.65684078344,227221.790537857
38,CT-E1_012,0.367,2012,"LIS EB Inner - Poquonuck River (Mouth), Groton",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,41045.3933202502,10219890.0639634
39,CT-E1_013,0.314,2012,"LIS EB Inner - Baker Cove, Groton",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,28487.1170411747,8764590.71257235
40,CT-E1_015-SB,3.316,2012,"LIS EB Inner - Thames River (middle), Ledyard",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,165470.097581137,92442236.0257599
41,CT-E1_020,1.305,2012,"LIS EB Inner - Niantic River (mouth), Niantic",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,68748.1940410612,36368783.0805891
42,CT-C1_019-SB,0.805,2012,"LIS CB Inner - Housatonic River (mouth), Milford",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,160562.942934892,22445868.1449313
43,CT-W1_001-SB,1.434,2012,"LIS WB Inner - Bridgeport Harbor, Bridgeport",Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,199178.427272333,39982017.9477789
44,CT-W1_018-SB,0.318,2012,"LIS WB Inner - Stamford Harbor (Inner), Stamford",Not Supporting,Insufficient Information,Fully Supporting,Not Assessed Commercial Harvesting where Authorized,Yes,49916.2431344272,8865824.75693325
45,CT-W1_009,0.036,2012,"LIS WB Inner - Grays Creek, Westport",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,14199.499641636,1006460.25132272
46,CT-E1_006,0.114,2012,"LIS EB Inner - Inner Quiambaug Cove, Stonington",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,20584.359403294,3165409.62045516
47,CT-W2_025,0.244,2012,"LIS WB Shore - Byram Harbor (West), Greenwich",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,15988.2271262258,6798537.85640908
48,CT-E2_009-SB,0.4,2012,"LIS EB Shore - Thames River Mouth (East), Groton",Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,Yes,25880.6998058798,11140365.3201878
49,CT-C2_018-SB,0.789,2012,"LIS CB Shore - New Haven Harbor (West), West Haven",Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,Yes,49849.2761494906,21992464.7755598
50,CT-C2_016-SB,0.371,2012,"LIS CB Shore - New Haven Harbor (East), East Haven",Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,No,27060.3126977167,10347314.3491744
51,CT-E1_010,0.113,2012,"LIS EB Inner - Palmer Cove (Inner), Groton",Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,17689.4423605944,3149840.36585975
52,CT-E1_029-SB,3.182,2012,"LIS EB Inner - Connecticut River (Lower), Essex",Not Assessed,Not Assessed,Not Supporting,Not Assessed Commercial Harvesting where Authorized,Yes,247663.829781432,88707618.375856
53,CT-C1_008,0.104,2012,"LIS CB Inner - Joshua Cove, Beattie Pond, Guilford",Not Assessed,Not Assessed,Fully Supporting,Not Assessed Harvesting for Direct Consumption,No,24560.9029499239,2905991.46438415
54,CT-E2_005,0.35,2012,"LIS EB Shore - Mouth Mystic River, Stonington",Fully Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,29178.2386357076,9744571.94522925
55,CT-E2_013,0.444,2012,"LIS EB Shore - Niantic Bay (East), Waterford",Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,27604.1661395995,12386349.3606052
56,CT-E4_005,6.07,2012,LIS EB Offshore - Westbrook,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",No,75530.3433872666,169230569.818359
57,CT-C3_003,2.524,2012,"LIS CB Midshore - Outer Clinton Harbor, Clinton",Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,Yes,38711.6403275611,70372699.9240908
