OBJECTID,ID,SURFACE_MATERIAL,MAINTENANCE_RESPONSIBILITY,WIDTH,COMMENTS,GLOBALID,PLAN_NUM,MAPNUM,DEEDBOOK,DEEDPAGE,TRAIL_NAME,ADDITION_TRAIL_NAME,TRAILOWNER,TRAILNAME,SOURCEDATE,SOURCETYPE,ADA,SIGNAGE,RESTRICTION,PARK_REGISTRY_ID,TRIRIGA_ID,SENSITIVE_RESOURCE,DIFFICULTY,STEPS,PARK_NAME,SUPERVISOR_DISTRICT,PLANNING_DISTRICT,MAINTENANCE_AREA,CreationDate,Creator,EditDate,Editor,Shape__Length
5064,802024,Asphalt,Fairfax County Park Authority,4.0,,3c85e667-2de9-4db9-8b13-e0a33b6ad3e6,,0532,,,Cub Run Pleasant Valley Connector,,,,2007/03/21 00:00:00+00,GPS,,,,61.0,PA61-TRL-A,, ,F,Cub Run Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,991.784141676055
5065,800781,Natural,Fairfax County Park Authority,4.0,,188dd187-778c-4014-b5ae-17e60b01a487,,0362,,,,,,,2007/03/09 00:00:00+00,GPS,,,,189.0,PA189-TRL-N,, ,F,Little Difficult Run Stream Valley,Sully,Upper Potomac,6,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,531.636103457265
5066,804522,Gravel,Fairfax County Park Authority,6.0,,04336ba3-1cfb-42c2-b971-caef8f3748d0,,0304,,,,,,,2007/04/20 00:00:00+00,GPS,,,,211.0,PA211-TRL-G,, ,F,Saucy Branch,Dranesville,McLean,1,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,87.8599856431341
5067,801889,Asphalt,Fairfax County Park Authority,6.0,,c7b126db-b2df-44b3-9069-0179ad96e1e9,,0542,,,,,,,2007/03/28 00:00:00+00,GPS,,,,77.0,PA77-TRL-W,, ,F,Ellanor C. Lawrence,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,36.3304785679941
5068,801637,Gravel,Fairfax County Park Authority,8.0,,16b58c6e-17c8-4503-ab38-a4384e033f3c,,0342,,,,,,,2007/03/19 00:00:00+00,GPS,,,,305.0,PA305-TRL-G,, ,F,Sully Historic Site,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,829.020924391805
5069,805238,Asphalt,Fairfax County Park Authority,8.0, ,9fb50896-5aee-41be-8812-c89867d514d5,,1071,,,,,,,2008/01/28 00:00:00+00,GPS,,,,392.0,PA392-TRL-A,,,F,Laurel Hill,Mount Vernon,Lower Potomac,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,124.093850585198
5070,805038,Asphalt,Fairfax County Park Authority,8.0,,c91508df-c708-4988-acef-1e6fca3fe585,,0981,,,,,,,2007/08/29 00:00:00+00,GPS,,,,47.0,PA47-TRL-A,, ,F,Chapel Acres,Mount Vernon,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,128.015279858693
5071,802929,Natural,Fairfax County Park Authority,6.0,,9950fe67-b8fb-4eda-a9ae-adb1f502a42f,,0781,,,,,,,2007/03/28 00:00:00+00,GPS,,,,279.0,PA279-TRL-N,, ,F,Royal Lake,Braddock,Pohick,4,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,204.024415510419
5072,801962,Gravel,Fairfax County Park Authority,8.0,,6ff22e02-fb40-4cb2-8674-d1fb2ee07699,,0534,,,Cub Run East Trail,,,,2007/03/20 00:00:00+00,GPS,,,,61.0,PA61-TRL-G,, ,F,Cub Run Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,1172.35940662446
5073,801695,Natural,Fairfax County Park Authority,8.0,,06ac859f-76d0-4363-97e9-72ce2504e7e5,,0651,,,Cub Run Lee Overlook Connector,,,,2007/03/27 00:00:00+00,GPS,,,,273.0,PA273-TRL-N,, ,F,Rocky Run Stream Valley,Sully,Bull Run,5,2023/10/29 11:04:47.889+00,FairfaxCounty,2023/10/29 11:04:47.889+00,FairfaxCounty,910.976541997893
