OBJECTID,COORD_SRC_TYPE,COORD_SRC2,DEF_FET_TYPE,DEF_FET2,ACCURACY_FT,GlobalID,ADMIN_ST,SHAPE_Length
4590,MAP,MAP,UNK,UNK,-1,{AE3C9077-282D-4610-8798-32ED3137234A},UT,1616.72322065843
4591,MAP,MAP,UNK,UNK,-1,{BBC7744D-F44A-407D-BC9B-DE3412D8BE77},UT,15569.9599835652
4592,MAP,MAP,UNK,UNK,-1,{E09AF9F4-54C1-42A5-868E-B8313B51862C},UT,1787.82543811971
4593,MAP,MAP,UNK,UNK,-1,{C1B27865-23A0-486D-919B-5A0FB9FD9D3F},UT,2749.70763270928
4594,MAP,MAP,UNK,UNK,-1,{9DB3295E-7EE2-42D9-8B04-84B1B8E109B8},UT,3332.54660755222
4595,MAP,MAP,UNK,UNK,-1,{00A0A5CE-3AE7-4977-A5E3-9463279EDB14},UT,2132.63707343772
4596,MAP,MAP,UNK,UNK,40,{118264FA-D71D-4625-A857-7B0CA789ECC7},UT,2604.38168025701
4597,MAP,MAP,UNK,UNK,40,{3D973497-514E-4E80-95AE-19261BBAABEC},UT,2495.58678546163
4598,MAP,MAP,UNK,UNK,40,{CA2E1C49-0350-444D-9B06-1D9F00BA3153},UT,8351.28158057952
4599,MAP,MAP,UNK,UNK,-1,{566FC509-2FC7-42CE-B718-B61A0C19F201},UT,5728.52155105513
4600,MAP,MAP,UNK,UNK,-1,{A8DC913B-DA02-4CBB-8259-948B8DBC0E16},UT,1088.15672628508
4601,MAP,MAP,UNK,UNK,-1,{F8412B27-19CD-4E77-9EA7-8D59AC3B0AD4},UT,1239.82496769671
4602,MAP,MAP,UNK,UNK,-1,{D0B5327B-BCF0-4293-89E8-8829912301C9},UT,564.901971914856
4603,MAP,MAP,UNK,UNK,-1,{A52D7B09-5D91-4E29-9E5B-607978647D4D},UT,836.871364554729
4604,MAP,MAP,UNK,UNK,-1,{9577EF45-418B-49E3-8880-D0B2B67870FE},UT,402.347341003699
4605,MAP,MAP,UNK,UNK,-1,{946DA11B-049D-4980-A001-8741F6F45FC2},UT,1830.89934705073
4606,MAP,MAP,UNK,UNK,-1,{4D03836E-F4F3-46C7-86B6-4712F3766D94},UT,936.774432754757
4607,MAP,MAP,UNK,UNK,40,{3D39A8FA-D822-40D4-AFA9-1872D832C209},UT,426.972513198236
4608,MAP,MAP,UNK,UNK,-1,{369633C3-A3D2-4EFA-9C5D-F9A19C9D7CCF},UT,7878.18812775337
4609,MAP,MAP,CONST_FEAT,FENCE,40,{27F7A4EF-2298-412C-A21E-CE5504768C24},UT,1014.06516088456
4610,MAP,MAP,UNK,UNK,-1,{302B730C-7CCA-4A89-8B72-3A9658EAF0F6},UT,3181.50785161684
4611,DEM,DEM,LANDFORM,RIM,40,{9131A3AF-D600-4676-9DE8-AC86ABB5B1AE},UT,13564.7041108387
4612,DEM,DEM,LANDFORM,RIM,40,{852D4039-BAC8-4DA1-B3B8-C05A540F8743},UT,12173.1344144063
4613,MAP,MAP,UNK,UNK,-1,{E3AA91B8-60AF-4BC6-9CE2-05FEE8BF0F64},UT,2964.50210549652
4614,MAP,MAP,UNK,UNK,-1,{B07122A0-FCC2-40AB-AC36-AFB23714356A},UT,7218.21371383496
4615,MAP,MAP,UNK,UNK,-1,{57E001F3-4940-46BE-B4C9-09E62C6F7EF3},UT,1969.53445842979
4616,DEM,DEM,LANDFORM,RIM,40,{D25E2D53-BA10-4338-BDEA-30D6ED8BA330},UT,245.434327820607
4617,DEM,DEM,LANDFORM,RIM,40,{A839707C-189F-408D-A8A2-350F94C4653A},UT,14599.5864792918
4618,MAP,MAP,UNK,UNK,-1,{3936DB19-0729-4FBB-9056-3E34C4CBED0C},UT,926.011921416498
4619,MAP,MAP,UNK,UNK,-1,{BAAC9328-C437-4AD7-93E6-708CECD265B0},UT,1840.53899414858
4620,MAP,MAP,UNK,UNK,-1,{C01373C8-79B8-4ED1-B718-39DEE5EA14CE},UT,1760.38475443495
4621,MAP,MAP,PLSS,PARCEL,167,{B14D9981-4386-4FB7-B3D3-F6DB0A730EA0},UT,45268.0078227902
4622,MAP,MAP,PLSS,PARCEL,167,{38DC4D0E-1EC3-45AE-8256-8B3A029B9F7D},UT,22756.5795692361
4623,MAP,MAP,UNK,UNK,-1,{B95D5F1D-D256-40D7-AB3E-77F33F6EAC05},UT,1521.11889117504
4624,MAP,MAP,UNK,UNK,-1,{C64E8C80-2D6B-4237-A3A5-A595F7405A36},UT,17147.2049067652
4625,MAP,MAP,UNK,UNK,-1,{290D4A8C-7F7D-454C-A0A8-124659378247},UT,6057.6675791508
4626,DEM,DEM,LANDFORM,RIM,40,{A3E22A44-7564-44A2-8F57-308D855E8707},UT,7423.44463367167
4627,DEM,DEM,LANDFORM,RIM,40,{A311F272-1DAE-457E-A725-D38B119E1E6E},UT,12077.406646777
4628,MAP,MAP,UNK,UNK,-1,{11AEBBD2-2AC0-44B0-A07B-1D677AEAFF48},UT,3785.93439729678
4629,MAP,MAP,UNK,UNK,-1,{F421036D-9CA8-4052-9C1E-247756EEDD14},UT,3367.63534795689
4630,MAP,MAP,UNK,UNK,40,{A15F8630-5852-463C-B4BA-CA860E53D800},UT,4909.07151078627
4631,MAP,MAP,UNK,UNK,-1,{109F48DA-769E-48FF-938F-0613BAF54FA0},UT,644.775589310058
4632,MAP,MAP,UNK,UNK,-1,{D7CEFFD1-4410-4FD7-A09F-ACC6D47B318B},UT,15532.9125607587
4633,MAP,MAP,UNK,UNK,-1,{20651613-1C3F-42F0-B915-29CE603897F4},UT,4001.45147623983
4634,MAP,MAP,UNK,UNK,-1,{3E9A6757-F7B0-4B0E-9F9D-ED801924E98F},UT,5378.64907764711
4635,MAP,MAP,UNK,UNK,-1,{F9F58790-939A-4403-8004-3844B43920B1},UT,7675.91397609032
4636,MAP,MAP,UNK,UNK,40,{D914E66D-44DC-4611-A036-8CC158F74CB0},UT,1252.52996869823
4637,MAP,MAP,UNK,UNK,-1,{948F11B2-E419-4A2F-921F-02B54F1F5862},UT,2110.03025556023
4638,MAP,MAP,UNK,UNK,-1,{7F6DBAD8-7AA8-42AA-9A06-F05E4D7AEBFE},UT,215.877358032793
4639,MAP,MAP,UNK,UNK,-1,{7C0B7757-0964-4CF3-BE01-B29C37660DB3},UT,12805.967415684
4640,MAP,MAP,UNK,UNK,-1,{998EEEA8-61CE-420A-9576-DFEEC326F742},UT,3065.63608518053
4641,UNK,UNK,UNK,UNK,40,{D24D07C4-B9AF-4399-A3C7-56BA4F470E6F},UT,27755.2053524873
4642,MAP,MAP,UNK,UNK,-1,{9698A085-F176-4117-9971-A6079825867F},UT,2281.33923854554
4643,MAP,MAP,UNK,UNK,-1,{C81B7ECE-1381-4A14-B211-D70BC866248D},UT,7557.70407956742
4644,MAP,MAP,UNK,UNK,-1,{A981FC90-36B1-40B6-9B6F-F64077D44950},UT,4027.42906303154
4645,MAP,MAP,UNK,UNK,-1,{6EC319A5-493D-4449-8FB0-85470482CD49},UT,4524.21412374727
4646,MAP,MAP,UNK,UNK,-1,{B304DF21-BC03-48BE-947A-5258E37B5528},UT,2433.43332453975
4647,MAP,MAP,UNK,UNK,-1,{9F831359-AFD9-4798-BB03-38ED9B521FCE},UT,5248.77831650642
4648,MAP,MAP,UNK,UNK,-1,{93590051-4E67-4C60-9B11-5A93FD3A23D1},UT,4885.36795210771
4649,MAP,MAP,UNK,UNK,-1,{C2E98F38-3A94-48E0-A35A-E1F3DEEE634A},UT,1128.29451193293
4650,MAP,MAP,UNK,UNK,-1,{B11B2258-D2F8-4DE7-8B2C-C5C96534F151},UT,4605.53162930839
4651,MAP,MAP,UNK,UNK,40,{FBD18C25-8084-4D38-A51C-F1AED1EDAE5E},UT,5014.33026988884
4652,MAP,MAP,UNK,UNK,-1,{C9A9EF3C-6E63-4B89-9E1A-36F160631F4F},UT,8782.48690434371
4653,UNK,UNK,UNK,UNK,40,{E7E16456-0660-48C0-B23A-37F1C08D4B80},UT,6514.98483124853
4654,DEM,DEM,LANDFORM,RIM,40,{C243554A-C13D-4131-B881-134E86BF71F7},UT,13941.0037774523
