X,Y,OBJECTID,FEATURE_TYPE,GlobalID
452721.07125,139870.723281249,64,Quarry,{EEA71A11-6165-48E9-9F13-1AD366C39F5F}
448255.05203125,149995.87328125,65,Quarry,{C3CF96D5-BDD4-49FA-9A57-3D3D9FEF068C}
447547.77453125,150771.396875,66,Quarry,{1B6080C5-80B1-45FE-9BE6-412472C4B7E7}
451981.5796875,145017.16359375,67,Quarry,{ECB10E45-F664-45B4-AAD1-35F5790C7E21}
435588.87390625,172676.712343751,68,Quarry,{82E67DA9-D6C5-480B-8888-F1EAB1A97672}
436608.36875,174623.618437501,69,Quarry,{910E5A80-8F48-4961-96D3-C348C9D0D436}
428843.148125,177168.55296875,70,Quarry,{4DFA590E-2302-4254-A1C6-9097CC239FA0}
435330.09484375,177385.606718751,71,Quarry,{14D76CBF-C3EC-4834-B0F1-5511BEB1D7A0}
434205.361875,187730.190312499,72,Quarry,{98867C1E-7B30-45BE-8F68-2C95394565F0}
433914.31265625,189397.557656251,73,Quarry,{CAA5F5DA-1D86-4EFA-B36E-C6318EF7DFAD}
437075.779375,169264.858593751,74,Quarry,{7E3E2775-53FC-4731-94BE-952B4CAAE3A4}
483314.65984375,110931.7459375,75,Quarry,{D2511DAD-C918-4D61-AE72-02DD4B48DC4A}
492530.65890625,108551.614062499,76,Quarry,{99E6BE27-06FF-43E7-BF4A-F9B805F7EA43}
491519.12515625,108259.551562499,77,Quarry,{E60FCFD4-AF50-49E4-98AF-934861EB47A6}
495832.390625,110269.262499999,78,Quarry,{1DEBE5E2-FB0A-46C7-905C-7F5E43213985}
498690.68609375,99840.4915625006,79,Quarry,{FBA93421-A354-477B-A8D5-C025492C2252}
499086.0390625,97356.1787500009,80,Quarry,{9553DAD8-466A-4936-9A8D-264DC5E50CFF}
499486.7346875,96875.3440624997,81,Quarry,{5C618862-15E1-4659-9D74-92DD7554988A}
499919.4859375,96918.0848437492,82,Quarry,{73E3C4D9-ED14-45FB-8A83-023F890309E9}
499630.98515625,99092.5262499992,83,Quarry,{E1094F87-F713-44FD-806F-53A6461FD568}
499427.9659375,100139.6775,84,Quarry,{C6500760-D369-41E0-8A30-C5244694CA67}
499497.41984375,96405.1943750009,85,Quarry,{1E39C110-CCB0-49B9-9453-7FA50E30FEE9}
499673.7259375,96159.4345312491,86,Quarry,{0F1A92D7-955D-4869-B5A2-10DB44C96D8B}
497948.06359375,92953.8695312496,87,Quarry,{D44D9278-9063-40F9-9C02-5FDCAD554127}
498306.01828125,93039.3512500003,88,Quarry,{48C92A44-0324-4A45-A952-0B20E5B649B2}
496639.12453125,92569.2018749993,89,Quarry,{9C88C5CD-4DB8-402F-B10D-036B2AFFCB64}
498808.2234375,91799.8662500009,90,Quarry,{BDABD0C8-55C4-4893-9E34-6F66013EDBAF}
498530.40796875,91997.5426562503,91,Quarry,{D1FBC2BD-959D-4CB4-A0D5-40F5FF383243}
497360.37671875,91666.3009374999,92,Quarry,{63C011DE-50D4-496E-9240-DF5A9BCEF6D3}
496056.7803125,90736.6871875003,93,Quarry,{66FCED28-5BA9-4873-8D14-5D1E277775A0}
493139.71625,84736.9382812493,94,Quarry,{4BD77A3F-4579-47E3-99B1-D8BF14438A28}
489325.0940625,86168.7573437504,95,Quarry,{25F69A05-22DE-4C24-B4A4-A815465D9008}
485339.5084375,85869.5712499991,96,Quarry,{5BE2F5B2-518A-4B21-B1F5-C2C7C1915BED}
485927.1953125,86029.8495312501,97,Quarry,{DA469DC6-B6F6-4612-A619-059B1E5ADF23}
484073.31015625,86243.5537500009,98,Quarry,{E2A56BF0-1512-4EF3-87C7-B7ED0EBBA1F9}
483827.5503125,86831.2406249996,99,Quarry,{ED0EEE8E-67C3-49D3-9133-B9FCEED3A2DC}
483474.938125,90763.4003125001,100,Quarry,{10AA8DE4-6E65-405F-B32E-08E1B6B33554}
482935.3346875,99883.2323437501,101,Quarry,{FA7DD1D0-C7B0-4475-888B-4F6B3A939756}
483512.33640625,103152.9084375,102,Quarry,{FFF5A8B2-D51A-478A-9632-8543BA17E736}
488614.5271875,99039.1003124993,103,Quarry,{24DAAB0C-E1FB-40E9-936A-70600D1124EF}
488416.850625,97500.4290625006,104,Quarry,{BCC3B7D5-99D9-4B6E-8B83-0425F49AACFF}
488812.20375,96650.9543750007,105,Quarry,{1D60EDF4-1E69-4801-988D-92CDDD92841F}
491339.25734375,98563.6081249993,106,Quarry,{669CB112-63FF-465C-8089-5F59DE4C01F8}
491627.758125,98216.3385937493,107,Quarry,{4C03A119-EE10-481F-8013-83F82AAD4689}
493528.539375,83580.2635937501,108,Quarry,{3F394D49-FD03-43CD-81EB-CF9E350F6557}
489118.9515625,85800.6715625003,109,Quarry,{FC5B029D-5D02-4813-B84D-6DC66CC861D6}
459661.2409375,36392.8848437499,110,Quarry,{E1122DBD-C392-4253-8CF9-DF227104325A}
470701.0590625,36557.2012499999,111,Quarry,{EB150924-4C19-49FA-AADE-4C42701E1CE0}
478123.3609375,29308.7426562496,112,Quarry,{2CAC4C35-1A02-4177-9568-9F019A562537}
442861.6765625,27465.2429687493,113,Quarry,{FDE164D2-4103-4AA3-A3C6-1B60DB27921D}
443383.15453125,27776.8314062506,114,Quarry,{3BE4B5F2-441F-4EF3-8396-BB39F58BDCAB}
442933.89171875,27740.0403125007,115,Quarry,{63023D98-F5D6-46F5-B2EC-C6E3EA85033E}
430486.37234375,136280.701874999,116,Quarry,{E5349DF9-5221-4267-9E55-F240665B0646}
430246.229375,136355.97046875,117,Quarry,{6198E911-F99D-4544-A7E6-6EEF5CDE5143}
434930.45625,126087.322968749,118,Quarry,{91C9589D-DA3C-41F2-86FE-6949AA3BC873}
436090.15203125,123774.303593749,119,Quarry,{1305D2B6-242B-40A2-A480-6C2BBDAB383D}
433273.748125,127616.591875,120,Quarry,{E8904F5A-1428-4E4F-9FAB-B501178BAF05}
433700.66921875,126947.53671875,121,Quarry,{51BD3123-3EC4-4BB7-9C49-75EB54D37835}
426506.73296875,119861.92375,122,Quarry,{D7FC251E-4CE0-4B8F-A86D-20B7C6CD4BE4}
427022.86125,129948.727187499,123,Quarry,{1DDDB72F-D536-4C9F-A5DC-67D374678D7D}
426895.42203125,130350.1603125,124,Quarry,{C4658932-C195-477B-A5A3-97DE16402A72}
439094.230625,124918.886093751,125,Quarry,{8D4BB078-3072-4F33-BBBD-7DAABA7547C6}
437778.0028125,56928.52734375,126,Quarry,{59224C32-1A0A-479C-9884-574000B5E686}
438499.0475,61652.0564062502,127,Quarry,{338013F5-0B62-40BC-A5CB-81D156EE1E49}
488402.08578125,55637.2659374997,128,Quarry,{D24B0E17-32EB-4313-9A9D-67125F7FFFA9}
486847.6240625,58170.3550000004,129,Quarry,{C4D9947F-F256-4902-BD51-58C863577046}
490871.4090625,56041.9145312496,130,Quarry,{0F80E4A7-4F1C-4DB5-BDD5-4A2EC612EDCB}
498472.0359375,60615.9629687499,131,Quarry,{76BB61B2-0A8E-46EA-B7EA-1108974C7AA5}
499168.08671875,63735.7623437494,132,Quarry,{7D9D9297-968B-4C9B-8312-8929D84356AB}
499441.5353125,65103.0051562507,133,Quarry,{C493BBB9-33EA-4ECB-BE84-E49F415F94DE}
499391.81734375,65233.5146875009,134,Quarry,{A61AD5F2-6176-40A0-96D0-E24BE278A2E5}
497061.28984375,66743.6965625007,135,Quarry,{DB28729E-724A-4B0C-A3A1-997BE44EA721}
498304.23796875,69863.4959375001,136,Quarry,{9139B420-A485-4704-A63A-A23F337889C6}
495607.04078125,73468.0449999999,137,Quarry,{527CDB76-CA52-463E-9478-8266F4FB6535}
495209.2975,73151.0931250006,138,Quarry,{14F35CF0-FE69-418D-9D29-2CCD544EC820}
499286.166875,78042.0934375003,139,Quarry,{7781F69A-1E6C-46EA-80CF-FF111B6CFA3D}
496663.5465625,80453.4124999996,140,Quarry,{AE8F3FCD-0AB8-41F5-9F79-522FBF8DAEF9}
494743.19203125,82317.8345312495,141,Quarry,{CC0A1D9B-A198-4381-87C5-68BFE0007AAF}
492182.71921875,79073.7403124999,142,Quarry,{1F8EC52D-8CCB-422D-B486-92B678F3A3E1}
480681.70796875,64032.7485937495,143,Quarry,{EB801B2C-88B4-417F-ABD0-8D6CCF7B697D}
493036.61078125,76120.4175000004,144,Quarry,{20E528B1-EAF0-402E-A028-88188D2F3906}
493372.20671875,76437.3692187499,145,Quarry,{D2807506-2215-4FF0-BD87-5EA1E6FFA1EA}
493403.28046875,76623.8114062492,146,Quarry,{AF3D2AFC-B340-4ED4-B8D8-67A60848F51A}
482214.418125,78878.7909375001,147,Quarry,{BB5E7839-A3C0-4ABC-9240-98DDD33318CF}
481369.15984375,63964.2012499999,148,Quarry,{6C4DE593-DC83-49D0-B365-9D98733578BB}
483257.83390625,63421.0790624991,149,Quarry,{4258347F-547C-4601-997B-20402830A7B6}
438713.15046875,276850.6853125,150,Quarry,{0478083A-8160-4ACC-88E6-FCD7FAE97041}
436596.47953125,267226.888125001,151,Quarry,{D92F2F88-3185-4A81-9CF6-F4D4700C7D1F}
433061.6390625,266217.941875,152,Quarry,{F545D181-11F7-4DB3-9959-996825E0437F}
433030.7709375,264907.810625,153,Quarry,{058A998D-FA9D-43EA-8DB3-E1D31E7742ED}
433062.52109375,265093.019375,154,Quarry,{7415D94E-BE2D-4F41-A977-F2CDFAC23CF8}
434340.46109375,262330.76390625,155,Quarry,{845D780C-5009-4C8A-B65D-0B7EC72BA415}
431938.0396875,260944.344374999,156,Quarry,{980B8D3A-CE91-4930-B5C0-533C73056F1F}
432197.331875,259766.946249999,157,Quarry,{6B8990B0-680B-45C8-8418-B7EE84A9401B}
440103.2609375,263859.911562501,158,Quarry,{705632E5-D0D8-4C9D-A875-923EFAFA6A2A}
439284.66484375,273762.608124999,159,Quarry,{6D342E9F-6C27-4F89-B4F1-8203EADDC351}
439361.6265625,273634.44921875,160,Quarry,{AF95A931-C364-4E75-9DB0-BB5269CCBF24}
439759.32546875,272098.32828125,161,Quarry,{D413184E-44A1-4CD7-BAB9-B1F4EE043220}
438885.738125,225428.090781249,162,Quarry,{0DC277CD-5EB3-427C-9A25-E1FE11F3D4BD}
436495.6809375,235406.7809375,163,Quarry,{09640B80-B4E6-4F01-B4EE-89B72ADDCD9F}
433908.4640625,243611.0346875,164,Quarry,{E20ADF7B-0E3A-406D-B198-5B8A05F16B11}
434037.22140625,243458.135468749,165,Quarry,{B2FACF1F-B5BC-422D-8DA5-7638E6586EFC}
451943.981875,85269.9623437505,166,Quarry,{75E0F710-8010-42B9-B720-0DFB304D1C14}
450998.8265625,85179.2276562508,167,Quarry,{4EC60664-B722-49C4-94D4-C69741A1399E}
450805.29234375,85337.1106250007,168,Quarry,{C2D94683-D2D4-4BB7-A7D3-379EAD484465}
450917.3384375,85535.7378125004,169,Quarry,{490F4E9E-6705-4FCD-A654-826FAFB41423}
450326.5503125,85657.9698437508,170,Quarry,{ED33C4BB-F616-4E73-8692-A6C79C40E2B6}
