Facilty_Number,Facility_Name,Address,Zip,Area_Number,Program_Code,Establishment_Type,Status,Score_Recent,DateRecent,Score2,Date2,Score3,Date3,ObjectId
35314,NEWBURG MIDDLE SCHOOL,4901 EXETER AVENUE,40218,27,635,SCHOOLS,ACTIVE,98,2023/04/17 00:00:00,98,2022/09/28 00:00:00,100,2022/02/17 00:00:00,29
29030,LOUISVILLE MANOR MOTEL,4600 DIXIE HWY,40216,23,620,HOTEL / MOTEL,ACTIVE,88,2023/04/05 00:00:00,90,2022/04/04 00:00:00,79,2021/03/16 00:00:00,30
79548,ECONOLODGE,9340 BLAIRWOOD RD,40222,29,620,HOTEL / MOTEL,ACTIVE,71,2023/03/14 00:00:00,50,2021/12/27 00:00:00,86,2019/12/19 00:00:00,31
103430,WINGATE BY WYNDHAM,12301 ALLIANT COURT,40299,22,620,HOTEL / MOTEL,ACTIVE,96,2023/04/07 00:00:00,88,2022/03/10 00:00:00,88,2021/03/02 00:00:00,32
93916,TRIUMPH TATTOO INC,964 BAXTER AVE,40204,28,634,TATTOO STUDIO,ACTIVE,97,2022/09/21 00:00:00,91,2021/03/05 00:00:00,100,2020/09/16 00:00:00,33
35316,NOE MIDDLE SCHOOL,121 W. LEE ST,40208,28,635,SCHOOLS,ACTIVE,98,2023/02/24 00:00:00,100,2022/10/04 00:00:00,96,2022/02/16 00:00:00,34
35453,ST. MATTHEWS ELEMENTARY SCHOOL,601 BROWNS LN,40207,29,635,SCHOOLS,ACTIVE,98,2023/04/21 00:00:00,96,2022/11/10 00:00:00,100,2022/03/11 00:00:00,35
79634,IROQUOIS MOBILE HOME PARK,4412 TAYLOR BLVD,40215,24,625,MOBILE HOME / REC. VEHICLE PARK,ACTIVE,90,2022/10/27 00:00:00,88,2021/12/22 00:00:00,80,2020/06/15 00:00:00,36
29032,ECONO LODGE,401 S. 2ND ST,40202,24,620,HOTEL / MOTEL,ACTIVE,77,2023/03/02 00:00:00,86,2022/08/31 00:00:00,91,2021/09/17 00:00:00,37
93917,COMFORT SUITES,1850 RESOURCE WAY,40299,22,620,HOTEL / MOTEL,ACTIVE,80,2023/04/07 00:00:00,79,2022/04/07 00:00:00,89,2021/03/09 00:00:00,38
103533,MAMA TRIED,1052 BARDSTOWN RD,40204,28,634,TATTOO STUDIO,ACTIVE,100,2023/02/13 00:00:00,100,2022/10/03 00:00:00,100,2021/12/29 00:00:00,39
35317,NORTON ELEMENTARY SCHOOL,8101 BROWNSBORO RD,40222,21,635,SCHOOLS,ACTIVE,100,2023/04/10 00:00:00,100,2022/12/16 00:00:00,89,2022/04/27 00:00:00,40
79635,"BROWN HOTEL, THE",335 W BROADWAY,40202,28,620,HOTEL / MOTEL,ACTIVE,92,2023/02/02 00:00:00,96,2022/01/06 00:00:00,90,2019/12/27 00:00:00,41
