X,Y,OBJECTID,NAME,ADDRESS,DIVISION,SOCCER,OVERLAPPIN,E_SURFACE,E_LIGHTS,PMAID,LOCID,AMWO_ID,RES1,RES2,GLOBALID,GIS_CREATOR,GIS_CRT_DT,GIS_EDITOR,GIS_EDT_DT,SDQL
1280276.00005947,231872.015711978,1107,Washington Park,1017 Lake Washinton Blvd E,Central,1,Y,Synthetic,Yes,4486.0,,,3- Sched,,{F965C53D-84C1-42F4-ADC5-6B7399F74D55},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1275565.87496531,250549.093843311,1108,Roosevelt HS,1410 NE 66th St,SSD,1,Y,Synthetic,No,,,,1- Sched,,{AD8B3CC0-B2AB-4461-AA71-530F4D856563},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1279319.50000398,253194.453053892,1109,Dahl PF,7700 25th Ave NE,North,1,Y,Grass,Yes,499.0,,,7- Sched,,{5882F4D4-0D5B-4727-A547-5A78F8A8ADB4},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1256447.12514514,243338.968827888,1110,Lawton Park,4005 27th Ave W,Central,1,N,Grass,No,316.0,,,1- Sched,,{64A538E5-0D26-4351-AE0C-D02D8704D7D5},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1264144.87484147,235488.437612981,1111,West Queen Anne PF,1901 1st Ave W,Central,1,Y,Grass,Yes,330.0,,,4- Sched,,{0A0B241C-C912-401A-9B72-19E01755723D},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1276600.62486431,237693.015552893,1112,Montlake PF,1618 E Calhoun St,Central,1,Y,Synthetic,No,376.0,,,1- Sched,,{7599C3F5-D596-4821-B7FC-A1681F5F46EA},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1263472.50020197,248023.203225806,1113,West Woodland ES,5634 5th Ave NE,SSD,1,Y,Grass,No,,,,1,,{C9E20E7F-826C-466C-85BC-0944A1F20A9B},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1278026.7499648,267683.250191733,1114,Olympic Hills ES,13018 20th Ave NE,SSD,1,Y,Grass,No,,,,,,{2F9D99F8-FFDD-4CBA-90B3-4D913FFB8DCA},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1267267.00015889,267641.062612057,1115,Bitter Lake PF,13030 N Park Ave N,North,1,N,Grass,Yes,288.0,,,3- Sched,,{BD5C99E5-805B-4B1F-81C1-49C916A0439C},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
1261363.88630897,195815.237103894,1116,SW Athletic Complex (SealthHS),8402 30th Ave SW,SSD,2,Y,Synthetic and Grass,Yes,,,,,,{9D4D3B92-0DB0-4518-986B-55856AFB2F3A},SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,SeattleParks_SeattleCityGIS,2023/11/20 20:59:08+00,QL-D3
