OBJECTID,NAMELSAD,Households_Total,Households_Total_Less_than__10_,Households_Total__10_000_to__14,Households_Total__15_000_to__24,Households_Total__25_000_to__34,Households_Total__35_000_to__49,Households_Total__50_000_to__74,Households_Total__75_000_to__99,Households_Total__100_000_to__1,Households_Total__150_000_to__1,Households_Total__200_000_or_mo,Households_Median_income__dolla,Households_Mean_income__dollars,Families_Total,Families_Total_Less_than__10_00,Families_Total__10_000_to__14_9,Families_Total__15_000_to__24_9,Families_Total__25_000_to__34_9,Families_Total__35_000_to__49_9,Families_Total__50_000_to__74_9,Families_Total__75_000_to__99_9,Families_Total__100_000_to__149,Families_Total__150_000_to__199,Families_Total__200_000_or_more,Families_Median_income__dollars,Families_Mean_income__dollars_,Marriedcouple_families_Total,Marriedcouple_families_Total_Le,Marriedcouple_families_Total__1,Marriedcouple_families_Total__2,Marriedcouple_families_Total__3,Marriedcouple_families_Total__4,Marriedcouple_families_Total__5,Marriedcouple_families_Total__7,Marriedcouple_families_Total__6,Marriedcouple_families_Total__8,Marriedcouple_families_Total__9,Marriedcouple_families_Median_i,Nonfamily_households_Total,Nonfamily_households_Total_Less,Nonfamily_households_Total__10_,Nonfamily_households_Total__15_,Nonfamily_households_Total__25_,Nonfamily_households_Total__35_,Nonfamily_households_Total__50_,Nonfamily_households_Total__75_,Nonfamily_households_Total__100,Nonfamily_households_Total__150,Nonfamily_households_Total__200,Nonfamily_households_Median_inc,Nonfamily_households_Mean_incom,City,Shape__Length_1,Shape__Area_1,Shape__Area,Shape__Length
57,Census Tract 3192.02,2051.0,20.2,4.6,12.9,12.0,17.0,15.6,12.3,4.6,0.5,0.2,35194.0,41186.0,536.0,2.2,4.5,31.5,11.0,6.9,6.2,24.8,11.9,0.0,0.9,38611.0,54280.0,260.0,4.6,0.0,29.6,9.2,7.3,2.7,36.9,7.7,0.0,1.9,,1515.0,26.6,4.7,9.4,12.4,20.4,15.8,8.7,1.3,0.7,0.0,32425.0,34979.0,Tempe,,,14259437.4465942,16089.584551552
58,Census Tract 3197.05,1410.0,6.0,1.3,3.8,7.2,20.1,17.3,19.2,17.7,4.1,3.3,63019.0,75604.0,883.0,5.8,1.2,2.8,6.6,23.2,20.3,8.8,21.7,6.5,3.1,58393.0,77269.0,455.0,0.0,0.0,0.0,10.3,27.0,11.4,10.8,26.2,8.4,5.9,75917.0,527.0,6.5,1.5,8.5,8.2,11.6,27.5,22.8,11.4,2.1,0.0,60729.0,64534.0,Tempe,,,41369830.5723267,26004.0098039657
59,Census Tract 3197.06,1896.0,7.0,3.5,11.9,4.3,17.1,30.6,11.1,8.2,3.3,3.0,56037.0,63413.0,846.0,5.8,3.0,7.3,4.5,19.4,25.9,20.1,8.6,2.0,3.4,60385.0,70141.0,456.0,0.0,0.0,2.4,6.4,26.1,25.2,18.0,14.0,1.5,6.4,62308.0,1050.0,7.9,3.9,15.6,4.1,16.3,34.5,2.9,7.9,4.4,2.6,52054.0,57592.0,Tempe,,,14459750.9851074,16635.3238928591
60,Census Tract 3201,1782.0,8.5,1.0,7.9,5.8,10.3,19.7,11.3,16.6,12.5,6.5,71892.0,87307.0,457.0,0.0,2.2,6.1,2.8,10.7,12.7,23.2,16.2,14.0,12.0,91563.0,110042.0,270.0,0.0,0.0,4.8,0.0,0.0,10.4,25.6,17.4,21.5,20.4,146875.0,1325.0,11.5,0.5,8.5,6.9,13.2,20.9,9.3,12.8,11.9,4.5,56726.0,77218.0,Tempe,,,52850589.1242065,33373.8954536932
61,Census Tract 4213.03,1842.0,2.2,2.6,4.1,15.7,21.1,19.7,13.4,14.6,4.5,2.1,54722.0,70917.0,1275.0,3.2,1.9,1.9,18.0,22.2,14.7,17.5,15.6,2.0,3.1,53381.0,71457.0,728.0,0.0,0.0,1.4,12.1,15.7,15.1,23.5,26.0,3.4,2.9,86875.0,567.0,0.0,7.4,11.6,19.2,12.7,25.7,3.0,12.0,8.3,0.0,48281.0,63181.0,Mesa,,,19516901.6724854,21070.3220580596
62,Census Tract 3188,3641.0,7.9,3.2,11.8,14.1,16.2,19.5,11.5,9.9,3.4,2.6,44203.0,61763.0,1049.0,1.9,5.9,9.6,23.5,11.8,19.4,9.3,11.9,3.0,3.6,42341.0,62996.0,422.0,0.0,8.3,3.3,22.7,3.1,13.0,19.7,13.5,7.3,9.0,69615.0,2592.0,10.3,2.2,12.6,10.3,18.8,19.8,11.9,9.0,2.9,2.1,44406.0,60150.0,Tempe,,,28061243.8692017,21294.9264342438
63,Census Tract 3191.01,1427.0,32.7,8.5,10.7,17.0,19.5,5.8,2.4,1.5,0.0,2.0,23590.0,31971.0,194.0,16.5,0.0,6.2,22.2,33.5,15.5,0.0,6.2,0.0,0.0,38194.0,38452.0,49.0,0.0,0.0,24.5,28.6,0.0,22.4,0.0,24.5,0.0,0.0,,1233.0,36.0,9.8,11.4,16.1,16.5,4.3,2.8,0.7,0.0,2.4,20375.0,30521.0,Tempe,,,3558420.34759521,8618.28766779392
64,Census Tract 3189,2612.0,2.6,4.7,14.7,8.1,10.9,21.5,17.8,10.1,5.2,4.3,62463.0,72176.0,1014.0,2.9,2.6,11.4,7.6,12.3,25.7,13.2,11.5,3.6,9.1,63952.0,81435.0,610.0,0.0,1.8,12.6,3.0,8.4,26.2,14.4,12.5,6.1,15.1,65735.0,1598.0,4.3,6.1,14.9,10.5,12.0,18.3,19.6,7.7,5.4,1.3,53425.0,63444.0,Tempe,,,27863090.6742554,21120.8784451795
65,Census Tract 3194.03,1981.0,4.1,0.9,7.8,4.7,18.9,16.4,20.2,10.9,9.5,6.6,68961.0,86213.0,1124.0,0.8,1.6,0.0,8.5,20.4,10.4,21.4,15.5,14.5,7.0,89474.0,101632.0,744.0,0.0,1.5,0.0,1.5,17.9,13.8,25.1,13.3,16.3,10.6,93479.0,857.0,8.4,0.0,18.0,6.0,23.9,18.1,13.0,3.6,6.7,2.5,43527.0,57376.0,Tempe,,,28695696.3658447,21428.1552945873
66,Census Tract 3194.04,1514.0,3.6,2.0,1.8,10.2,6.0,17.0,13.3,21.1,14.8,10.2,86759.0,116530.0,718.0,7.8,0.0,0.0,1.0,5.2,13.8,14.8,30.4,19.6,7.5,112829.0,124222.0,601.0,1.5,0.0,0.0,1.2,4.8,13.1,16.0,32.4,23.5,7.5,115398.0,796.0,4.9,3.8,3.5,13.3,6.8,19.8,12.1,12.7,10.4,12.7,72017.0,107535.0,Tempe,,,19818610.7418823,20729.7530422729
67,Census Tract 3195,2616.0,2.4,1.1,4.8,3.1,13.5,19.6,10.4,30.1,8.6,6.5,84766.0,102980.0,1268.0,0.0,1.0,5.4,1.6,6.0,20.1,10.5,41.6,8.4,5.4,105462.0,119228.0,1022.0,0.0,0.0,6.7,2.0,6.2,17.2,10.8,43.2,8.9,5.2,106036.0,1348.0,4.7,1.1,4.3,4.5,20.5,22.8,7.6,19.6,8.6,6.2,63198.0,85216.0,Tempe,,,27725038.2188721,21070.4254080804
68,Census Tract 1112.04,1658.0,0.5,4.5,0.0,8.0,12.1,31.4,27.9,13.3,0.7,1.7,67443.0,77434.0,703.0,0.0,0.0,0.0,8.0,22.9,24.0,33.7,11.4,0.0,0.0,68843.0,71183.0,270.0,0.0,0.0,0.0,3.0,9.6,23.3,34.4,29.6,0.0,0.0,80938.0,955.0,0.8,7.7,0.0,10.8,14.2,33.9,13.5,14.8,1.2,3.0,57399.0,76272.0,Phoenix,,,71270799.9765015,36207.4091202163
69,Census Tract 4213.04,1763.0,4.4,0.0,9.2,23.0,17.8,19.2,11.7,14.6,0.0,0.0,44847.0,54908.0,811.0,6.2,0.0,10.6,20.2,12.9,27.5,18.1,4.4,0.0,0.0,50156.0,51403.0,271.0,0.0,0.0,22.9,9.6,0.0,12.2,42.1,13.3,0.0,0.0,85035.0,952.0,3.6,0.0,9.1,25.4,26.6,9.5,2.5,23.3,0.0,0.0,41778.0,55073.0,Mesa,,,25027101.8722534,23984.1237799118
70,Census Tract 3190.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tempe,,,10236764.3191528,13193.8513569214
71,Census Tract 4222.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesa,,,4310206.74432373,8947.99311228334
72,Census Tract 3197.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tempe,,,7492965.09368896,12189.8537979703
73,Census Tract 3197.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tempe,,,19411843.401123,18398.7377353055
