OBJECTID,OHIOCODE,ALT_OHIOCODE,NAME,OLD_NAME,Q100,SHAPE_Length,SHAPE_Area
3487,D343119,43119D3,Palomino Buttes,,A143119,0.500007572015904,0.0156254732188916
3488,D243119,43119D2,Weaver Lake,,A143119,0.500006359020957,0.0156253974738819
3489,D443119,43119D4,Moon Reservoir,,A143119,0.500006977024843,0.0156254381964563
3490,D143119,43119D1,Dog Mountain,,A143119,0.49999994900133,0.0156253258148976
3491,D543119,43119D5,Capehart Lake,,A143119,0.50000502902984,0.0156253143233315
3492,D643119,43119D6,Squaw Butte,,A143119,0.500005045032097,0.0156253153292237
3493,D143120,43120D1,Tired Horse Butte,,A143120,0.500008218062583,0.015625512961424
3494,D243120,43120D2,Chicago Valley,,A143120,0.50000321804973,0.0156252007571322
3495,D143123,43123D1,Hinkle Creek,,A143123,0.500012859970089,0.0156267702066442
3496,D743122,43122D7,Scaredman Creek,,A143122,0.500024794933141,0.0156265533047385
3497,D843122,43122D8,Harrington Creek,,A143122,0.500025390252208,0.0156268440292618
3498,D743120,43120D7,Hogback Butte,,A143120,0.500003165108278,0.0156251977977885
3499,D843120,43120D8,Cougar Mountain,,A143120,0.499974484068046,0.0156234050637971
3500,D243123,43123D2,Nonpareil,,A143123,0.500013471354954,0.0156266387089272
3501,D143121,43121D1,Cabin Lake,,A143121,0.500031937069087,0.0156269958423786
3502,D243121,43121D2,Hole In The Ground,,A143121,0.500005504104115,0.0156253439168795
3503,D343121,43121D3,Big Hole,,A143121,0.50000125806411,0.0156250786200362
3504,D443121,43121D4,Grass Well,,A143121,0.500000589027631,0.015625036804633
3505,D543124,43124D5,,,A143124,0.500010375778953,0.0156265799354148
3506,D543121,43121D5,Crescent NE,,A143121,0.499991813184025,0.0156244892784853
3507,D143122,43122D1,Cowhorn Mountain,,A143122,0.500006217069486,0.0156253903541913
3508,D843121,43121D8,Crescent Lake,,A143121,0.500000377022584,0.0156250235582929
3509,D743121,43121D7,Odell Butte,,A143121,0.499999856015513,0.0156249909645377
3510,D643123,43123D6,Kelly Butte,,A143123,0.500008174199916,0.0156260261230157
3511,D643121,43121D6,Crescent,,A143121,0.499992651124478,0.0156245407071146
3512,D243122,43122D2,Emigrant Butte,,A143122,0.500006670052407,0.0156254168717854
3513,D343122,43122D3,Rigdon Point,,A143122,0.500005983024566,0.0156253739710841
3514,D443122,43122D4,Staley Ridge,,A143122,0.500007045024113,0.0156254402749863
3515,D543122,43122D5,Reynolds Ridge,,A143122,0.500008177029198,0.0156255110632057
3516,D643122,43122D6,Chilcoot Mountain,,A143122,0.500008737043351,0.015625546064587
3517,D843124,43124D8,,,A143124,0.499928074539545,0.0156210924061976
3518,D343123,43123D3,Sutherlin,,A143123,0.500017067232076,0.0156260670620236
3519,D443123,43123D4,Tyee Mountain,,A143123,0.500016080249499,0.0156260050734891
3520,D443124,43124D4,,,A143124,0.500017365150745,0.015626085337695
3521,D343124,43124D3,Empire,,A143124,0.500017473108699,0.01562609201745
3522,D743123,43123D7,Ivers Peak,,A143123,0.499993567645147,0.015624598160817
3523,D543123,43123D5,Tyee,,A143123,0.500006908198434,0.0156254315644669
3524,D143124,43124D1,Allegany,,A143124,0.500028050384293,0.015626753729296
3525,D843123,43123D8,Golden Falls,,A143123,0.499964791148007,0.0156220780734929
3526,D243124,43124D2,North Bend,,A143124,0.499998509126299,0.0156249067487274
3527,D643124,43124D6,,,A143124,0.500009806047999,0.0156256128916319
3528,D743124,43124D7,,,A143124,0.500008581047668,0.0156255362300647
3529,C143116,43116C1,Orchard,,A143116,0.499921160415463,0.0156200721427155
3530,C243116,43116C2,Christmas Mountain,,A143116,0.500008200134078,0.0156255125048869
3531,C343116,43116C3,Coyote Butte,,A143116,0.500009005157874,0.0156255628184972
3532,C443116,43116C4,Initial Point,,A143116,0.50000862915442,0.0156255393175132
3533,C543116,43116C5,Walters Butte,,A143116,0.500009120180084,0.0156255700079988
3534,C643116,43116C6,Wilson Peak,,A143116,0.500009427180693,0.0156255891963121
3535,C343118,43118C3,Venator,,A143118,0.500005498014369,0.0156253436250948
3536,C243118,43118C2,Venator Reservoir,,A143118,0.50001124000316,0.0156257025009021
3537,C143118,43118C1,Stockade Mountain,,A143118,0.500011631544472,0.0156257269742692
3538,C543117,43117C5,Big Mud Flat,,A143117,0.500010006055801,0.0156256253803139
3539,C443117,43117C4,Diamond Butte,,A143117,0.500015628068109,0.0156259767600381
3540,C843117,43117C8,Crowley,,A143117,0.500010317549222,0.0156256437998636
3541,C643117,43117C6,Cedar Mountain,,A143117,0.500009120038632,0.0156255700038112
3542,C743117,43117C7,Burnt Flat,,A143117,0.500010223023125,0.0156256389407296
3543,C743116,43116C7,Soldier Cap,,A143116,0.500011983174746,0.0156257489441025
3544,C343117,43117C3,Rooster Comb,,A143117,0.500016720067017,0.0156260450131979
3545,C443118,43118C4,Circle Bar,,A143118,0.500005280019256,0.0156253300006041
3546,C243117,43117C2,Bannock Ridge,,A143117,0.500018704104886,0.0156261690132721
3547,C543118,43118C5,New Princeton,,A143118,0.500004360033994,0.0156252725019643
3548,C843116,43116C8,Piute Butte,,A143116,0.500033544484189,0.0156261045345001
3549,C143117,43117C1,Rockville,,A143117,0.499994640441796,0.0156256579696179
3550,C643118,43118C6,Malheur Lake East,,A143118,0.500005029043475,0.0156253143158308
3551,C743118,43118C7,Malheur Lake West,,A143118,0.500005371037917,0.0156253356895328
3552,C343119,43119C3,Stinking Lake,,A143119,0.50000746201385,0.0156254663686888
3553,C243119,43119C2,Northwest Harney Lake,,A143119,0.500006452018821,0.0156254032433208
3554,C843118,43118C8,The Narrows,,A143118,0.500035703410055,0.0156272304767313
3555,C443119,43119C4,Iron Mountain Flat,,A143119,0.500006873014751,0.0156254295547077
3556,C543119,43119C5,Lake on the Trail,,A143119,0.500004829030029,0.0156253018070096
3557,C143119,43119C1,Northeast Harney Lake,,A143119,0.499973904399089,0.0156233698308266
3558,C643119,43119C6,Alec Butte,,A143119,0.500004839032158,0.0156253024321422
3559,C743119,43119C7,Wagontire Mountain East,,A143119,0.500003629037313,0.0156252268083526
3560,C843119,43119C8,Wagontire Mountain West,,A143119,0.499999211910677,0.0156249506295736
3561,C143120,43120C1,Rams Butte,,A143120,0.49997949818822,0.0156237185494024
3562,C243120,43120C2,Elk Butte,,A143120,0.500002898045474,0.0156251811194803
3563,C343120,43120C3,Sand Rock,,A143120,0.500003447052223,0.0156252154301392
3564,C443120,43120C4,Fossil Lake,,A143120,0.500002909060877,0.0156251818042881
3565,C543120,43120C5,Christmas Lake,,A143120,0.500002766071556,0.0156251728647102
3566,C643120,43120C6,Crack In The Ground,,A143120,0.500001966086224,0.0156251228632758
3567,C743120,43120C7,Lane Lake,,A143120,0.500002955102155,0.0156251846723933
3568,C843120,43120C8,Schaub Lake,,A143120,0.499974275510248,0.0156233907143805
3569,C143121,43121C1,Fort Rock,,A143121,0.500032361541844,0.0156270223567223
3570,C243121,43121C2,McCarty Butte,,A143121,0.500005931134204,0.0156253706792238
3571,C343121,43121C3,Wickiup Spring,,A143121,0.500003850057264,0.0156252406158201
3572,C443121,43121C4,Stams Mountain,,A143121,0.500003126021219,0.0156251953628607
3573,C543121,43121C5,Sellers Marsh,,A143121,0.499996812015289,0.0156248007469845
3574,C643121,43121C6,Walker Mountain,,A143121,0.499997713020376,0.0156248570605261
3575,C143122,43122C1,Tolo Mountain,,A143122,0.499998297198789,0.015624894649993
3576,C843121,43121C8,Burn Butte,,A143121,0.500000686087055,0.0156250428616658
3577,C743121,43121C7,Muttonchop Butte,,A143121,0.499999268014989,0.0156249542463413
3578,C243122,43122C2,Lemolo Lake,,A143122,0.500006823059705,0.0156254264345553
3579,C843123,43123C8,Coos Mountain,,A143123,0.499993416513403,0.0156252264594055
3580,C343122,43122C3,Potter Mountain,,A143122,0.500006011031749,0.0156253756853322
3581,C443122,43122C4,Toketee Falls,,A143122,0.500007085031416,0.0156254428124577
3582,C543122,43122C5,Illahee Rock,,A143122,0.500007303032274,0.0156254564387324
3583,C643122,43122C6,Steamboat,,A143122,0.500007858046512,0.0156254911276062
3584,C743122,43122C7,Mace Mountain,,A143122,0.500009572056119,0.0156255982535671
3585,C843122,43122C8,Old Fairview,,A143122,0.499986727807329,0.0156241703142399
3586,C143123,43123C1,Glide,,A143123,0.500034237840408,0.0156271397132056
3587,C243123,43123C2,Oak Creek Valley,,A143123,0.500011406163634,0.0156257128833915
3588,C343123,43123C3,Winchester,,A143123,0.500016653220189,0.0156260408282074
3589,C443123,43123C4,Garden Valley,,A143123,0.500015646237569,0.0156259778874787
3590,C543123,43123C5,Callahan,,A143123,0.500008719200407,0.0156255449431193
3591,C643123,43123C6,Cedar Creek,,A143123,0.500009994135068,0.015625624632376
3592,C743123,43123C7,Tioga,,A143123,0.500014344084393,0.0156258965124534
3593,C143124,43124C1,Daniels Creek,,A143124,0.499993692973094,0.0156246054883713
3594,C243124,43124C2,Coos Bay,,A143124,0.500014989041156,0.0156259368232852
3595,C343124,43124C3,Charleston,,A143124,0.500012920046934,0.01562580750877
3596,C443124,43124C4,Cape Arago,,A143124,0.500012834046949,0.0156258021335631
3597,C543124,43124C5,,,A143124,0.500010297045724,0.0156256435677573
3598,C643124,43124C6,,,A143124,0.500009732047197,0.0156256082541754
3599,C743124,43124C7,,,A143124,0.500008650047006,0.0156255406278063
3600,C843124,43124C8,,,A143124,0.499939772276354,0.015621236999334
3601,B243116,43116B2,Big Foot Butte,,A143116,0.500007440075185,0.0156254650023601
3602,B143116,43116B1,Little Joe Butte,,A143116,0.499976940951358,0.0156235585816881
3603,B343116,43116B3,Wild Horse Butte,,A143116,0.500009725068367,0.0156256078157072
3604,B443116,43116B4,Sinker Butte,,A143116,0.500009973050173,0.0156256233154157
3605,B543116,43116B5,Murphy,,A143116,0.500009995065886,0.0156256246906062
3606,B143120,43120B1,Goodrich Well,,A143120,0.500018556990839,0.0156261597207462
3607,B843119,43119B8,Locust Butte,,A143119,0.500032251849365,0.0156270156752722
3608,B643116,43116B6,Reynolds,,A143116,0.500009486061463,0.0156255928763172
3609,B343118,43118B3,South Fork Reservoir,,A143118,0.50000502811691,0.0156253142522977
3610,B243118,43118B2,Duck Creek Butte,,A143118,0.500012245150468,0.0156257653100609
3611,B143118,43118B1,Dowell Butte,,A143118,0.499989568311598,0.0156243465574199
3612,B743116,43116B7,Rooster Comb Peak,,A143116,0.500010143040837,0.0156256339374033
3613,B443118,43118B4,Sand Gap,,A143118,0.500003554079048,0.0156252221246021
3614,B843117,43117B8,Mustang Butte,,A143117,0.500034683312925,0.0156271673375769
3615,B743117,43117B7,Sacramento Butte,,A143117,0.500010892183797,0.0156256807527422
3616,B643117,43117B6,Rinehart Canyon,,A143117,0.5000096042037,0.0156256002518725
3617,B543117,43117B5,The Hole in the Ground,,A143117,0.500009961242373,0.0156256225649099
3618,B543118,43118B5,Adobe Flat,,A143118,0.500001274064419,0.0156250796248807
3619,B443117,43117B4,Jordan Craters North,,A143117,0.500012542231174,0.0156257838763805
3620,B843116,43116B8,Captain Butte,,A143116,0.500031448236733,0.0156269657133754
3621,B343117,43117B3,McCain Creek,,A143117,0.500011634166529,0.0156257271245142
3622,B643118,43118B6,Barton Lake,,A143118,0.500000395047325,0.0156250246856216
3623,B143117,43117B1,Sheaville,,A143117,0.499992824249004,0.0156245489173336
3624,B243117,43117B2,Mahogany Gap,,A143117,0.500014800105914,0.0156259250012411
3625,B343119,43119B3,Hughet Spring,,A143119,0.500007440016747,0.0156254649937571
3626,B243119,43119B2,Southwest Harney Lake,,A143119,0.500005744019618,0.0156253589917259
3627,B743118,43118B7,Jackass Butte NE,,A143118,0.500001062024015,0.0156250663694031
3628,B443119,43119B4,Lunch Lake,,A143119,0.500007789016737,0.015625486807126
3629,B543119,43119B5,Wilson Butte,,A143119,0.500006011028563,0.0156253756845442
