ObjectId,Source_Name,Road,From_,To_,Classification,District,Lane_Miles
246,FY 15-16,Springdale Road,Wolf Pen Branch Rd,4441 Springdale Road,Primary Collector,16,1.928020566
247,FY 15-16,Stillmeadow Drive,Watterson Trail,Dead End,,11,0.229804471
248,FY 15-16,Stonewood Court,Ashfield Lane,Dead End,,18,2.360121134
249,FY 15-16,Strawberry Lane / Thalia Ave,Eiler Avenue,E. Kenwood Drive,Primary Collector,21,0.430071928
250,FY 15-16,Tazwell Drive,Murphy Lane,Accomack Drive,,17,0.233699462
251,FY 15-16,Trevilian Way,Tycoon Way,Dundee Road,Minor Arterial,"8, 10",1.148048609
252,FY 15-16,Washburn Ave,Columbia Avenue,New LaGrange Road,,7,1.947495521
253,FY 15-16,Whipps Mill,Millbrook Road,Gallant Fox Run Road,,18,6.774363169
254,FY 15-16,Windy Willow Court,,,,16,1.055542572
255,FY 15-16,Yorktown Road,Garrison Road,Dead End,,13,0.332859443
256,FY 16-17,Sealston Dr,Roseborough Rd,Dead End,Local,23,0.182696374
257,FY 16-17,Ziegler St,S Shelby St,Rawlings St,Local,15,0.180415357
258,FY 16-17,Bank St,Northwestern Pkwy,N 38th St,Minor Arterial,5,1.399785732
259,FY 16-17,Killinur Dr,Dead end,Dead End,Local,16,0.678004258
260,FY 16-17,Selinda Ave,Illinois Ave,Poplar Level Rd,Local,10,0.288687176
261,FY 16-17,Zorn Ave,River Rd,Hillcrest,Minor Arterial,9,4.119627061
262,FY 16-17,Bartlett Rd,Breckenridge Ln,Bartlett Ct,Local,10,0.446520872
263,FY 16-17,Kilmer Blvd,E Indian Trl,Garda Dr,Local,2,0.86773366
264,FY 16-17,Seneca Trl,Southside Dr,S 3rd St,Primary Collector,21,1.205714336
265,FY 17-18,12th St Connector,W Chestnut St,W Broadway,Primary Collector,4,1.164568415
266,FY 16-17,Bayonne Ct,Lethborough Dr,Dead End,Local,11,0.162168528
267,FY 16-17,Kings Falls Ct,Park Lake Dr,Dead End,Local,23,0.070370958
268,FY 16-17,Shady Villa Dr,Jeanine Dr,Poplar Level Rd,Local,2,1.040888971
269,FY 17-18,Accasia Dr,Sunflower Ave,Bayberry Dr,Local,1,0.192928861
270,FY 16-17,Bellewood Rd,Cedardale Rd,Cox Ave,Primary Collector,"17, 19",0.491831292
271,FY 16-17,Kirsch Way,Tin Dor Way,Callie Dr,Local,13,0.680822622
272,FY 16-17,Shaffer Ln,Billtown Rd,Seatonville Rd,Secondary Collector,22,1.280990021
273,FY 16-17,Shenandoah Dr,Chamberlain Ln,4615 Shenandoah,Local,17,2.142027663
274,FY 16-17,Shirewick Way,Ashby Ln,Moorewick Way,Local,14,0.415867813
275,FY 16-17,Shumake Ct,Unseld Blvd,Dead End,Local,2,0.19296725
276,FY 16-17,Silverleaf Dr,Ironwood Rd,Ilex Ave,Local,2,0.964476139
277,FY 16-17,Sinclair St,National Tpke,Gary Way,Local,13,0.994964761
278,FY 16-17,Southern Ave,S 38th St,Wilson Ave,Minor Arterial,"1,3",3.318750143
279,FY 16-17,Southern Pkwy,W Southern Heights Ave,New Cut Rd,,21,13.10042495
280,FY 16-17,Stanley Gault Pkwy,LaGrange Rd,Old Henry Rd,Local,19,3.070189183
281,FY 16-17,Startan Ct,Hillcreek Rd,Dead End,Local,11,0.201647222
282,FY 16-17,Stoltz Ct,Bluegrass Ave,Dead End,Local,15,0.160171492
283,FY 16-17,Stone Bluff Rd,S Watterson Trail,Dead End,Local,24,1.28501859
284,FY 16-17,Strader Ave,Taylor Blvd,Dead End,Local,15,1.27673096
285,FY 16-17,Sun Valley Dr,Valley Fair Way,Sun Way Dr,Local,14,0.473474568
286,FY 16-17,Sun Way Dr,Meihaus Way,Sunny Vale Way,Local,14,0.235358227
287,FY 16-17,Sunkist Way,Morning Star Way,Sunny Vale Way,Local,14,0.241965974
288,FY 16-17,Taco Ct,Arroyo Trl,Dead End,Local,13,0.036612054
289,FY 16-17,Tarkington Way,Legler Dr,Arvis Dr,Local,12,0.114550157
290,FY 16-17,Tellson Ct,Micawber Way,Dead End,Local,20,0.087091741
291,FY 16-17,Templeton Dr,Dorset Rd,Hillside Dr,Local,25,0.556166896
292,FY 16-17,Terril Ln,Dukehart Dr,Peabody Ln,Local,10,0.308042828
293,FY 16-17,Thurman Rd,Routt Rd,Echo Trl,Secondary Collector,20,2.641853685
294,FY 16-17,Tip Top Ln,Apex Dr,End (North),Local,23,0.236709663
295,FY 16-17,Trackers Way,Trappers Ridge Cir,Dead End,Local,12,0.16687033
296,FY 16-17,Trade Port Dr,Greenbelt,Cane Run Rd,Minor Arterial,12,0.822941936
297,FY 16-17,Trail Creek Pl,Trail Ridge Ct,Dead End,Local,16,0.174384389
298,FY 16-17,Trail Ridge Ct,Trail Ridge Rd,Dead End,Local,16,0.291849172
299,FY 16-17,Trappers Ridge Cir,Hunters Point Cir,Dead End,Local,12,0.1326844
300,FY 16-17,Trotwood Pl,Micawber Way,Dead End,Local,19,0.133520589
301,FY 16-17,Tucker Station Rd,S Madison Rd,Lakefront Pl,Primary Collector,"19, 20",3.692055297
302,FY 16-17,Tynebrae Ct,Springbrooke Cir,Dead End,Local,17,0.086962492
303,FY 16-17,Valley Fair Way,Meihaus Way,Sunny Vale Way,Local,14,0.220000097
304,FY 16-17,Vieux Carre Dr,Shelbyville Rd,End of public section,Local,18,0.170724432
305,FY 16-17,W Breckinridge St,S 1st St,S 9th St,Primary Collector,"4, 6",2.250983251
306,FY 16-17,W Broadway,22nd St,Southwestern Pkwy,Major Arterial,"1,5,6",9.271849056
307,FY 16-17,W Hill St,McColskey,Wilson Ave,Primary Collector,3,2.748591804
308,FY 16-17,Birchline Blvd,Ferndale Rd,Mt Eastes Ln,Local,"22, 23",0.526975867
309,FY 17-18,Acton Ln,Tangelo Dr,Dead End,Local,23,0.101312785
310,FY 16-17,Kramers Ln,Camp Ground Rd,Cane Run Rd,Primary Collector,1,1.52023244
311,FY 16-17,Blevins Gap Rd,Bearcamp Rd,Lonesome Hollow Rd,Primary Collector,14,1.04382903
312,FY 17-18,Aiken Rd,Shelbyville Rd,N English Station Rd,Secondary Collector,19,1.094352072
