OBJECTID,DBASIN_FEA_KEY,DBASIN_REC_WTRBDY_NAME,DBASIN_NAME,DBASIN_ALT_NAME,DBASIN_AREA_SQFT_NBR,DBASIN_AREA_ACRES_NBR,SHAPE_Length,SHAPE_Area
184,7077712,Duwamish Waterway,DW_DB_178,2nd Ave S SD,1654564.0514,37.9836,7265.74737010313,1654564.04253009
185,7077804,Duwamish Waterway,DW_DB_179,1st Ave S SD west,1904914.804,43.7308,10106.0765392462,1904914.80510357
186,7226966,Lake Washington,LW_DB_191,,114190.173,2.6214,2782.00931348018,114190.173037506
187,7229915,Duwamish Waterway,DW_DB_192,"B-41, S Massachusetts St SD",105126.8768,2.4134,2320.4760016415,105126.876789754
188,7230081,Duwamish Waterway,DW_DB_193,B-40,108873.2062,2.4994,1586.0911681784,108873.206206859
189,7397197,Duwamish Waterway,DW_DB_153,B-11,2111663.7283,48.4771,9943.35433916167,2111663.72827259
190,7423415,Puget Sound,PS_DB_191,,399114.3821,9.1624,3027.63779718181,399114.379699871
191,7423598,Puget Sound,PS_DB_192,,432387.3802,9.9262,2750.94887685733,432387.381730633
192,7423608,Puget Sound,PS_DB_193,,186887.1046,4.2903,1843.11288167163,186887.10259753
193,7424523,Lake Washington,LW_DB_195,,32924.3877,0.7558,821.124958355978,32924.3881182676
194,7436436,Lake Washington,LW_DB_196,,733989.0178,16.8501,3852.54694701239,733989.017548692
195,7436965,Lake Washington,LW_DB_197,,1998357.9136,45.876,7486.31823585823,1998357.91433472
196,7436979,Lake Washington,LW_DB_198,,94991.5845,2.1807,1356.99463277544,94991.5818207331
197,7438381,Duwamish Waterway,DW_DB_199,Head of Slip 2 SD,473271.7335,10.8648,7133.11236958635,473271.732625561
198,7438731,Duwamish Waterway,DW_DB_200,1st Ave S Bridge SD,269910.1282,6.1963,5653.96537966973,269910.129102996
199,7439888,Lake Washington,LW_DB_238,,272803.8331,6.2627,2741.40415584188,272803.829297165
200,7439891,Lake Washington,LW_DB_239,,510749.8037,11.7252,2878.79388553701,510749.803724061
201,7440409,Lake Washington,LW_DB_243,,10810.8102,0.2482,724.212451755059,10810.8038040805
202,7440410,Lake Washington,LW_DB_244,,19564.0799,0.4491,790.922452919383,15190.4726086596
203,7440412,Lake Washington,LW_DB_246,,13337.1745,0.3062,637.470433241753,12865.8424897166
204,7440427,Lake Washington,LW_DB_248,,6759.0758,0.1552,354.237543654903,6759.07638419227
205,7440463,Lake Washington,LW_DB_251,,12204.8338,0.2802,485.375573442936,10124.8927725436
206,7441450,Lake Washington,LW_DB_206,,301796.7774,6.9283,2489.6965103562,301796.788209903
207,7441451,Lake Washington,LW_DB_207,,34944.8144,0.8022,906.779327334789,34944.8167418965
208,7441452,Lake Washington,LW_DB_208,,4768.1747,0.1095,452.482493992611,4768.17465076458
209,7441468,Lake Washington,LW_DB_209,,2132234.8938,48.9494,8939.09099223385,2132234.89692405
210,7441484,Lake Washington,LW_DB_210,,118125.8005,2.7118,1706.69288725076,118125.797979223
211,7441485,Lake Washington,LW_DB_211,,21659.9427,0.4972,621.251759712079,21659.9427315658
212,7441486,Lake Washington,LW_DB_212,,19327.8999,0.4437,604.579369128995,19327.8994664556
213,7441489,Lake Washington,LW_DB_213,,74488.3885,1.71,1301.36392031112,74488.3849510752
214,7441490,Lake Washington,LW_DB_214,,90836.0377,2.0853,1449.38158958625,90836.0402962316
215,7441491,Lake Washington,LW_DB_215,,802801.2132,18.4298,3621.65613020971,802801.213219782
216,7441907,Lake Washington,LW_DB_216,,78367.6913,1.7991,1846.11702832523,78367.6912929629
217,7441917,Lake Washington,LW_DB_217,,114734.5862,2.6339,1501.68500031153,114734.586220362
218,7441918,Lake Washington,LW_DB_218,,35125.482,0.8064,908.389075692546,35125.4805001172
219,7441919,Lake Washington,LW_DB_219,,54729.2049,1.2564,927.462787156055,54729.2048791634
220,7441948,Lake Washington,LW_DB_220,,1057415.298,24.2749,5858.68874916799,1057415.30265953
221,7441969,Lake Washington,LW_DB_221,,6747.0625,0.1549,388.175281137255,6747.06253249221
222,7441992,Lake Washington,LW_DB_222,,6928.839,0.1591,397.541967955481,6928.83868622592
223,7441993,Lake Washington,LW_DB_223,,5607.4424,0.1287,356.446611092234,5607.44196346383
224,7441994,Lake Washington,LW_DB_224,,26385.3854,0.6057,1211.36385439374,26385.38541589
225,7441999,Lake Washington,LW_DB_225,,8510.3561,0.1954,421.882277488355,8510.35942887757
226,7442000,Lake Washington,LW_DB_227,,6037.1303,0.1386,341.168329125733,6037.12995353874
227,7442015,Lake Washington,LW_DB_228,,158385.8075,3.636,2071.52249929372,158385.791911765
228,7442018,Lake Washington,LW_DB_229,,1066935.5853,24.4935,7653.59834656847,1066935.58534574
229,7442059,Lake Washington,LW_DB_230,,600386.87,13.783,5500.47742337232,600386.869986456
230,7443079,Lake Washington,LW_DB_231,,731583.696,16.7949,4813.96733184514,731583.695955726
231,7443110,Lake Washington,LW_DB_232,,150500.3251,3.455,1739.32560800658,150654.930534098
232,7443149,Lake Washington,LW_DB_233,,1381939.2745,31.725,7234.29047774565,1381939.27449316
233,7443168,Lake Washington,LW_DB_234,,954037.5143,21.9017,5143.08529095225,954037.514293074
234,7462129,Duwamish Waterway,DW_DB_201,,7307293.0137,167.7524,28819.0715610964,7307293.010766
235,7462302,Duwamish Waterway,DW_DB_202,,3082838.7138,70.7722,13643.1529868116,3082838.71365663
236,7465302,Lake Washington,LW_DB_252,,430069.8655,9.873,4809.83911694144,430069.87138679
237,7599717,Lake Washington,LW_DB_194,46th Ave S SD,63424631.7859,1456.0292,61897.821138309,63424631.7851169
238,7634377,Duwamish Waterway,DW_DB_253,Duwamish Substation SD #1,25391.6578,0.5829,872.139069443577,25391.6592335195
239,7634378,Duwamish Waterway,DW_DB_254,Duwamish Substation SD #2,50894.3383,1.1684,937.850820080648,50894.3301121457
240,7634379,Duwamish Waterway,DW_DB_255,Duwamish Substation SD #3,77664.9306,1.7829,1092.06110574211,77664.9308923934
241,7634380,Duwamish Waterway,DW_DB_256,W Marginal Pl SW SD,201643.5185,4.6291,1916.99891804789,201643.50998662
