Day,Month,Year,ST_14316495 (mm),ST_06037000 (mm),ST_14338000 (mm)
2,5,1981,1.769800007,1.716649997,0.00047619
3,5,1981,3.939799976,0.354699998,0.000190476
4,5,1981,0.898799992,0.00785,0.708523807
5,5,1981,5.61340003,2.648549986,1.388666641
6,5,1981,3.326599979,4.231400001,5.918095191
7,5,1981,0.0018,15.60314999,0.0
8,5,1981,0.0,3.405850017,0.052666666
9,5,1981,1.901800013,0.834449995,2.056619054
10,5,1981,0.0,0.0,0.0
11,5,1981,0.0,21.33570023,0.0
12,5,1981,0.0,5.797150016,0.0
13,5,1981,0.668000007,0.847099999,0.0
14,5,1981,0.0,0.513300005,0.0
15,5,1981,7.577399921,2.133299997,5.194333269
16,5,1981,16.87080021,3.592550004,16.00009519
17,5,1981,2.509399939,0.526799999,1.8447619
18,5,1981,11.67259998,0.909700009,14.9636191
19,5,1981,18.42200012,0.740399995,19.22028569
20,5,1981,5.439799976,0.584200004,6.30561907
21,5,1981,4.50079999,8.418199944,0.153952381
22,5,1981,0.0,2.769900006,0.0
23,5,1981,0.0,5.520599997,0.0
24,5,1981,10.51620007,2.697549993,8.267618951
25,5,1981,14.1289999,2.111299986,14.55533336
26,5,1981,2.510599941,5.245299935,0.011714286
27,5,1981,0.0,13.51454997,0.0
28,5,1981,0.0,0.167800001,0.0
29,5,1981,0.0,0.0,0.0
30,5,1981,0.0,2.978800035,0.00047619
31,5,1981,0.0,4.892149973,0.0
1,6,1981,0.0,3.314049995,0.0
2,6,1981,0.0,0.01495,0.0
3,6,1981,0.0,1.627500004,0.0
4,6,1981,0.0,2.747349995,0.0
5,6,1981,0.0,0.2919,0.0
6,6,1981,7.643800068,0.00545,4.658619006
7,6,1981,0.112799998,0.0683,1.274904762
8,6,1981,38.42719917,11.28270001,18.31166676
9,6,1981,28.0173996,23.27750006,9.138095311
10,6,1981,4.69900012,1.745449999,0.876714287
11,6,1981,0.622400007,0.1125,0.0
12,6,1981,6.753800106,1.295499995,4.219428528
13,6,1981,10.06339989,2.235800028,9.78828571
14,6,1981,7.939599991,7.849350023,4.402809495
15,6,1981,0.025000001,3.474450016,0.0
16,6,1981,1.700199983,0.676249993,1.673380942
17,6,1981,4.259599972,9.247649956,4.177380985
18,6,1981,0.0,1.399800012,0.0
19,6,1981,5.271600056,0.930500001,0.24790476
20,6,1981,0.0,6.065599978,0.0
21,6,1981,0.0,0.0,0.0
22,6,1981,0.0,0.784900005,0.0
23,6,1981,0.0,0.0,0.0
24,6,1981,0.0,0.0,0.0
25,6,1981,0.0,0.0,0.0
26,6,1981,0.0,0.2528,0.0
27,6,1981,0.0,0.807500002,0.0
28,6,1981,0.0,2.711400017,0.0
29,6,1981,0.0,0.0,0.0
30,6,1981,0.0,0.0,0.0
1,7,1981,0.0,0.16745,0.0
2,7,1981,0.0014,0.02135,0.0
3,7,1981,0.0,0.0,0.0
4,7,1981,0.807400022,0.0,0.0
5,7,1981,1.863800001,0.0,0.154238095
6,7,1981,0.0,0.0,0.0
7,7,1981,18.5829998,3.771299982,7.397666727
8,7,1981,0.0,2.938799977,0.0
9,7,1981,0.0,0.086349997,0.0
10,7,1981,0.0,0.0,0.0
11,7,1981,0.0,0.327999997,0.0
12,7,1981,0.0,0.0,0.0
13,7,1981,0.0,0.0,0.0
14,7,1981,0.0,0.0,0.0
15,7,1981,0.0,0.0,0.0
16,7,1981,0.0,0.0,0.0
17,7,1981,0.0,1.159550001,0.0
18,7,1981,0.0,0.351999997,0.0
19,7,1981,0.0,4.138049996,0.0
20,7,1981,0.0,0.436099994,0.0
21,7,1981,0.0,0.0,0.0
22,7,1981,0.0,0.867550001,0.0
23,7,1981,0.0,4.281549974,0.0
24,7,1981,0.0,0.0,0.0
25,7,1981,0.0,1.082250004,0.0
26,7,1981,0.0,5.250149989,0.0
27,7,1981,0.0,0.633250008,0.0
28,7,1981,0.0,1.320999986,0.0
29,7,1981,0.0,0.0,0.0
30,7,1981,0.0,0.082449999,0.0
31,7,1981,0.0,1.889599991,0.0
1,8,1981,0.0,0.0,0.0
2,8,1981,0.0,0.0,0.0
3,8,1981,0.0,0.0,0.0
4,8,1981,0.0,0.0,0.0
5,8,1981,0.0,0.0,0.0
6,8,1981,0.0,0.0,0.0
7,8,1981,0.0,0.0,0.0
8,8,1981,0.0,0.0,0.0
9,8,1981,0.0,0.0,0.0
10,8,1981,0.0,0.0,0.0
11,8,1981,0.0,0.0,0.0
12,8,1981,0.0,0.0,0.0
13,8,1981,0.0,0.0,0.0
14,8,1981,0.0,0.0046,0.0
15,8,1981,0.0,0.036100001,0.0
16,8,1981,0.0,0.0097,0.0
17,8,1981,0.0,0.931950006,0.0
18,8,1981,0.0,3.890500039,0.0
19,8,1981,0.0,0.0115,0.0
20,8,1981,0.0,1.374549997,0.0
21,8,1981,0.0,1.519949993,0.0
22,8,1981,0.0,5.698399973,0.0
23,8,1981,0.0,0.153299999,0.0
24,8,1981,0.0,0.0,0.0
25,8,1981,0.0,0.0,0.0
26,8,1981,0.0,0.0,0.0
27,8,1981,0.0,0.0,0.0
28,8,1981,0.0,0.0,0.0
29,8,1981,0.0,0.0,0.0
30,8,1981,0.0,0.350250004,0.0
31,8,1981,0.0,3.025300008,0.0
1,9,1981,0.573600014,0.677749997,0.0
2,9,1981,0.0,0.0,0.0
3,9,1981,0.0,0.0,0.0
4,9,1981,0.0,0.0,0.0
5,9,1981,0.0,0.0,0.0
6,9,1981,0.0,0.0,0.0
7,9,1981,0.0,0.0,0.0
8,9,1981,0.0,0.0,0.0
9,9,1981,0.0,0.0,0.0
10,9,1981,0.0,0.0,0.0
11,9,1981,0.0,0.0,0.0
12,9,1981,0.0,0.0,0.0
13,9,1981,0.0,0.0,0.0
14,9,1981,0.0,0.0,0.0
15,9,1981,0.0,0.0,0.0
16,9,1981,0.0,0.0,0.0
17,9,1981,0.0,0.0,0.0
18,9,1981,0.0,0.0,0.0
19,9,1981,2.690399981,0.0,1.788238111
20,9,1981,0.0,0.0,0.0
21,9,1981,0.0,0.0,0.0
22,9,1981,1.344399977,0.0,0.031809523
23,9,1981,0.362000001,0.0,0.0
24,9,1981,0.0,0.0,0.0
25,9,1981,0.0,1.992049992,0.0
26,9,1981,4.238800001,15.95154991,3.691000002
27,9,1981,41.59599991,0.118500001,25.90014258
28,9,1981,4.63579998,0.0,5.457000029
29,9,1981,15.39139977,0.294499998,1.497285712
30,9,1981,0.0,7.15200007,0.0
1,10,1981,0.0,0.0,0.0
2,10,1981,3.423199987,0.036100001,3.226714316
3,10,1981,3.914000082,2.396899998,3.475952421
4,10,1981,1.55940001,5.513449955,0.001285714
5,10,1981,0.0,0.074199998,0.0
6,10,1981,3.433799982,0.0,1.230857149
7,10,1981,27.36479988,3.104949993,25.32947622
8,10,1981,8.192000198,3.272599989,3.58885714
9,10,1981,12.43340015,3.116600001,10.38276189
10,10,1981,20.69379997,2.642150015,22.77914265
11,10,1981,16.66760006,5.939099979,10.00033329
12,10,1981,3.787400007,10.75114999,2.673999985
13,10,1981,0.0,0.898399997,0.0
14,10,1981,0.0,1.474150003,0.0
15,10,1981,0.0,1.473000014,0.0
16,10,1981,0.0,0.0,0.0
17,10,1981,0.0,0.0,0.0
18,10,1981,0.0,1.676149991,0.0
19,10,1981,0.0,1.677600002,0.0
20,10,1981,0.0,0.0,0.0
21,10,1981,0.0,0.0,0.0
22,10,1981,0.0,0.0,0.0
23,10,1981,0.0,0.0,0.0
24,10,1981,0.0,1.018199998,0.0
25,10,1981,0.0,0.13545,0.0
26,10,1981,0.0,1.101499982,0.0
27,10,1981,0.0,1.05809999,0.153238092
28,10,1981,16.1458004,0.732849997,16.34214297
29,10,1981,9.887199974,0.0977,14.74252392
30,10,1981,16.35879974,1.336400008,15.41271414
31,10,1981,5.290399933,0.122049997,2.047999978
1,11,1981,0.0,0.177049999,0.045190476
2,11,1981,0.0352,0.561500001,0.0
3,11,1981,4.220400068,0.0,0.0
4,11,1981,0.901600011,0.0,0.0
5,11,1981,1.49499997,0.0,0.0
6,11,1981,0.0,0.0,0.0
7,11,1981,0.0,0.0,0.0
8,11,1981,0.0,0.0502,0.0
9,11,1981,0.0,0.790450002,0.0
10,11,1981,1.160600007,1.14725,0.0
11,11,1981,1.663599992,0.06805,1.677904753
12,11,1981,27.51419983,0.3572,24.20223772
13,11,1981,14.18860016,0.624250007,12.29190472
14,11,1981,14.62619991,7.151049972,19.053
15,11,1981,15.60019989,5.889650059,17.25733335
16,11,1981,22.56879997,6.061049938,31.19852366
17,11,1981,38.13580017,0.135350001,35.29071399
18,11,1981,19.06199951,2.718600005,12.64400001
19,11,1981,2.052799976,4.330099982,0.0
20,11,1981,5.416600037,0.160400003,5.852952378
21,11,1981,12.43460007,0.580000003,15.25638103
22,11,1981,26.30639992,12.12045002,20.5437143
23,11,1981,26.62460022,5.443700016,25.7510475
24,11,1981,17.74119987,4.082800007,18.32852391
25,11,1981,7.513199997,11.73909993,5.909047672
26,11,1981,4.696600008,3.750649977,6.240095229
27,11,1981,4.419600105,2.878949988,6.809428601
28,11,1981,0.0,1.715950006,2.899428572
29,11,1981,0.0,1.320399997,0.0
30,11,1981,5.244000101,0.165699999,1.408476197
1,12,1981,28.15839996,4.3125,21.52819025
2,12,1981,13.46639996,2.422999984,14.81523814
3,12,1981,15.07120018,6.198049998,7.448619071
4,12,1981,1.51680001,0.031699999,0.547619053
5,12,1981,3.801999998,0.0,4.815380999
6,12,1981,105.6878006,0.0027,53.25999996
7,12,1981,22.40699997,0.01905,14.4684763
8,12,1981,1.841999984,0.0,2.393047605
9,12,1981,0.0,0.0,0.850523811
10,12,1981,14.87539997,0.01675,12.39228576
11,12,1981,6.941400051,0.736649994,3.371238073
12,12,1981,10.15180006,0.152150001,11.42038086
13,12,1981,16.5842001,2.693000007,14.85876188
14,12,1981,10.28059978,3.496399975,14.68147605
15,12,1981,29.90259972,2.165050018,34.38380941
16,12,1981,33.49719963,12.88384995,4.728095253
17,12,1981,1.041799986,6.884350038,0.0
18,12,1981,4.975400066,2.543749982,7.667619092
19,12,1981,41.77279968,1.879499996,44.45514279
20,12,1981,21.87280045,9.381900096,40.59671393
21,12,1981,17.44359989,8.487249994,18.83576189
22,12,1981,7.30880003,2.047399998,5.51852375
23,12,1981,5.674999905,3.572799993,5.920095239
24,12,1981,3.99800005,0.241250003,2.722619057
25,12,1981,25.47200012,3.656850016,17.49195258
26,12,1981,18.04179993,4.751249957,15.52909533
27,12,1981,30.58059921,4.521500015,36.16319057
28,12,1981,17.09899979,0.135700002,9.555238088
29,12,1981,12.5842001,1.387549999,20.91852379
30,12,1981,18.17739983,11.39145007,25.42171424
31,12,1981,7.337399769,6.17900002,5.277333294
1,1,1982,11.37720013,4.928300047,23.10271445
2,1,1982,14.02600002,7.546400011,19.44366673
3,1,1982,24.16199989,0.352650003,24.34476208
4,1,1982,55.21159973,6.200149989,24.59966696
5,1,1982,19.72660027,5.11064992,4.985666672
6,1,1982,1.127600002,3.591399992,2.865571419
7,1,1982,0.0,0.0,0.0
8,1,1982,0.0,1.031399991,0.114333336
9,1,1982,0.0,0.0134,0.045761906
10,1,1982,1.227599993,0.0153,0.0
11,1,1982,2.797199976,0.191500002,0.133428571
12,1,1982,0.0,0.977649999,0.466142857
13,1,1982,4.394000044,0.243999998,0.0
14,1,1982,0.0,0.824250001,0.254095237
15,1,1982,0.0,2.603300005,0.301380953
16,1,1982,4.450600043,9.033450007,0.0
17,1,1982,12.69419994,5.178149986,7.98842857
18,1,1982,11.77220001,5.509499991,9.86133337
19,1,1982,8.252199936,1.945650017,6.891619047
20,1,1982,5.109599972,5.983349943,2.638666664
21,1,1982,6.877200079,2.011050016,4.592095273
22,1,1982,10.63819981,6.460749936,10.22923817
23,1,1982,24.54379997,6.398999965,38.63195219
24,1,1982,14.21339989,6.766750026,2.365571436
25,1,1982,20.35600033,6.25775001,2.278571418
26,1,1982,12.23099995,3.944149983,12.3027143
27,1,1982,12.66539993,10.22664995,15.88514292
28,1,1982,1.1796,0.0038,3.298095232
29,1,1982,0.0,0.0419,0.0
30,1,1982,0.0,0.0,0.0
31,1,1982,0.625600004,1.267600012,6.830476168
1,2,1982,0.0,1.888299996,0.0
2,2,1982,0.0,1.531749991,3.234761886
3,2,1982,0.1476,3.856050003,0.408761902
4,2,1982,0.0,1.212900001,0.0
5,2,1982,0.0,0.0,0.0
6,2,1982,0.0,1.494100004,0.0
7,2,1982,0.0,0.240100001,0.009
8,2,1982,0.0,1.559499985,0.0
9,2,1982,0.0,0.07745,0.0
10,2,1982,0.0,0.00735,0.0
11,2,1982,0.0,0.0224,0.0
12,2,1982,0.0,0.135899998,0.0
13,2,1982,10.33719997,0.00535,4.256476164
14,2,1982,54.46999969,1.782200007,46.07609504
15,2,1982,24.0762001,3.591749991,11.84695239
16,2,1982,20.18099976,3.972149998,17.23595229
17,2,1982,16.80299988,4.431199992,14.73795241
18,2,1982,13.62839985,0.289100001,2.474952369
19,2,1982,33.0390007,0.261299999,22.39700018
20,2,1982,4.089400077,0.243400001,1.643619052
21,2,1982,27.10319977,2.980649996,25.7470952
22,2,1982,9.702999878,5.81400001,18.1918572
23,2,1982,12.61040001,5.657850039,4.218619063
24,2,1982,6.56960001,4.335800004,2.653476153
25,2,1982,0.0,0.019550001,0.0
26,2,1982,0.0,0.0,0.0
27,2,1982,6.004399967,0.618049993,8.526761918
28,2,1982,2.497799975,2.876600003,0.053476191
1,3,1982,7.436000061,0.33555,7.322571414
2,3,1982,15.8288002,4.814200056,13.73261906
3,3,1982,8.194400024,4.941949952,5.203476202
4,3,1982,16.82980003,3.837550056,9.863142854
5,3,1982,4.760799932,3.278449988,1.906190481
6,3,1982,0.0,0.0059,0.162761906
7,3,1982,0.0,0.786100001,0.0
8,3,1982,0.790400004,0.204950003,0.534904757
9,3,1982,1.37820003,0.627549999,0.355047621
10,3,1982,3.060999966,0.702049998,0.71985714
11,3,1982,10.25480003,1.463299996,8.274380911
