OBJECTID,BOUNDARY,DATA_SRC,SHAPE_Length
188,County,NY,84887.512460933
189,County,VT,169041.770425133
190,County,VT,89625.8471575367
191,County,ME,79106.9986185879
192,County,NH,228834.62251022
193,County,ME,113402.127663483
194,County,ME,13720.7262565148
195,County,VT,87323.4140894066
196,State,NH,27329.6651229987
197,State,NH,80876.1490933673
198,County,NY,303082.087871849
199,County,NY,67033.4952862081
200,County,NY,84586.0105446603
201,County,NY,88339.3313851463
202,County,ME,54252.184750986
203,County,NY,176500.8845029
204,County,ME,319.973797951383
205,County,ME,27653.073616768
206,County,ME,93855.0144826012
207,County,ME,84.4244288294809
208,County,ME,70.160349577621
209,County,ME,93.3077615732358
210,County,ME,36913.5970364221
211,County,ME,5913.16404741949
212,County,ME,45857.4675421609
213,County,ME,63555.9961871266
214,County,ME,363.226094724365
215,County,ME,176393.612280113
216,County,ME,22281.4652437634
217,County,ME,33.5595812712309
218,County,ME,387.279234620845
219,County,ME,103.800836828004
220,County,NY,210040.066855209
221,County,ME,5176.76617556033
222,County,VT,27750.1139144538
223,State,NH,49420.3293243866
224,County,ME,32084.327240335
225,County,VT,114599.682930863
226,County,VT,182690.0732174
227,County,ME,22610.9161587111
228,State,NH,85543.5040780129
229,County,VT,179.076661713064
230,County,VT,148.647763060732
231,County,VT,118801.090003795
232,County,NY,318051.322028205
233,County,ME,47081.2606085502
234,County,VT,344303.954345397
235,County,ME,26506.0311499563
236,County,ME,45391.773271998
237,County,ME,14483.9542457841
238,County,NY,15653.9474485408
239,County,VT,34677.7269675229
240,County,ME,32553.0779087755
241,County,NY,165006.030416495
242,State,NH,42434.1377466057
243,State,NY,23601.6507011722
244,County,NY,128269.458862576
245,County,ME,48280.4057949233
246,County,ME,133224.799525527
247,County,NH,132798.04107536
248,State,NY,135628.497799209
249,County,NH,77988.6697778827
250,State,ME,98914.6419052765
251,County,NY,67714.2730663658
252,County,NY,79917.9616191441
253,County,NY,175811.035056382
254,County,NY,40130.1870217084
255,State,NH,40042.9344527673
256,County,NY,195049.157663763
257,County,NH,126602.657747575
258,County,NY,42489.6948140117
259,County,NY,333400.939099647
260,County,NH,49026.5623480528
261,County,NH,101834.724170007
262,County,NH,119101.283206868
263,County,NH,92906.9788723449
264,State,NY,140075.084285169
265,State,NH,76241.2094181576
266,County,NY,47033.1348183341
267,County,NY,143780.166553977
268,State,ME,28924.4421208022
269,County,NY,82087.3768989086
270,County,NH,155489.903467229
271,County,NY,88616.1253931982
272,County,NY,103972.360738072
273,County,NH,103546.504521967
274,County,NY,84663.5115448564
275,State,ME,49361.0510039222
276,County,NY,249854.741917881
277,County,NY,40522.0892558949
278,County,NH,103187.284625624
279,State,ME,41677.4619599164
280,State,NH,85490.4780087751
281,County,NY,119183.337485169
282,County,VT,114370.111392997
283,County,NY,179315.717077085
284,State,ME,32602.199181026
285,County,VT,28806.2417817736
286,County,NY,152454.644890156
287,County,NY,86809.1368770186
288,County,NY,185056.090569811
289,County,NH,4715.84934155584
290,County,NY,125414.710036432
291,County,NH,109815.60064037
292,State,ME,42000.9885838579
293,County,NY,91914.110846896
294,County,NY,220109.158018739
295,State,ME,178.459823316491
296,County,VT,105457.026619726
297,State,NY,135330.239607396
298,County,NY,73914.3894102207
299,County,NY,14695.1414968528
300,County,NY,47511.7744829529
301,County,NY,79858.5978699511
302,County,NH,177976.938188714
303,County,NY,73044.3585769584
304,County,VT,260296.511742791
305,County,NY,42003.8780405303
306,County,NY,71835.9395113207
307,County,NH,237368.848572023
308,County,NH,158851.388671094
309,County,NY,80516.8165799101
310,County,NY,117684.879317605
311,County,NH,28640.2327982912
312,County,NY,99456.4709709694
313,State,NH,29759.672775973
314,County,NY,57345.5567638873
315,County,NH,8819.72652193022
316,County,NY,52175.5684783544
317,State,NH,62468.6171269307
318,County,NY,90251.7389264042
319,County,NY,120624.207368821
320,County,NY,192374.456960921
321,County,NY,131034.187395815
322,County,NY,67018.0092654177
323,County,NH,177511.598249488
324,County,NY,57423.4044906246
325,County,NY,154084.864677866
326,County,NY,157168.755893913
327,County,NY,96497.2069741309
328,County,NY,181532.732969336
329,County,NY,70412.5796424916
330,County,NY,132977.966955335
331,County,NY,139613.759446497
332,County,NY,10000.9951706191
333,State,NH,67234.4074790719
334,County,NH,143341.149057606
335,County,NY,202104.254299066
336,County,NY,104976.265957362
337,County,NY,68068.4076329129
338,State,NY,78467.5749714734
339,County,NY,178827.086276955
340,County,NY,11472.2107775754
341,County,NY,84391.3304761654
342,County,NY,120126.458744281
343,State,NH,160531.60423985
344,County,NY,170984.460644181
345,County,NY,33195.625281434
346,State,NH,30084.9253035167
347,County,NY,164981.784457199
348,County,NY,102527.919704574
349,County,NY,90886.8104510047
350,County,NY,109136.922433485
351,County,NY,46972.6211092316
352,County,NY,24456.3157425861
353,County,NY,59636.0130393592
354,County,NY,121162.86611072
355,County,NY,81291.6978256831
356,County,NY,162585.95836415
357,County,NY,30450.8092333541
358,County,NY,102337.391996896
359,County,NY,124215.99749997
360,County,NH,12907.3788128554
361,County,NY,53869.9189154279
362,State,NH,3364.21945406943
363,State,MA,64998.2682910108
364,State,MA,24961.5086914215
365,State,MA,126837.838024638
366,State,NH,54522.5602315935
367,State,NH,47193.6294435132
368,County,NY,32490.197587805
369,State,NY,89135.203990518
370,State,NH,95217.3588623371
371,State,NH,8136.7123937959
372,State,NH,180503.630890761
373,County,MA,112860.819922786
374,County,NY,112586.413132846
375,County,NY,112242.904495645
376,County,NY,101705.034744831
377,County,NY,92951.4085150284
378,County,MA,199219.025110268
379,County,MA,111469.281713442
380,County,NY,33516.0609725659
381,County,NY,110876.10338125
382,County,NY,48201.4981655788
383,County,NY,62128.2585018773
384,County,NY,72932.1667334564
385,County,MA,433010.618506055
386,County,NY,102278.032179842
387,County,NY,130173.584347285
388,County,NY,81999.3090324553
389,County,NY,79922.890065851
390,County,NY,53685.0341920866
391,County,NY,65107.7228006473
392,County,NY,196151.550845474
393,County,NY,78799.6356018252
394,County,NY,31902.0688332008
395,County,NY,190208.299978265
396,County,NY,97255.7670013546
397,County,NY,87525.5007166838
398,County,NY,116949.881783993
399,County,MA,130266.698578752
400,County,MA,223277.721400626
401,County,NY,95929.1177345682
402,County,NY,258322.748916792
403,County,NY,173617.69819751
404,County,NY,117566.325933491
405,Shoreline,MA,7501.58484289581
406,County,NY,113775.236262986
407,County,NY,128718.455048887
408,County,NY,33313.5678053572
409,County,NY,73485.6725301334
410,County,MA,14512.55000538
411,County,MA,22896.4353689075
412,State,NY,173795.053710059
413,County,NY,196548.830900143
414,County,NY,180565.490748288
415,County,NY,75064.1125668073
416,County,NY,191497.399146609
417,County,MA,66153.8355623662
418,County,NY,142338.158918076
419,County,MA,72718.4228527439
420,County,NY,132316.208075478
421,County,NY,45378.3214531721
422,County,NY,10995.6546975053
423,County,MA,15731.0549373125
424,County,MA,85534.9567189591
425,County,NY,21885.8545962946
426,County,MA,42726.23406846
427,County,MA,385772.83901029
428,County,MA,154574.940515114
429,County,NY,43579.0376746738
430,County,MA,14140.7757741771
431,County,MA,48549.044230825
432,County,MA,29178.0082966265
433,County,MA,21757.2310795526
434,County,MA,10510.3211304932
435,County,MA,63402.6905869512
436,County,NY,92063.9034658232
437,County,NY,101011.538688497
438,County,MA,48814.6156956682
439,Shoreline,MA,10326.9730761346
440,County,MA,119180.294310878
441,County,MA,1566.63457218821
442,County,NY,114576.885213809
443,County,MA,113804.585671383
444,County,NY,85175.1896683682
445,County,MA,74731.6861332394
446,County,NY,107730.394828942
447,County,MA,55530.4938680688
448,County,NY,182994.272493852
449,County,NY,18613.0749569705
450,County,MA,91537.4804882294
