ID,Zip_Code,Tenant_Age,Tenant_Gender,Tenant_Race,Hispanic_Y_N,Month_s__Covered,Verified_Monthly_Income,F__in_house__hold,Amount_Paid,Date_Paid,Council_District,ObjectId
54,40212.0,24,Male,African American,Non-Hispanic,deposit / october,,1.0,1300.0,10/15/2021,5.0,603
24,40215.0,33,Female,African American,Non-Hispanic,deposit / september / october,,5.0,2307.23,10/15/2021,3.0,604
234,40212.0,33,Female,African American,Non-Hispanic,deposit,600,3.0,1540.0,10/15/2021,5.0,605
7,40203.0,23,Male,African American,Non-Hispanic,deposit / aug rent,1333,1.0,1300.0,10/15/2021,6.0,606
105,40211.0,53,Female,White,Non-Hispanic,deposit and october rent,0,1.0,1800.0,10/14/2021,1.0,607
371,40215.0,61,Female,White,Non-Hispanic,"dep/1/2 aug, sept/1/2oct",3084,1.0,1950.0,10/14/2021,15.0,608
14,40272.0,33,Female,African American,Non-Hispanic,deposit,1917,6.0,928.0,10/13/2021,14.0,609
321,40211.0,64,Male,Mixed Race,Non-Hispanic,deposit / october / november,1713,1.0,2520.0,10/13/2021,5.0,610
278,40211.0,69,Male,Mixed Race,Non-Hispanic,deposit / october / november,1000,1.0,2070.0,10/13/2021,4.0,611
272,40202.0,31,Male,African American,Non-Hispanic,deposit / october / november,913,1.0,2417.0,10/13/2021,4.0,612
53,40216.0,51,Female,African American,Non-Hispanic,deposit / october / november,,4.0,1109.0,10/11/2021,1.0,613
271,40212.0,41,Female,African American,Non-Hispanic,deposit,900,1.0,750.0,10/11/2021,5.0,614
385,40214.0,34,Female,African American,Non-Hispanic,deposit / october,4500,1.0,2800.0,10/11/2021,21.0,615
274,40208.0,52,Male,African American,Non-Hispanic,deposit / sept rent,920,1.0,1405.0,10/11/2021,6.0,616
104,40203.0,58,Female,White,Non-Hispanic,deposit / september / october,0,1.0,334.17,10/11/2021,4.0,617
28,40203.0,27,Male,White,Non-Hispanic,deposit / october,,1.0,1140.0,10/11/2021,4.0,618
101,40203.0,34,Female,African American,Non-Hispanic,deposit / october / november,0,1.0,862.67,10/11/2021,4.0,619
32,40219.0,19,Female,African American,Non-Hispanic,deposit / october,,2.0,1582.0,10/11/2021,2.0,620
223,40219.0,29,Female,African American,Non-Hispanic,deposit,200,3.0,950.0,10/11/2021,24.0,621
100,40242.0,40,Female,White,Non-Hispanic,deposit / october / november,0,1.0,250.0,10/11/2021,19.0,622
102,40215.0,20,Female,African American,Non-Hispanic,deposit / october,0,1.0,600.0,10/11/2021,15.0,623
502,40212.0,46,Female,African American,Non-Hispanic,dep/october,19056,2.0,900.0,10/8/2021,5.0,624
99,40210.0,26,Female,African American,Non-Hispanic,Oct deposit and rent,0,1.0,107.2,10/8/2021,6.0,625
41,40272.0,33,Male,African American,Non-Hispanic,deposit / october,,2.0,1350.0,10/7/2021,14.0,626
4,40210.0,36,Male,White,Non-Hispanic,deposit / october,1165.25,3.0,344.0,10/7/2021,6.0,627
21,40210.0,44,Female,African American,Non-Hispanic,deposit / october,,1.0,117.87,10/7/2021,6.0,628
249,40210.0,20,Female,African American,Non-Hispanic,deposit / october,794,2.0,139.5,10/7/2021,6.0,629
